Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,271,30,0
Barbaracle FC+CrC/SE,395,46,0
Milotic DT+AT/Wr,492,50,0
Golisopod FC+XS/AJ,732,10,61
Goodra DB+AT/TP,465,10,0
Gyarados DB+Tw/AT,702,2,53
Perrserker SC+CC/TBl,369,46,0
Shelgon DB+Tw/Ft,614,2,30
Pawniard FC+NS/XS,526,4,7
Sliggoo DB+BS/DgP,457,26,0
Altaria DB+M/Ft,541,0,11
Blastoise RO+HC/SkB,457,42,0
Lapras Psy+SpA/DgP,407,34,0
Dewgong IS+IW/DR,369,26,0
Seaking Pk+DR/Mh,489,10,0
Walrein PS+ISp/Eq,441,18,0
Pelipper WA+WBW/Hu,549,18,13
Dragonair DB+AT/Wr,641,2,37
Dewott FC+XS/AT,687,10,49
Dondozo W+O/Li,645,0,38
Kingdra DB+Sw/S,587,26,23
Sandslash (Alolan) PS+DR/IP,300,30,0
Lumineon G+AT/SvW,614,0,30
Bronzong Cf+Psh/WBW,258,6,0
Dragonite DB+SP/TP,564,2,17
Thievul SkP+NS/PR,519,18,5
Zweilous DB+BS/DP,511,26,3
Lokix SkP+XS/TBl,656,2,41
Sealeo PS+BS/S,519,0,5
Dragalge DT+O/AT,446,26,0
Drapion PSt+Cr/AT,564,4,17
Samurott FC+HC/Mh,709,2,55
Castform (Rainy) WG+WBW/T,465,26,0
Wailord RO+S/Re,610,34,29
Malamar Psy+SP/FoP,464,10,0
Politoed MS+WBW/Eq,467,18,0
Kingambit MSo+FoP/XS,519,4,5
Samurott (Hisuian) FC+SSw/XS,774,2,72
Skuntank PJ+TBl/Cr,405,54,0
Arctibax DB+Av/DC,625,10,33
Tentacruel Ac+Sc/Pbk,500,0,0
Skarmory AS+BrB/SA,580,36,21
Salamence DT+Fl/BrS,576,2,20
Aron MSo+RT/BS,618,4,31
Klinklang TS+ZC/MrS,326,14,0
Kabutops FC+SE/AJ,475,46,0
Metagross FC+MM/Eq,365,14,0
Wailmer RO+BS/Sc,618,42,31
Tyranitar DB+BrS/SE,622,6,32
Aggron DT+MeB/RT,645,4,38
Hydreigon DB+BrS/Fl,637,2,36
