Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,217,38,0
Barbaracle FC+CrC/SE,252,42,0
Milotic DT+AT/Wr,221,42,0
Golisopod FC+XS/AJ,208,53,0
Goodra DB+AT/TP,654,3,37
Gyarados DB+Tw/AT,342,38,0
Perrserker SC+CC/TBl,737,100,57
Shelgon DB+Tw/Ft,641,3,34
Pawniard FC+NS/XS,235,38,0
Sliggoo DB+BS/DgP,654,3,37
Altaria DB+M/Ft,570,3,17
Blastoise RO+HC/SkB,246,54,0
Lapras Psy+SpA/DgP,854,3,85
Dewgong IS+IW/DR,670,3,41
Seaking Pk+DR/Mh,816,7,76
Walrein PS+ISp/Eq,308,54,0
Pelipper WA+WBW/Hu,260,46,0
Dragonair DB+AT/Wr,654,3,37
Dewott FC+XS/AT,466,3,0
Dondozo W+O/Li,221,38,0
Kingdra DB+Sw/S,654,3,37
Sandslash (Alolan) PS+DR/IP,256,54,0
Lumineon G+AT/SvW,758,3,62
Bronzong Cf+Psh/WBW,845,15,83
Dragonite DB+SP/TP,654,100,37
Thievul SkP+NS/PR,545,23,11
Zweilous DB+BS/DP,654,3,37
Lokix SkP+XS/TBl,679,11,43
Sealeo PS+BS/S,282,54,0
Dragalge DT+O/AT,691,3,46
Drapion PSt+Cr/AT,537,3,9
Samurott FC+HC/Mh,529,3,7
Castform (Rainy) WG+WBW/T,284,38,0
Wailord RO+S/Re,762,3,63
Malamar Psy+SP/FoP,866,15,88
Politoed MS+WBW/Eq,276,30,0
Kingambit MSo+FoP/XS,225,38,0
Samurott (Hisuian) FC+SSw/XS,314,38,0
Skuntank PJ+TBl/Cr,675,3,42
Arctibax DB+Av/DC,641,3,34
Tentacruel Ac+Sc/Pbk,791,3,70
Skarmory AS+BrB/SA,700,0,48
Salamence DT+Fl/BrS,700,96,48
Aron MSo+RT/BS,397,7,0
Klinklang TS+ZC/MrS,442,27,0
Kabutops FC+SE/AJ,406,38,0
Metagross FC+MM/Eq,269,38,0
Wailmer RO+BS/Sc,260,54,0
Tyranitar DB+BrS/SE,500,11,0
Aggron DT+MeB/RT,396,31,0
Hydreigon DB+BrS/Fl,654,100,37
Sandshrew (Alolan) PS+NS/GB,251,54,0
Relicanth WG+AP/AT,184,38,0
Bombirdier SkP+Fl/RT,658,3,38
Swanna G+Fl/AJ,700,3,48
Qwilfish PSt+AT/SB,337,38,0
Drampa DB+Sw/O,654,100,37
Wartortle WG+AJ/IB,201,38,0
Mightyena SkP+Cr/PF,620,3,29
Feraligatr SC+HC/Cr,816,3,76
Lairon MSo+RT/RS,381,27,0
Grimer (Alolan) PJ+Cr/SlB,725,3,54
Murkrow Pk+DrlP/FoP,758,3,62
Revavroom PJ+GB/Ov,658,19,38
Starmie Psy+AJ/PG,758,3,62
Alomomola W+P/HP,174,38,0
