Pokemon,Battle Rating,Energy Remaining,HP Remaining
Metang FC+Psh/GB,662,23,50
Barbaracle FC+CrC/SE,91,56,0
Milotic DT+AT/Wr,389,31,0
Golisopod FC+XS/AJ,291,30,0
Goodra DB+AT/TP,613,7,35
Gyarados DB+Tw/AT,376,30,0
Perrserker SC+CC/TBl,348,6,0
Shelgon DB+Tw/Ft,633,7,41
Pawniard FC+NS/XS,665,7,51
Sliggoo DB+BS/DgP,597,7,30
Altaria DB+M/Ft,574,54,23
Blastoise RO+HC/SkB,392,47,0
Lapras Psy+SpA/DgP,293,47,0
Dewgong IS+IW/DR,626,6,39
Seaking Pk+DR/Mh,322,46,0
Walrein PS+ISp/Eq,500,6,0
Pelipper WA+WBW/Hu,413,46,0
Dragonair DB+AT/Wr,646,7,45
Dewott FC+XS/AT,442,23,0
Dondozo W+O/Li,503,6,1
Kingdra DB+Sw/S,577,15,24
Sandslash (Alolan) PS+DR/IP,785,15,88
Lumineon G+AT/SvW,386,47,0
Bronzong Cf+Psh/WBW,659,7,49
Dragonite DB+SP/TP,522,6,7
Thievul SkP+NS/PR,506,23,2
Zweilous DB+BS/DP,610,7,34
Lokix SkP+XS/TBl,500,22,0
Sealeo PS+BS/S,571,6,22
Dragalge DT+O/AT,558,7,18
Drapion PSt+Cr/AT,714,7,66
Samurott FC+HC/Mh,481,23,0
Castform (Rainy) WG+WBW/T,383,39,0
Wailord RO+S/Re,424,47,0
Malamar Psy+SP/FoP,453,15,0
Politoed MS+WBW/Eq,417,55,0
Kingambit MSo+FoP/XS,685,7,57
Samurott (Hisuian) FC+SSw/XS,481,7,0
Skuntank PJ+TBl/Cr,603,7,32
Arctibax DB+Av/DC,568,23,21
Tentacruel Ac+Sc/Pbk,600,23,31
Skarmory AS+BrB/SA,400,54,0
Salamence DT+Fl/BrS,629,6,40
Aron MSo+RT/BS,590,7,28
Klinklang TS+ZC/MrS,360,14,0
Kabutops FC+SE/AJ,102,56,0
Metagross FC+MM/Eq,529,7,9
Wailmer RO+BS/Sc,411,47,0
Tyranitar DB+BrS/SE,145,56,0
Aggron DT+MeB/RT,443,6,0
Hydreigon DB+BrS/Fl,659,7,49
Sandshrew (Alolan) PS+NS/GB,740,7,74
Relicanth WG+AP/AT,496,55,0
Bombirdier SkP+Fl/RT,535,14,11
Swanna G+Fl/AJ,432,46,0
Qwilfish PSt+AT/SB,652,7,47
Drampa DB+Sw/O,519,14,6
Wartortle WG+AJ/IB,597,5,30
Mightyena SkP+Cr/PF,639,15,43
Feraligatr SC+HC/Cr,444,31,0
Lairon MSo+RT/RS,594,7,29
Grimer (Alolan) PJ+Cr/SlB,652,7,47
Murkrow Pk+DrlP/FoP,659,6,49
Revavroom PJ+GB/Ov,407,6,0
Starmie Psy+AJ/PG,288,14,0
Alomomola W+P/HP,646,6,45
Muk (Alolan) PJ+DP/SW,824,7,100
Raticate (Alolan) QA+Cr/HF,380,46,0
Druddigon DT+NS/RT,532,7,10
Kabuto MS+RT/AJ,564,7,20
Baxcalibur DB+GlR/Av,814,7,97
Corsola B+PG/RB,568,31,21
Frigibax DB+Av/DC,603,7,32
Carracosta RTh+BS/AP,333,14,0
Omanyte MS+RT/RB,694,7,60
Bisharp Sn+XS/DP,655,7,48
Duraludon DT+DC/FC,380,14,0
Vaporeon WG+AT/LR,516,5,5
Fraxure DT+NS/DC,750,6,77
Slowbro Cf+DrP/S,329,31,0
Golduck Cf+CrC/Li,422,15,0
Greninja WSh+NS/HC,623,7,38
Omastar MS+RS/HP,584,7,26
Bibarel RO+HF/S,459,31,0
Shellos MSl+BS/MB,571,5,22
Slowpoke Cf+Psh/WP,379,31,0
Haxorus DT+NS/DC,730,6,71
Quaxwell WA+AJ/AA,597,4,30
Bruxish Cf+AT/Psh,594,7,29
Poliwhirl MS+MB/Sc,629,5,40
Tirtouga WG+BS/AP,639,7,43
Brionne Ch+AJ/DV,495,55,0
Croconaw WG+Cr/IP,440,55,0
Prinplup B+IW/Re,551,5,16
Persian (Alolan) FA+FoP/TBl,564,23,20
Linoone (Galarian) Sn+BS/Dg,616,4,36
Seadra DB+DgP/Re,463,7,0
Tentacool PSt+Wr/WP,788,7,89
Slowking Cf+S/P,399,47,0
Zoroark SC+FoP/NSh,655,6,48
Crawdaunt Sn+NS/VG,740,7,74
Mantyke B+AA/WP,584,36,26
Tyrunt DT+RT/DC,532,14,10
Honchkrow Pk+BrB/DP,313,56,0
Skrelp Ac+Tw/AT,733,7,72
Noivern AS+Hu/HW,694,14,60
Octillery LO+WP/GS,620,15,37
Weavile Sn+FoP/Av,698,7,61
Kingler MS+VG/XS,733,7,72
Floatzel W+Sw/AJ,717,7,67
Cloyster IS+Av/Li,668,5,52
Overqwil PSt+SB/DP,652,7,47
Tyrantrum DT+MeB/RT,870,6,114
Sneasel IS+FoP/Av,714,23,66
Huntail WG+AT/Cr,675,31,54
Qwilfish (Hisuian) PSt+SB/DP,659,7,49
Stunky Bi+TBl/Cr,753,7,78
Basculin Tk+AT/AJ,675,15,54
Krabby MS+VG/RSh,730,7,71
Seel L+AT/IW,675,5,54
Varoom PJ+GB/GS,824,7,100
Absol PC+DP/Mh,590,6,28
Clamperl WG+BS/WP,717,31,67
Liepard Sn+DP/PR,655,22,48
Goldeen Pk+AT/HA,805,7,94
Clauncher WG+AJ/Crbh,603,5,32
Totodile WG+AJ/Cr,714,23,66
Wugtrio MSl+Dg/S,646,7,45
Corphish B+VG/AJ,733,7,72
Popplio WG+AT/AJ,759,15,80
Sharpedo W+Cr/PF,698,7,61
Simipour WG+Cr/S,707,7,64
Clawitzer SD+Crbh/DP,477,7,0
Piplup B+DrlP/IW,769,23,83
Drizzile WG+S/WP,730,7,71
Frogadier B+S/AA,753,7,78
Axew Scr+DC/AT,753,22,78
Gorebyss Cf+WP/DK,678,7,55
Inteleon WG+SB/S,724,7,69
