Pokemon,Battle Rating,Energy Remaining,HP Remaining
Sealeo PS+S/BS,449,3,0
Dusclops H+IP/ShP,398,0,0
Doublade SC+SSw/GB,240,40,0
Dusclops (Shadow) H+IP/ShP,476,0,0
Sealeo (Shadow) PS+S/BS,330,40,0
Morgrem SkP+FoP/PR,465,19,0
Metang FC+Psh/GB,383,0,0
Tinkatuff FW+PR/FC,379,16,0
Charjabug VS+XS/D,226,16,0
Shelgon DB+Tw/Ft,402,11,0
Charjabug (Shadow) VS+XS/D,253,16,0
Klang MSo+VG/Tb,164,24,0
Lairon MSo+RT/BS,466,0,0
Hakamo-o DT+BkB/RT,805,56,74
Metang (Shadow) FC+Psh/GB,166,16,0
Zweilous (Shadow) DB+BS/DP,834,40,81
Dragonair (Shadow) DB+Wr/AT,472,11,0
Machoke (Shadow) KC+CrC/DyP,423,3,0
Primeape (Shadow) KC+RF/IP,549,56,12
Primeape KC+RF/IP,566,64,16
Shelgon (Shadow) DB+Tw/Ft,459,11,0
Sliggoo DB+BS/DgP,378,24,0
Naclstack MS+RT/RB,422,8,0
Dewott (Shadow) FC+AT/XS,291,16,0
Dragonair DB+AT/DgP,444,24,0
Lairon (Shadow) MSo+RT/BS,258,40,0
Ursaring SC+Sw/CC,309,16,0
Gurdurr LK+BkB/SE,451,19,0
Arctibax DB+Av/DC,427,19,0
Zweilous DB+BS/DP,619,56,29
Carkol SD+RS/FmC,665,0,40
Ursaring (Shadow) SC+Sw/CC,365,16,0
Dewott FC+AT/XS,271,24,0
Wartortle WG+AJ/IB,566,11,16
Togetic FW+Psh/HW,288,40,0
Gurdurr (Shadow) LK+BkB/SE,468,11,0
Palpitoad MS+EP/WP,520,0,5
Marshtomp MS+S/Sl,325,40,0
Marshtomp (Shadow) MS+S/Sl,399,40,0
Chansey ZH+DG/HB,421,0,0
Piloswine PS+ISp/SE,295,32,0
Magneton VS+MgB/D,226,16,0
Nidorina PSt+PF/Dg,194,40,0
Vigoroth C+BS/RS,282,32,0
Vigoroth (Shadow) C+BS/RS,306,24,0
Wartortle (Shadow) WG+AJ/IB,553,3,13
Graveler (Alolan) VS+SE/RB,245,16,0
Magneton (Shadow) TS+D/MgB,226,8,0
Nidorina (Shadow) PSt+PF/Dg,226,40,0
Magmar (Shadow) KC+FiP/ScS,219,16,0
Piloswine (Shadow) PS+ISp/SE,314,24,0
Crocalor I+Cr/Ft,595,0,23
Machoke KC+CrC/Re,553,27,13
Braixen (Shadow) E+Psh/FmC,288,40,0
Fletchinder Pk+Fl/HW,171,24,0
Graveler (Alolan) (Shadow) VS+SE/RB,308,16,0
Trumbeak (Shadow) Pk+DrlP/RB,348,16,0
Combusken E+RS/FmC,582,0,20
Braixen E+Psh/FmC,247,40,0
Fletchinder (Shadow) Pk+Fl/HW,227,24,0
Trumbeak Pk+DrlP/RB,291,16,0
Quaxwell WA+AJ/AA,595,0,23
Dartrix Pk+BrB/EB,237,24,0
Haunter SC+ShP/IP,242,8,0
Eelektrik Ac+D/Cr,235,16,0
Golbat (Shadow) WA+PF/SB,205,24,0
Monferno E+FW/LS,399,40,0
Servine VW+GK/Wr,200,24,0
