Pokemon,Battle Rating,Energy Remaining,HP Remaining
Sealeo PS+S/BS,497,17,0
Dusclops H+IP/ShP,324,43,0
Doublade SC+SSw/GB,245,17,0
Dusclops (Shadow) H+IP/ShP,310,4,0
Sealeo (Shadow) PS+S/BS,743,4,57
Morgrem SkP+FoP/PR,408,17,0
Metang FC+Psh/GB,197,17,0
Tinkatuff FW+PR/FC,191,30,0
Charjabug VS+XS/D,202,4,0
Shelgon DB+Tw/Ft,239,4,0
Charjabug (Shadow) VS+XS/D,289,7,0
Klang MSo+VG/Tb,400,8,0
Lairon MSo+RT/BS,343,17,0
Hakamo-o DT+BkB/RT,379,33,0
Metang (Shadow) FC+Psh/GB,224,4,0
Zweilous (Shadow) DB+BS/DP,289,17,0
Dragonair (Shadow) DB+Wr/AT,314,17,0
Machoke (Shadow) KC+CrC/DyP,472,4,0
Primeape (Shadow) KC+RF/IP,594,4,22
Primeape KC+RF/IP,478,4,0
Shelgon (Shadow) DB+Tw/Ft,292,4,0
Sliggoo DB+BS/DgP,210,17,0
Naclstack MS+RT/RB,628,8,30
Dewott (Shadow) FC+AT/XS,769,4,63
Dragonair DB+AT/DgP,287,7,0
Lairon (Shadow) MSo+RT/BS,411,17,0
Ursaring SC+Sw/CC,551,17,12
Gurdurr LK+BkB/SE,454,7,0
Arctibax DB+Av/DC,281,7,0
Zweilous DB+BS/DP,239,17,0
Carkol SD+RS/FmC,470,8,0
Ursaring (Shadow) SC+Sw/CC,829,4,77
Dewott FC+AT/XS,807,4,72
Wartortle WG+AJ/IB,696,30,46
Togetic FW+Psh/HW,191,4,0
Gurdurr (Shadow) LK+BkB/SE,555,7,13
Palpitoad MS+EP/WP,957,4,107
Marshtomp MS+S/Sl,935,4,102
Marshtomp (Shadow) MS+S/Sl,935,4,102
Chansey ZH+DG/HB,434,3,0
Piloswine PS+ISp/SE,764,4,62
Magneton VS+MgB/D,321,4,0
Nidorina PSt+PF/Dg,210,17,0
Vigoroth C+BS/RS,375,30,0
Vigoroth (Shadow) C+BS/RS,420,17,0
Wartortle (Shadow) WG+AJ/IB,871,4,87
Graveler (Alolan) VS+SE/RB,914,4,97
Magneton (Shadow) TS+D/MgB,389,4,0
Nidorina (Shadow) PSt+PF/Dg,238,4,0
Magmar (Shadow) KC+FiP/ScS,342,4,0
Piloswine (Shadow) PS+ISp/SE,722,4,52
Crocalor I+Cr/Ft,246,30,0
Machoke KC+CrC/Re,489,20,0
Braixen (Shadow) E+Psh/FmC,317,4,0
Fletchinder Pk+Fl/HW,262,7,0
Graveler (Alolan) (Shadow) VS+SE/RB,897,4,93
Trumbeak (Shadow) Pk+DrlP/RB,340,4,0
Combusken E+RS/FmC,274,17,0
Braixen E+Psh/FmC,280,17,0
Fletchinder (Shadow) Pk+Fl/HW,304,7,0
Trumbeak Pk+DrlP/RB,279,4,0
Quaxwell WA+AJ/AA,829,4,77
Dartrix Pk+BrB/EB,327,7,0
Haunter SC+ShP/IP,400,4,0
Eelektrik Ac+D/Cr,389,17,0
Golbat (Shadow) WA+PF/SB,165,4,0
Monferno E+FW/LS,266,4,0
Servine VW+GK/Wr,568,1,16
Charmeleon (Shadow) E+FiP/Ft,300,4,0
Golbat WA+PF/SB,143,4,0
Vanillish A+IW/SiB,405,17,0
Magmar KC+FiP/ScS,280,4,0
Haunter (Shadow) SC+IP/SB,480,4,0
Lampent (Shadow) E+HW/EB,321,4,0
Gothorita Cf+FS/P,347,30,0
Servine (Shadow) VW+GK/Wr,504,11,1
