Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/GB,158,27,0
Aggron DT+RT/T,325,15,0
Aggron (Shadow) DT+RT/T,358,15,0
Altaria DB+SA/Ft,744,3,62
Altaria (Shadow) DB+SA/Ft,744,3,62
Appletun A+SeB/O,842,3,87
Arctibax DB+Av/DC,763,3,67
Aromatisse Ch+Psh/M,381,15,0
Aron MSo+RT/BS,291,11,0
Aron (Shadow) MSo+RT/BS,326,11,0
Axew Scr+AT/DC,795,3,75
Azumarill B+IB/PR,164,27,0
Bastiodon SD+SE/Ft,165,39,0
Bastiodon (Shadow) SD+SE/Ft,179,39,0
Baxcalibur DB+Av/DC,500,3,0
Bisharp Sn+DP/XS,433,27,0
Bronzong MSo+Psh/Pbk,300,19,0
Carbink RTh+RS/M,222,27,0
Celesteela AS+BS/IH,442,27,0
Clefable FW+M/Sw,384,11,0
Clefairy ZH+DV/BS,657,2,40
Comfey VW+GK/DK,400,47,0
Corviknight SdA+AC/Pbk,396,47,0
Dachsbun Ch+PsF/PR,343,15,0
Dedenne TS+PbC/PR,436,11,0
Dialga (Shadow) DB+IH/DM,641,3,36
Diancie RTh+RS/M,410,27,0
Dipplin DT+SeB/O,779,3,71
Doublade SC+GB/SSw,334,11,0
Dragalge Ac+AT/SlB,748,3,63
Dragapult DT+SB/O,732,3,59
Dragonair DB+AT/DgP,645,3,37
Dragonair (Shadow) DB+Wr/AT,574,3,19
Dragonite DB+TP/SP,243,44,0
Dragonite (Shadow) DB+TP/SP,292,44,0
Drakloak DT+SB/O,748,3,63
Drampa DB+Sw/DgP,260,48,0
Druddigon DT+NS/RT,570,3,18
Dugtrio (Alolan) MSl+MB/IH,779,3,71
Dugtrio (Alolan) (Shadow) MSl+MB/IH,748,3,63
Duraludon DT+DC/FC,732,3,59
Durant BBi+XS/SE,385,11,0
Empoleon MSo+HC/DrlP,319,14,0
Empoleon (Shadow) MSo+HC/DrlP,147,48,0
Escavalier C+DR/RSh,384,19,0
Escavalier (Shadow) C+DR/RSh,559,19,15
Excadrill MS+DR/RS,117,44,0
Excadrill (Shadow) MS+DR/RS,157,44,0
Exeggutor (Alolan) DT+SeB/DM,748,3,63
Exeggutor (Alolan) (Shadow) DT+SeB/DM,700,3,51
Ferroseed MC+GB/Re,415,19,0
Ferroseed (Shadow) MC+GB/IH,474,19,0
Ferrothorn BS+PW/T,708,2,53
Ferrothorn (Shadow) BS+PW/T,641,2,36
Flabebe VW+DG/P,470,11,0
Flapple DB+SeB/DgP,692,3,49
Floette VW+DG/P,332,11,0
Florges FW+DV/CW,50,44,0
Flygon MS+ST/Tw,220,44,0
Flygon (Shadow) MS+ST/Tw,264,44,0
Forretress VS+ST/RT,339,47,0
Forretress (Shadow) VS+ST/RT,320,19,0
Fraxure DT+AT/NS,539,3,10
Frigibax DB+Av/DC,763,3,67
Gabite MS+Tw/Dg,208,44,0
Gabite (Shadow) MS+Tw/Dg,250,44,0
Garchomp MS+Tw/ST,261,44,0
Garchomp (Shadow) MS+Tw/ST,305,44,0
Gardevoir Ch+TAx/SB,622,3,31
Gardevoir (Shadow) Ch+TAx/SB,559,3,15
Genesect FC+XS/TBN,400,7,0
Gholdengo H+SB/PG,350,3,0
Giratina (Altered) (Shadow) SC+DC/SS,834,3,85
Giratina (Origin) DT+OW/SB,763,3,67
Goodra DB+AT/TP,653,3,39
Granbull Ch+CC/Cr,547,19,12
Granbull (Shadow) Ch+CC/Cr,559,3,15
Grimmsnarl SkP+FoP/PR,90,48,0
Guzzlord DT+BrS/DC,578,3,20
Hakamo-o DT+BkB/RT,779,3,71
Hatterene PC+Psh/PW,559,3,15
Haxorus DT+BkS/S,523,3,6
Heatran FS+MgS/SE,265,7,0
Heatran (Shadow) FS+MgS/SE,177,52,0
Honedge PC+GB/IH,300,3,0
Hydrapple DT+SeB/O,763,3,67
Hydreigon DB+BrS/DgP,258,48,0
Hydreigon (Shadow) DB+BrS/DgP,258,40,0
Jirachi Cf+DD/AuS,286,3,0
Kartana RL+LB/NS,811,3,79
Kingambit MSo+FoP/IH,330,11,0
Kingdra DB+Sw/O,582,3,21
Kingdra (Shadow) DB+Sw/O,254,48,0
Klang MSo+Tb/VG,320,27,0
Klefki A+FoP/PR,264,27,0
Klinklang MSo+MrS/ZC,360,19,0
Kommo-o DT+ClS/UH,763,3,67
Lairon MSo+RT/BS,292,11,0
Lairon (Shadow) MSo+RT/BS,326,11,0
Latias DB+AuS/T,211,44,0
Latias (Shadow) DB+AuS/T,266,44,0
Latios DB+AuS/LrP,269,44,0
Latios (Shadow) DB+AuS/LrP,333,44,0
Lucario FPm+AuS/MM,159,48,0
Magnemite VS+MgB/D,133,48,0
Magnemite (Shadow) VS+MgB/D,200,48,0
Magneton TS+D/MgB,115,44,0
Magneton (Shadow) TS+D/MgB,173,44,0
Magnezone VS+WC/MrS,450,39,0
Magnezone (Shadow) VS+WC/MrS,485,35,0
Mawile FW+IH/PR,260,3,0
Mawile (Shadow) FF+PUP/PR,336,35,0
Melmetal TS+DbI/SP,75,44,0
Meltan TS+Tb/FC,458,19,0
Metagross SC+MM/Eq,350,3,0
Metagross (Shadow) SC+MM/Eq,399,3,0
Metang FC+Psh/GB,259,7,0
Metang (Shadow) FC+Psh/GB,290,7,0
Morgrem SkP+FoP/PR,421,7,0
Mr. Mime Psy+SB/P,444,7,0
Naganadel PJ+DC/SlB,787,3,73
Ninetales (Alolan) PS+WBI/CW,252,31,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,356,27,0
Noivern AS+Hu/DM,842,3,87
Orthworm MSl+RT/Eq,282,15,0
Palkia (Shadow) DB+AT/DM,360,48,0
Pawniard FC+NS/XS,394,31,0
Perrserker SC+CC/TBl,323,3,0
Primarina W+DV/HC,366,15,0
Probopass Sp+RS/ZC,218,43,0
Probopass (Shadow) Sp+RS/ZC,268,11,0
Rapidash (Galarian) FW+BS/HH,637,7,35
Rayquaza DT+BkS/DrA,716,3,55
Regidrago DB+DrE/HB,763,3,67
Registeel LO+FB/ZC,240,15,0
Registeel (Shadow) LO+FB/ZC,267,15,0
Revavroom MSo+Ov/GB,365,11,0
Ribombee FW+DG/BBu,811,3,79
Salamence DT+Fl/BrS,307,48,0
Salamence (Shadow) DT+Fl/BrS,299,40,0
Sandshrew (Alolan) PS+NS/GB,283,6,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,318,6,0
Sandslash (Alolan) PS+IP/DR,328,34,0
Sandslash (Alolan) (Shadow) PS+IP/DR,320,14,0
Scizor BP+NS/TBl,380,7,0
Scizor (Shadow) BP+NS/TBl,157,44,0
Shelgon DB+Tw/Ft,223,44,0
Shelgon (Shadow) DB+Tw/Ft,268,44,0
Shiinotic A+SeB/M,842,3,87
Shiinotic (Shadow) A+M/SeB,811,3,79
Skarmory AS+BrB/SA,413,39,0
Skarmory (Shadow) AS+BrB/SA,433,27,0
Sliggoo WG+DgP/WP,897,3,101
Slurpuff FW+PR/EB,388,11,0
Snubbull Tk+Cr/DG,822,11,82
Snubbull (Shadow) Tk+Cr/DG,795,3,75
Spritzee Ch+Tb/DK,389,39,0
Stakataka RTh+SE/Bd,387,27,0
Steelix TF+PsF/Cr,681,2,46
Steelix (Shadow) TF+PsF/Cr,610,2,28
Stunfisk (Galarian) MS+RS/Eq,343,39,0
Swirlix Tk+EB/DK,424,31,0
Sylveon Ch+Psh/M,353,15,0
Tapu Fini WG+S/NM,261,23,0
Tatsugiri (Curly) WG+S/O,846,3,88
Tatsugiri (Droopy) WG+S/O,846,3,88
Tatsugiri (Stretchy) WG+S/O,846,3,88
Tinkaton FW+GH/Bd,202,11,0
Tinkatuff FW+PR/FC,197,11,0
Togedemaru TS+FeS/WC,391,31,0
Togekiss Pk+Psh/AuS,47,44,0
Togetic FW+Psh/HW,491,31,0
Turtonator I+DC/Ov,850,7,89
Tyrantrum DT+RT/Cr,748,3,63
Tyrantrum (Shadow) DT+Cr/RT,700,3,51
Tyrunt DT+RT/St,763,3,67
Tyrunt (Shadow) DT+RT/St,716,3,55
Varoom MSo+GB/GS,362,11,0
Vibrava MS+ST/ScS,744,3,62
Vibrava (Shadow) MS+ST/ScS,708,3,53
Weezing (Galarian) FW+Sl/Ov,357,11,0
Weezing (Galarian) (Shadow) FW+Sl/Ov,103,48,0
Whimsicott FW+SeB/M,700,3,51
Wigglytuff Ch+IW/Sw,352,15,0
Wormadam (Trash) SkP+BBu/IH,266,19,0
Zweilous DB+BS/DP,582,3,21
Zweilous (Shadow) DB+BS/DP,257,48,0
Zygarde (10% Forme) DT+Cr/Eq,306,48,0
Zygarde (50% Forme) DT+Cr/Eq,779,3,71
