Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/GB,338,23,0
Aggron DT+RT/T,742,4,62
Aggron (Shadow) DT+RT/T,683,4,47
Altaria DB+SA/Ft,115,2,0
Altaria (Shadow) DB+SA/Ft,130,2,0
Appletun A+SeB/O,273,17,0
Arctibax DB+Av/DC,298,54,0
Aromatisse Ch+Psh/M,621,4,31
Aron MSo+RT/BS,648,4,38
Aron (Shadow) MSo+RT/BS,617,4,30
Axew Scr+AT/DC,707,4,53
Azumarill B+IB/PR,738,4,61
Bastiodon SD+SE/Ft,352,4,0
Bastiodon (Shadow) SD+SE/Ft,223,28,0
Baxcalibur DB+Av/DC,358,54,0
Bisharp Sn+DP/XS,347,41,0
Bronzong MSo+Psh/Pbk,341,57,0
Carbink RTh+RS/M,718,4,56
Celesteela AS+BS/IH,625,7,32
Clefable FW+M/Sw,628,4,33
Clefairy ZH+DV/BS,796,4,76
Comfey VW+GK/DK,800,4,77
Corviknight SdA+AC/Pbk,396,44,0
Dachsbun Ch+PsF/PR,730,4,59
Dedenne TS+PbC/PR,640,4,36
Dialga (Shadow) DB+IH/DM,349,5,0
Diancie RTh+RS/M,906,2,104
Dipplin DT+SeB/O,280,17,0
Doublade SC+GB/SSw,278,28,0
Dragalge Ac+AT/SlB,371,33,0
Dragapult DT+SB/O,395,54,0
Dragonair DB+AT/DgP,539,17,10
Dragonair (Shadow) DB+Wr/AT,523,4,6
Dragonite DB+TP/SP,389,5,0
Dragonite (Shadow) DB+TP/SP,39,39,0
Drakloak DT+SB/O,531,4,8
Drampa DB+Sw/DgP,511,4,3
Druddigon DT+NS/RT,597,4,25
Dugtrio (Alolan) MSl+MB/IH,843,2,88
Dugtrio (Alolan) (Shadow) MSl+MB/IH,812,2,80
Duraludon DT+DC/FC,309,57,0
Durant BBi+XS/SE,405,18,0
Empoleon MSo+HC/DrlP,742,5,62
Empoleon (Shadow) MSo+HC/DrlP,707,15,53
Escavalier C+DR/RSh,388,18,0
Escavalier (Shadow) C+DR/RSh,444,5,0
Excadrill MS+DR/RS,667,2,43
Excadrill (Shadow) MS+DR/RS,593,2,24
Exeggutor (Alolan) DT+SeB/DM,381,4,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,229,15,0
Ferroseed MC+GB/Re,605,12,27
Ferroseed (Shadow) MC+GB/IH,609,9,28
Ferrothorn BS+PW/T,500,2,0
Ferrothorn (Shadow) BS+PW/T,500,2,0
Flabebe VW+DG/P,765,54,68
Flapple DB+SeB/DgP,384,17,0
Floette VW+DG/P,750,4,64
Florges FW+DV/CW,726,4,58
Flygon MS+ST/Tw,566,4,17
Flygon (Shadow) MS+ST/Tw,753,15,65
Forretress VS+ST/RT,640,10,36
Forretress (Shadow) VS+ST/RT,578,10,20
Fraxure DT+AT/NS,574,4,19
Frigibax DB+Av/DC,332,54,0
Gabite MS+Tw/Dg,488,54,0
Gabite (Shadow) MS+Tw/Dg,656,15,40
Garchomp MS+Tw/ST,550,54,13
Garchomp (Shadow) MS+Tw/ST,789,2,74
Gardevoir Ch+TAx/SB,835,15,86
Gardevoir (Shadow) Ch+TAx/SB,859,2,92
Genesect FC+XS/TBN,445,31,0
Gholdengo H+SB/PG,337,54,0
Giratina (Altered) (Shadow) SC+DC/SS,446,4,0
Giratina (Origin) DT+OW/SB,285,54,0
Goodra DB+AT/TP,495,30,0
Granbull Ch+CC/Cr,478,15,0
Granbull (Shadow) Ch+CC/Cr,859,2,92
Grimmsnarl SkP+FoP/PR,539,28,10
Guzzlord DT+BrS/DC,409,17,0
Hakamo-o DT+BkB/RT,254,41,0
Hatterene PC+Psh/PW,789,2,74
Haxorus DT+BkS/S,523,4,6
Heatran FS+MgS/SE,35,52,0
Heatran (Shadow) FS+MgS/SE,54,52,0
Honedge PC+GB/IH,601,7,26
Hydrapple DT+SeB/O,301,17,0
Hydreigon DB+BrS/DgP,310,28,0
Hydreigon (Shadow) DB+BrS/DgP,383,28,0
Jirachi Cf+DD/AuS,364,44,0
Kartana RL+LB/NS,640,4,36
Kingambit MSo+FoP/IH,387,31,0
Kingdra DB+Sw/O,523,4,6
Kingdra (Shadow) DB+Sw/O,593,41,24
Klang MSo+Tb/VG,617,7,30
Klefki A+FoP/PR,363,44,0
Klinklang MSo+MrS/ZC,625,4,32
Kommo-o DT+ClS/UH,292,41,0
Lairon MSo+RT/BS,652,4,39
Lairon (Shadow) MSo+RT/BS,621,4,31
Latias DB+AuS/T,298,41,0
Latias (Shadow) DB+AuS/T,305,2,0
Latios DB+AuS/LrP,333,28,0
Latios (Shadow) DB+AuS/LrP,60,39,0
Lucario FPm+AuS/MM,70,52,0
Magnemite VS+MgB/D,656,4,40
Magnemite (Shadow) VS+MgB/D,617,54,30
Magneton TS+D/MgB,585,4,22
Magneton (Shadow) TS+D/MgB,484,54,0
Magnezone VS+WC/MrS,348,54,0
Magnezone (Shadow) VS+WC/MrS,411,41,0
Mawile FW+IH/PR,593,7,24
