Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aegislash (Shield) PC+SB/GB,402,21,0
Aggron DT+RT/T,542,5,10
Aggron (Shadow) DT+RT/T,718,2,52
Altaria DB+SA/Ft,485,2,0
Altaria (Shadow) DB+SA/Ft,672,2,41
Appletun A+SeB/O,360,52,0
Arctibax DB+Av/DC,722,100,53
Aromatisse Ch+Psh/M,739,100,57
Aron MSo+RT/BS,592,2,22
Aron (Shadow) MSo+RT/BS,350,44,0
Axew Scr+AT/DC,479,52,0
Azumarill B+IB/PR,400,26,0
Bastiodon SD+SE/Ft,634,0,32
Bastiodon (Shadow) SD+SE/Ft,567,0,16
Baxcalibur DB+Av/DC,764,62,63
Bisharp Sn+DP/XS,276,12,0
Bronzong MSo+Psh/Pbk,233,44,0
Carbink RTh+RS/M,672,2,41
Celesteela AS+BS/IH,550,5,12
Clefable FW+M/Sw,747,100,59
Clefairy ZH+DV/BS,718,100,52
Comfey VW+GK/DK,857,100,85
Corviknight SdA+AC/Pbk,146,7,0
Dachsbun Ch+PsF/PR,701,100,48
Dedenne TS+PbC/PR,285,36,0
Dialga (Shadow) DB+IH/DM,367,52,0
Diancie RTh+RS/M,764,38,63
Dipplin DT+SeB/O,348,44,0
Doublade SC+GB/SSw,207,12,0
Dragalge Ac+AT/SlB,663,2,39
Dragapult DT+SB/O,638,100,33
Dragonair DB+AT/DgP,322,28,0
Dragonair (Shadow) DB+Wr/AT,338,12,0
Dragonite DB+TP/SP,340,20,0
Dragonite (Shadow) DB+TP/SP,433,8,0
Drakloak DT+SB/O,663,2,39
Drampa DB+Sw/DgP,426,28,0
Druddigon DT+NS/RT,414,52,0
Dugtrio (Alolan) MSl+MB/IH,100,48,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,133,48,0
Duraludon DT+DC/FC,663,2,39
Durant BBi+XS/SE,663,2,39
Empoleon MSo+HC/DrlP,131,20,0
Empoleon (Shadow) MSo+HC/DrlP,192,20,0
Escavalier C+DR/RSh,245,36,0
Escavalier (Shadow) C+DR/RSh,250,4,0
Excadrill MS+DR/RS,235,54,0
Excadrill (Shadow) MS+DR/RS,217,30,0
Exeggutor (Alolan) DT+SeB/DM,596,2,23
Exeggutor (Alolan) (Shadow) DT+SeB/DM,554,100,13
Ferroseed MC+GB/Re,823,5,77
Ferroseed (Shadow) MC+GB/IH,739,5,57
Ferrothorn BS+PW/T,882,5,91
Ferrothorn (Shadow) BS+PW/T,882,5,91
Flabebe VW+DG/P,878,100,90
Flapple DB+SeB/DgP,457,53,0
Floette VW+DG/P,840,8,81
Florges FW+DV/CW,647,2,35
Flygon MS+ST/Tw,268,4,0
