Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,893,47,107
Abomasnow (Shadow) PS+WBI/EB,875,32,102
Absol PC+BrS/Mh,904,57,110
Absol (Shadow) PC+BrS/Mh,919,48,114
Accelgor WSh+BBu/AS,897,16,108
Accelgor (Shadow) WSh+BBu/SiB,911,38,112
Aerodactyl DB+RS/EP,491,9,0
Aerodactyl (Shadow) DB+RS/EP,495,37,0
Aipom A+Sw/AA,632,0,36
Aipom (Shadow) A+Sw/AA,731,22,63
Altaria DB+SA/Ft,297,20,0
Altaria (Shadow) DB+SA/Ft,304,33,0
Ambipom A+AA/Re,768,53,73
Ambipom (Shadow) A+AA/LS,727,13,62
Amoonguss A+FoP/GK,639,11,38
Amoonguss (Shadow) A+GK/FoP,610,3,30
Ampharos VS+BrS/TBl,426,28,0
Ampharos (Shadow) VS+BrS/TBl,472,10,0
Anorith StB+AJ/AP,808,47,84
Anorith (Shadow) StB+AJ/CP,750,47,68
Appletun A+SeB/O,786,56,78
Araquanid BBi+WP/BuB,496,1,0
Arbok Ac+DP/SW,625,2,34
Arbok (Shadow) Ac+DP/SW,511,2,3
Arboliva ML+EP/TBl,834,29,91
Archen WA+AP/Cr,461,25,0
Archen (Shadow) WA+AP/Cr,461,25,0
Archeops WA+AP/Cr,654,25,42
Archeops (Shadow) WA+AP/Cr,591,25,25
Ariados PSt+Lu/TBl,529,2,8
Armaldo FC+RB/Li,599,34,27
Armaldo (Shadow) FC+RB/Li,724,47,61
Articuno PS+IW/Hu,783,5,77
Articuno (Galarian) PC+Fl/BrB,636,31,37
Articuno (Shadow) PS+TAx/Hu,333,40,0
Audino ZH+BS/DV,834,14,91
Bayleef ML+AP/EB,808,25,84
Bayleef (Shadow) ML+AP/EB,805,47,83
Beautifly Inf+AC/SvW,522,0,6
Beedrill PSt+XS/DR,602,2,28
Beedrill (Shadow) PSt+XS/DR,555,0,15
Bellibolt TS+ZC/PbC,347,40,0
Bellossom Ac+LB/DG,720,16,60
Bellossom (Shadow) Ac+LB/DG,827,38,89
Bewear SC+SP/St,632,9,36
Bibarel RO+S/HF,757,31,70
Bibarel (Shadow) RO+S/HF,727,31,62
Bisharp Sn+DP/XS,724,25,61
Blissey ZH+WC/DG,790,22,79
Boltund Sp+Cr/T,738,56,65
Bombirdier SkP+Fl/RT,680,37,49
Bouffalant MS+St/Mh,797,0,81
Braviary AS+Fl/CC,621,0,33
Braviary (Hisuian) AS+BrB/Fl,643,34,39
Breloom FPm+DyP/GK,827,38,89
Bulbasaur VW+PW/SeB,683,40,50
Bulbasaur (Shadow) VW+PW/SlB,805,50,83
Buneary QA+Sw/FiP,727,22,62
Butterfree Cf+BBu/SiB,702,2,55
Butterfree (Shadow) Cf+BBu/SiB,669,0,46
Buzzwole C+SP/Lu,694,2,53
Cacturne SkP+TBl/DyP,867,39,100
Cacturne (Shadow) SkP+TBl/DyP,871,33,101
Camerupt I+RT/ScS,536,2,10
Camerupt (Shadow) I+RT/ScS,392,40,0
Carnivine VW+PW/Cr,860,38,98
Castform H+WBR/EB,632,9,36
Celebi Cf+AuS/LfS,863,57,99
Celesteela AS+BS/IH,173,29,0
Centiskorch E+Lu/HW,610,2,30
Chansey ZH+DG/P,691,17,52
Charizard E+BB/AC,350,40,0
Charizard (Shadow) E+BB/AC,316,28,0
Charjabug VS+XS/D,484,40,0
Charjabug (Shadow) VS+XS/D,388,16,0
Chatot Pk+SA/HW,384,31,0
Cherrim (Overcast) BS+DG/SoB,908,38,111
Cherrim (Sunshine) BS+WBF/SoB,904,38,110
Chesnaught LK+FP/SP,713,0,58
Chesnaught (Shadow) LK+FP/SP,654,0,42
Chespin VW+BS/SeB,863,41,99
Chespin (Shadow) VW+BS/SeB,871,29,101
Chinchou B+WP/Tb,875,0,102
Cinccino Ch+AT/Tb,750,56,68
Claydol MSl+RT/SB,827,0,89
Claydol (Shadow) MSl+RT/SB,830,25,90
Clodsire PSt+Eq/SE,447,3,0
Corviknight SdA+AC/Pbk,160,38,0
Corvisquire Pk+SA/Pbk,261,37,0
Cradily Ac+RT/GK,672,0,47
Cradily (Shadow) Ac+RT/GK,812,22,85
Crawdaunt W+NS/Sc,871,26,101
Crawdaunt (Shadow) W+NS/Sc,863,14,99
Crobat AS+PF/SB,399,6,0
Crobat (Shadow) AS+PF/SB,310,37,0
Crustle FC+XS/RW,478,28,0
Crustle (Shadow) FC+XS/RW,452,22,0
Cubone MSl+BC/Re,856,0,97
Cubone (Shadow) MSl+BC/Dg,786,0,78
Dartrix Pk+BrB/SeB,347,25,0
Decidueye Lf+FP/SSh,606,37,29
Decidueye (Hisuian) PC+TBl/AuS,525,0,7
Dedenne TS+D/PR,293,34,0
Deerling Tk+WC/TBl,819,32,87
Delcatty Ch+WC/DV,709,2,57
Dhelmise SC+PW/BrS,610,25,30
Diggersby QA+FiP/ScS,694,2,53
Diggersby (Shadow) QA+ScS/FiP,650,2,41
Dipplin DT+SeB/O,808,19,84
Dodrio Pk+DrlP/BrB,290,3,0
Dolliv ML+EP/TBl,639,16,38
Donphan MSl+BS/TBl,680,0,49
Donphan (Shadow) MSl+BS/TBl,805,13,83
Dottler Cf+BBu/P,812,16,85
Dragalge Ac+AT/O,573,2,20
Dragonite DB+TP/SP,424,3,0
Dragonite (Shadow) DB+TP/SP,522,31,6
Drampa DB+Sw/DgP,584,34,23
Drapion PSt+Cr/AT,727,37,62
Drapion (Shadow) PSt+Cr/AT,687,37,51
Drifblim H+IW/SB,301,7,0
Drifblim (Shadow) A+IW/SB,210,29,0
Drifloon H+SB/IW,333,7,0
Drifloon (Shadow) H+SB/IW,621,8,33
Drilbur MSl+DR/RT,786,0,78
Drilbur (Shadow) MSl+DR/RT,786,56,78
Dubwool DK+BS/Pbk,724,0,61
Dudunsparce RO+BS/DR,621,0,33
Dugtrio SkP+MB/SE,724,19,61
Dugtrio (Alolan) MSl+MB/IH,779,0,76
Dugtrio (Alolan) (Shadow) MSl+MB/IH,805,50,83
Dugtrio (Shadow) SkP+MB/SE,786,35,78
Dunsparce RO+DR/RS,544,2,12
Durant BBi+XS/SE,625,3,34
Dustox Cf+SlB/SvW,650,10,41
Dwebble SD+XS/RT,602,0,28
Dwebble (Shadow) SD+XS/RT,558,25,16
Eelektrik Ac+D/Cr,669,0,46
Eelektross VS+DC/Tb,654,56,42
Eevee QA+BS/Sw,683,0,50
Eldegoss BS+GK/EB,904,50,110
Electabuzz TS+TP/Re,569,34,19
Electabuzz (Shadow) TS+TP/Tb,753,47,69
Electivire TS+IP/WC,768,41,73
Electivire (Shadow) TS+IP/WC,768,41,73
Electrode VS+D/FoP,466,28,0
Electrode (Hisuian) TS+WC/Sw,555,47,15
Electrode (Shadow) VS+D/FoP,415,16,0
Elekid TS+TP/BkB,805,50,83
Emolga TS+Acr/D,256,3,0
Escavalier BBi+DR/RSh,544,2,12
Escavalier (Shadow) BBi+DR/RSh,379,40,0
Excadrill MS+DR/RS,727,0,62
Excadrill (Shadow) MS+DR/RS,672,0,47
Exeggcute Cf+SeB/AP,849,23,95
Exeggcute (Shadow) Cf+SeB/AP,863,54,99
Exeggutor Cf+SeB/P,886,45,105
Exeggutor (Alolan) DT+SeB/DM,845,26,94
Exeggutor (Alolan) (Shadow) DT+SeB/DM,841,17,93
Exeggutor (Shadow) Cf+SeB/P,867,36,100
Exploud A+Cr/DV,742,37,66
Exploud (Shadow) A+Cr/DV,694,37,53
Farfetch'd FC+LB/AA,389,3,0
Fearow Pk+DrlP/DR,258,3,0
Ferroseed MC+GB/Re,889,37,106
Ferroseed (Shadow) MC+GB/IH,863,37,99
Ferrothorn BS+PW/T,658,13,43
Ferrothorn (Shadow) BS+PW/T,669,0,46
Flaaffy CB+D/TBl,683,34,50
Flaaffy (Shadow) CB+D/TBl,507,34,2
Flamigo WA+UH/BrB,292,25,0
Flapple DB+SeB/DgP,827,32,89
Fletchinder Pk+Fl/HW,251,25,0
Fletchinder (Shadow) Pk+Fl/HW,251,25,0
Floragato Lf+GK/PR,819,38,87
Flygon DT+ST/Tw,643,0,39
Flygon (Shadow) DT+ST/Tw,764,13,72
Forretress BBi+ST/RT,421,18,0
Forretress (Shadow) BBi+ST/RT,390,3,0
Frosmoth PS+IW/BBu,849,13,95
Furfrou SkP+S/GK,687,0,51
Furret SkP+Sw/TBl,551,2,14
Gabite MS+Tw/Dg,669,0,46
Gabite (Shadow) MS+Tw/Dg,735,19,64
Galvantula VS+D/Lu,566,28,18
Galvantula (Shadow) VS+D/Lu,577,56,21
Garbodor Inf+BS/SeB,716,2,59
Garbodor (Shadow) Inf+BS/SeB,654,2,42
Garchomp DT+Tw/ST,639,0,38
Garchomp (Shadow) DT+Tw/ST,720,13,60
Gastrodon MSl+BS/WP,698,2,54
Genesect FC+XS/TBN,595,0,26
Gengar SC+ShP/SB,511,0,3
Gengar (Shadow) SC+ShP/SB,326,3,0
Geodude RTh+RT/RS,451,40,0
Geodude (Alolan) VS+RT/RS,446,31,0
Geodude (Alolan) (Shadow) VS+RT/RS,547,31,13
Geodude (Shadow) RTh+RT/RS,446,19,0
Girafarig Cf+PsF/TBl,757,38,70
Girafarig (Shadow) Cf+PsF/TBl,750,26,68
Gligar WA+Dg/NS,591,2,25
Gligar (Shadow) WA+NS/Dg,525,2,7
Glimmet RTh+PG/DG,429,16,0
Glimmora RTh+MeB/PG,330,31,0
Gliscor WA+ST/Acr,310,25,0
Gliscor (Shadow) WA+ST/Acr,310,25,0
Gloom Ac+SlB/M,628,0,35
Gloom (Shadow) Ac+SlB/M,761,19,71
Gogoat VW+LB/RS,849,44,95
Golbat WA+PF/SB,258,25,0
Golbat (Shadow) WA+PF/SB,230,3,0
Golem MSl+SE/RB,808,37,84
Golem (Alolan) VS+WC/RB,418,16,0
Golem (Alolan) (Shadow) VS+WC/RB,418,16,0
Golem (Shadow) MSl+SE/RB,779,37,76
Golett A+ShP/BkB,621,0,33
Golett (Shadow) A+ShP/BkB,558,0,16
Golisopod FC+XS/AJ,643,28,39
Golurk MSl+ShP/DyP,617,2,32
Golurk (Shadow) MSl+ShP/DyP,680,0,49
Gourgeist (Average) I+SB/SeB,658,34,43
Gourgeist (Large) I+SB/SeB,658,40,43
Gourgeist (Small) I+SB/SeB,643,2,39
Gourgeist (Super) I+SB/SeB,636,0,37
Grafaiai MSl+PF/SlB,661,2,44
Graveler MSl+RS/Dg,838,34,92
Graveler (Alolan) VS+SE/RB,487,31,0
Graveler (Alolan) (Shadow) VS+SE/RB,426,16,0
Graveler (Shadow) MSl+RS/Dg,794,34,80
Greedent MS+BS/TBl,632,2,36
Greninja WSh+HC/NS,919,29,114
Greninja (Shadow) WSh+HC/NS,926,17,116
Grimer PJ+Sl/MB,599,2,27
Grimer (Alolan) PJ+Cr/SlB,606,0,29
Grimer (Alolan) (Shadow) PJ+Cr/SlB,709,22,57
Grimer (Shadow) PJ+Sl/MB,522,2,6
Grimmsnarl SkP+FoP/PR,724,19,61
Grotle RL+BS/EB,761,44,71
Grotle (Shadow) RL+BS/EB,746,32,67
Groudon (Shadow) MS+PrB/FiP,904,38,110
Grovyle QA+LB/AA,871,32,101
Grovyle (Shadow) BS+LB/AA,904,20,110
Gumshoos Bi+RT/Cr,628,40,35
Guzzlord DT+BrS/SlB,738,19,65
Gyarados DB+AT/Tw,540,2,11
Gyarados (Shadow) DB+AT/Tw,591,40,25
Haunter SC+ShP/IP,386,34,0
Haunter (Shadow) SC+IP/SB,356,25,0
Hawlucha LK+FlP/AA,694,2,53
Heliolisk VS+BkS/PbC,566,31,18
Heracross FC+UH/RT,460,12,0
Herdier SdA+Dg/Tb,841,3,93
Hippopotas SdA+RT/BS,702,2,55
Hippopotas (Shadow) SdA+RT/BS,694,40,53
Hippowdon SdA+WBR/ScS,621,0,33
Hippowdon (Shadow) SdA+WBR/ScS,720,25,60
Ho-Oh I+BrB/Eq,658,2,43
Ho-Oh (Shadow) I+BrB/Eq,632,3,36
Honchkrow Pk+BrB/DP,654,47,42
Honchkrow (Shadow) Pk+BrB/DP,654,32,42
Houndoom Sn+FoP/Ft,871,50,101
Houndoom (Shadow) Sn+FoP/Ft,860,50,98
Houndour E+Cr/Ft,838,50,92
Houndour (Shadow) E+Cr/Ft,838,32,92
Hydrapple DT+SeB/O,841,41,93
Hydreigon DB+BrS/Fl,830,29,90
Hydreigon (Shadow) DB+BrS/Fl,794,20,80
Illumise Tk+SvW/DG,775,0,75
Incineroar FF+BrS/BB,525,0,7
Indeedee (Female) Ex+P/EB,827,50,89
Indeedee (Male) Ex+SB/P,871,26,101
Ivysaur VW+PW/SlB,672,0,47
Ivysaur (Shadow) VW+PW/SlB,783,16,77
Jolteon TS+D/LR,599,22,27
Jumpluff FW+AA/EB,525,7,7
Jumpluff (Shadow) FW+AA/Acr,602,2,28
Kangaskhan LK+BkB/Cr,783,2,77
Karrablast FC+XS/DR,672,16,47
Karrablast (Shadow) FC+XS/DR,746,38,67
Kartana FC+LB/SSw,852,20,96
Kecleon SkP+AA/IB,750,37,68
Kilowattrel TS+Acr/AA,453,25,0
Kingambit MSo+FoP/IH,753,0,69
Kleavor FC+XS/RS,750,22,68
Koffing Inf+Sl/DP,676,2,48
Koffing (Shadow) Inf+Sl/DP,602,2,28
Komala RO+Pbk/Bd,757,28,70
Kricketune FC+XS/AA,606,34,29
Krokorok MSl+Cr/Eq,856,32,97
Krookodile MSl+ST/Cr,856,38,97
Landorus (Incarnate) MS+RS/EP,731,0,63
Lanturn WG+S/Tb,801,16,82
Larvesta E+FW/BBu,569,2,19
Leafeon QA+LB/LR,871,38,101
Leavanny SC+LB/XS,871,32,101
Ledian BBi+DyP/AA,536,11,10
Ledian (Shadow) BBi+DyP/AA,595,2,26
Lickilicky RO+BS/SB,569,2,19
Lickitung L+BS/PW,702,8,55
Liepard Sn+DP/PR,897,26,108
Liepard (Shadow) Sn+DP/PR,908,17,111
Lileep Ac+AP/GK,720,34,60
Lileep (Shadow) Ac+AP/GK,838,50,92
Lilligant Ch+PlB/HB,801,29,82
Lilligant (Hisuian) BS+UH/PlB,856,37,97
Linoone SC+Sw/GK,628,2,35
Linoone (Galarian) Sn+BS/Dg,808,53,84
Linoone (Galarian) (Shadow) Sn+BS/Dg,882,38,104
Litleo I+FmC/Cr,514,2,4
Lokix SkP+XS/TBl,786,35,78
Lombre B+Sc/GK,908,47,111
Lopunny LK+TAx/FB,731,0,63
Loudred Bi+St/DV,691,0,52
Loudred (Shadow) Bi+St/DV,661,28,44
Ludicolo A+WBW/LfS,772,19,74
Lugia DT+Fl/A,507,2,2
Lugia (Shadow) DT+Fl/A,610,0,30
Lurantis Lf+LB/SP,838,32,92
Luxio Sp+WC/Cr,709,25,57
Luxio (Shadow) Sp+WC/Cr,720,44,60
Luxray Sp+WC/PsF,713,50,58
Luxray (Shadow) Sn+WC/PsF,478,4,0
Magnemite VS+MgB/D,366,16,0
Magnemite (Shadow) VS+MgB/D,551,50,14
Magneton VS+MgB/D,347,16,0
Magneton (Shadow) TS+D/MgB,400,31,0
Magnezone VS+WC/MrS,323,16,0
Magnezone (Shadow) VS+WC/MrS,323,16,0
Malamar Psy+SP/FoP,849,20,95
Malamar (Shadow) Psy+FoP/SP,886,48,105
Mamoswine PS+ISp/SE,834,22,91
Mamoswine (Shadow) PS+ISp/SE,849,44,95
Mandibuzz Sn+FoP/SB,735,2,64
Manectric TF+PsF/WC,500,10,0
Manectric (Shadow) Sn+WC/PsF,471,4,0
Mantine WA+AA/IB,491,11,0
Mantyke B+WP/AA,757,11,70
Maractus BS+AA/PlB,897,26,108
Marowak MSl+BC/RS,783,0,77
Marowak (Shadow) MSl+BC/RS,643,0,39
Marshtomp MS+S/Sl,716,0,59
Marshtomp (Shadow) MS+S/Sl,783,25,77
Masquerain AS+AC/Lu,418,3,0
Maushold MS+Sw/Cr,764,0,72
Meganium VW+FP/Eq,841,19,93
Meganium (Shadow) VW+FP/Eq,860,38,98
Meowscarada Lf+NS/FP,893,45,107
Mightyena SkP+Cr/PF,750,41,68
Mightyena (Shadow) SkP+Cr/PF,746,26,67
Miltank RO+BS/Tb,518,15,5
Minun QA+Tb/GK,625,0,34
Moltres WA+Fl/HW,330,31,0
Moltres (Galarian) SkP+Fl/BrB,514,0,4
Moltres (Shadow) WA+Fl/HW,321,25,0
Morgrem SkP+FoP/PR,705,31,56
Morpeko (Full Belly) TS+AuW/PsF,812,20,85
Mothim BBi+AA/BBu,573,0,20
Mudbray MSl+BS/Eq,812,19,85
Mudsdale MSl+BS/Eq,750,0,68
Muk PJ+TP/DP,602,8,28
Muk (Alolan) PJ+DP/AS,412,40,0
Muk (Alolan) (Shadow) PJ+DP/AS,617,31,32
Muk (Shadow) PJ+TP/DP,547,6,13
Munchlax Tk+BS/Bd,658,2,43
Murkrow Pk+DrlP/FoP,466,3,0
Murkrow (Shadow) Pk+DrlP/FoP,639,41,38
Naganadel PJ+DC/SlB,503,2,1
Nidoking FC+ST/Mh,613,2,31
Nidoking (Shadow) FC+ST/Mh,421,25,0
Nidoqueen MSl+SE/PF,805,2,83
Nidoqueen (Shadow) MSl+SE/PF,420,6,0
Nidorina PSt+PF/Tb,632,13,36
Nidorina (Shadow) PSt+PF/Dg,547,2,13
Nidorino PSt+SlB/Dg,687,2,51
Nidorino (Shadow) PSt+SlB/Dg,658,0,43
Ninjask FC+SB/AA,551,40,14
