Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,671,21,36
Abomasnow (Shadow) PS+WBI/EB,642,7,30
Absol PC+BrS/Mh,571,4,15
Absol (Shadow) PC+BrS/Mh,509,0,2
Accelgor WSh+BBu/AS,847,7,73
Accelgor (Shadow) WSh+BBu/SiB,885,0,81
Aerodactyl DB+RS/EP,895,0,83
Aerodactyl (Shadow) DB+RS/EP,842,0,72
Aipom A+Sw/AA,477,4,0
Aipom (Shadow) A+Sw/AA,547,4,10
Altaria DB+SA/Ft,282,14,0
Altaria (Shadow) DB+SA/Ft,358,14,0
Ambipom A+AA/Re,714,4,45
Ambipom (Shadow) A+AA/LS,733,7,49
Amoonguss A+FoP/GK,372,28,0
Amoonguss (Shadow) A+GK/FoP,389,14,0
Ampharos VS+BrS/TBl,379,21,0
Ampharos (Shadow) VS+BrS/TBl,395,7,0
Anorith StB+AJ/AP,900,0,84
Anorith (Shadow) StB+AJ/CP,871,0,78
Appletun A+SeB/O,416,28,0
Araquanid BBi+WP/BuB,272,11,0
Araquanid (Shadow) BBi+BuB/WP,301,11,0
Arbok Ac+DP/SW,528,35,6
Arbok (Shadow) Ac+DP/SW,504,14,1
Arboliva ML+EP/TBl,857,28,75
Archen WA+AP/Cr,833,0,70
Archen (Shadow) WA+AP/Cr,809,0,65
Archeops WA+AP/Cr,833,0,70
Archeops (Shadow) WA+AP/Cr,785,35,60
Ariados PSt+Lu/TBl,719,0,46
Armaldo FC+RB/Li,857,0,75
Armaldo (Shadow) FC+RB/Li,857,0,75
Articuno PS+IW/Hu,657,28,33
Articuno (Galarian) PC+Fl/BrB,928,0,90
Articuno (Shadow) PS+TAx/Hu,647,7,31
Audino ZH+BS/DV,719,4,46
Bayleef ML+AP/EB,652,0,32
Bayleef (Shadow) ML+AP/EB,580,0,17
Beautifly Inf+AC/SvW,642,7,30
Beedrill PSt+XS/DR,704,28,43
Beedrill (Shadow) PSt+XS/DR,685,14,39
Bellibolt TS+ZC/PbC,314,21,0
Bellossom Ac+LB/DG,685,0,39
Bellossom (Shadow) Ac+LB/DG,609,28,23
Bewear SC+SP/St,179,35,0
Bewear (Shadow) SC+SP/St,212,35,0
Bibarel RO+S/HF,514,4,3
Bibarel (Shadow) RO+S/HF,362,7,0
Bisharp Sn+DP/XS,290,0,0
Blissey ZH+WC/DG,842,22,72
Boltund Sp+Cr/T,460,4,0
Bombirdier SkP+Fl/RT,401,4,0
Bouffalant MS+St/Mh,600,18,21
Braviary AS+Fl/CC,474,14,0
Braviary (Hisuian) AS+BrB/Fl,857,0,75
Breloom FPm+DyP/GK,595,4,20
Bulbasaur VW+PW/SeB,766,21,56
Bulbasaur (Shadow) VW+PW/SlB,900,7,84
Buneary QA+Sw/FiP,166,35,0
Butterfree Cf+BBu/SiB,590,28,19
Butterfree (Shadow) Cf+BBu/SiB,790,14,61
Buzzwole C+SP/Lu,422,4,0
Cacturne SkP+TBl/DyP,438,7,0
