Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,796,0,73
Abomasnow (Shadow) PS+WBI/EB,776,0,68
Absol PC+BrS/Mh,634,0,33
Absol (Shadow) PC+BrS/Mh,878,0,93
Accelgor WSh+BBu/AS,926,0,105
Accelgor (Shadow) WSh+BBu/SiB,914,0,102
Aerodactyl DB+RS/EP,291,8,0
Aerodactyl (Shadow) DB+RS/EP,354,8,0
Aipom A+Sw/AA,707,1,51
Aipom (Shadow) A+Sw/AA,646,16,36
Altaria DB+SA/Ft,362,40,0
Altaria (Shadow) DB+SA/Ft,347,8,0
Ambipom A+AA/Re,898,16,98
Ambipom (Shadow) A+AA/LS,926,0,105
Amoonguss A+FoP/GK,739,16,59
Amoonguss (Shadow) A+GK/FoP,939,0,108
Ampharos VS+BrS/TBl,294,24,0
Ampharos (Shadow) VS+BrS/TBl,116,48,0
Anorith StB+AJ/AP,914,0,102
Anorith (Shadow) StB+AJ/CP,902,0,99
Appletun A+SeB/O,951,0,111
Araquanid BBi+WP/BuB,886,1,95
Arbok Ac+DP/SW,829,1,81
Arbok (Shadow) Ac+DP/SW,772,16,67
Arboliva ML+EP/TBl,914,0,102
Archen WA+AP/Cr,396,0,0
Archen (Shadow) WA+AP/Cr,469,0,0
Archeops WA+AP/Cr,391,0,0
Archeops (Shadow) WA+AP/Cr,466,0,0
Ariados PSt+Lu/TBl,898,0,98
Armaldo FC+RB/Li,156,48,0
Armaldo (Shadow) FC+RB/Li,878,0,93
Articuno PS+IW/Hu,119,48,0
Articuno (Galarian) PC+Fl/BrB,524,1,6
Articuno (Shadow) PS+TAx/Hu,146,48,0
Audino ZH+BS/DV,715,1,53
Bayleef ML+AP/EB,878,1,93
Bayleef (Shadow) ML+AP/EB,914,0,102
Beautifly Inf+AC/SvW,723,0,55
Beedrill PSt+XS/DR,898,0,98
Beedrill (Shadow) PSt+XS/DR,898,0,98
Bellibolt TS+ZC/PbC,77,48,0
Bellossom Ac+LB/DG,898,0,98
Bellossom (Shadow) Ac+LB/DG,878,0,93
Bewear SC+SP/St,939,0,108
Bibarel RO+S/HF,512,1,3
Bibarel (Shadow) RO+S/HF,466,8,0
Bisharp Sn+DP/XS,560,25,15
Blissey ZH+WC/DG,577,18,19
Boltund Sp+Cr/T,468,9,0
Bombirdier SkP+Fl/RT,743,1,60
Bouffalant MS+St/Mh,760,1,64
Braviary AS+Fl/CC,796,1,73
Braviary (Hisuian) AS+BrB/Fl,796,1,73
Breloom FPm+DyP/GK,804,0,75
Bulbasaur VW+PW/SeB,939,0,108
Bulbasaur (Shadow) VW+PW/SlB,918,0,103
Buneary QA+Sw/FiP,654,1,38
Butterfree Cf+BBu/SiB,886,0,95
Butterfree (Shadow) Cf+BBu/SiB,861,0,89
Buzzwole C+SP/Lu,817,0,78
Cacturne SkP+TBl/DyP,796,0,73
Cacturne (Shadow) SkP+TBl/DyP,756,0,63
Camerupt I+RT/ScS,731,1,57
Camerupt (Shadow) I+RT/ScS,788,0,71
Carnivine VW+PW/Cr,918,0,103
Castform H+WBR/EB,642,9,35
Celebi Cf+AuS/LfS,869,0,91
Celesteela AS+BS/IH,585,1,21
Centiskorch E+Lu/HW,898,0,98
Chansey ZH+DG/P,703,3,50
Charizard E+BB/AC,153,48,0
Charizard (Shadow) E+BB/AC,666,0,41
Charjabug VS+XS/D,341,8,0
Charjabug (Shadow) VS+XS/D,142,48,0
Chatot Pk+SA/HW,540,8,10
Cherrim (Overcast) BS+DG/SoB,951,0,111
Cherrim (Sunshine) BS+WBF/SoB,747,0,61
Chesnaught LK+FP/SP,898,0,98
Chesnaught (Shadow) LK+FP/SP,878,0,93
Chespin VW+BS/SeB,939,0,108
Chespin (Shadow) VW+BS/SeB,918,0,103
Chinchou B+WP/Tb,347,1,0
Cinccino Ch+AT/Tb,756,1,63
Claydol MSl+RT/SB,544,8,11
Claydol (Shadow) MSl+RT/SB,569,9,17
Clodsire PSt+Eq/SE,411,41,0
Corviknight SdA+AC/Pbk,483,9,0
Corvisquire Pk+SA/Pbk,829,1,81
Cradily Ac+RT/GK,291,8,0
Cradily (Shadow) Ac+RT/GK,496,1,0
Crawdaunt W+NS/Sc,841,0,84
Crawdaunt (Shadow) W+NS/Sc,804,0,75
Crobat AS+PF/SB,817,1,78
Crobat (Shadow) AS+PF/SB,776,1,68
Crustle FC+XS/RW,373,8,0
Crustle (Shadow) FC+XS/RW,447,8,0
Cubone MSl+BC/Re,865,9,90
Cubone (Shadow) MSl+BC/Dg,857,1,88
Dartrix Pk+BrB/SeB,723,8,55
Decidueye Lf+FP/SSh,918,0,103
Decidueye (Hisuian) PC+TBl/AuS,918,0,103
Dedenne TS+D/PR,75,40,0
Deerling Tk+WC/TBl,865,0,90
Delcatty Ch+WC/DV,764,17,65
Dhelmise SC+PW/BrS,727,0,56
Diggersby QA+FiP/ScS,536,1,9
Diggersby (Shadow) QA+ScS/FiP,605,0,26
Dipplin DT+SeB/O,890,0,96
Dodrio Pk+DrlP/BrB,524,0,6
Dolliv ML+EP/TBl,926,0,105
Donphan MSl+BS/TBl,727,1,56
Donphan (Shadow) MSl+BS/TBl,674,16,43
Dottler Cf+BBu/P,853,8,87
Dragalge Ac+AT/O,674,1,43
Dragonite DB+TP/SP,442,0,0
Dragonite (Shadow) DB+TP/SP,837,0,83
Drampa DB+Sw/DgP,524,16,6
Drapion PSt+Cr/AT,630,1,32
Drapion (Shadow) PSt+Cr/AT,662,1,40
Drifblim H+IW/SB,613,0,28
Drifblim (Shadow) A+IW/SB,878,1,93
Drifloon H+SB/IW,646,9,36
Drifloon (Shadow) H+SB/IW,601,1,25
Drilbur MSl+DR/RT,898,1,98
Drilbur (Shadow) MSl+DR/RT,926,0,105
Dubwool DK+BS/Pbk,650,17,37
Dudunsparce RO+BS/DR,642,1,35
Dugtrio SkP+MB/SE,772,16,67
Dugtrio (Alolan) MSl+MB/IH,878,1,93
Dugtrio (Alolan) (Shadow) MSl+MB/IH,857,1,88
Dugtrio (Shadow) SkP+MB/SE,817,0,78
Dunsparce RO+DR/RS,470,33,0
Durant BBi+XS/SE,829,16,81
Dustox Cf+SlB/SvW,865,1,90
Dwebble SD+XS/RT,674,1,43
Dwebble (Shadow) SD+XS/RT,593,1,23
Eelektrik Ac+D/Cr,363,9,0
Eelektross VS+DC/Tb,325,16,0
Eevee QA+BS/Sw,695,1,48
Eldegoss BS+GK/EB,747,16,61
Electabuzz TS+TP/Re,269,0,0
Electabuzz (Shadow) TS+TP/Tb,109,40,0
Electivire TS+IP/WC,92,40,0
Electivire (Shadow) TS+IP/WC,115,40,0
Electrode VS+D/FoP,245,0,0
Electrode (Hisuian) TS+WC/Sw,108,40,0
Electrode (Shadow) VS+D/FoP,275,0,0
Elekid TS+TP/BkB,104,40,0
Emolga TS+Acr/D,252,0,0
Escavalier BBi+DR/RSh,711,1,52
Escavalier (Shadow) BBi+DR/RSh,821,0,79
Excadrill MS+DR/RS,107,40,0
Excadrill (Shadow) MS+DR/RS,125,40,0
Exeggcute Cf+SeB/AP,886,0,95
Exeggcute (Shadow) Cf+SeB/AP,869,0,91
Exeggutor Cf+SeB/P,853,0,87
Exeggutor (Alolan) DT+SeB/DM,878,0,93
Exeggutor (Alolan) (Shadow) DT+SeB/DM,853,0,87
Exeggutor (Shadow) Cf+SeB/P,821,0,79
Exploud A+Cr/DV,918,1,103
Exploud (Shadow) A+Cr/DV,898,1,98
Farfetch'd FC+LB/AA,662,1,40
Fearow Pk+DrlP/DR,524,1,6
Ferroseed MC+GB/Re,699,9,49
Ferroseed (Shadow) MC+GB/IH,886,1,95
Ferrothorn BS+PW/T,548,25,12
Ferrothorn (Shadow) BS+PW/T,695,1,48
Flaaffy CB+D/TBl,377,25,0
Flaaffy (Shadow) CB+D/TBl,268,0,0
Flamigo WA+UH/BrB,878,0,93
Flapple DB+SeB/DgP,821,0,79
Fletchinder Pk+Fl/HW,528,1,7
Fletchinder (Shadow) Pk+Fl/HW,167,48,0
Floragato Lf+GK/PR,918,0,103
Flygon DT+ST/Tw,540,1,10
Flygon (Shadow) DT+ST/Tw,492,0,0
Forretress BBi+ST/RT,492,17,0
Forretress (Shadow) BBi+ST/RT,829,1,81
Frosmoth PS+IW/BBu,776,0,68
Furfrou SkP+S/GK,800,1,74
Furret SkP+Sw/TBl,617,1,29
Gabite MS+Tw/Dg,654,1,38
Gabite (Shadow) MS+Tw/Dg,593,8,23
Galvantula VS+D/Lu,463,0,0
Galvantula (Shadow) VS+D/Lu,756,0,63
Garbodor Inf+BS/SeB,752,1,62
Garbodor (Shadow) Inf+BS/SeB,715,1,53
Garchomp DT+Tw/ST,532,1,8
Garchomp (Shadow) DT+Tw/ST,853,0,87
Gastrodon MSl+BS/WP,678,9,44
Genesect FC+XS/TBN,674,8,43
Gengar SC+ShP/SB,939,0,108
Gengar (Shadow) SC+ShP/SB,918,0,103
Geodude RTh+RT/RS,309,24,0
Geodude (Alolan) VS+RT/RS,185,8,0
Geodude (Alolan) (Shadow) VS+RT/RS,79,48,0
Geodude (Shadow) RTh+RT/RS,327,16,0
Girafarig Cf+PsF/TBl,617,1,29
Girafarig (Shadow) Cf+PsF/TBl,536,8,9
Gligar WA+Dg/NS,556,25,14
Gligar (Shadow) WA+NS/Dg,674,1,43
Glimmet RTh+PG/DG,544,1,11
Glimmora RTh+MeB/PG,339,24,0
Gliscor WA+ST/Acr,817,1,78
Gliscor (Shadow) WA+ST/Acr,780,1,69
Gloom Ac+SlB/M,878,0,93
Gloom (Shadow) Ac+SlB/M,837,0,83
Gogoat VW+LB/RS,918,0,103
Golbat WA+PF/SB,699,1,49
Golbat (Shadow) WA+PF/SB,634,1,33
Golem MSl+SE/RB,320,32,0
Golem (Alolan) VS+WC/RB,179,8,0
Golem (Alolan) (Shadow) VS+WC/RB,76,48,0
Golem (Shadow) MSl+SE/RB,465,17,0
Golett A+ShP/BkB,752,1,62
Golett (Shadow) A+ShP/BkB,926,0,105
Golisopod FC+XS/AJ,918,0,103
Golurk MSl+ShP/DyP,821,1,79
Golurk (Shadow) MSl+ShP/DyP,926,0,105
Gourgeist (Average) I+SB/SeB,869,0,91
Gourgeist (Large) I+SB/SeB,869,0,91
Gourgeist (Small) I+SB/SeB,869,0,91
Gourgeist (Super) I+SB/SeB,869,0,91
Grafaiai MSl+PF/SlB,735,1,58
Graveler MSl+RS/Dg,400,17,0
Graveler (Alolan) VS+SE/RB,150,8,0
Graveler (Alolan) (Shadow) VS+SE/RB,78,48,0
Graveler (Shadow) MSl+RS/Dg,421,1,0
Greedent MS+BS/TBl,573,0,18
Greninja WSh+HC/NS,520,8,5
