Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,530,0,7
Aerodactyl (Shadow) DB+RS/EP,379,32,0
Alakazam PC+FiP/SB,445,40,0
Alakazam (Shadow) PC+FiP/SB,716,32,49
Arbok Ac+DP/SW,685,0,42
Arbok (Shadow) Ac+DP/SW,641,0,32
Arcanine FF+WC/PsF,712,0,48
Arcanine (Hisuian) Sn+WC/RS,840,4,77
Arcanine (Shadow) FF+WC/PsF,668,0,38
Articuno PS+IW/Hu,170,16,0
Articuno (Galarian) PC+Fl/BrB,774,0,62
Articuno (Shadow) PS+TAx/Hu,166,0,0
Beedrill PSt+XS/DR,570,0,16
Beedrill (Shadow) PSt+XS/DR,388,40,0
Blastoise RO+HC/SkB,641,12,32
Blastoise (Shadow) RO+HC/SkB,654,0,35
Bulbasaur VW+PW/SeB,907,0,92
Bulbasaur (Shadow) VW+PW/SeB,752,0,57
Butterfree Cf+BBu/SiB,663,0,37
Butterfree (Shadow) Cf+BBu/SiB,597,0,22
Chansey ZH+DG/P,561,4,14
Charizard E+BB/AC,628,0,29
Charizard (Shadow) E+BB/AC,539,0,9
Charmeleon E+FiP/Re,676,4,40
Charmeleon (Shadow) E+FiP/Ft,597,4,22
Clefable FW+M/MM,333,0,0
Clefairy ZH+DV/BS,730,0,52
Cloyster IS+IW/Li,215,12,0
Cloyster (Shadow) IS+IW/Li,166,0,0
Cubone MSl+BC/Re,871,0,84
Cubone (Shadow) MSl+BC/Dg,787,4,65
Dewgong IS+IW/DR,175,32,0
Dodrio Pk+DrlP/BrB,368,40,0
Dragonair DB+AT/DgP,425,32,0
Dragonair (Shadow) DB+Wr/AT,440,64,0
Dragonite DB+TP/SP,500,36,0
Dragonite (Shadow) DB+TP/SP,500,24,0
Drowzee Cf+Psh/Re,650,12,34
Drowzee (Shadow) Cf+Psh/P,663,0,37
Dugtrio SkP+MB/SE,641,0,32
Dugtrio (Alolan) MSl+MB/IH,809,4,70
Dugtrio (Alolan) (Shadow) MSl+MB/IH,778,4,63
Dugtrio (Shadow) SkP+MB/SE,508,8,2
Eevee QA+BS/Dg,561,4,14
Electabuzz TS+TP/Re,347,80,0
Electabuzz (Shadow) TS+TP/Tb,438,80,0
Electrode VS+D/FoP,663,0,37
Electrode (Hisuian) TS+WC/Sw,260,80,0
Electrode (Shadow) VS+D/FoP,597,0,22
Exeggcute Cf+SeB/AP,597,16,22
Exeggcute (Shadow) Cf+SeB/AP,597,4,22
Exeggutor Cf+SeB/P,575,0,17
Exeggutor (Alolan) DT+SeB/DM,548,76,11
Exeggutor (Alolan) (Shadow) DT+SeB/DM,530,68,7
Exeggutor (Shadow) Cf+SeB/P,347,32,0
Farfetch'd FC+LB/AA,818,0,72
Farfetch'd (Galarian) FC+LB/BkB,606,0,24
Fearow Pk+DrlP/DR,685,0,42
Flareon E+SP/HW,557,0,13
Gengar SC+ShP/SB,392,36,0
Gengar (Shadow) SC+ShP/SB,489,36,0
Geodude RTh+RT/RS,296,28,0
Geodude (Alolan) VS+RT/RS,641,0,32
Geodude (Alolan) (Shadow) VS+RT/RS,575,0,17
Geodude (Shadow) RTh+RT/RS,225,12,0
Gloom Ac+SlB/M,654,4,35
Gloom (Shadow) Ac+SlB/M,641,0,32
Golbat WA+PF/SB,707,0,47
Golbat (Shadow) WA+PF/SB,663,0,37
Goldeen Pk+AT/HA,575,0,17
Golduck Cf+CrC/Li,663,0,37
Golduck (Shadow) Cf+CrC/Li,597,0,22
Golem MSl+SE/RB,840,4,77
Golem (Alolan) VS+WC/RB,641,0,32
Golem (Alolan) (Shadow) VS+WC/RB,575,0,17
Golem (Shadow) MSl+SE/RB,809,4,70
Graveler MSl+RS/Dg,840,4,77
Graveler (Alolan) VS+SE/RB,663,0,37
Graveler (Alolan) (Shadow) VS+SE/RB,597,0,22
Graveler (Shadow) MSl+RS/Dg,809,4,70
Grimer PJ+Sl/MB,641,0,32
Grimer (Alolan) PJ+Cr/SlB,641,0,32
Grimer (Alolan) (Shadow) PJ+Cr/SlB,557,8,13
Grimer (Shadow) PJ+Sl/MB,597,0,22
Growlithe E+FW/BS,637,4,31
Growlithe (Hisuian) E+RS/Ft,862,0,82
Growlithe (Shadow) E+FW/BS,548,4,11
Gyarados DB+AT/Cr,318,36,0
Gyarados (Shadow) DB+AT/Cr,376,32,0
Haunter SC+ShP/IP,475,36,0
Haunter (Shadow) SC+IP/SB,606,68,24
Hitmonchan C+IP/TP,730,0,52
Hitmonchan (Shadow) C+IP/TP,685,0,42
Hitmonlee LK+BK/BkB,623,0,28
Hitmonlee (Shadow) LK+BK/BkB,544,0,10
Hypno Cf+SB/TP,401,16,0
Hypno (Shadow) Cf+SB/TP,517,12,4
Ivysaur VW+PW/SlB,849,4,79
Ivysaur (Shadow) VW+PW/SlB,862,0,82
Jolteon TS+D/LR,393,40,0
Jynx Cf+Av/Psh,553,0,12
Kabuto MS+AJ/RT,676,4,40
