Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,730,30,52
Aerodactyl (Shadow) DB+RS/EP,747,64,56
Alakazam PC+FiP/SB,445,30,0
Alakazam (Shadow) PC+FiP/SB,606,30,24
Arbok Ac+DP/SW,805,1,69
Arbok (Shadow) Ac+DP/SW,752,1,57
Arcanine FF+WC/PsF,526,1,6
Arcanine (Hisuian) Sn+WC/RS,557,1,13
Arcanine (Shadow) FF+WC/PsF,460,46,0
Articuno PS+IW/Hu,699,1,45
Articuno (Galarian) PC+Fl/BrB,787,30,65
Articuno (Shadow) PS+TAx/Hu,623,46,28
Beedrill PSt+XS/DR,311,30,0
Beedrill (Shadow) PSt+XS/DR,369,30,0
Blastoise RO+HC/SkB,369,35,0
Blastoise (Shadow) RO+HC/SkB,446,35,0
Bulbasaur VW+PW/SeB,212,30,0
Bulbasaur (Shadow) VW+PW/SeB,254,30,0
Butterfree Cf+BBu/SiB,668,46,38
Butterfree (Shadow) Cf+BBu/SiB,654,30,35
Chansey ZH+DG/P,632,40,30
Charizard E+BB/AC,862,30,82
Charizard (Shadow) E+BB/AC,871,14,84
Charmeleon E+FiP/Re,734,1,53
Charmeleon (Shadow) E+FiP/Ft,694,1,44
Clefable FW+M/MM,557,1,13
Clefairy ZH+DV/BS,796,1,67
Cloyster IS+IW/Li,694,1,44
Cloyster (Shadow) IS+IW/Li,659,46,36
Cubone MSl+BC/Re,82,19,0
Cubone (Shadow) MSl+BC/Dg,74,3,0
Dewgong IS+IW/DR,756,1,58
Dodrio Pk+DrlP/BrB,862,30,82
Dragonair DB+AT/DgP,145,19,0
Dragonair (Shadow) DB+Wr/AT,177,19,0
Dragonite DB+TP/SP,358,30,0
Dragonite (Shadow) DB+TP/SP,424,30,0
Drowzee Cf+Psh/Re,730,1,52
Drowzee (Shadow) Cf+Psh/P,676,1,40
Dugtrio SkP+MB/SE,415,1,0
Dugtrio (Alolan) MSl+MB/IH,100,48,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,77,32,0
Dugtrio (Shadow) SkP+MB/SE,490,1,0
Eevee QA+BS/Dg,281,30,0
Electabuzz TS+TP/Re,730,1,52
