Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,383,19,0
Aerodactyl (Shadow) DB+RS/EP,354,29,0
Alakazam PC+FiP/SB,788,2,78
Alakazam (Shadow) PC+FiP/SB,759,2,70
Arbok Ac+DP/SW,640,19,38
Arbok (Shadow) Ac+DP/SW,662,1,44
Arcanine FF+WC/PsF,352,29,0
Arcanine (Hisuian) Sn+WC/RS,209,11,0
Arcanine (Shadow) FF+WC/PsF,436,29,0
Articuno PS+IW/Hu,829,1,89
Articuno (Galarian) PC+Fl/BrB,796,1,80
Articuno (Shadow) PS+TAx/Hu,796,1,80
Beedrill PSt+XS/DR,796,1,80
Beedrill (Shadow) PSt+XS/DR,788,2,78
Blastoise RO+HC/SkB,288,10,0
Blastoise (Shadow) RO+HC/SkB,319,10,0
Bulbasaur VW+PW/SeB,862,11,98
Bulbasaur (Shadow) VW+PW/SeB,848,2,94
Butterfree Cf+BBu/SiB,729,1,62
Butterfree (Shadow) Cf+BBu/SiB,685,2,50
Chansey ZH+DG/P,662,0,44
Charizard E+BB/AC,333,11,0
Charizard (Shadow) E+BB/AC,414,11,0
Charmeleon E+FiP/Re,637,3,37
Charmeleon (Shadow) E+FiP/Ft,425,38,0
Clefable FW+M/MM,511,3,3
Clefairy ZH+DV/BS,759,3,70
Cloyster IS+IW/Li,762,2,71
Cloyster (Shadow) IS+IW/Li,762,19,71
Cubone MSl+BC/Re,322,20,0
Cubone (Shadow) MSl+BC/Dg,551,1,14
Dewgong IS+IW/DR,436,2,0
Dodrio Pk+DrlP/BrB,696,1,53
Dragonair DB+AT/DgP,303,11,0
Dragonair (Shadow) DB+Wr/AT,377,11,0
Dragonite DB+TP/SP,362,20,0
Dragonite (Shadow) DB+TP/SP,451,20,0
Drowzee Cf+Psh/Re,422,19,0
Drowzee (Shadow) Cf+Psh/P,596,19,26
Dugtrio SkP+MB/SE,662,1,44
Dugtrio (Alolan) MSl+MB/IH,238,9,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,305,9,0
Dugtrio (Shadow) SkP+MB/SE,555,11,15
Eevee QA+BS/Dg,562,10,17
Electabuzz TS+TP/Re,391,2,0
Electabuzz (Shadow) TS+TP/Tb,473,2,0
Electrode VS+D/FoP,478,1,0
Electrode (Hisuian) TS+WC/Sw,600,1,27
Electrode (Shadow) VS+D/FoP,670,1,46
Exeggcute Cf+SeB/AP,744,1,66
Exeggcute (Shadow) Cf+SeB/AP,685,1,50
Exeggutor Cf+SeB/P,655,2,42
Exeggutor (Alolan) DT+SeB/DM,707,1,56
Exeggutor (Alolan) (Shadow) DT+SeB/DM,662,11,44
Exeggutor (Shadow) Cf+SeB/P,596,2,26
Farfetch'd FC+LB/AA,862,1,98
Farfetch'd (Galarian) FC+LB/BkB,785,1,77
Fearow Pk+DrlP/DR,696,1,53
Flareon E+SP/HW,390,11,0
