Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,258,0,0
Aerodactyl (Shadow) DB+RS/EP,300,0,0
Alakazam PC+FiP/SB,540,0,13
Alakazam (Shadow) PC+FiP/SB,307,40,0
Arbok Ac+DP/SW,713,5,68
Arbok (Shadow) Ac+DP/SW,943,0,141
Arcanine FF+WC/PsF,748,10,79
Arcanine (Hisuian) Sn+WC/RS,770,0,86
Arcanine (Shadow) FF+WC/PsF,726,0,72
Articuno PS+IW/Hu,202,0,0
Articuno (Galarian) PC+Fl/BrB,352,30,0
Articuno (Shadow) PS+TAx/Hu,65,40,0
Beedrill PSt+XS/DR,473,30,0
Beedrill (Shadow) PSt+XS/DR,426,0,0
Blastoise RO+HC/SkB,276,0,0
Blastoise (Shadow) RO+HC/SkB,334,0,0
Bulbasaur VW+PW/SeB,137,30,0
Bulbasaur (Shadow) VW+PW/SeB,175,30,0
Butterfree Cf+BBu/SiB,245,20,0
Butterfree (Shadow) Cf+BBu/SiB,274,0,0
Chansey ZH+DG/P,408,20,0
Charizard E+BB/AC,431,40,0
Charizard (Shadow) E+BB/AC,470,30,0
Charmeleon E+FiP/Re,805,10,97
Charmeleon (Shadow) E+FiP/Ft,770,0,86
Clefable FW+M/MM,299,0,0
Clefairy ZH+DV/BS,657,0,50
Cloyster IS+IW/Li,306,0,0
Cloyster (Shadow) IS+IW/Li,381,0,0
Cubone MSl+BC/Re,393,30,0
Cubone (Shadow) MSl+BC/Dg,346,0,0
Dewgong IS+IW/DR,273,20,0
Dodrio Pk+DrlP/BrB,386,30,0
Dragonair DB+AT/DgP,129,30,0
Dragonair (Shadow) DB+Wr/AT,153,30,0
Dragonite DB+TP/SP,66,30,0
Dragonite (Shadow) DB+TP/SP,79,30,0
Drowzee Cf+Psh/Re,610,0,35
Drowzee (Shadow) Cf+Psh/P,522,0,7
Dugtrio SkP+MB/SE,405,0,0
Dugtrio (Alolan) MSl+MB/IH,723,0,71
Dugtrio (Alolan) (Shadow) MSl+MB/IH,660,0,51
Dugtrio (Shadow) SkP+MB/SE,485,0,0
Eevee QA+BS/Dg,556,0,18
Electabuzz TS+TP/Re,874,10,119
Electabuzz (Shadow) TS+TP/Tb,842,0,109
Electrode VS+D/FoP,764,5,84
Electrode (Hisuian) TS+WC/Sw,742,40,77
Electrode (Shadow) VS+D/FoP,720,0,70
Exeggcute Cf+SeB/AP,246,0,0
Exeggcute (Shadow) Cf+SeB/AP,288,0,0
Exeggutor Cf+SeB/P,122,40,0
Exeggutor (Alolan) DT+SeB/DM,122,40,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,152,40,0
Exeggutor (Shadow) Cf+SeB/P,152,40,0
Farfetch'd FC+LB/AA,57,30,0
Farfetch'd (Galarian) FC+LB/BkB,151,30,0
Fearow Pk+DrlP/DR,290,10,0
Flareon E+SP/HW,515,0,5
Gengar SC+ShP/SB,622,0,39
Gengar (Shadow) SC+ShP/SB,540,0,13
Geodude RTh+RT/RS,849,5,111
Geodude (Alolan) VS+RT/RS,789,0,92
Geodude (Alolan) (Shadow) VS+RT/RS,933,40,138
Geodude (Shadow) RTh+RT/RS,823,10,103
Gloom Ac+SlB/M,591,0,29
Gloom (Shadow) Ac+SlB/M,550,30,16
Golbat WA+PF/SB,531,0,10
Golbat (Shadow) WA+PF/SB,410,40,0
Goldeen Pk+AT/HA,200,40,0
Golduck Cf+CrC/Li,341,0,0
Golduck (Shadow) Cf+CrC/Li,403,0,0
Golem MSl+SE/RB,701,5,64
Golem (Alolan) VS+WC/RB,811,0,99
Golem (Alolan) (Shadow) VS+WC/RB,933,40,138
Golem (Shadow) MSl+SE/RB,512,5,4
Graveler MSl+RS/Dg,362,0,0
Graveler (Alolan) VS+SE/RB,839,0,108
Graveler (Alolan) (Shadow) VS+SE/RB,811,0,99
Graveler (Shadow) MSl+RS/Dg,434,0,0
Grimer PJ+Sl/MB,654,5,49
Grimer (Alolan) PJ+Cr/SlB,704,5,65
Grimer (Alolan) (Shadow) PJ+Cr/SlB,924,0,135
Grimer (Shadow) PJ+Sl/MB,817,0,101
Growlithe E+FW/BS,783,0,90
Growlithe (Hisuian) E+RS/Ft,786,0,91
Growlithe (Shadow) E+FW/BS,732,0,74
Gyarados DB+AT/Cr,61,30,0
Gyarados (Shadow) DB+AT/Cr,74,30,0
Haunter SC+ShP/IP,515,0,5
Haunter (Shadow) SC+IP/SB,400,30,0
Hitmonchan C+IP/TP,367,0,0
Hitmonchan (Shadow) C+IP/TP,443,0,0
Hitmonlee LK+BK/BkB,430,0,0
Hitmonlee (Shadow) LK+BK/BkB,191,30,0
Hypno Cf+SB/TP,506,5,2
Hypno (Shadow) Cf+SB/TP,343,20,0
Ivysaur VW+PW/SlB,305,0,0
Ivysaur (Shadow) VW+PW/SlB,372,0,0
Jolteon TS+D/LR,883,0,122
Jynx Cf+Av/Psh,436,0,0
Kabuto MS+AJ/RT,234,30,0
Kabuto (Shadow) MS+AJ/RT,281,30,0
Kabutops FC+SE/WP,441,0,0
Kabutops (Shadow) FC+SE/WP,836,0,107
Kadabra Cf+SB/DG,783,0,90
Kadabra (Shadow) PC+SB/DG,347,40,0
Kangaskhan LK+BkB/St,395,30,0
Kingler B+Crbh/VG,462,0,0
Koffing Inf+Sl/DP,720,5,70
Koffing (Shadow) Inf+Sl/DP,924,0,135
Krabby B+VG/RSh,239,40,0
Lapras Psy+SpA/SkB,243,0,0
Lapras (Shadow) Psy+SpA/IB,287,0,0
Lickitung L+BS/PW,236,10,0
Machamp KC+CrC/RS,193,40,0
Machamp (Shadow) KC+CrC/RS,181,30,0
Machoke KC+CrC/Re,384,10,0
Machoke (Shadow) KC+CrC/DyP,157,30,0
Machop KC+CrC/BkB,429,10,0
Machop (Shadow) KC+CrC/BkB,171,30,0
Magmar KC+FiP/ScS,315,40,0
Magmar (Shadow) KC+FiP/ScS,368,40,0
Magnemite VS+MgB/D,933,40,138
Magnemite (Shadow) VS+MgB/D,943,30,141
Magneton VS+MgB/D,933,40,138
Magneton (Shadow) VS+D/MgB,949,30,143
Mankey KC+CrC/BkB,265,40,0
Mankey (Shadow) KC+CrC/BkB,238,30,0
Marowak MSl+BC/RS,292,10,0
