Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,696,10,49
Aerodactyl (Shadow) DB+RS/EP,832,2,83
Alakazam PC+FiP/SB,688,25,47
Alakazam (Shadow) PC+FiP/SB,900,1,100
Arbok Ac+DP/SW,668,6,42
Arbok (Shadow) Ac+DP/SW,671,14,43
Arcanine FF+WC/PsF,720,2,55
Arcanine (Hisuian) Sn+WC/RS,776,2,69
Arcanine (Shadow) FF+WC/PsF,648,2,37
Articuno PS+IW/Hu,416,22,0
Articuno (Galarian) PC+Fl/BrB,316,21,0
Articuno (Shadow) PS+TAx/Hu,52,52,0
Beedrill PSt+XS/DR,679,34,45
Beedrill (Shadow) PSt+XS/DR,675,2,44
Blastoise RO+HC/SkB,334,38,0
Blastoise (Shadow) RO+HC/SkB,100,52,0
Bulbasaur VW+PW/SeB,366,14,0
Bulbasaur (Shadow) VW+PW/SeB,454,6,0
Butterfree Cf+BBu/SiB,868,2,92
Butterfree (Shadow) Cf+BBu/SiB,844,2,86
Chansey ZH+DG/P,624,3,31
Charizard E+BB/AC,532,2,8
Charizard (Shadow) E+BB/AC,290,13,0
Charmeleon E+FiP/Re,692,6,48
Charmeleon (Shadow) E+FiP/Ft,671,2,43
Clefable FW+M/MM,323,34,0
Clefairy ZH+DV/BS,704,0,51
Cloyster IS+IW/Li,494,22,0
Cloyster (Shadow) IS+IW/Li,776,2,69
Cubone MSl+BC/Re,448,38,0
Cubone (Shadow) MSl+BC/Dg,448,14,0
Dewgong IS+IW/DR,504,0,1
Dodrio Pk+DrlP/BrB,832,6,83
Dragonair DB+AT/DgP,358,26,0
Dragonair (Shadow) DB+Wr/AT,377,37,0
Dragonite DB+TP/SP,482,34,0
Dragonite (Shadow) DB+TP/SP,252,17,0
Drowzee Cf+Psh/Re,664,14,41
Drowzee (Shadow) Cf+Psh/P,636,2,34
Dugtrio SkP+MB/SE,556,2,14
Dugtrio (Alolan) MSl+MB/IH,494,37,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,792,13,73
Dugtrio (Shadow) SkP+MB/SE,380,37,0
Eevee QA+BS/Dg,616,3,29
Electabuzz TS+TP/Re,568,2,17
Electabuzz (Shadow) TS+TP/Tb,856,2,89
Electrode VS+D/FoP,728,6,57
Electrode (Hisuian) TS+WC/Sw,668,3,42
Electrode (Shadow) VS+D/FoP,700,2,50
Exeggcute Cf+SeB/AP,464,26,0
Exeggcute (Shadow) Cf+SeB/AP,516,2,4
Exeggutor Cf+SeB/P,381,29,0
Exeggutor (Alolan) DT+SeB/DM,374,22,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,274,9,0
Exeggutor (Shadow) Cf+SeB/P,396,9,0
Farfetch'd FC+LB/AA,404,26,0
Farfetch'd (Galarian) FC+LB/BkB,281,10,0
Fearow Pk+DrlP/DR,447,34,0
Flareon E+SP/HW,632,2,33
Gengar SC+ShP/SB,880,1,95
Gengar (Shadow) SC+ShP/SB,840,1,85
Geodude RTh+RT/RS,708,2,52
Geodude (Alolan) VS+RT/RS,772,18,68
Geodude (Alolan) (Shadow) VS+RT/RS,748,2,62
Geodude (Shadow) RTh+RT/RS,640,2,35
Gloom Ac+SlB/M,628,7,32
Gloom (Shadow) Ac+SlB/M,568,3,17
Golbat WA+PF/SB,640,3,35
Golbat (Shadow) WA+PF/SB,572,34,18
Goldeen Pk+AT/HA,391,26,0
Golduck Cf+CrC/Li,375,38,0
Golduck (Shadow) Cf+CrC/Li,348,29,0
Golem MSl+SE/RB,584,2,21
Golem (Alolan) VS+WC/RB,820,18,80
Golem (Alolan) (Shadow) VS+WC/RB,776,17,69
Golem (Shadow) MSl+SE/RB,397,37,0
Graveler MSl+RS/Dg,568,6,17
Graveler (Alolan) VS+SE/RB,764,22,66
Graveler (Alolan) (Shadow) VS+SE/RB,808,2,77
Graveler (Shadow) MSl+RS/Dg,395,37,0
Grimer PJ+Sl/MB,656,14,39
Grimer (Alolan) PJ+Cr/SlB,664,3,41
Grimer (Alolan) (Shadow) PJ+Cr/SlB,616,22,29
Grimer (Shadow) PJ+Sl/MB,664,22,41
Growlithe E+FW/BS,644,2,36
Growlithe (Hisuian) E+RS/Ft,744,2,61
Growlithe (Shadow) E+FW/BS,592,2,23
Gyarados DB+AT/Cr,438,26,0
Gyarados (Shadow) DB+AT/Cr,235,17,0
Haunter SC+ShP/IP,860,1,90
Haunter (Shadow) SC+IP/SB,840,1,85
Hitmonchan C+IP/TP,362,38,0
Hitmonchan (Shadow) C+IP/TP,331,14,0
Hitmonlee LK+BK/BkB,388,34,0
Hitmonlee (Shadow) LK+BK/BkB,425,34,0
Hypno Cf+SB/TP,482,38,0
Hypno (Shadow) Cf+SB/TP,482,2,0
Ivysaur VW+PW/SlB,293,6,0
Ivysaur (Shadow) VW+PW/SlB,337,6,0
Jolteon TS+D/LR,724,18,56
Jynx Cf+Av/Psh,568,2,17
Kabuto MS+AJ/RT,524,18,6
Kabuto (Shadow) MS+AJ/RT,348,5,0
Kabutops FC+SE/WP,352,17,0
Kabutops (Shadow) FC+SE/WP,450,17,0
Kadabra Cf+SB/DG,864,1,91
Kadabra (Shadow) PC+SB/DG,900,1,100
Kangaskhan LK+BkB/St,524,0,6
Kingler B+Crbh/VG,344,25,0
Koffing Inf+Sl/DP,712,2,53
Koffing (Shadow) Inf+Sl/DP,648,2,37
Krabby B+VG/RSh,391,37,0
Lapras Psy+SpA/SkB,340,30,0
Lapras (Shadow) Psy+SpA/IB,72,52,0
Lickitung L+BS/PW,403,16,0
Machamp KC+CrC/RS,290,18,0
Machamp (Shadow) KC+CrC/RS,387,18,0
Machoke KC+CrC/Re,377,3,0
Machoke (Shadow) KC+CrC/DyP,328,14,0
Machop KC+CrC/BkB,347,34,0
Machop (Shadow) KC+CrC/BkB,337,18,0
Magmar KC+FiP/ScS,696,2,49
Magmar (Shadow) KC+FiP/ScS,632,2,33
Magnemite VS+MgB/D,927,9,107
Magnemite (Shadow) VS+MgB/D,944,1,111
Magneton VS+MgB/D,940,13,110
Magneton (Shadow) VS+D/MgB,952,1,113
Mankey KC+CrC/BkB,362,33,0
Mankey (Shadow) KC+CrC/BkB,389,33,0
Marowak MSl+BC/RS,384,14,0
Marowak (Alolan) FS+BC/SBo,584,2,21
Marowak (Alolan) (Shadow) FS+SBo/BC,584,18,21
Marowak (Shadow) MSl+BC/RS,424,14,0
Mew SC+WC/Psh,640,2,35
Mewtwo (Shadow) PC+Pst/Tb,900,1,100
Moltres WA+Fl/HW,600,2,25
Moltres (Galarian) SkP+Fl/BrB,354,22,0
Moltres (Shadow) WA+Fl/HW,512,2,3
Mr. Mime Psy+SB/P,355,37,0
Mr. Mime (Galarian) Cf+IP/TAx,480,2,0
Muk PJ+TP/DP,679,3,45
Muk (Alolan) PJ+DP/AS,624,15,31
Muk (Alolan) (Shadow) PJ+DP/AS,612,34,28
Muk (Shadow) PJ+TP/DP,620,2,30
Nidoking FC+ST/Mh,350,33,0
Nidoking (Shadow) FC+ST/Mh,397,21,0
Nidoqueen MSl+SE/PF,596,26,24
Nidoqueen (Shadow) MSl+SE/PF,572,2,18
Nidorina PSt+PF/Tb,724,11,56
Nidorina (Shadow) PSt+PF/SlB,675,6,44
Nidorino PSt+SlB/IB,608,3,27
Nidorino (Shadow) PSt+SlB/IB,361,21,0
Ninetales E+WBF/Ov,596,26,24
Ninetales (Alolan) PS+WBI/CW,408,14,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,88,44,0
Ninetales (Shadow) E+WBF/Ov,675,6,44
Oddish Ac+SeB/SlB,408,34,0
Oddish (Shadow) Ac+SeB/SlB,532,22,8
Omanyte MS+RT/RB,736,2,59
Omanyte (Shadow) MS+RT/RB,708,2,52
Omastar MS+RS/HP,389,37,0
Omastar (Shadow) MS+RS/HP,900,22,100
Onix RTh+RS/ST,720,3,55
Onix (Shadow) RTh+RS/ST,656,3,39
Parasect FC+XS/CP,410,34,0
Persian FA+NS/PG,683,0,46
Persian (Alolan) FA+FoP/PR,600,0,25
Persian (Shadow) FA+NS/PG,644,3,36
Pidgeot WA+AC/BrB,528,3,7
Pidgeot (Shadow) WA+BrB/AC,394,6,0
Pidgeotto WA+AC/Tw,540,3,10
Pidgeotto (Shadow) WA+AC/Tw,452,34,0
Pinsir FC+CC/XS,832,2,83
Pinsir (Shadow) FC+CC/XS,323,13,0
Poliwhirl B+Sc/MB,273,10,0
Poliwhirl (Shadow) B+Sc/MB,307,10,0
Poliwrath C+Sc/IW,244,22,0
Poliwrath (Shadow) C+Sc/IW,266,22,0
Ponyta E+FW/St,632,2,33
Ponyta (Galarian) PC+Sw/PR,600,2,25
Ponyta (Shadow) E+FW/St,552,2,13
Porygon QA+D/HB,337,30,0
Porygon (Shadow) Tk+D/SiB,540,3,10
Primeape KC+RF/CC,323,26,0
Primeape (Shadow) KC+RF/CC,258,5,0
Raichu TS+WC/BkB,604,2,26
Raichu (Alolan) TS+WC/Psh,683,37,46
Rapidash I+FmC/WC,864,2,91
Rapidash (Galarian) FW+BS/WC,528,10,7
Rapidash (Shadow) I+FmC/WC,832,2,83
Raticate QA+HF/Dg,616,3,29
Raticate (Alolan) QA+Cr/Re,493,12,0
Raticate (Alolan) (Shadow) QA+Cr/HB,316,30,0
Raticate (Shadow) QA+HF/Dg,483,2,0
Rhydon MSl+SE/S,305,25,0
Rhydon (Shadow) MSl+SE/S,389,25,0
Rhyhorn MSl+Bd/St,452,26,0
Rhyhorn (Shadow) MSl+Bd/St,600,6,25
Sandshrew SdA+ST/RT,480,34,0
Sandshrew (Alolan) PS+NS/GB,342,37,0
Sandshrew (Alolan) (Shadow) PS+NS/GB,318,21,0
Sandshrew (Shadow) SdA+ST/RT,488,10,0
Sandslash SdA+NS/RT,500,3,0
Sandslash (Alolan) PS+IP/DR,336,2,0
Sandslash (Alolan) (Shadow) PS+IP/DR,264,5,0
Sandslash (Shadow) SdA+NS/RT,500,26,0
Scyther FC+XS/NS,700,2,50
Scyther (Shadow) FC+XS/NS,524,2,6
Seadra DB+HP/DgP,318,37,0
Seadra (Shadow) DB+HP/DgP,336,33,0
Seaking Pk+DR/IW,438,11,0
Seel WG+AT/IW,342,50,0
Slowbro Cf+DrP/IB,291,29,0
Slowbro (Galarian) Cf+DrP/SlB,688,2,47
Slowbro (Shadow) Cf+DrP/IB,329,29,0
Slowpoke Cf+Psh/WP,263,29,0
Slowpoke (Galarian) Cf+Psh/S,478,22,0
Slowpoke (Shadow) Cf+Psh/WP,344,29,0
Snorlax L+BS/SP,406,23,0
Snorlax (Shadow) L+BS/SP,572,11,18
Starmie Psy+S/PG,365,13,0
Starmie (Shadow) Psy+S/PG,413,13,0
Tangela VW+GK/SlB,267,6,0
Tangela (Shadow) VW+GK/SlB,288,21,0
Tauros Tk+TBl/HA,508,3,2
Tauros (Aqua) DK+AJ/TBl,250,2,0
Tauros (Blaze) DK+FmC/TBl,512,38,3
Tauros (Combat) DK+CC/TBl,421,3,0
Tentacool PSt+WP/Wr,612,6,28
Tentacool (Shadow) PSt+WP/Wr,560,2,15
Tentacruel Ac+Sc/Pbk,564,3,16
Tentacruel (Shadow) Ac+Sc/Pbk,396,22,0
Vaporeon WG+AT/LR,275,10,0
Venomoth Psy+PF/BBu,516,34,4
Venomoth (Shadow) Psy+PF/BBu,832,2,83
Venusaur VW+FP/Sl,231,13,0
Venusaur (Shadow) VW+FP/Sl,256,13,0
Victreebel Ac+LB/SlB,343,29,0
Victreebel (Shadow) Ac+LB/SlB,309,5,0
Vileplume Ac+SlB/PlB,370,22,0
Vileplume (Shadow) Ac+SlB/M,400,37,0
Wartortle WG+AJ/IB,276,18,0
Wartortle (Shadow) WG+AJ/IB,284,6,0
Weepinbell Ac+PW/SeB,320,21,0
Weepinbell (Shadow) Ac+PW/SeB,457,6,0
Weezing RO+SlB/SB,664,10,41
Weezing (Galarian) FW+Sl/BrS,616,3,29
Weezing (Galarian) (Shadow) FW+Sl/BrS,552,38,13
Weezing (Shadow) RO+SlB/SB,604,2,26
Wigglytuff Ch+IW/Sw,468,0,0
Zapdos TS+DrlP/HW,708,2,52
Zapdos (Galarian) C+Fl/BrB,331,30,0
Zapdos (Shadow) TS+DrlP/HW,656,2,39
