Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,450,37,0
Aerodactyl (Shadow) DB+RS/EP,557,42,13
Alakazam PC+FiP/SB,296,18,0
Alakazam (Shadow) PC+FiP/SB,357,18,0
Arbok Ac+DP/SW,596,4,22
Arbok (Shadow) Ac+DP/SW,521,4,5
Arcanine FF+WC/PsF,456,54,0
Arcanine (Hisuian) Sn+WC/RS,872,18,85
Arcanine (Shadow) FF+WC/PsF,496,42,0
Articuno PS+IW/Hu,644,4,33
Articuno (Galarian) PC+Fl/BrB,165,25,0
Articuno (Shadow) PS+TAx/Hu,386,42,0
Beedrill PSt+XS/DR,126,18,0
Beedrill (Shadow) PSt+XS/DR,161,18,0
Blastoise RO+HC/SkB,292,25,0
Blastoise (Shadow) RO+HC/SkB,338,25,0
Bulbasaur VW+PW/SeB,644,4,33
Bulbasaur (Shadow) VW+PW/SeB,622,9,28
Butterfree Cf+BBu/SiB,116,1,0
Butterfree (Shadow) Cf+BBu/SiB,125,39,0
Chansey ZH+DG/P,513,3,3
Charizard E+BB/AC,264,37,0
Charizard (Shadow) E+BB/AC,256,13,0
Charmeleon E+FiP/Re,402,42,0
Charmeleon (Shadow) E+FiP/Ft,592,4,21
Clefable FW+M/MM,214,42,0
Clefairy ZH+DV/BS,429,9,0
Cloyster IS+IW/Li,728,49,52
Cloyster (Shadow) IS+IW/Li,754,13,58
Cubone MSl+BC/Re,263,13,0
Cubone (Shadow) MSl+BC/Dg,271,51,0
Dewgong IS+IW/DR,780,4,64
Dodrio Pk+DrlP/BrB,359,51,0
Dragonair DB+AT/DgP,318,18,0
Dragonair (Shadow) DB+Wr/AT,366,18,0
Dragonite DB+TP/SP,261,30,0
Dragonite (Shadow) DB+TP/SP,274,18,0
Drowzee Cf+Psh/Re,295,13,0
Drowzee (Shadow) Cf+Psh/P,158,1,0
Dugtrio SkP+MB/SE,675,44,40
Dugtrio (Alolan) MSl+MB/IH,422,27,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,394,10,0
Dugtrio (Shadow) SkP+MB/SE,640,32,32
Eevee QA+BS/Dg,496,25,0
Electabuzz TS+TP/Re,378,30,0
Electabuzz (Shadow) TS+TP/Tb,390,13,0
Electrode VS+D/FoP,385,42,0
Electrode (Hisuian) TS+WC/Sw,304,18,0
Electrode (Shadow) VS+D/FoP,457,42,0
Exeggcute Cf+SeB/AP,158,1,0
Exeggcute (Shadow) Cf+SeB/AP,158,39,0
Exeggutor Cf+SeB/P,145,27,0
Exeggutor (Alolan) DT+SeB/DM,500,54,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,488,30,0
Exeggutor (Shadow) Cf+SeB/P,171,27,0
Farfetch'd FC+LB/AA,517,9,4
Farfetch'd (Galarian) FC+LB/BkB,535,54,8
Fearow Pk+DrlP/DR,286,51,0
Flareon E+SP/HW,504,42,1
Gengar SC+ShP/SB,147,13,0
Gengar (Shadow) SC+ShP/SB,168,18,0
Geodude RTh+RT/RS,535,25,8
Geodude (Alolan) VS+RT/RS,622,25,28
Geodude (Alolan) (Shadow) VS+RT/RS,622,13,28
Geodude (Shadow) RTh+RT/RS,609,46,25
Gloom Ac+SlB/M,596,4,22
Gloom (Shadow) Ac+SlB/M,521,4,5
Golbat WA+PF/SB,312,8,0
Golbat (Shadow) WA+PF/SB,143,58,0
Goldeen Pk+AT/HA,341,13,0
Golduck Cf+CrC/Li,267,1,0
Golduck (Shadow) Cf+CrC/Li,263,34,0
Golem MSl+SE/RB,371,39,0
Golem (Alolan) VS+WC/RB,622,25,28
Golem (Alolan) (Shadow) VS+WC/RB,622,18,28
Golem (Shadow) MSl+SE/RB,363,27,0
Graveler MSl+RS/Dg,400,51,0
Graveler (Alolan) VS+SE/RB,653,25,35
Graveler (Alolan) (Shadow) VS+SE/RB,622,13,28
Graveler (Shadow) MSl+RS/Dg,343,27,0
Grimer PJ+Sl/MB,521,4,5
Grimer (Alolan) PJ+Cr/SlB,521,4,5
Grimer (Alolan) (Shadow) PJ+Cr/SlB,403,30,0
Grimer (Shadow) PJ+Sl/MB,251,30,0
Growlithe E+FW/BS,437,42,0
Growlithe (Hisuian) E+RS/Ft,820,13,73
Growlithe (Shadow) E+FW/BS,578,42,18
Gyarados DB+AT/Cr,219,13,0
Gyarados (Shadow) DB+AT/Cr,260,13,0
Haunter SC+ShP/IP,148,18,0
Haunter (Shadow) SC+IP/SB,168,18,0
Hitmonchan C+IP/TP,377,30,0
Hitmonchan (Shadow) C+IP/TP,362,13,0
Hitmonlee LK+BK/BkB,446,30,0
Hitmonlee (Shadow) LK+BK/BkB,517,30,4
Hypno Cf+SB/TP,251,1,0
Hypno (Shadow) Cf+SB/TP,282,39,0
Ivysaur VW+PW/SlB,754,4,58
Ivysaur (Shadow) VW+PW/SlB,754,4,58
Jolteon TS+D/LR,407,30,0
Jynx Cf+Av/Psh,231,27,0
Kabuto MS+AJ/RT,763,13,60
Kabuto (Shadow) MS+AJ/RT,750,51,57
Kabutops FC+SE/WP,885,1,88
Kabutops (Shadow) FC+SE/WP,785,51,65
Kadabra Cf+SB/DG,206,27,0
Kadabra (Shadow) PC+SB/DG,342,51,0
Kangaskhan LK+BkB/St,457,30,0
Kingler B+Crbh/VG,344,1,0
Koffing Inf+Sl/DP,671,4,39
Koffing (Shadow) Inf+Sl/DP,622,9,28
Krabby B+VG/RSh,440,13,0
Lapras Psy+SpA/SkB,438,37,0
Lapras (Shadow) Psy+SpA/IB,402,13,0
Lickitung L+BS/PW,521,9,5
Machamp KC+CrC/RS,383,13,0
Machamp (Shadow) KC+CrC/RS,379,1,0
Machoke KC+CrC/Re,332,18,0
Machoke (Shadow) KC+CrC/DyP,307,1,0
Machop KC+CrC/BkB,347,18,0
Machop (Shadow) KC+CrC/BkB,321,1,0
Magmar KC+FiP/ScS,412,30,0
Magmar (Shadow) KC+FiP/ScS,473,30,0
Magnemite VS+MgB/D,688,39,43
Magnemite (Shadow) VS+MgB/D,622,39,28
Magneton VS+MgB/D,706,51,47
Magneton (Shadow) VS+D/MgB,644,39,33
Mankey KC+CrC/BkB,482,13,0
Mankey (Shadow) KC+CrC/BkB,486,1,0
Marowak MSl+BC/RS,212,51,0
Marowak (Alolan) FS+BC/SBo,372,4,0
Marowak (Alolan) (Shadow) FS+SBo/BC,276,42,0
Marowak (Shadow) MSl+BC/RS,224,39,0
Mew SC+WC/Psh,224,30,0
Mewtwo (Shadow) PC+Pst/Tb,334,18,0
Moltres WA+Fl/HW,243,18,0
Moltres (Galarian) SkP+Fl/BrB,675,9,40
Moltres (Shadow) WA+Fl/HW,245,51,0
Mr. Mime Psy+SB/P,327,39,0
Mr. Mime (Galarian) Cf+IP/TAx,288,51,0
Muk PJ+TP/DP,239,49,0
Muk (Alolan) PJ+DP/AS,300,30,0
Muk (Alolan) (Shadow) PJ+DP/AS,270,6,0
Muk (Shadow) PJ+TP/DP,239,30,0
Nidoking FC+ST/Mh,307,54,0
Nidoking (Shadow) FC+ST/Mh,299,30,0
Nidoqueen MSl+SE/PF,323,51,0
Nidoqueen (Shadow) MSl+SE/PF,165,39,0
Nidorina PSt+PF/Tb,178,20,0
Nidorina (Shadow) PSt+PF/SlB,191,18,0
Nidorino PSt+SlB/IB,226,42,0
Nidorino (Shadow) PSt+SlB/IB,280,42,0
Ninetales E+WBF/Ov,596,9,22
Ninetales (Alolan) PS+WBI/CW,316,54,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,364,42,0
Ninetales (Shadow) E+WBF/Ov,313,18,0
Oddish Ac+SeB/SlB,266,42,0
Oddish (Shadow) Ac+SeB/SlB,291,25,0
Omanyte MS+RT/RB,728,25,52
Omanyte (Shadow) MS+RT/RB,780,58,64
Omastar MS+RS/HP,745,25,56
Omastar (Shadow) MS+RS/HP,780,58,64
Onix RTh+RS/ST,526,56,6
Onix (Shadow) RTh+RS/ST,539,32,9
Parasect FC+XS/CP,688,4,43
Persian FA+NS/PG,780,42,64
Persian (Alolan) FA+FoP/PR,807,30,70
Persian (Shadow) FA+NS/PG,833,63,76
Pidgeot WA+AC/BrB,250,13,0
Pidgeot (Shadow) WA+BrB/AC,327,18,0
Pidgeotto WA+AC/Tw,278,18,0
Pidgeotto (Shadow) WA+AC/Tw,343,18,0
Pinsir FC+CC/XS,323,42,0
Pinsir (Shadow) FC+CC/XS,377,42,0
Poliwhirl B+Sc/MB,297,25,0
