Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mawile (Mega) FW+VG/IH,572,0,18
Swalot Inf+Sl/IB,415,32,0
Cramorant Pk+Dve/Fl,500,1,0
Jumpluff FW+EB/Acr,202,40,0
Malamar (Mega) Psy+FoP/SP/Psb+,632,0,33
Crustle FC+XS/RW,632,0,33
Lapras Psy+SpA/IB,512,0,3
Cetitan PS+ISp/SP,812,0,78
Dusknoir (Shadow) A+DyP/ShP,560,100,15
Aurorus PS+WBI/MeB,708,0,52
Walrein PS+ISp/Eq,438,24,0
Shelgon (Shadow) DB+Tw/Ft,632,0,33
Scizor (Mega) FC+NS/TBl,318,32,0
Aurorus (Shadow) PS+WBI/MeB,632,0,33
Dunsparce Bi+DR/RS,304,40,0
Shelgon DB+Tw/Ft,479,0,0
Abomasnow (Shadow) PS+WBI/EB,624,0,31
Toxapex Bi+Bri/SW,461,8,0
Abomasnow PS+WBI/EB,269,40,0
Walrein (Shadow) PS+ISp/Eq,560,16,15
Dragonair (Shadow) DB+Wr/AT,338,32,0
Grumpig Psy+DyP/SB,632,0,33
Vigoroth Scr+BS/Bd,344,0,0
Dusknoir A+DyP/ShP,592,0,23
Lunatone Psy+WBI/RS,393,32,0
Piloswine PS+ISp/HH,752,0,63
Aggron (Mega) MSo+MeB/BkB,784,0,71
Sealeo PS+S/BS,592,0,23
Froslass PS+Av/SB,752,0,63
Castform (Snowy) PS+WBI/Bl,472,24,0
Vigoroth (Shadow) Scr+BkB/RS,393,0,0
Spidops SC+Lu/RT,370,24,0
Volbeat Inf+Lu/Tb,372,16,0
Cetoddle PS+Av/BS,624,16,31
Cradily Ac+RT/GK,347,24,0
Charjabug VS+XS/D,198,16,0
Piloswine (Shadow) PS+ISp/HH,752,0,63
Sealeo (Shadow) PS+S/BS,500,32,0
Lapras (Shadow) Psy+SpA/IB,416,8,0
Mantine WA+Tw/WP,495,0,0
Wartortle Bi+AJ/IB,544,0,11
Goodra DB+AT/TP,247,32,0
Throh LK+BkB/BS,435,0,0
Toucannon (Shadow) Pk+BBl/DrlP,191,40,0
Charjabug (Shadow) VS+XS/D,206,0,0
Cofagrigus SC+SB/EB,692,0,48
Sliggoo DB+BS/DgP,386,0,0
Crustle (Shadow) FC+XS/RW,632,0,33
Dragalge Ac+AT/O,580,1,20
Oinkologne (Female) TD+BS/TBl,305,0,0
Amaura (Shadow) PS+WBI/Tb,628,0,32
Arctibax DB+Av/DC,584,1,21
Persian (Shadow) Scr+NS/PG,109,32,0
Abomasnow (Mega) PS+WBI/EB,326,40,0
Grumpig (Shadow) Psy+DyP/MrC,632,0,33
Solrock Psy+WBF/RS,393,32,0
Jumpluff (Shadow) FW+EB/Acr,202,40,0
Persian Scr+NS/PG,361,0,0
Seaking Pk+DR/IW,442,0,0
Kommo-o DT+ClS/UH,462,0,0
Rillaboom Scr+DrB/EP,224,24,0
Flamigo Pk+UH/BrB,373,40,0
Hypno (Shadow) Cf+TP/IP,548,0,12
Ledian RO+DyP/Acr,466,1,0
Lickilicky RO+BS/SB,318,32,0
