Pokemon,Battle Rating,Energy Remaining,HP Remaining
Mawile (Mega) FW+VG/IH,645,6,38
Swalot Inf+Sl/IB,374,6,0
Cramorant Pk+Dve/Fl,317,37,0
Jumpluff FW+EB/Acr,392,18,0
Malamar (Mega) Psy+FoP/SP/Psb+,391,30,0
Crustle FC+XS/RW,503,3,1
Lapras Psy+SpA/IB,273,6,0
Cetitan PS+ISp/SP,86,40,0
Dusknoir (Shadow) A+DyP/ShP,530,2,8
Aurorus PS+WBI/MeB,45,40,0
Walrein PS+ISp/Eq,81,40,0
Shelgon (Shadow) DB+Tw/Ft,519,22,5
Scizor (Mega) FC+NS/TBl,656,22,41
Aurorus (Shadow) PS+WBI/MeB,60,40,0
Dunsparce Bi+DR/RS,432,3,0
Shelgon DB+Tw/Ft,447,30,0
Abomasnow (Shadow) PS+WBI/EB,157,40,0
Toxapex Bi+Bri/SW,538,4,10
Abomasnow PS+WBI/EB,139,40,0
Walrein (Shadow) PS+ISp/Eq,97,40,0
Dragonair (Shadow) DB+Wr/AT,522,22,6
Grumpig Psy+DyP/SB,660,2,42
Vigoroth Scr+BS/Bd,389,30,0
Dusknoir A+DyP/ShP,606,2,28
Lunatone Psy+WBI/RS,268,5,0
Piloswine PS+ISp/HH,97,40,0
Aggron (Mega) MSo+MeB/BkB,515,38,4
Sealeo PS+S/BS,187,5,0
Froslass PS+Av/SB,323,5,0
Castform (Snowy) PS+WBI/Bl,85,40,0
Vigoroth (Shadow) Scr+BkB/RS,541,10,11
Spidops SC+Lu/RT,465,26,0
Volbeat Inf+Lu/Tb,583,7,22
Cetoddle PS+Av/BS,206,5,0
Cradily Ac+RT/GK,618,4,31
Charjabug VS+XS/D,629,3,34
Piloswine (Shadow) PS+ISp/HH,113,40,0
Sealeo (Shadow) PS+S/BS,223,5,0
Lapras (Shadow) Psy+SpA/IB,226,13,0
Mantine WA+Tw/WP,380,10,0
Wartortle Bi+AJ/IB,287,6,0
Goodra DB+AT/TP,380,22,0
Throh LK+BkB/BS,587,3,23
Toucannon (Shadow) Pk+BBl/DrlP,386,13,0
Charjabug (Shadow) VS+XS/D,564,10,17
Cofagrigus SC+SB/EB,580,2,21
Sliggoo DB+BS/DgP,367,30,0
Crustle (Shadow) FC+XS/RW,295,13,0
Dragalge Ac+AT/O,683,22,48
Oinkologne (Female) TD+BS/TBl,485,11,0
Amaura (Shadow) PS+WBI/Tb,60,40,0
Arctibax DB+Av/DC,241,5,0
Persian (Shadow) Scr+NS/PG,357,37,0
Abomasnow (Mega) PS+WBI/EB,169,40,0
Grumpig (Shadow) Psy+DyP/MrC,541,2,11
Solrock Psy+WBF/RS,310,37,0
Jumpluff (Shadow) FW+EB/Acr,421,2,0
Persian Scr+NS/PG,427,38,0
Seaking Pk+DR/IW,329,14,0
Kommo-o DT+ClS/UH,443,6,0
Rillaboom Scr+DrB/EP,410,37,0
Flamigo Pk+UH/BrB,333,13,0
Hypno (Shadow) Cf+TP/IP,278,5,0
Ledian RO+DyP/Acr,406,18,0
Lickilicky RO+BS/SB,471,11,0
Dubwool TD+BS/WC,515,11,4
Hypno Cf+SB/TP,557,19,15
Mamoswine (Shadow) PS+ISp/HH,126,40,0
Toucannon Pk+BBl/DrlP,325,13,0
Machoke (Shadow) KC+CrC/DyP,694,6,51
Orbeetle PC+Psh/BBu,709,2,55
Dragonair DB+AT/DgP,429,22,0
Pelipper WA+WBW/Hu,300,37,0
Cofagrigus (Shadow) SC+SB/EB,394,37,0
Dewgong IS+IW/DR,254,6,0
Fearow Pk+DrlP/DR,564,2,17
Toxtricity Ac+WC/Sw,748,6,65
Blastoise Bi+HC/SkB,338,22,0
Slowking (Galarian) Ac+Psh/SB,694,22,51
Amaura PS+WBI/Tb,60,40,0
Dondozo W+S/O,267,6,0
Glalie RO+Av/SB,217,5,0
Victreebel (Shadow) SkP+LB/AS,557,21,15
Miltank RO+BS/IB,270,6,0
Runerigus SC+SB/RT,580,2,21
Lickitung L+BS/PW,381,19,0
Greedent Bi+BS/TBl,324,30,0
Dodrio Pk+DrlP/BrB,359,13,0
Feraligatr SC+HC/IB,268,13,0
Gliscor WA+NS/Acr,448,18,0
Golisopod FC+XS/AJ,519,2,5
Froslass (Shadow) PS+Av/SB,388,5,0
Lumineon G+AT/SvW,335,30,0
Pachirisu VS+HF/TP,622,4,32
Arbok (Shadow) Ac+BrS/Wr,694,6,51
Pidgeot G+Tw/BrB,253,21,0
Samurott FC+HC/Mh,286,13,0
Victreebel SkP+LB/SlB,629,6,34
Aerodactyl (Shadow) DB+RS/BrS,358,37,0
Vespiquen FC+XS/PG,522,26,6
Aipom Scr+Sw/AA,414,22,0
Emolga TS+Acr/D,432,10,0
Slowbro Cf+DrP/IB,315,21,0
Starmie (Shadow) Psy+AJ/PG,120,40,0
Hakamo-o DT+BkB/RT,633,3,35
Machamp (Shadow) KC+CrC/RS,656,6,41
Lopunny LK+TP/TAx,519,3,5
Hawlucha LK+FlP/AA,476,2,0
Noctowl WA+SB/Re,363,10,0
Tentacruel Ac+Sc/Pbk,507,3,2
Dartrix Pk+BrB/EB,360,29,0
Trumbeak (Shadow) Pk+DrlP/RB,443,37,0
Ariados PSt+Lu/FoP,763,22,69
Gligar WA+NS/Dg,500,7,0
Skarmory (Mega) AS+BrB/DR/DrP+,519,2,5
Feraligatr (Shadow) SC+HC/IB,120,40,0
Maushold TD+Sw/Cr,538,3,10
Steelix (Mega) TF+PsF/Cr,736,3,62
Cradily (Shadow) Ac+RT/GK,591,3,24
Dewott FC+AT/XS,422,22,0
Heracross FC+UH/RT,690,6,50
Poliwrath MS+IW/DyP,408,30,0
Primeape (Shadow) KC+RF/IP,215,40,0
Gourgeist (Super) I+SB/SeB,595,2,25
Linoone SC+Sw/GK,386,38,0
Mamoswine PS+ISp/HH,108,40,0
Wartortle (Shadow) Bi+AJ/IB,348,6,0
Gourgeist (Average) I+SB/SeB,591,2,24
Ledian (Shadow) RO+DyP/Acr,485,18,0
Gyarados (Shadow) DB+AT/Tw,367,21,0
Quagsire (Shadow) MS+AT/SE,385,14,0
Arbok Ac+BrS/Wr,751,6,66
Throh (Shadow) LK+BkB/BS,667,30,44
Aipom (Shadow) Scr+Sw/AA,377,37,0
Diggersby MS+FiP/ScS,583,8,22
Girafarig (Shadow) Cf+PsF/TBl,648,14,39
Houndoom (Mega) I+Ft/TBl/DPP,561,6,16
Gligar (Shadow) WA+NS/Dg,500,34,0
Rufflet Pk+BrB/Fl,269,13,0
Girafarig Cf+PsF/TBl,645,2,38
Gurdurr (Shadow) LK+BkB/SE,583,6,22
Kecleon SkP+TP/DyP,656,3,41
Machamp KC+CrC/RS,721,6,58
Salamence (Shadow) DT+Fl/BrS,414,13,0
Qwilfish (Shadow) PSt+AT/SB,587,6,23
Castform H+WBR/EB,373,30,0
Gourgeist (Large) I+SB/SeB,591,2,24
Teddiursa (Shadow) Scr+Sw/CrC,587,6,23
Avalugg IF+Av/BS,212,13,0
Dewgong (Shadow) IS+IW/DR,312,6,0
Grafaiai Scr+PF/FoP,671,6,45
Milotic W+AT/Wr,328,14,0
Politoed (Shadow) MS+WBW/IB,255,13,0
Samurott (Shadow) FC+HC/Mh,128,40,0
Trevenant (Shadow) SC+SB/SeB,652,13,40
Charizard (Mega X) DB+BB/AC,341,13,0
Drampa DB+Sw/DgP,352,29,0
Hippowdon SdA+WBR/EP,629,3,34
Nidoking PSt+Av/EP,98,40,0
Quagsire MS+AT/SE,322,14,0
Stunfisk TS+MB/D,732,4,61
Bellibolt TS+ZC/PbC,774,4,72
Gourgeist (Small) I+SB/SeB,591,2,24
Servine VW+GK/Wr,366,46,0
Ampharos (Shadow) VS+BrS/TBl,690,6,50
Barbaracle FC+CrC/SE,549,30,13
Croconaw (Shadow) Scr+IP/WP,111,40,0
