Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,613,6,31
Ninetales (Shadow) E+WBF/EB,691,1,52
Sableye (Mega) SC+FoP/DG,458,8,0
Quagsire (Shadow) MS+AT/SE,547,13,13
Altaria DB+M/Ft,452,9,0
Corsola (Galarian) A+NSh/PG,323,37,0
Florges FW+CW/DV,468,25,0
Quagsire MS+AT/SE,584,37,23
Corviknight SdA+AC/IH,290,20,0
Cramorant Pk+Dve/Fl,373,18,0
Mantine WA+Tw/WP,314,30,0
Melmetal TS+DbI/DyP,448,20,0
Ninetales E+WBF/EB,738,1,65
Empoleon MSo+HC/DrlP,368,25,0
Empoleon (Shadow) MSo+HC/DrlP,442,25,0
Thievul SkP+NS/IW,632,1,36
Corviknight (Shadow) SdA+AC/IH,360,20,0
Mimikyu SC+SS/PR,514,4,4
Altaria (Shadow) DB+M/Ft,333,18,0
Feraligatr SC+HC/IB,650,30,41
Snorlax Psy+BS/Eq,435,25,0
Fearow Pk+DrlP/DR,149,22,0
Araquanid Inf+WP/MrC,500,9,0
Azumarill B+IB/PR,650,0,41
Furret SkP+Sw/TBl,591,25,25
Jellicent H+S/SB,342,54,0
Malamar (Mega) Psy+FoP/SP/Psb+,849,84,95
Marowak MSl+BC/RS,772,1,74
Clodsire PSt+Eq/SE,544,4,12
Vigoroth Scr+BS/Bd,625,25,34
Sableye (Shadow) SC+FoP/DrP,606,1,29
Feraligatr (Shadow) SC+HC/IB,687,6,51
Annihilape (Shadow) LK+RF/IP,694,6,53
Malamar Psy+SP/FoP,849,84,95
Annihilape LK+RF/IP,457,30,0
Deoxys (Defense) LK+PB/Tb,650,25,41
Dondozo W+S/O,628,9,35
Electrode (Hisuian) TS+WC/EB,317,27,0
Lapras Psy+SpA/IB,613,9,31
Malamar (Shadow) Psy+FoP/SP,808,72,84
Umbreon Sn+DP/LR,577,56,21
Guzzlord DT+BrS/SlB,647,13,40
Jumpluff FW+EB/Acr,480,9,0
Mandibuzz Sn+DP/SB,569,6,19
Araquanid (Shadow) Inf+WP/MrC,500,9,0
Hippowdon SdA+WBR/EP,727,1,62
Kingdra DB+S/Sw,683,18,50
Kingdra (Shadow) DB+S/Sw,606,6,29
Sableye SC+FoP/PG,650,13,41
Snorlax (Shadow) Psy+BS/SP,606,25,29
Vigoroth (Shadow) Scr+BkB/RS,244,39,0
Blastoise Bi+HC/SkB,453,42,0
Carbink RTh+RS/M,321,32,0
Hydreigon (Shadow) DB+BrS/Fl,606,34,29
Spidops SC+Lu/RT,396,37,0
Dragonair (Shadow) DB+Wr/AT,279,39,0
Hippowdon (Shadow) SdA+WBR/EP,691,1,52
Ninetales (Alolan) PS+WBI/CW,525,23,7
Turtonator I+BrS/DC,393,25,0
Charjabug VS+XS/D,444,1,0
Medicham PC+IP/DyP,566,4,18
Cradily Ac+RT/GK,547,49,13
Forretress VS+ST/RT,226,1,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,617,4,32
Diggersby MS+FiP/ScS,643,56,39
Swampert MS+HC/Eq,790,1,79
Dewgong IS+IW/DR,621,0,33
Swampert (Shadow) MS+HC/Eq,768,6,73
Dusclops (Shadow) H+IP/ShP,435,49,0
Lapras (Shadow) Psy+SpA/IB,477,42,0
Doublade SC+SSw/IH,410,32,0
Jumpluff (Shadow) FW+EB/Acr,330,6,0
Rillaboom Scr+DrB/EP,669,6,46
Aegislash (Shield) PC+SB/GB,420,47,0
Marowak (Shadow) MSl+BC/RS,757,1,70
Aromatisse FW+M/Psh,413,25,0
Dragonair DB+AT/DgP,488,6,0
Dusclops H+IP/ShP,342,49,0
Forretress (Shadow) VS+ST/RT,277,1,0
Seismitoad MS+EP/IW,716,4,59
Talonflame I+Fl/BrB,122,51,0
Clefable FW+M/MM,452,37,0
Gourgeist (Large) I+SB/SeB,491,42,0
Gourgeist (Average) I+SB/SeB,482,30,0
Gourgeist (Super) I+SB/SeB,472,42,0
Registeel LO+FC/FB,544,54,12
Drapion (Shadow) PSt+Cr/AT,636,1,37
Grumpig Psy+DyP/SB,650,1,41
Gourgeist (Small) I+SB/SeB,490,42,0
Muk (Alolan) PJ+BrS/IP,628,13,35
Morpeko (Full Belly) TS+AuW/PsF,411,22,0
Hydreigon DB+BrS/Fl,366,27,0
Samurott FC+HC/Mh,698,6,54
