Pokemon,Battle Rating,Energy Remaining,HP Remaining
Melmetal TS+DbI/DyP,421,25,0
Sableye (Mega) SC+FoP/DG,366,12,0
Ninetales (Shadow) E+WBF/EB,432,25,0
Altaria DB+M/Ft,675,33,38
Tinkaton FW+GH/Bd,471,3,0
Mimikyu SC+SS/PR,518,3,4
Cramorant Pk+Dve/Fl,420,25,0
Corviknight SdA+AC/IH,634,3,29
Florges FW+CW/M,450,3,0
Altaria (Shadow) DB+M/Ft,740,7,52
Corsola (Galarian) A+NSh/PG,233,47,0
Corviknight (Shadow) SdA+AC/IH,403,25,0
Quagsire (Shadow) MS+AT/SE,597,3,21
Quagsire MS+AT/SE,574,3,16
Ninetales E+WBF/EB,361,25,0
Araquanid Inf+WP/MrC,611,7,24
Thievul SkP+NS/IW,307,7,0
Clodsire PSt+Eq/SE,638,19,30
Sableye (Shadow) SC+FoP/DrP,360,12,0
Fearow Pk+DrlP/DR,427,10,0
Marowak MSl+BC/RS,550,3,11
Vigoroth Scr+BS/Bd,606,0,23
Empoleon MSo+HC/DrlP,546,3,10
Empoleon (Shadow) MSo+HC/DrlP,491,12,0
Umbreon Sn+DP/LR,272,1,0
Jellicent H+S/SB,685,25,40
Mantine WA+Tw/WP,629,3,28
Stunfisk TS+MB/D,675,11,38
Araquanid (Shadow) Inf+WP/MrC,541,16,9
Azumarill B+IB/PR,555,7,12
Feraligatr SC+HC/IB,404,12,0
Rillaboom Scr+DrB/EP,662,3,35
Electrode (Hisuian) TS+WC/EB,810,7,67
Malamar (Mega) Psy+FoP/SP/Psb+,400,12,0
Sableye SC+FoP/PG,396,12,0
Snorlax Psy+BS/Eq,227,36,0
Charjabug VS+XS/D,555,3,12
Lapras Psy+SpA/IB,321,38,0
Annihilape LK+RF/IP,620,12,26
Annihilape (Shadow) LK+RF/IP,837,12,73
Charjabug (Shadow) VS+XS/D,456,38,0
Deoxys (Defense) LK+PB/Tb,912,3,89
Vigoroth (Shadow) Scr+BkB/RS,597,22,21
Carbink RTh+RS/M,444,28,0
Dondozo W+S/O,491,16,0
Malamar Psy+SP/FoP,366,12,0
Forretress (Shadow) VS+ST/RT,675,3,38
Furret SkP+Sw/TBl,153,2,0
Guzzlord DT+BrS/SlB,383,36,0
Hippowdon SdA+WBR/EP,429,7,0
Jumpluff FW+EB/Acr,652,1,33
Malamar (Shadow) Psy+FoP/SP,431,12,0
Snorlax (Shadow) Psy+BS/SP,459,22,0
Mandibuzz Sn+DP/SB,317,1,0
Morpeko (Full Belly) TS+AuW/PsF,177,29,0
Medicham PC+IP/DyP,675,25,38
Blastoise Bi+HC/SkB,350,25,0
Forretress VS+ST/RT,546,29,10
Hydreigon (Shadow) DB+BrS/Fl,202,47,0
Kingdra DB+S/Sw,440,25,0
Kingdra (Shadow) DB+S/Sw,487,12,0
Diggersby MS+FiP/ScS,396,9,0
Hippowdon (Shadow) SdA+WBR/EP,740,7,52
Spidops SC+Lu/RT,286,38,0
Turtonator I+BrS/DC,362,12,0
Cradily Ac+RT/GK,569,5,15
Feraligatr (Shadow) SC+HC/IB,476,12,0
Ninetales (Alolan) PS+WBI/CW,541,3,9
Dragonair (Shadow) DB+Wr/AT,291,47,0
Lapras (Shadow) Psy+SpA/IB,407,38,0
Dewgong IS+IW/DR,509,7,2
Ninetales (Alolan) (Shadow) PS+WBI/CW,509,3,2
Dusclops (Shadow) H+IP/ShP,500,12,0
Pachirisu VS+Tb/TP,475,29,0
Jumpluff (Shadow) FW+EB/Acr,648,20,32
Doublade SC+SSw/IH,629,12,28
Swampert MS+HC/Eq,509,3,2
Swampert (Shadow) MS+HC/Eq,537,25,8
Marowak (Shadow) MSl+BC/RS,496,20,0
Dusclops H+IP/ShP,500,38,0
Talonflame I+Fl/BrB,403,25,0
Aegislash (Shield) PC+SB/GB,916,38,90
Muk (Alolan) PJ+BrS/IP,415,6,0
Seismitoad MS+EP/IW,592,3,20
Dragonair DB+AT/DgP,592,20,20
Dunsparce Bi+DR/RS,274,1,0
Clefable FW+M/MM,537,3,8
Registeel LO+FC/FB,560,7,13
Drapion (Shadow) PSt+Cr/AT,343,7,0
Dusknoir (Shadow) A+DyP/ShP,277,8,0
Gourgeist (Large) I+SB/SeB,759,12,56
Gourgeist (Super) I+SB/SeB,759,12,56
Grumpig Psy+DyP/SB,740,12,52
Shelgon (Shadow) DB+Tw/Ft,615,7,25
Steelix (Shadow) TF+PsF/Cr,629,3,28
Aromatisse FW+M/Psh,620,3,26
Gourgeist (Average) I+SB/SeB,759,12,56
Stunfisk (Galarian) MS+RS/Eq,518,7,4
Talonflame (Shadow) I+FmC/Fl,532,25,7
Wigglytuff Ch+IW/Sw,318,1,0
Gourgeist (Small) I+SB/SeB,759,12,56
Hydreigon DB+BrS/Fl,202,47,0
Oranguru Cf+BrS/TBl,278,10,0
Muk (Alolan) (Shadow) PJ+BrS/IP,351,20,0
Samurott FC+HC/Mh,611,3,24
Seaking Pk+DR/IW,569,29,15
Castform (Sunny) E+WBF/SoB,363,25,0
Regidrago DB+DrE/VG,487,20,0
Sealeo PS+S/BS,342,38,0
Bellibolt TS+ZC/PbC,428,16,0
Wartortle Bi+AJ/IB,341,38,0
Drapion PSt+Cr/AT,532,6,7
Gligar (Shadow) WA+NS/Dg,750,7,54
Klefki A+FoP/DK,410,38,0
Walrein PS+ISp/Eq,518,3,4
Dusknoir A+DyP/ShP,322,34,0
Torkoal E+FW/Ov,359,38,0
Goodra DB+AT/TP,611,20,24
Morgrem SkP+FoP/PR,142,34,0
Murkrow (Shadow) Pk+DrlP/FoP,689,7,41
Persian Scr+NS/PG,281,23,0
Miltank RO+BS/HH,400,0,0
Oinkologne (Female) TD+BS/TBl,532,8,7
Pelipper WA+WBW/Hu,473,38,0
Politoed (Shadow) MS+WBW/IB,442,25,0
Toucannon (Shadow) Pk+BBl/DrlP,689,7,41
Shelgon DB+Tw/Ft,523,20,5
Toxapex Bi+Bri/SW,491,7,0
Swalot Inf+Sl/IB,611,42,24
Togetic FW+HW/DK,546,1,10
Mawile FW+VG/IH,532,3,7
Moltres (Galarian) SkP+Fl/BrB,383,2,0
Spiritomb SkP+RT/SB,206,47,0
Steelix TF+PsF/Cr,428,16,0
Toucannon Pk+BBl/DrlP,207,2,0
Piloswine PS+ISp/HH,431,38,0
Walrein (Shadow) PS+ISp/Eq,448,25,0
Aurorus PS+WBI/MeB,393,38,0
Cresselia PC+GK/M,833,3,72
Crustle FC+XS/RW,400,25,0
Gligar WA+NS/Dg,810,7,67
Houndoom (Shadow) I+FoP/TBl,411,12,0
Lickilicky RO+BS/SB,381,22,0
Milotic W+AT/Wr,546,3,10
Qwilfish (Hisuian) PSt+AT/DP,334,7,0
Greninja (Shadow) WSh+HC/BrS,217,34,0
Sandslash (Alolan) PS+IP/DR,541,3,9
Wartortle (Shadow) Bi+AJ/IB,388,25,0
Emolga TS+Acr/D,810,7,67
Metang (Shadow) FC+Psh/GB,865,12,79
Sliggoo DB+BS/DgP,421,38,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,465,25,0
Zweilous DB+BS/DP,400,10,0
Flamigo Pk+UH/BrB,750,12,54
Ledian RO+DyP/Acr,754,11,55
Metang FC+Psh/GB,865,12,79
Orthworm MSl+RT/IH,409,29,0
Zweilous (Shadow) DB+BS/DP,485,20,0
Golisopod FC+XS/AJ,425,25,0
Politoed MS+WBW/IB,652,3,33
Sylveon FW+Psh/DK,615,3,25
Milotic (Shadow) W+AT/Wr,458,25,0
Wormadam (Trash) SkP+BBu/IH,340,38,0
Dragalge Ac+AT/O,415,38,0
Raikou TS+WC/AuS,504,25,1
Bastiodon SD+SE/Ft,527,11,6
Dewott FC+AT/XS,689,3,41
Raichu VS+VT/TBl,685,25,40
Dartrix Pk+BrB/EB,750,7,54
Togekiss Pk+Psh/AuS,750,7,54
Cofagrigus SC+SB/EB,601,12,22
Kommo-o DT+ClS/UH,634,20,29
Raichu (Mega X) VS+BkB/TBl/VT+,712,12,46
Sandslash (Alolan) (Shadow) PS+IP/DR,509,38,2
Sealeo (Shadow) PS+S/BS,413,25,0
Dubwool TD+BS/WC,550,5,11
Lanturn WG+S/Tb,583,42,18
Lickitung L+BS/PW,322,22,0
Mawile (Mega) FW+VG/IH,532,3,7
Mawile (Shadow) FW+VG/IH,717,25,47
Persian (Shadow) Scr+NS/PG,310,23,0
Blastoise (Shadow) Bi+HC/SkB,392,12,0
Giratina (Altered) (Shadow) DB+DC/SS,740,12,52
Abomasnow (Shadow) PS+WBI/EB,458,12,0
Greedent Bi+BS/TBl,223,23,0
Overqwil PSt+AT/DP,139,29,0
Articuno PS+IW/Hu,400,3,0
Charizard (Shadow) E+BB/AC,750,12,54
Pidgeot G+Tw/BrB,657,6,34
Qwilfish (Shadow) PSt+AT/SB,680,12,39
Ursaluna Scr+TP/HH,532,9,7
Dragonite (Mega) DB+SP/TP/O+,740,12,52
Ludicolo A+WBW/EB,391,25,0
Magcargo E+RT/Ov,397,3,0
Marowak (Alolan) FS+BC/SBo,740,12,52
Noctowl WA+SB/Re,357,1,0
Runerigus SC+SB/RT,518,3,4
Skarmory AS+BrB/DR,712,3,46
Weezing (Galarian) FW+Sl/BrS,387,25,0
Abomasnow PS+WBI/EB,384,25,0
Diggersby (Shadow) MS+ScS/FiP,350,1,0
Maushold TD+Sw/Cr,360,14,0
Lumineon G+AT/SvW,597,16,21
Rapidash (Shadow) I+DR/WC,620,12,26
Cetitan PS+ISp/SP,509,3,2
Cofagrigus (Shadow) SC+SB/EB,537,12,8
Houndoom (Mega) I+Ft/TBl/DPP,432,25,0
Linoone SC+Sw/GK,155,2,0
Marowak (Alolan) (Shadow) FS+SBo/BC,699,12,43
Lopunny LK+TP/TAx,395,22,0
Machamp (Shadow) KC+CrC/RS,870,12,80
Rapidash I+DR/WC,689,12,41
Slurpuff FW+DK/EB,597,3,21
Dragonite (Shadow) DB+TP/SP,615,7,25
Nidoqueen MSl+EP/PF,406,38,0
Piloswine (Shadow) PS+ISp/HH,477,12,0
Greninja WSh+HC/BrS,369,25,0
Latias DB+AuS/MsB,740,12,52
Ampharos (Shadow) VS+BrS/TBl,685,12,40
Kecleon SkP+TP/DyP,237,10,0
Poliwrath MS+IW/DyP,537,7,8
Tentacruel Ac+Sc/Pbk,833,3,72
Ampharos VS+BrS/TBl,496,38,0
Audino (Mega) CB+BS/DV,405,8,0
Coalossal FS+RS/FmC,413,16,0
Raikou (Shadow) TS+WC/AuS,750,12,54
Bronzong Cf+Psh/Bd,740,12,52
Crustle (Shadow) FC+XS/RW,564,38,14
Trumbeak (Shadow) Pk+DrlP/RB,689,7,41
Amoonguss A+FoP/GK,389,7,0
Castform H+WBR/EB,256,23,0
Dedenne TS+D/PR,518,3,4
