Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,464,16,0
Ninetales (Shadow) E+WBF/EB,782,2,65
Sableye (Mega) SC+FoP/DG,765,16,61
Quagsire (Shadow) MS+AT/SE,782,2,65
Altaria DB+M/Ft,578,0,18
Corsola (Galarian) A+NSh/PG,656,0,36
Florges FW+CW/DV,440,11,0
Quagsire MS+AT/SE,490,16,0
Corviknight SdA+AC/IH,370,21,0
Cramorant Pk+Dve/Fl,424,21,0
Mantine WA+Tw/WP,301,21,0
Melmetal TS+DbI/DyP,626,2,29
Ninetales E+WBF/EB,834,2,77
Empoleon MSo+HC/DrlP,446,21,0
Empoleon (Shadow) MSo+HC/DrlP,752,7,58
Thievul SkP+NS/IW,678,2,41
Corviknight (Shadow) SdA+AC/IH,782,2,65
Mimikyu SC+SS/PR,665,0,38
Altaria (Shadow) DB+M/Ft,329,7,0
Feraligatr SC+HC/IB,436,21,0
Snorlax Psy+BS/Eq,573,0,17
Fearow Pk+DrlP/DR,578,7,18
Araquanid Inf+WP/MrC,73,14,0
Azumarill B+IB/PR,397,22,0
Furret SkP+Sw/TBl,730,2,53
Jellicent H+S/SB,752,0,58
Malamar (Mega) Psy+FoP/SP/Psb+,782,7,65
Marowak MSl+BC/RS,526,2,6
Clodsire PSt+Eq/SE,786,2,66
Vigoroth Scr+BS/Bd,573,2,17
Sableye (Shadow) SC+FoP/DrP,678,2,41
Feraligatr (Shadow) SC+HC/IB,708,21,48
Annihilape (Shadow) LK+RF/IP,167,0,0
Malamar Psy+SP/FoP,782,2,65
Annihilape LK+RF/IP,175,49,0
Deoxys (Defense) LK+PB/Tb,438,7,0
Dondozo W+S/O,595,14,22
Electrode (Hisuian) TS+WC/EB,391,7,0
Lapras Psy+SpA/IB,630,14,30
Malamar (Shadow) Psy+FoP/SP,782,7,65
Umbreon Sn+DP/LR,647,8,34
Guzzlord DT+BrS/SlB,311,2,0
Jumpluff FW+EB/Acr,274,21,0
Mandibuzz Sn+DP/SB,647,8,34
Araquanid (Shadow) Inf+WP/MrC,80,0,0
Hippowdon SdA+WBR/EP,691,7,44
Kingdra DB+S/Sw,351,7,0
Kingdra (Shadow) DB+S/Sw,97,28,0
Sableye SC+FoP/PG,730,2,53
Snorlax (Shadow) Psy+BS/SP,782,7,65
Vigoroth (Shadow) Scr+BkB/RS,508,2,2
Blastoise Bi+HC/SkB,730,0,53
Carbink RTh+RS/M,472,20,0
Hydreigon (Shadow) DB+BrS/Fl,189,28,0
Spidops SC+Lu/RT,695,4,45
Dragonair (Shadow) DB+Wr/AT,149,14,0
Hippowdon (Shadow) SdA+WBR/EP,691,7,44
Ninetales (Alolan) PS+WBI/CW,730,2,53
Turtonator I+BrS/DC,686,2,43
Charjabug VS+XS/D,126,0,0
Medicham PC+IP/DyP,464,16,0
Cradily Ac+RT/GK,621,9,28
Forretress VS+ST/RT,171,28,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,730,2,53
Diggersby MS+FiP/ScS,834,2,77
Swampert MS+HC/Eq,782,2,65
Dewgong IS+IW/DR,471,0,0
Swampert (Shadow) MS+HC/Eq,730,7,53
Dusclops (Shadow) H+IP/ShP,782,7,65
Lapras (Shadow) Psy+SpA/IB,721,0,51
Doublade SC+SSw/IH,730,7,53
Jumpluff (Shadow) FW+EB/Acr,303,21,0
Rillaboom Scr+DrB/EP,333,7,0
Aegislash (Shield) PC+SB/GB,926,0,98
Marowak (Shadow) MSl+BC/RS,316,28,0
Aromatisse FW+M/Psh,626,2,29
Dragonair DB+AT/DgP,417,7,0
Dusclops H+IP/ShP,630,0,30
Forretress (Shadow) VS+ST/RT,144,0,0
Seismitoad MS+EP/IW,573,0,17
Talonflame I+Fl/BrB,665,7,38
Clefable FW+M/MM,656,2,36
Gourgeist (Large) I+SB/SeB,730,21,53
Gourgeist (Average) I+SB/SeB,730,21,53
Gourgeist (Super) I+SB/SeB,488,21,0
Registeel LO+FC/FB,843,9,79
Drapion (Shadow) PSt+Cr/AT,678,2,41
Grumpig Psy+DyP/SB,791,7,67
Gourgeist (Small) I+SB/SeB,782,7,65
Muk (Alolan) PJ+BrS/IP,578,2,18
Morpeko (Full Belly) TS+AuW/PsF,275,28,0
Hydreigon DB+BrS/Fl,366,7,0
Samurott FC+HC/Mh,136,28,0
Regidrago DB+DrE/VG,375,7,0
Dunsparce Bi+DR/RS,377,21,0
Shelgon (Shadow) DB+Tw/Ft,150,28,0
Wigglytuff Ch+IW/Sw,127,0,0
Steelix (Shadow) TF+PsF/Cr,222,9,0
Talonflame (Shadow) I+FmC/Fl,578,7,18
Oranguru Cf+BrS/TBl,813,7,72
Dusknoir (Shadow) A+DyP/ShP,565,7,15
