Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,727,4,71
Ninetales (Shadow) E+WBF/EB,519,46,6
Sableye (Mega) SC+FoP/DG,321,28,0
Quagsire (Shadow) MS+AT/SE,589,1,28
Altaria DB+M/Ft,500,30,0
Corsola (Galarian) A+NSh/PG,438,54,0
Florges FW+CW/DV,570,1,22
Quagsire MS+AT/SE,621,9,38
Corviknight SdA+AC/IH,596,4,30
Cramorant Pk+Dve/Fl,404,54,0
Mantine WA+Tw/WP,608,4,34
Melmetal TS+DbI/DyP,660,1,50
Ninetales E+WBF/EB,412,33,0
Empoleon MSo+HC/DrlP,599,9,31
Empoleon (Shadow) MSo+HC/DrlP,551,1,16
Thievul SkP+NS/IW,275,33,0
Corviknight (Shadow) SdA+AC/IH,564,1,20
Mimikyu SC+SS/PR,177,20,0
Altaria (Shadow) DB+M/Ft,583,4,26
Feraligatr SC+HC/IB,416,54,0
Snorlax Psy+BS/Eq,411,40,0
Fearow Pk+DrlP/DR,314,33,0
Araquanid Inf+WP/MrC,602,56,32
Azumarill B+IB/PR,551,11,16
Furret SkP+Sw/TBl,440,1,0
Jellicent H+S/SB,500,54,0
Malamar (Mega) Psy+FoP/SP/Psb+,325,33,0
Marowak MSl+BC/RS,682,1,57
Clodsire PSt+Eq/SE,695,14,61
Vigoroth Scr+BS/Bd,448,40,0
Sableye (Shadow) SC+FoP/DrP,388,2,0
Feraligatr (Shadow) SC+HC/IB,452,28,0
Annihilape (Shadow) LK+RF/IP,692,2,60
Malamar Psy+SP/FoP,302,33,0
Annihilape LK+RF/IP,750,2,78
Deoxys (Defense) LK+PB/Tb,682,9,57
Dondozo W+S/O,647,17,46
Electrode (Hisuian) TS+WC/EB,343,2,0
Lapras Psy+SpA/IB,641,4,44
Malamar (Shadow) Psy+FoP/SP,363,33,0
Umbreon Sn+DP/LR,298,1,0
Guzzlord DT+BrS/SlB,201,28,0
Jumpluff FW+EB/Acr,235,28,0
Mandibuzz Sn+DP/SB,300,1,0
Araquanid (Shadow) Inf+WP/MrC,724,4,70
Hippowdon SdA+WBR/EP,657,1,49
Kingdra DB+S/Sw,548,9,15
Kingdra (Shadow) DB+S/Sw,596,54,30
Sableye SC+FoP/PG,364,28,0
Snorlax (Shadow) Psy+BS/SP,475,40,0
Vigoroth (Shadow) Scr+BkB/RS,692,1,60
Blastoise Bi+HC/SkB,628,4,40
Carbink RTh+RS/M,602,8,32
Hydreigon (Shadow) DB+BrS/Fl,301,20,0
Spidops SC+Lu/RT,473,4,0
Dragonair (Shadow) DB+Wr/AT,653,41,48
Hippowdon (Shadow) SdA+WBR/EP,615,46,36
Ninetales (Alolan) PS+WBI/CW,724,4,70
Turtonator I+BrS/DC,358,54,0
Charjabug VS+XS/D,325,46,0
Medicham PC+IP/DyP,759,54,81
Cradily Ac+RT/GK,583,4,26
Forretress VS+ST/RT,653,4,48
Ninetales (Alolan) (Shadow) PS+WBI/CW,666,1,52
Diggersby MS+FiP/ScS,528,8,9
Swampert MS+HC/Eq,608,1,34
