Pokemon,Battle Rating,Energy Remaining,HP Remaining
Tinkaton FW+GH/Bd,468,18,0
Ninetales (Shadow) E+WBF/EB,384,45,0
Sableye (Mega) SC+FoP/DG,279,1,0
Quagsire (Shadow) MS+AT/SE,606,5,30
Altaria DB+M/Ft,624,1,35
Corsola (Galarian) A+NSh/PG,305,19,0
Florges FW+CW/DV,395,1,0
Quagsire MS+AT/SE,687,0,53
Corviknight SdA+AC/IH,380,23,0
Cramorant Pk+Dve/Fl,234,32,0
Mantine WA+Tw/WP,363,14,0
Melmetal TS+DbI/DyP,563,5,18
Ninetales E+WBF/EB,627,0,36
Empoleon MSo+HC/DrlP,624,45,35
Empoleon (Shadow) MSo+HC/DrlP,631,0,37
Thievul SkP+NS/IW,666,5,47
Corviknight (Shadow) SdA+AC/IH,296,45,0
Mimikyu SC+SS/PR,102,23,0
Altaria (Shadow) DB+M/Ft,510,1,3
Feraligatr SC+HC/IB,376,45,0
Snorlax Psy+BS/Eq,641,5,40
Fearow Pk+DrlP/DR,387,32,0
Araquanid Inf+WP/MrC,294,27,0
Azumarill B+IB/PR,392,0,0
Furret SkP+Sw/TBl,567,5,19
Jellicent H+S/SB,240,19,0
Malamar (Mega) Psy+FoP/SP/Psb+,673,0,49
Marowak MSl+BC/RS,730,5,65
Clodsire PSt+Eq/SE,524,6,7
Vigoroth Scr+BS/Bd,680,5,51
Sableye (Shadow) SC+FoP/DrP,400,1,0
Feraligatr (Shadow) SC+HC/IB,468,45,0
Annihilape (Shadow) LK+RF/IP,613,1,32
Malamar Psy+SP/FoP,553,0,15
Annihilape LK+RF/IP,478,1,0
Deoxys (Defense) LK+PB/Tb,382,10,0
Dondozo W+S/O,620,27,34
Electrode (Hisuian) TS+WC/EB,695,1,55
Lapras Psy+SpA/IB,691,0,54
Malamar (Shadow) Psy+FoP/SP,316,45,0
Umbreon Sn+DP/LR,602,5,29
Guzzlord DT+BrS/SlB,624,5,35
Jumpluff FW+EB/Acr,563,1,18
Mandibuzz Sn+DP/SB,288,19,0
Araquanid (Shadow) Inf+WP/MrC,363,9,0
Hippowdon SdA+WBR/EP,663,1,46
Kingdra DB+S/Sw,377,45,0
Kingdra (Shadow) DB+S/Sw,470,45,0
Sableye SC+FoP/PG,344,1,0
Snorlax (Shadow) Psy+BS/SP,517,5,5
Vigoroth (Shadow) Scr+BkB/RS,819,0,90
Blastoise Bi+HC/SkB,326,45,0
Carbink RTh+RS/M,492,18,0
Hydreigon (Shadow) DB+BrS/Fl,893,0,111
Spidops SC+Lu/RT,316,19,0
Dragonair (Shadow) DB+Wr/AT,609,1,31
Hippowdon (Shadow) SdA+WBR/EP,620,1,34
Ninetales (Alolan) PS+WBI/CW,595,0,27
Turtonator I+BrS/DC,602,0,29
Charjabug VS+XS/D,428,41,0
Medicham PC+IP/DyP,500,5,0
Cradily Ac+RT/GK,705,5,58
Forretress VS+ST/RT,592,18,26
Ninetales (Alolan) (Shadow) PS+WBI/CW,507,0,2
Diggersby MS+FiP/ScS,776,0,78
Swampert MS+HC/Eq,507,0,2
Dewgong IS+IW/DR,748,0,70
Swampert (Shadow) MS+HC/Eq,437,36,0
Dusclops (Shadow) H+IP/ShP,365,1,0
Lapras (Shadow) Psy+SpA/IB,656,5,44
Doublade SC+SSw/IH,415,0,0
Jumpluff (Shadow) FW+EB/Acr,326,14,0
Rillaboom Scr+DrB/EP,553,1,15
Aegislash (Shield) PC+SB/GB,100,27,0
Marowak (Shadow) MSl+BC/RS,663,1,46
Aromatisse FW+M/Psh,365,1,0
Dragonair DB+AT/DgP,581,1,23
Dusclops H+IP/ShP,287,1,0
Forretress (Shadow) VS+ST/RT,705,0,58
Seismitoad MS+EP/IW,677,5,50
Talonflame I+Fl/BrB,207,14,0
Clefable FW+M/MM,350,1,0
Gourgeist (Large) I+SB/SeB,549,1,14
Gourgeist (Average) I+SB/SeB,549,1,14
Gourgeist (Super) I+SB/SeB,553,1,15
Registeel LO+FC/FB,719,0,62
Drapion (Shadow) PSt+Cr/AT,364,45,0
Grumpig Psy+DyP/SB,340,14,0
Gourgeist (Small) I+SB/SeB,546,1,13
Muk (Alolan) PJ+BrS/IP,567,0,19
Morpeko (Full Belly) TS+AuW/PsF,648,0,42
Hydreigon DB+BrS/Fl,893,0,111
Samurott FC+HC/Mh,422,45,0
Regidrago DB+DrE/VG,666,1,47
Dunsparce Bi+DR/RS,804,5,86
Shelgon (Shadow) DB+Tw/Ft,602,1,29
Wigglytuff Ch+IW/Sw,606,0,30
Steelix (Shadow) TF+PsF/Cr,726,5,64
Talonflame (Shadow) I+FmC/Fl,274,9,0
Oranguru Cf+BrS/TBl,599,27,28
Dusknoir (Shadow) A+DyP/ShP,261,14,0
Seaking Pk+DR/IW,645,0,41
Drapion PSt+Cr/AT,627,0,36
Golisopod FC+XS/AJ,300,45,0
Muk (Alolan) (Shadow) PJ+BrS/IP,375,45,0
Castform (Sunny) E+WBF/SoB,634,0,38
Morgrem SkP+FoP/PR,316,27,0
Moltres (Galarian) SkP+Fl/BrB,229,23,0
Stunfisk (Galarian) MS+RS/Eq,684,0,52
Goodra DB+AT/TP,687,1,53
Toucannon (Shadow) Pk+BBl/DrlP,101,45,0
Dusknoir A+DyP/ShP,366,1,0
Murkrow (Shadow) Pk+DrlP/FoP,37,45,0
Walrein PS+ISp/Eq,539,0,11
Wartortle Bi+AJ/IB,673,9,49
Crustle FC+XS/RW,373,45,0
Klefki A+FoP/DK,303,27,0
Pelipper WA+WBW/Hu,234,23,0
Qwilfish (Hisuian) PSt+AT/DP,359,45,0
Shelgon DB+Tw/Ft,634,1,38
Flamigo Pk+UH/BrB,430,14,0
Oinkologne (Female) TD+BS/TBl,666,5,47
Pachirisu VS+HF/TP,581,1,23
Sealeo PS+S/BS,695,0,55
Spiritomb SkP+RT/SB,173,23,0
Togetic FW+HW/DK,443,19,0
Charjabug (Shadow) VS+XS/D,408,1,0
Gligar (Shadow) WA+NS/Dg,627,1,36
Greninja (Shadow) WSh+HC/BrS,670,0,48
Togekiss Pk+Psh/AuS,631,1,37
Cresselia PC+GK/M,231,19,0
Sliggoo DB+BS/DgP,652,5,43
Stunfisk TS+MB/D,606,1,30
Weezing (Galarian) (Shadow) FW+Sl/BrS,349,41,0
Toucannon Pk+BBl/DrlP,378,14,0
Gligar WA+NS/Dg,687,1,53
Mawile FW+VG/IH,348,45,0
Metang FC+Psh/GB,449,18,0
Toxapex Bi+Bri/SW,457,0,0
Wormadam (Trash) SkP+BBu/IH,474,36,0
Zweilous DB+BS/DP,617,1,33
Dartrix Pk+BrB/EB,360,14,0
Metang (Shadow) FC+Psh/GB,317,45,0
Miltank RO+BS/HH,758,5,73
Orthworm MSl+RT/IH,687,0,53
Politoed (Shadow) MS+WBW/IB,609,5,31
Steelix TF+PsF/Cr,776,0,78
Sylveon FW+Psh/DK,365,5,0
Walrein (Shadow) PS+ISp/Eq,687,18,53
Zweilous (Shadow) DB+BS/DP,737,0,67
Milotic W+AT/Wr,719,0,62
Persian Scr+NS/PG,666,5,47
Bellibolt TS+ZC/PbC,549,0,14
Dewott FC+AT/XS,595,0,27
Milotic (Shadow) W+AT/Wr,659,0,45
Aurorus PS+WBI/MeB,790,0,82
Overqwil PSt+AT/DP,372,45,0
Swalot Inf+Sl/IB,549,1,14
Slurpuff FW+DK/EB,388,14,0
Ledian RO+DyP/Acr,436,19,0
Torkoal E+FW/Ov,719,0,62
Wartortle (Shadow) Bi+AJ/IB,341,45,0
Weezing (Galarian) FW+Sl/BrS,431,10,0
Skarmory AS+BrB/DR,462,0,0
Kommo-o DT+ClS/UH,553,1,15
Lickilicky RO+BS/SB,684,5,52
Mawile (Shadow) FW+VG/IH,428,36,0
Piloswine PS+ISp/HH,670,36,48
Volbeat Inf+Lu/Tb,323,19,0
Abomasnow PS+WBI/EB,670,5,48
Cofagrigus SC+SB/EB,243,41,0
Rapidash (Shadow) I+DR/WC,542,27,12
Emolga TS+Acr/D,340,14,0
Giratina (Altered) (Shadow) DB+DC/SS,507,1,2
Houndoom (Shadow) I+FoP/TBl,648,0,42
Ludicolo A+WBW/EB,624,0,35
Lumineon G+AT/SvW,613,0,32
Politoed MS+WBW/IB,659,0,45
Samurott (Shadow) FC+HC/Mh,477,45,0
Sandslash (Alolan) PS+IP/DR,790,0,82
Mawile (Mega) FW+VG/IH,362,45,0
Abomasnow (Shadow) PS+WBI/EB,741,0,68
Dragalge Ac+AT/O,613,1,32
Lanturn WG+S/Tb,652,27,43
Cofagrigus (Shadow) SC+SB/EB,224,14,0
Diggersby (Shadow) MS+ScS/FiP,744,5,69
Primarina W+M/HC,263,9,0
Raichu VS+VT/TBl,473,45,0
Blastoise (Shadow) Bi+HC/SkB,369,45,0
Crustle (Shadow) FC+XS/RW,421,45,0
Dubwool TD+BS/WC,663,5,46
Greedent Bi+BS/TBl,783,5,80
Greninja WSh+HC/BrS,723,0,63
Sealeo (Shadow) PS+S/BS,627,45,36
Bastiodon SD+SE/Ft,900,0,113
Charizard (Shadow) E+BB/AC,350,41,0
Poliwrath MS+IW/DyP,695,0,55
Raikou TS+WC/AuS,469,45,0
Runerigus SC+SB/RT,311,41,0
Latias DB+AuS/MsB,510,1,3
Linoone SC+Sw/GK,617,0,33
Persian (Shadow) Scr+NS/PG,893,0,111
Sandslash (Alolan) (Shadow) PS+IP/DR,744,0,69
Articuno PS+IW/Hu,297,18,0
Dragonite (Mega) DB+SP/TP/O+,893,5,111
Pidgeot G+Tw/BrB,278,23,0
Dodrio Pk+DrlP/BrB,459,9,0
Gastrodon MSl+BS/EP,648,0,42
Noctowl WA+SB/Re,461,23,0
Throh LK+BkB/BS,652,0,43
Cetitan PS+ISp/SP,652,45,43
Gyarados DB+AT/Tw,574,5,21
Scizor FC+NS/TBl,414,45,0
Greninja (Mega) WSh+HC/BrS/S+,691,0,54
Piloswine (Shadow) PS+ISp/HH,709,0,59
Skarmory (Shadow) AS+BrB/DR,617,0,33
Lopunny LK+TP/TAx,801,5,85
Raichu (Mega X) VS+BkB/TBl/VT+,578,27,22
Rapidash I+DR/WC,437,45,0
Bellossom Ac+LB/DG,595,1,27
Lickitung L+BS/PW,659,0,45
Marowak (Alolan) FS+BC/SBo,276,19,0
Maushold TD+Sw/Cr,659,5,45
Qwilfish (Shadow) PSt+AT/SB,378,41,0
Dewott (Shadow) FC+AT/XS,465,36,0
Hakamo-o DT+BkB/RT,780,1,79
Machamp (Shadow) KC+CrC/RS,843,0,97
Nidoqueen MSl+EP/PF,620,1,34
Dragonite (Shadow) DB+TP/SP,730,5,65
Gogoat VW+LB/RS,539,1,11
Scizor (Shadow) FC+NS/TBl,634,27,38
Victreebel (Shadow) SkP+LB/AS,599,23,28
Bombirdier SkP+Fl/DR,320,41,0
Machoke (Shadow) KC+CrC/DyP,744,27,69
Marowak (Alolan) (Shadow) FS+SBo/BC,184,32,0
Tinkatuff FW+PR/FC,463,27,0
Charizard E+BB/AC,341,36,0
Dedenne TS+D/PR,496,9,0
Hawlucha LK+FlP/AA,659,1,45
Trumbeak (Shadow) Pk+DrlP/RB,94,45,0
Ampharos (Shadow) VS+BrS/TBl,652,1,43
Audino (Mega) CB+BS/DV,434,27,0
Grumpig (Shadow) Psy+DyP/MrC,393,14,0
Amoonguss A+GK/FoP,588,1,25
Croconaw Scr+IP/WP,670,0,48
Grimmsnarl SkP+FoP/DK,364,18,0
Ledian (Shadow) RO+DyP/Acr,473,1,0
Raichu (Alolan) VS+VT/Psh,423,1,0
