Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,381,16,0
Tinkaton FW+GH/Bd,209,24,0
Empoleon MSo+HC/DrlP,418,40,0
Mimikyu SC+SS/PR,242,16,0
Altaria DB+SA/Ft,604,6,26
Sableye (Mega) SC+FoP/PG,616,0,29
Altaria (Shadow) DB+SA/Ft,512,0,3
Empoleon (Shadow) MSo+HC/DrlP,500,40,0
Quagsire (Shadow) MS+AT/MB,369,32,0
Quagsire MS+AT/MB,556,8,14
Jellicent H+S/SB,612,40,28
Forretress VS+ST/RT,520,24,5
Ninetales E+WBF/EB,528,30,7
Forretress (Shadow) VS+ST/RT,592,0,23
Jumpluff FW+EB/Acr,352,30,0
Ninetales (Shadow) E+WBF/EB,696,6,49
Feraligatr SC+HC/IB,408,40,0
Clodsire PSt+Eq/SE,389,16,0
Fearow Pk+DrlP/DR,608,14,27
Feraligatr (Shadow) SC+HC/IB,500,30,0
Guzzlord DT+BrS/SlB,315,38,0
Azumarill B+IB/PR,287,46,0
Corsola (Galarian) A+NSh/PG,596,0,24
Corviknight SdA+AC/Pbk,560,6,15
Cramorant Pk+Dve/Fl,632,14,33
Kingdra DB+S/Sw,415,40,0
Kingdra (Shadow) DB+S/Sw,495,22,0
Corviknight (Shadow) SdA+AC/Pbk,536,0,9
Dragonair (Shadow) DB+Wr/AT,492,22,0
Furret SkP+Sw/TBl,309,46,0
Sableye (Shadow) SC+FoP/DrP,500,0,0
Seismitoad MS+EP/IW,608,0,27
Umbreon Sn+FoP/LR,339,20,0
Dragonair DB+AT/DgP,389,32,0
Lapras Psy+SpA/IB,427,46,0
Medicham PC+IP/DyP,656,0,39
Talonflame I+Fl/BrB,808,6,77
Sliggoo DB+BS/DgP,375,40,0
Oinkologne (Female) MSl+BS/TBl,407,24,0
Sealeo PS+S/BS,520,6,5
Florges FW+CW/DV,359,14,0
Thievul SkP+NS/IW,334,30,0
Greedent MS+BS/TBl,389,32,0
Sableye SC+FoP/PG,500,0,0
Wigglytuff Ch+IW/Sw,264,30,0
Clefable FW+M/MM,319,6,0
Cradily Ac+RT/GK,604,14,26
Dusclops H+IP/ShP,592,0,23
Moltres (Galarian) SkP+Fl/BrB,403,6,0
Sealeo (Shadow) PS+S/BS,552,30,13
Blastoise RO+HC/SkB,632,0,33
Diggersby MS+FiP/ScS,339,40,0
Grumpig Psy+DyP/SB,688,32,47
Talonflame (Shadow) I+FmC/Fl,772,6,68
Drapion (Shadow) PSt+Cr/AT,398,22,0
Dusclops (Shadow) H+IP/ShP,683,32,46
Lapras (Shadow) Psy+SpA/IB,664,0,41
Charjabug VS+XS/D,592,30,23
Dewgong IS+IW/DR,652,6,38
Gastrodon MSl+BS/EP,520,0,5
Malamar (Mega) Psy+FoP/SP/Psb+,724,0,56
Ninetales (Alolan) PS+WBI/CW,492,22,0
Swampert MS+HC/Eq,404,32,0
Steelix (Shadow) TF+PsF/Cr,564,16,16
Mandibuzz Sn+FoP/SB,512,4,3
Marowak (Shadow) MSl+BC/RS,512,0,3
Ninetales (Alolan) (Shadow) PS+WBI/CW,648,6,37
Swampert (Shadow) MS+HC/Eq,426,16,0
Aegislash (Shield) PC+SB/GB,504,32,1
Malamar Psy+SP/FoP,728,0,57
Mantine WA+Tw/WP,596,6,24
Hydreigon (Shadow) DB+BrS/Fl,340,16,0
Shelgon DB+Tw/Ft,410,40,0
Stunfisk (Galarian) MS+RS/Eq,453,16,0
Bastiodon SD+SE/Ft,464,24,0
Jumpluff (Shadow) FW+EB/Acr,428,30,0
Morpeko (Full Belly) TS+AuW/PsF,322,32,0
Registeel LO+FC/FB,399,24,0
Dondozo W+S/O,504,6,1
Dunsparce RO+DR/RS,512,0,3
Seaking Pk+DR/IW,420,40,0
Shelgon (Shadow) DB+Tw/Ft,491,22,0
Morgrem SkP+FoP/PR,340,14,0
Stunfisk TS+MB/D,482,32,0
Turtonator I+BrS/DC,628,0,32
Aromatisse FW+Psh/M,333,6,0
Gourgeist (Average) I+SB/SeB,736,16,59
Gourgeist (Large) I+SB/SeB,552,24,13
