Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,434,32,0
Tinkaton FW+GH/Bd,92,45,0
Empoleon MSo+HC/DrlP,500,25,0
Mimikyu SC+SS/PR,126,5,0
Altaria DB+SA/Ft,654,0,38
Sableye (Mega) SC+FoP/PG,449,32,0
Altaria (Shadow) DB+SA/Ft,654,0,38
Empoleon (Shadow) MSo+HC/DrlP,516,1,4
Quagsire (Shadow) MS+AT/MB,630,8,32
Quagsire MS+AT/MB,459,36,0
Jellicent H+S/SB,508,0,2
Forretress VS+ST/RT,735,1,58
Ninetales E+WBF/EB,780,20,69
Forretress (Shadow) VS+ST/RT,686,1,46
Jumpluff FW+EB/Acr,313,24,0
Ninetales (Shadow) E+WBF/EB,723,8,55
Feraligatr SC+HC/IB,772,8,67
Clodsire PSt+Eq/SE,492,0,0
Fearow Pk+DrlP/DR,504,0,1
Feraligatr (Shadow) SC+HC/IB,593,0,23
Guzzlord DT+BrS/SlB,560,0,15
Azumarill B+IB/PR,178,22,0
Corsola (Galarian) A+NSh/PG,370,40,0
Corviknight SdA+AC/Pbk,493,21,0
Cramorant Pk+Dve/Fl,593,12,23
Kingdra DB+S/Sw,520,0,5
Kingdra (Shadow) DB+S/Sw,406,36,0
Corviknight (Shadow) SdA+AC/Pbk,646,1,36
Dragonair (Shadow) DB+Wr/AT,397,40,0
Furret SkP+Sw/TBl,481,17,0
Sableye (Shadow) SC+FoP/DrP,256,44,0
Seismitoad MS+EP/IW,552,0,13
Umbreon Sn+FoP/LR,371,53,0
Dragonair DB+AT/DgP,654,0,38
Lapras Psy+SpA/IB,377,20,0
Medicham PC+IP/DyP,496,21,0
Talonflame I+Fl/BrB,792,20,72
Sliggoo DB+BS/DgP,528,0,7
Oinkologne (Female) MSl+BS/TBl,548,0,12
Sealeo PS+S/BS,413,24,0
Florges FW+CW/DV,100,29,0
Thievul SkP+NS/IW,425,16,0
Greedent MS+BS/TBl,556,0,14
Sableye SC+FoP/PG,565,12,16
Wigglytuff Ch+IW/Sw,177,5,0
Clefable FW+M/MM,173,45,0
Cradily Ac+RT/GK,540,0,10
Dusclops H+IP/ShP,425,32,0
Moltres (Galarian) SkP+Fl/BrB,654,60,38
Sealeo (Shadow) PS+S/BS,252,44,0
Blastoise RO+HC/SkB,813,28,77
Diggersby MS+FiP/ScS,666,0,41
Grumpig Psy+DyP/SB,276,56,0
Talonflame (Shadow) I+FmC/Fl,800,0,74
Drapion (Shadow) PSt+Cr/AT,723,0,55
Dusclops (Shadow) H+IP/ShP,453,32,0
Lapras (Shadow) Psy+SpA/IB,494,5,0
Charjabug VS+XS/D,626,1,31
Dewgong IS+IW/DR,350,28,0
Gastrodon MSl+BS/EP,440,28,0
Malamar (Mega) Psy+FoP/SP/Psb+,491,8,0
Ninetales (Alolan) PS+WBI/CW,80,21,0
Swampert MS+HC/Eq,496,16,0
Steelix (Shadow) TF+PsF/Cr,670,5,42
Mandibuzz Sn+FoP/SB,431,0,0
Marowak (Shadow) MSl+BC/RS,516,12,4
Ninetales (Alolan) (Shadow) PS+WBI/CW,80,36,0
Swampert (Shadow) MS+HC/Eq,674,0,43
Aegislash (Shield) PC+SB/GB,374,41,0
Malamar Psy+SP/FoP,262,56,0
Mantine WA+Tw/WP,421,40,0
Hydreigon (Shadow) DB+BrS/Fl,495,36,0
Shelgon DB+Tw/Ft,500,0,0
Stunfisk (Galarian) MS+RS/Eq,485,38,0
Bastiodon SD+SE/Ft,262,58,0
Jumpluff (Shadow) FW+EB/Acr,593,1,23
Morpeko (Full Belly) TS+AuW/PsF,743,0,60
Registeel LO+FC/FB,395,50,0
Dondozo W+S/O,658,0,39
Dunsparce RO+DR/RS,617,0,29
Seaking Pk+DR/IW,489,40,0
Shelgon (Shadow) DB+Tw/Ft,500,0,0
Morgrem SkP+FoP/PR,166,41,0
Stunfisk TS+MB/D,695,0,48
Turtonator I+BrS/DC,833,0,82
Aromatisse FW+Psh/M,163,45,0
Gourgeist (Average) I+SB/SeB,756,1,63
Gourgeist (Large) I+SB/SeB,756,16,63
Gourgeist (Super) I+SB/SeB,760,1,64
Hydreigon DB+BrS/Fl,413,36,0
Malamar (Shadow) Psy+FoP/SP,471,0,0
Samurott FC+HC/Mh,715,12,53
Crustle FC+XS/RW,516,8,4
Milotic W+AT/Wr,585,28,21
Drapion PSt+Cr/AT,593,12,23
Oranguru Cf+BrS/TBl,516,21,4
Pelipper WA+WBW/Hu,666,4,41
Doublade SC+SSw/GB,367,12,0
Gourgeist (Small) I+SB/SeB,756,1,63
Melmetal TS+DbI/DyP,654,1,38
Dusknoir (Shadow) A+DyP/ShP,654,4,38
Milotic (Shadow) W+AT/Wr,756,12,63
Castform (Sunny) E+WBF/SoB,654,40,38
Crustle (Shadow) FC+XS/RW,752,0,62
Politoed (Shadow) MS+WBW/IB,453,0,0
Sylveon FW+Psh/SB,96,41,0
Aurorus PS+WBI/MeB,176,36,0
Carbink RTh+RS/M,218,34,0
Miltank RO+BS/Tb,470,40,0
Spidops SC+Lu/RT,565,0,16
Golisopod FC+XS/AJ,536,0,9
Primeape (Shadow) KC+RF/IP,331,36,0
Weezing (Galarian) (Shadow) FW+Sl/BrS,94,29,0
Kommo-o DT+ClS/UH,654,0,38
Sandslash (Alolan) PS+IP/DR,172,44,0
Gligar WA+NS/Dg,548,0,12
Hippowdon SdA+WBR/EP,500,13,0
Toucannon Pk+BBl/DrlP,247,40,0
Toucannon (Shadow) Pk+BBl/DrlP,329,40,0
Walrein PS+ISp/Eq,207,44,0
Ludicolo A+WBW/EB,577,5,19
Bellibolt TS+ZC/PbC,739,0,59
Greninja (Shadow) WSh+HC/NS,650,0,37
Klefki A+FoP/PR,491,10,0
Dusknoir A+DyP/ShP,477,12,0
Gligar (Shadow) WA+NS/Dg,508,1,2
Regidrago DB+DrE/VG,670,0,42
Goodra DB+AT/TP,577,0,19
Lickitung L+BS/PW,601,0,25
Murkrow (Shadow) Pk+DrlP/FoP,374,40,0
Noctowl WA+SB/Re,440,40,0
Sandslash (Alolan) (Shadow) PS+IP/DR,172,44,0
Zweilous DB+BS/DP,520,0,5
Araquanid BBi+WP/BuB,349,25,0
Lumineon G+AT/SvW,528,36,7
Spiritomb SkP+RT/SB,471,40,0
Zweilous (Shadow) DB+BS/DP,410,36,0
Araquanid (Shadow) BBi+BuB/WP,349,32,0
