Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lickilicky RO+BS/SB,393,10,0
Tinkaton FW+GH/Bd,432,10,0
Empoleon MSo+HC/DrlP,405,45,0
Mimikyu SC+SS/PR,561,30,14
Altaria DB+SA/Ft,416,50,0
Sableye (Mega) SC+FoP/PG,431,10,0
Altaria (Shadow) DB+SA/Ft,423,10,0
Empoleon (Shadow) MSo+HC/DrlP,592,30,21
Quagsire (Shadow) MS+AT/MB,347,10,0
Quagsire MS+AT/MB,288,10,0
Jellicent H+S/SB,615,0,26
Forretress VS+ST/RT,663,45,37
Ninetales E+WBF/EB,761,15,59
Forretress (Shadow) VS+ST/RT,774,25,62
Jumpluff FW+EB/Acr,579,15,18
Ninetales (Shadow) E+WBF/EB,668,15,38
Feraligatr SC+HC/IB,404,30,0
Clodsire PSt+Eq/SE,288,30,0
Fearow Pk+DrlP/DR,479,10,0
Feraligatr (Shadow) SC+HC/IB,360,45,0
Guzzlord DT+BrS/SlB,420,10,0
Azumarill B+IB/PR,295,0,0
Corsola (Galarian) A+NSh/PG,316,30,0
Corviknight SdA+AC/Pbk,592,10,21
Cramorant Pk+Dve/Fl,392,30,0
Kingdra DB+S/Sw,478,30,0
Kingdra (Shadow) DB+S/Sw,254,25,0
Corviknight (Shadow) SdA+AC/Pbk,548,10,11
Dragonair (Shadow) DB+Wr/AT,530,10,7
Furret SkP+Sw/TBl,478,50,0
Sableye (Shadow) SC+FoP/DrP,566,30,15
Seismitoad MS+EP/IW,337,10,0
Umbreon Sn+FoP/LR,474,20,0
Dragonair DB+AT/DgP,224,5,0
Lapras Psy+SpA/IB,351,30,0
Medicham PC+IP/DyP,397,10,0
Talonflame I+Fl/BrB,477,50,0
Sliggoo DB+BS/DgP,191,5,0
Oinkologne (Female) MSl+BS/TBl,413,10,0
Sealeo PS+S/BS,425,50,0
Florges FW+CW/DV,318,45,0
Thievul SkP+NS/IW,456,50,0
Greedent MS+BS/TBl,575,0,17
Sableye SC+FoP/PG,372,45,0
Wigglytuff Ch+IW/Sw,428,15,0
Clefable FW+M/MM,357,50,0
Cradily Ac+RT/GK,496,0,0
Dusclops H+IP/ShP,610,0,25
Moltres (Galarian) SkP+Fl/BrB,383,10,0
Sealeo (Shadow) PS+S/BS,488,10,0
Blastoise RO+HC/SkB,369,10,0
Diggersby MS+FiP/ScS,333,50,0
Grumpig Psy+DyP/SB,619,10,27
Talonflame (Shadow) I+FmC/Fl,628,10,29
Drapion (Shadow) PSt+Cr/AT,508,30,2
Dusclops (Shadow) H+IP/ShP,557,10,13
Lapras (Shadow) Psy+SpA/IB,421,30,0
Charjabug VS+XS/D,787,30,65
Dewgong IS+IW/DR,606,0,24
Gastrodon MSl+BS/EP,303,10,0
Malamar (Mega) Psy+FoP/SP/Psb+,458,30,0
Ninetales (Alolan) PS+WBI/CW,420,30,0
Swampert MS+HC/Eq,360,10,0
Steelix (Shadow) TF+PsF/Cr,765,10,60
Mandibuzz Sn+FoP/SB,474,20,0
Marowak (Shadow) MSl+BC/RS,252,5,0
Ninetales (Alolan) (Shadow) PS+WBI/CW,400,10,0
Swampert (Shadow) MS+HC/Eq,308,25,0
Aegislash (Shield) PC+SB/GB,544,50,10
Malamar Psy+SP/FoP,449,30,0
Mantine WA+Tw/WP,322,10,0
Hydreigon (Shadow) DB+BrS/Fl,297,25,0
Shelgon DB+Tw/Ft,223,5,0
Stunfisk (Galarian) MS+RS/Eq,302,10,0
Bastiodon SD+SE/Ft,176,45,0
Jumpluff (Shadow) FW+EB/Acr,606,50,24
Morpeko (Full Belly) TS+AuW/PsF,738,10,54
Registeel LO+FC/FB,461,30,0
Dondozo W+S/O,262,10,0
Dunsparce RO+DR/RS,375,10,0
Seaking Pk+DR/IW,398,30,0
Shelgon (Shadow) DB+Tw/Ft,97,40,0
Morgrem SkP+FoP/PR,357,30,0
Stunfisk TS+MB/D,354,10,0
Turtonator I+BrS/DC,500,0,0
Aromatisse FW+Psh/M,355,50,0
Gourgeist (Average) I+SB/SeB,668,45,38
Gourgeist (Large) I+SB/SeB,668,45,38
Gourgeist (Super) I+SB/SeB,668,45,38
Hydreigon DB+BrS/Fl,526,10,6
Malamar (Shadow) Psy+FoP/SP,522,30,5
Samurott FC+HC/Mh,422,30,0
Crustle FC+XS/RW,256,5,0
Milotic W+AT/Wr,374,10,0
Drapion PSt+Cr/AT,440,30,0
Oranguru Cf+BrS/TBl,570,10,16
Pelipper WA+WBW/Hu,400,30,0
Doublade SC+SSw/GB,734,25,53
Gourgeist (Small) I+SB/SeB,663,45,37
