Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aipom A+Sw/AA,638,5,37
Aipom (Shadow) A+Sw/AA,619,100,32
Alakazam PC+FiP/SB,861,18,97
Alakazam (Shadow) PC+FiP/SB,865,56,98
Alomomola W+HP/P,652,0,41
Ambipom A+AA/Re,798,100,80
Ambipom (Shadow) A+AA/LS,843,100,92
Armarouge I+Psh/HW,738,91,64
Aromatisse Ch+Psh/M,262,50,0
Articuno (Galarian) PC+Fl/BrB,828,91,88
Audino ZH+BS/DV,723,2,60
Azelf Cf+Sw/FS,701,70,54
Azumarill B+IB/PR,405,18,0
Barbaracle FC+CrC/SE,356,22,0
Basculin WG+AT/AJ,492,50,0
Beheeyem Cf+RS/DP,686,84,50
Bewear SC+SP/St,251,15,0
Bewear (Shadow) SC+SP/St,300,15,0
Bibarel RO+S/HF,518,5,5
Bibarel (Shadow) RO+S/HF,459,50,0
Blastoise RO+HC/SkB,353,36,0
Blastoise (Shadow) RO+HC/SkB,423,36,0
Blissey ZH+WC/DG,679,27,48
Bouffalant MS+St/Mh,597,0,26
Braviary AS+Fl/CC,634,100,36
Braviary (Hisuian) AS+BrB/Fl,727,98,61
Brionne Ch+AJ/DV,559,95,16
Bruxish Cf+PsF/Cr,701,84,54
Buneary QA+Sw/FiP,429,43,0
Carracosta WG+Li/BS,383,36,0
Carracosta (Shadow) WG+Li/BS,454,50,0
Castform H+WBR/EB,626,5,34
Castform (Rainy) WG+WBW/T,315,36,0
Chatot Pk+SA/HW,493,55,0
Chimecho A+Psh/SB,880,100,102
Cinccino Ch+AT/Tb,548,100,13
Clamperl WG+BS/WP,433,50,0
Clauncher WG+AJ/Crbh,694,5,52
Clawitzer WG+Crbh/IB,593,100,25
Clefairy ZH+DV/BS,712,21,57
Cloyster IS+IW/Li,652,0,41
Cloyster (Shadow) IS+IW/Li,555,0,15
Comfey VW+GK/DK,503,0,1
Corphish B+AJ/VG,731,100,62
Corphish (Shadow) B+AJ/VG,723,100,60
Corsola B+PG/RB,380,50,0
Croconaw WG+IP/WP,451,50,0
Croconaw (Shadow) WG+IP/WP,567,100,18
Dachsbun Ch+PsF/PR,263,43,0
Delcatty FA+WC/DV,694,5,52
Delphox FS+Psh/BB,697,91,53
Delphox (Shadow) FS+Psh/BB,708,77,56
Deoxys (Defense) C+PB/Tb,503,57,1
Deoxys (Speed) CB+PB/Sw,906,77,109
Dewgong IS+IW/DR,455,9,0
Dewott FC+AT/XS,429,36,0
Dewott (Shadow) FC+AT/XS,386,48,0
Diancie RTh+RS/M,526,5,7
Dodrio Pk+DrlP/BrB,679,100,48
Dondozo W+S/O,604,0,28
Dottler Cf+BBu/P,723,81,60
Drampa DB+Sw/DgP,400,10,0
Drizzile WG+S/WP,593,100,25
Drowzee Cf+Psh/Re,723,100,60
Drowzee (Shadow) Cf+Psh/P,746,8,66
Dubwool DK+BS/WC,300,10,0
Dudunsparce RO+BS/DR,357,29,0
Dunsparce RO+DR/RS,619,7,32
Duosion HPP+Psh/NSh,764,77,71
Duosion (Shadow) HPP+Psh/NSh,791,63,78
Eevee QA+BS/Sw,429,43,0
Elgyem Cf+DP/P,686,84,50
Espeon Cf+PsF/SB,757,70,69
Espurr Cf+Psh/EB,679,67,48
Exploud A+Cr/BmB,847,5,93
Exploud (Shadow) A+Cr/BmB,813,100,84
Fearow Pk+DrlP/DR,391,55,0
Feraligatr SC+HC/Cr,626,100,34
Feraligatr (Shadow) SC+HC/Cr,600,100,27
Flabebe VW+DG/P,768,5,72
Floatzel W+AJ/Sw,619,100,32
Floette VW+DG/P,476,21,0
Florges FW+DV/TBl,541,0,11
Frillish H+NSh/IB,917,100,112
Frogadier B+S/AA,491,50,0
Frogadier (Shadow) B+S/AA,690,100,51
Furfrou SkP+S/GK,500,0,0
Gallade PC+CC/LB,408,48,0
Gallade (Shadow) PC+CC/LB,526,55,7
Gardevoir Ch+TAx/SB,466,50,0
Gardevoir (Shadow) Ch+TAx/SB,503,100,1
Girafarig Cf+PsF/TBl,720,91,59
Girafarig (Shadow) Cf+PsF/TBl,667,77,45
Goldeen Pk+AT/HA,589,100,24
Golduck Cf+CrC/Li,379,22,0
Golduck (Shadow) Cf+CrC/Li,465,50,0
Gorebyss Cf+WP/P,589,100,24
Gothitelle Cf+RS/FS,679,100,48
Gothitelle (Shadow) Cf+RS/FS,630,53,35
Gothorita Cf+FS/P,638,100,37
Gothorita (Shadow) Cf+FS/P,630,100,35
Grafaiai MSl+PF/SlB,478,36,0
Granbull Sn+CC/Cr,312,29,0
Granbull (Shadow) Sn+CC/Cr,374,29,0
Grumpig Psy+DyP/SB,634,100,36
Grumpig (Shadow) Psy+DyP/SB,679,100,48
Gumshoos Bi+RT/Cr,548,95,13
Gyarados DB+AT/Cr,380,10,0
Gyarados (Shadow) DB+AT/Cr,409,48,0
Hatterene PC+Psh/PW,783,100,76
Hattrem Cf+Psh/DG,701,8,54
Heliolisk VS+BkS/PbC,555,100,15
Heliolisk (Shadow) VS+BkS/PbC,544,74,12
Herdier SdA+Dg/Tb,429,50,0
Hoopa Cf+SB/P,832,49,89
Huntail WG+AT/Cr,437,50,0
Hypno Cf+SB/TP,479,50,0
Hypno (Shadow) Cf+SB/TP,652,100,41
Indeedee (Female) Ex+P/EB,761,100,70
Indeedee (Male) Ex+SB/P,813,84,84
Inteleon WG+S/SB,660,100,43
Jynx Cf+Av/Psh,716,77,58
Kabuto MS+AJ/RT,582,88,22
Kabuto (Shadow) MS+AJ/RT,835,100,90
Kabutops FC+SE/WP,634,100,36
Kabutops (Shadow) FC+SE/WP,690,100,51
Kadabra Cf+SB/DG,742,63,65
Kadabra (Shadow) PC+SB/DG,865,56,98
Kangaskhan MSl+BkB/Cr,359,36,0
Kecleon SkP+FoP/T,432,50,0
Kingdra DB+Sw/O,368,29,0
Kingdra (Shadow) DB+Sw/O,406,100,0
Kingler B+Crbh/XS,723,100,60
Komala RO+Pbk/Bd,623,81,33
Krabby B+VG/RSh,494,50,0
Kyogre (Shadow) W+Av/S,589,100,24
Lapras Psy+SpA/SkB,340,50,0
Lapras (Shadow) Psy+SpA/DgP,357,36,0
