Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aipom A+Sw/AA,721,5,63
Aipom (Shadow) A+Sw/AA,676,43,50
Alakazam PC+FiP/SB,848,18,99
Alakazam (Shadow) PC+FiP/SB,816,18,90
Alomomola W+HP/P,432,25,0
Ambipom A+AA/Re,838,5,96
Ambipom (Shadow) A+AA/LS,816,36,90
Armarouge I+Psh/HW,725,46,64
Aromatisse Ch+Psh/M,448,14,0
Articuno (Galarian) PC+Fl/BrB,823,46,92
Audino ZH+BS/DV,753,2,72
Azelf Cf+Sw/FS,707,25,59
Azumarill B+IB/PR,442,3,0
Barbaracle FC+CrC/SE,378,29,0
Basculin WG+AT/AJ,449,43,0
Beheeyem Cf+RS/DP,690,46,54
Bewear SC+SP/St,349,47,0
Bibarel RO+S/HF,598,5,28
Bibarel (Shadow) RO+S/HF,535,5,10
Blastoise RO+HC/SkB,392,50,0
Blastoise (Shadow) RO+HC/SkB,392,50,0
Blissey ZH+WC/DG,728,6,65
Bouffalant MS+St/Mh,651,5,43
Braviary AS+Fl/CC,672,43,49
Braviary (Hisuian) AS+BrB/Fl,739,8,68
Brionne Ch+AJ/DV,591,5,26
Bruxish Cf+PsF/Cr,644,46,41
Buneary QA+Sw/FiP,510,0,3
Carracosta WG+Li/BS,425,50,0
Carracosta (Shadow) WG+Li/BS,458,36,0
Castform H+WBR/EB,711,0,60
Castform (Rainy) WG+WBW/T,647,0,42
Chatot Pk+SA/HW,496,36,0
Chimecho A+Psh/SB,869,22,105
Cinccino Ch+AT/Tb,559,0,17
Clamperl WG+BS/WP,485,50,0
Clauncher WG+AJ/Crbh,654,5,44
Clawitzer WG+Crbh/IB,619,43,34
Clefairy ZH+DV/BS,746,42,70
Cloyster IS+IW/Li,661,0,46
Cloyster (Shadow) IS+IW/Li,595,0,27
Comfey VW+GK/DK,591,21,26
Corphish B+AJ/VG,531,50,9
Corphish (Shadow) B+AJ/VG,718,60,62
Corsola B+PG/RB,566,0,19
Croconaw WG+IP/WP,510,0,3
Croconaw (Shadow) WG+IP/WP,451,50,0
Dachsbun Ch+PsF/PR,433,0,0
Delcatty FA+WC/DV,711,7,60
Delphox FS+Psh/BB,669,53,48
Delphox (Shadow) FS+Psh/BB,676,32,50
Deoxys (Defense) C+PB/Tb,469,36,0
Deoxys (Speed) CB+PB/Sw,862,46,103
Dewgong IS+IW/DR,468,39,0
Dewott FC+AT/XS,369,36,0
Dewott (Shadow) FC+AT/XS,438,36,0
Diancie RTh+RS/M,552,0,15
Dodrio Pk+DrlP/BrB,472,29,0
Dondozo W+S/O,494,9,0
Dottler Cf+BBu/P,718,36,62
Drampa DB+Sw/DgP,426,22,0
Drizzile WG+S/WP,637,36,39
Drowzee Cf+Psh/Re,728,36,65
Drowzee (Shadow) Cf+Psh/P,704,22,58
Dubwool DK+BS/WC,378,43,0
Dudunsparce RO+BS/DR,570,0,20
Dunsparce RO+DR/RS,573,21,21
Duosion HPP+Psh/NSh,764,32,75
Duosion (Shadow) HPP+Psh/NSh,785,18,81
Eevee QA+BS/Sw,598,5,28
Elgyem Cf+DP/P,644,53,41
Espeon Cf+PsF/SB,693,32,55
Espurr Cf+Psh/EB,676,22,50
Exploud A+Cr/BmB,838,5,96
Exploud (Shadow) A+Cr/BmB,816,5,90
Fearow Pk+DrlP/DR,503,0,1
Feraligatr SC+HC/Cr,693,5,55
Feraligatr (Shadow) SC+HC/Cr,633,0,38
Flabebe VW+DG/P,757,5,73
Floatzel W+AJ/Sw,584,29,24
Floette VW+DG/P,566,2,19
Florges FW+DV/TBl,454,0,0
Frillish H+NSh/IB,894,29,112
Frogadier B+S/AA,495,50,0
Frogadier (Shadow) B+S/AA,619,36,34
Furfrou SkP+S/GK,380,50,0
Gallade PC+CC/LB,322,1,0
Gallade (Shadow) PC+CC/LB,384,1,0
Gardevoir Ch+TAx/SB,394,17,0
Gardevoir (Shadow) Ch+TAx/SB,379,46,0
Girafarig Cf+PsF/TBl,665,46,47
Girafarig (Shadow) Cf+PsF/TBl,616,39,33
Goldeen Pk+AT/HA,514,50,4
Golduck Cf+CrC/Li,521,0,6
Golduck (Shadow) Cf+CrC/Li,441,22,0
Gorebyss Cf+WP/P,598,50,28
Gothitelle Cf+RS/FS,665,29,47
Gothitelle (Shadow) Cf+RS/FS,612,15,32
Gothorita Cf+FS/P,644,43,41
Gothorita (Shadow) Cf+FS/P,605,15,30
Grafaiai MSl+PF/SlB,478,36,0
Granbull Sn+CC/Cr,517,5,5
Granbull (Shadow) Sn+CC/Cr,312,29,0
Grumpig Psy+DyP/SB,458,29,0
Grumpig (Shadow) Psy+DyP/SB,690,15,54
Gumshoos Bi+RT/Cr,459,50,0
Gyarados DB+AT/Cr,454,36,0
Gyarados (Shadow) DB+AT/Cr,507,29,2
Hatterene PC+Psh/PW,570,43,20
Hattrem Cf+Psh/DG,647,22,42
