Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aipom A+Sw/AA,707,0,51
Aipom (Shadow) A+Sw/AA,666,0,41
Alakazam PC+FiP/SB,489,6,0
Alakazam (Shadow) PC+FiP/SB,764,6,65
Alomomola W+HP/P,626,8,31
Ambipom A+AA/Re,707,0,51
Ambipom (Shadow) A+AA/LS,662,6,40
Armarouge I+Psh/HW,277,33,0
Aromatisse Ch+Psh/M,601,2,25
Articuno (Galarian) PC+Fl/BrB,808,0,76
Audino ZH+BS/DV,715,20,53
Azelf Cf+Sw/FS,569,0,17
Azumarill B+IB/PR,489,2,0
Barbaracle FC+CrC/SE,473,9,0
Basculin WG+AT/AJ,613,0,28
Beheeyem Cf+RS/DP,650,0,37
Bewear SC+SP/St,764,6,65
Bewear (Shadow) SC+SP/St,707,6,51
Bibarel RO+S/HF,512,27,3
Bibarel (Shadow) RO+S/HF,666,0,41
Blastoise RO+HC/SkB,357,42,0
Blastoise (Shadow) RO+HC/SkB,338,6,0
Blissey ZH+WC/DG,747,6,61
Bouffalant MS+St/Mh,642,2,35
Braviary AS+Fl/CC,707,0,51
Braviary (Hisuian) AS+BrB/Fl,678,9,44
Brionne Ch+AJ/DV,601,27,25
Bruxish Cf+PsF/Cr,577,0,19
Buneary QA+Sw/FiP,621,0,30
Carracosta WG+Li/BS,682,2,45
Carracosta (Shadow) WG+Li/BS,613,0,28
Castform H+WBR/EB,400,18,0
Castform (Rainy) WG+WBW/T,512,5,3
Chatot Pk+SA/HW,686,0,46
Chimecho A+Psh/SB,303,3,0
Cinccino Ch+AT/Tb,666,0,41
Clamperl WG+BS/WP,739,0,59
Clauncher WG+AJ/Crbh,739,0,59
Clawitzer WG+Crbh/IB,597,0,24
Clefairy ZH+DV/BS,796,2,73
Cloyster IS+IW/Li,516,11,4
Cloyster (Shadow) IS+IW/Li,387,24,0
Comfey VW+GK/DK,837,27,83
Corphish B+AJ/VG,747,0,61
Corphish (Shadow) B+AJ/VG,735,6,58
Corsola B+PG/RB,414,27,0
Croconaw WG+IP/WP,682,2,45
Croconaw (Shadow) WG+IP/WP,597,0,24
Dachsbun Ch+PsF/PR,577,2,19
Delcatty FA+WC/DV,821,5,79
Delphox FS+Psh/BB,363,27,0
Delphox (Shadow) FS+Psh/BB,404,42,0
Deoxys (Defense) C+PB/Tb,796,2,73
Deoxys (Speed) CB+PB/Sw,577,0,19
Dewgong IS+IW/DR,382,5,0
Dewott FC+AT/XS,703,27,50
Dewott (Shadow) FC+AT/XS,695,0,48
Diancie RTh+RS/M,168,46,0
Dodrio Pk+DrlP/BrB,495,6,0
Dondozo W+S/O,593,5,23
Dottler Cf+BBu/P,601,2,25
Drampa DB+Sw/DgP,715,6,53
Drizzile WG+S/WP,597,0,24
Drowzee Cf+Psh/Re,443,24,0
Drowzee (Shadow) Cf+Psh/P,662,18,40
Dubwool DK+BS/WC,634,2,33
Dudunsparce RO+BS/DR,357,33,0
Dunsparce RO+DR/RS,369,9,0
Duosion HPP+Psh/NSh,707,0,51
Duosion (Shadow) HPP+Psh/NSh,630,6,32
Eevee QA+BS/Sw,678,9,44
Elgyem Cf+DP/P,601,0,25
Espeon Cf+PsF/SB,548,0,12
Espurr Cf+Psh/EB,489,18,0
Exploud A+Cr/BmB,650,2,37
Exploud (Shadow) A+Cr/BmB,666,0,41
Fearow Pk+DrlP/DR,427,6,0
Feraligatr SC+HC/Cr,396,42,0
Feraligatr (Shadow) SC+HC/Cr,440,6,0
Flabebe VW+DG/P,869,0,91
Floatzel W+AJ/Sw,662,6,40
Floette VW+DG/P,837,2,83
Florges FW+DV/TBl,593,27,23
Frillish H+NSh/IB,516,2,4
Frogadier B+S/AA,747,0,61
Frogadier (Shadow) B+S/AA,735,6,58
Furfrou SkP+S/GK,760,2,64
Gallade PC+CC/LB,727,6,56
Gallade (Shadow) PC+CC/LB,650,6,37
Gardevoir Ch+TAx/SB,556,0,14
Gardevoir (Shadow) Ch+TAx/SB,278,46,0
Girafarig Cf+PsF/TBl,605,0,26
Girafarig (Shadow) Cf+PsF/TBl,532,0,8
Goldeen Pk+AT/HA,626,0,31
Golduck Cf+CrC/Li,735,0,58
Golduck (Shadow) Cf+CrC/Li,678,0,44
Gorebyss Cf+WP/P,666,0,41
Gothitelle Cf+RS/FS,478,21,0
Gothitelle (Shadow) Cf+RS/FS,552,18,13
Gothorita Cf+FS/P,485,42,0
Gothorita (Shadow) Cf+FS/P,556,9,14
Grafaiai MSl+PF/SlB,512,2,3
Granbull Sn+CC/Cr,910,0,101
Granbull (Shadow) Sn+CC/Cr,882,6,94
Grumpig Psy+DyP/SB,303,12,0
Grumpig (Shadow) Psy+DyP/SB,613,0,28
Gumshoos Bi+RT/Cr,735,0,58
Gyarados DB+AT/Cr,715,0,53
Gyarados (Shadow) DB+AT/Cr,686,0,46
Hatterene PC+Psh/PW,609,0,27
Hattrem Cf+Psh/DG,468,3,0
Heliolisk VS+BkS/PbC,476,0,0
Heliolisk (Shadow) VS+BkS/PbC,228,37,0
Herdier SdA+Dg/Tb,841,27,84
Hoopa Cf+SB/P,569,0,17
Huntail WG+AT/Cr,613,0,28
Hypno Cf+SB/TP,265,12,0
Hypno (Shadow) Cf+SB/TP,190,52,0
Indeedee (Female) Ex+P/EB,699,21,49
Indeedee (Male) Ex+SB/P,747,0,61
Inteleon WG+S/SB,621,6,30
Jynx Cf+Av/Psh,650,0,37
Kabuto MS+AJ/RT,585,9,21
Kabuto (Shadow) MS+AJ/RT,695,6,48
Kabutops FC+SE/WP,865,0,90
Kabutops (Shadow) FC+SE/WP,873,6,92
Kadabra Cf+SB/DG,540,6,10
Kadabra (Shadow) PC+SB/DG,707,6,51
Kangaskhan MSl+BkB/Cr,752,2,62
Kecleon SkP+FoP/T,760,2,64
Kingdra DB+Sw/O,752,0,62
Kingdra (Shadow) DB+Sw/O,735,6,58
Kingler B+Crbh/XS,707,0,51
Komala RO+Pbk/Bd,707,0,51
Krabby B+VG/RSh,727,6,56
Kyogre (Shadow) W+Av/S,589,6,22
Lapras Psy+SpA/SkB,354,36,0
Lapras (Shadow) Psy+SpA/DgP,343,33,0
Latias DB+AuS/MsB,865,0,90
Latias (Shadow) DB+AuS/MsB,865,15,90
