Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aipom A+Sw/AA,629,1,36
Aipom (Shadow) A+Sw/AA,535,1,10
Alakazam PC+FiP/SB,546,1,13
Alakazam (Shadow) PC+FiP/SB,351,23,0
Alomomola W+HP/P,378,18,0
Ambipom A+AA/Re,600,1,28
Ambipom (Shadow) A+AA/LS,507,1,2
Armarouge I+Psh/HW,629,1,36
Aromatisse Ch+Psh/M,535,1,10
Articuno (Galarian) PC+Fl/BrB,339,35,0
Audino ZH+BS/DV,640,15,39
Azelf Cf+Sw/FS,550,1,14
Azumarill B+IB/PR,416,33,0
Barbaracle FC+CrC/SE,486,19,0
Basculin WG+AT/AJ,461,40,0
Beheeyem Cf+RS/DP,669,1,47
Bewear SC+SP/St,794,4,82
Bibarel RO+S/HF,375,31,0
Bibarel (Shadow) RO+S/HF,402,31,0
Blastoise RO+HC/SkB,338,31,0
Blastoise (Shadow) RO+HC/SkB,380,28,0
Blissey ZH+WC/DG,517,2,5
Bouffalant MS+St/Mh,672,7,48
Braviary AS+Fl/CC,769,1,75
Braviary (Hisuian) AS+BrB/Fl,769,4,75
Brionne Ch+AJ/DV,433,28,0
Bruxish Cf+PsF/Cr,217,35,0
Buneary QA+Sw/FiP,672,1,48
Carracosta WG+Li/BS,629,28,36
Carracosta (Shadow) WG+Li/BS,665,1,46
Castform H+WBR/EB,579,16,22
Castform (Rainy) WG+WBW/T,328,16,0
Chatot Pk+SA/HW,550,1,14
Chimecho A+Psh/SB,568,1,19
Cinccino Ch+AT/Tb,625,1,35
Clamperl WG+BS/WP,629,13,36
Clauncher WG+AJ/Crbh,615,0,32
Clawitzer WG+Crbh/IB,575,19,21
Clefairy ZH+DV/BS,838,1,94
Cloyster IS+IW/Li,456,42,0
Cloyster (Shadow) IS+IW/Li,633,0,37
Comfey VW+GK/DK,261,41,0
Corphish B+AJ/VG,514,16,4
Corphish (Shadow) B+AJ/VG,611,4,31
Corsola B+PG/RB,458,40,0
Croconaw WG+IP/WP,579,0,22
Croconaw (Shadow) WG+IP/WP,557,0,16
Dachsbun Ch+PsF/PR,579,10,22
Delcatty FA+WC/DV,464,10,0
Delphox FS+Psh/BB,633,84,37
Delphox (Shadow) FS+Psh/BB,820,66,89
Deoxys (Defense) C+PB/Tb,611,7,31
Deoxys (Speed) CB+PB/Sw,600,1,28
Dewgong IS+IW/DR,461,15,0
Dewott FC+AT/XS,342,16,0
Dewott (Shadow) FC+AT/XS,349,4,0
Diancie RTh+RS/M,694,1,54
Dodrio Pk+DrlP/BrB,345,35,0
Dondozo W+S/O,430,15,0
Dottler Cf+BBu/P,532,0,9
Drampa DB+Sw/DgP,213,32,0
Drizzile WG+S/WP,568,0,19
Drowzee Cf+Psh/Re,429,31,0
Drowzee (Shadow) Cf+Psh/P,593,7,26
Dubwool DK+BS/WC,410,13,0
Dudunsparce RO+BS/DR,494,7,0
Dunsparce RO+DR/RS,521,0,6
Duosion HPP+Psh/NSh,737,1,66
Duosion (Shadow) HPP+Psh/NSh,672,1,48
Eevee QA+BS/Sw,744,1,68
Elgyem Cf+DP/P,694,1,54
Espeon Cf+PsF/SB,391,35,0
Espurr Cf+Psh/EB,482,4,0
Exploud A+Cr/BmB,600,16,28
Exploud (Shadow) A+Cr/BmB,532,1,9
Fearow Pk+DrlP/DR,575,1,21
Feraligatr SC+HC/Cr,396,19,0
Feraligatr (Shadow) SC+HC/Cr,404,13,0
Flabebe VW+DG/P,794,1,82
Floatzel W+AJ/Sw,428,22,0
Floette VW+DG/P,417,13,0
Florges FW+DV/TBl,477,13,0
Frillish H+NSh/IB,366,22,0
Frogadier B+S/AA,535,0,10
Frogadier (Shadow) B+S/AA,615,19,32
Furfrou SkP+S/GK,492,4,0
Gallade PC+CC/LB,379,38,0
Gallade (Shadow) PC+CC/LB,379,38,0
Gardevoir Ch+TAx/SB,672,1,48
Gardevoir (Shadow) Ch+TAx/SB,586,1,24
Girafarig Cf+PsF/TBl,292,35,0
Girafarig (Shadow) Cf+PsF/TBl,292,35,0
Goldeen Pk+AT/HA,466,34,0
Golduck Cf+CrC/Li,387,19,0
Golduck (Shadow) Cf+CrC/Li,414,19,0
Gorebyss Cf+WP/P,507,4,2
Gothitelle Cf+RS/FS,449,16,0
Gothitelle (Shadow) Cf+RS/FS,669,1,47
Gothorita Cf+FS/P,440,28,0
Gothorita (Shadow) Cf+FS/P,669,1,47
Grafaiai MSl+PF/SlB,604,1,29
Granbull Sn+CC/Cr,636,1,38
Granbull (Shadow) Sn+CC/Cr,593,1,26
Grumpig Psy+DyP/SB,439,25,0
Grumpig (Shadow) Psy+DyP/SB,299,38,0
Gumshoos Bi+RT/Cr,694,1,54
Gyarados DB+AT/Cr,611,1,31
Gyarados (Shadow) DB+AT/Cr,404,4,0
Hatterene PC+Psh/PW,364,29,0
Hattrem Cf+Psh/DG,561,1,17
Heliolisk VS+BkS/PbC,543,1,12
Herdier SdA+Dg/Tb,496,7,0
Hoopa Cf+SB/P,669,1,47
Huntail WG+AT/Cr,582,13,23
Hypno Cf+SB/TP,391,28,0
Hypno (Shadow) Cf+SB/TP,299,47,0
Indeedee (Female) Ex+P/EB,495,4,0
Indeedee (Male) Ex+SB/P,769,1,75
Inteleon WG+S/SB,507,1,2
Jynx Cf+Av/Psh,514,1,4
Kabuto MS+AJ/RT,690,7,53
Kabuto (Shadow) MS+AJ/RT,611,1,31
Kabutops FC+SE/WP,794,1,82
Kabutops (Shadow) FC+SE/WP,401,41,0
Kadabra Cf+SB/DG,618,1,33
Kadabra (Shadow) PC+SB/DG,798,69,83
Kangaskhan MSl+BkB/Cr,633,1,37
Kecleon SkP+FoP/T,436,10,0
Kingdra DB+Sw/O,110,20,0
Kingdra (Shadow) DB+Sw/O,110,20,0
Kingler B+Crbh/XS,658,10,44
Komala RO+Pbk/Bd,730,1,64
Krabby B+VG/RSh,658,7,44
Kyogre (Shadow) W+Av/S,589,1,25
Lapras Psy+SpA/SkB,301,31,0
Lapras (Shadow) Psy+SpA/DgP,307,25,0
Latias DB+AuS/MsB,254,38,0
Latias (Shadow) DB+AuS/MsB,257,38,0
Latios DB+AuS/DC,259,38,0
Latios (Shadow) DB+AuS/DC,247,32,0
Linoone SC+Sw/GK,477,13,0
Litleo I+FmC/Cr,690,1,53
Lopunny LK+TAx/HB,427,16,0
Loudred Bi+St/DV,694,1,54
Loudred (Shadow) Bi+St/DV,694,1,54
Lumineon W+AT/SvW,604,3,29
Lunatone Psy+WBI/RS,521,1,6
Mantine WA+AA/IB,347,40,0
Mantyke B+WP/AA,579,0,22
Marshtomp MS+S/Sl,701,7,56
Marshtomp (Shadow) MS+S/Sl,683,1,51
Maushold MS+Sw/Cr,636,7,38
Meowstic (Female) Cf+SB/P,719,4,61
Meowstic (Male) SkP+EB/Tb,744,4,68
Mesprit Cf+Sw/FS,486,16,0
Mew SC+WC/Psh,294,35,0
Mewtwo (Shadow) PC+Pst/Tb,476,20,0
Milotic W+AT/Wr,416,40,0
Milotic (Shadow) W+AT/Wr,412,31,0
Miltank RO+BS/Tb,356,13,0
