Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,730,4,58
Abomasnow (Shadow) PS+WBI/EB,670,4,43
Accelgor WSh+BBu/AS,698,4,50
Accelgor (Shadow) WSh+EB/BBu,757,11,65
Aerodactyl DB+RS/EP,225,48,0
Aerodactyl (Shadow) DB+RS/EP,250,48,0
Aipom A+Sw/AA,678,12,45
Aipom (Shadow) A+Sw/AA,638,4,35
Alakazam PC+FiP/SB,619,11,30
Alakazam (Shadow) PC+FiP/SB,531,3,8
Alomomola W+HP/Bl,394,7,0
Altaria DB+SA/Ft,896,3,100
Altaria (Shadow) DB+SA/Ft,845,3,87
Amaura PS+WBI/Tb,242,51,0
Amaura (Shadow) PS+WBI/Tb,260,51,0
Ambipom A+AA/Re,690,4,48
Ambipom (Shadow) A+AA/LS,642,4,36
Amoonguss A+FoP/GK,722,4,56
Amoonguss (Shadow) A+GK/FoP,682,4,46
Ampharos VS+BrS/TBl,383,35,0
Ampharos (Shadow) VS+BrS/TBl,461,35,0
Annihilape LK+RF/IP,742,4,61
Annihilape (Shadow) C+RF/IP,630,4,33
Anorith StB+AJ/AP,710,4,53
Anorith (Shadow) StB+AJ/CP,880,11,96
Appletun A+EB/O,888,3,98
Araquanid BBi+WP/BuB,595,7,24
Araquanid (Shadow) BBi+BuB/WP,630,20,33
Arbok Ac+DP/SW,515,12,4
Arbok (Shadow) Ac+DP/SW,841,4,86
Arboliva ML+EP/TBl,920,3,106
Arcanine FF+WC/PsF,244,11,0
Arcanine (Hisuian) Sn+WC/RS,93,48,0
Arcanine (Shadow) FF+WC/PsF,268,11,0
Archen WA+AP/Cr,310,48,0
Archen (Shadow) WA+AP/Cr,362,48,0
Archeops WA+AP/Cr,311,48,0
Archeops (Shadow) WA+AP/Cr,367,48,0
Arctibax DB+Av/DC,539,12,10
Ariados PSt+Lu/TBl,813,4,79
Armaldo FC+RB/Li,365,11,0
Armaldo (Shadow) FC+RB/Li,130,40,0
Armarouge I+Psh/HW,252,11,0
Articuno PS+IW/Hu,500,7,0
Articuno (Galarian) PC+Fl/BrB,928,3,108
Articuno (Shadow) PS+TAx/Hu,503,4,1
Audino ZH+BS/DV,718,0,55
Aurorus PS+WBI/MeB,179,11,0
Aurorus (Shadow) PS+WBI/MeB,201,11,0
Avalugg IF+Av/BS,437,52,0
