Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,639,27,39
Abomasnow (Shadow) PS+WBI/EB,728,1,64
Accelgor WSh+BBu/AS,771,1,76
Accelgor (Shadow) WSh+EB/BBu,582,1,23
Aerodactyl DB+RS/EP,760,1,73
Aerodactyl (Shadow) DB+RS/EP,760,1,73
Aipom A+Sw/AA,488,53,0
Aipom (Shadow) A+Sw/AA,517,14,5
Alakazam PC+FiP/SB,517,1,5
Alakazam (Shadow) PC+FiP/SB,236,33,0
Alomomola W+HP/Bl,485,19,0
Altaria DB+SA/Ft,760,1,73
Altaria (Shadow) DB+SA/Ft,760,1,73
Amaura PS+WBI/Tb,625,48,35
Amaura (Shadow) PS+WBI/Tb,717,9,61
Ambipom A+AA/Re,771,1,76
Ambipom (Shadow) A+AA/LS,721,1,62
Amoonguss A+FoP/GK,491,40,0
Amoonguss (Shadow) A+GK/FoP,771,1,76
Ampharos VS+BrS/TBl,468,27,0
Ampharos (Shadow) VS+BrS/TBl,553,1,15
Annihilape LK+RF/IP,521,9,6
Annihilape (Shadow) C+RF/IP,89,28,0
Anorith StB+AJ/AP,771,1,76
Anorith (Shadow) StB+AJ/CP,721,1,62
Appletun A+EB/O,796,1,83
Araquanid BBi+WP/BuB,301,35,0
Araquanid (Shadow) BBi+BuB/WP,363,35,0
Arbok Ac+DP/SW,487,40,0
Arbok (Shadow) Ac+DP/SW,760,1,73
Arboliva ML+EP/TBl,757,1,72
Arcanine FF+WC/PsF,456,1,0
Arcanine (Hisuian) Sn+WC/RS,528,9,8
Arcanine (Shadow) FF+WC/PsF,244,33,0
Archen WA+AP/Cr,760,1,73
Archen (Shadow) WA+AP/Cr,721,1,62
Archeops WA+AP/Cr,760,1,73
Archeops (Shadow) WA+AP/Cr,721,1,62
Arctibax DB+Av/DC,589,14,25
Ariados PSt+Lu/TBl,464,40,0
Armaldo FC+RB/Li,521,1,6
Armaldo (Shadow) FC+RB/Li,308,46,0
Armarouge I+Psh/HW,444,1,0
Articuno PS+IW/Hu,878,1,106
Articuno (Galarian) PC+Fl/BrB,603,1,29
Articuno (Shadow) PS+TAx/Hu,832,1,93
Audino ZH+BS/DV,664,2,46
Aurorus PS+WBI/MeB,414,9,0
Aurorus (Shadow) PS+WBI/MeB,721,9,62
Avalugg IF+Av/BS,632,3,37
Avalugg (Hisuian) PS+RS/IW,510,35,3
Axew Scr+AT/DC,753,1,71
Axew (Shadow) Scr+AT/DC,671,1,48
Azelf Cf+Sw/FS,710,1,59
Banette SC+SB/DG,760,1,73
Banette (Shadow) SC+SB/DG,721,1,62
Barbaracle FC+CrC/SE,291,1,0
Basculin WG+AT/AJ,510,22,3
Baxcalibur DB+GlR/Av,251,46,0
Bayleef ML+AP/EB,525,8,7
Bayleef (Shadow) ML+AP/EB,771,1,76
Beartic PS+IP/Li,653,9,43
Beautifly Inf+AC/SvW,714,1,60
Beedrill PSt+XS/DR,660,1,45
Beedrill (Shadow) PSt+XS/DR,621,1,34
Beheeyem Cf+RS/DP,696,14,55
Bellibolt TS+ZC/PbC,340,40,0
Bellossom Ac+LB/DG,635,14,38
Bellossom (Shadow) Ac+LB/DG,610,1,31
Bergmite Tk+IW/Cr,796,22,83
Bewear SC+SP/St,411,14,0
Bewear (Shadow) SC+SP/St,739,14,67
Bibarel RO+S/HF,375,40,0
Bibarel (Shadow) RO+S/HF,375,1,0
Blacephalon I+MdB/SB,303,20,0
Blastoise RO+HC/SkB,338,9,0
Blastoise (Shadow) RO+HC/SkB,411,9,0
Blaziken E+AuS/BB,155,33,0
Blaziken (Shadow) E+AuS/BB,180,33,0
Blissey ZH+WC/DG,567,41,19
Boldore MSl+RS/Bd,435,14,0
Boldore (Shadow) MSl+RS/Bd,771,1,76
Boltund Sp+Cr/T,800,1,84
Bonsly RTh+RT/RS,370,14,0
Bouffalant MS+St/Mh,441,40,0
Braixen E+Psh/FmC,231,41,0
Braixen (Shadow) E+Psh/FmC,288,41,0
Braviary AS+Fl/CC,796,1,83
Braviary (Hisuian) AS+BrB/Fl,796,1,83
Breloom FPm+DyP/GK,121,33,0
Brionne Ch+AJ/DV,454,22,0
Bruxish Cf+AT/PsF,510,9,3
Bulbasaur VW+PW/SeB,710,1,59
Bulbasaur (Shadow) VW+PW/SlB,800,1,84
Buneary QA+Sw/FiP,585,27,24
Butterfree Cf+BBu/SiB,800,1,84
Butterfree (Shadow) Cf+BBu/SiB,746,1,69
Buzzwole C+SP/Lu,397,14,0
Camerupt I+EP/RT,496,1,0
Camerupt (Shadow) I+EP/RT,510,1,3
Carkol SD+RS/FmC,339,35,0
Carnivine VW+EB/Cr,800,1,84
Carracosta WG+Li/BS,437,22,0
Carracosta (Shadow) WG+Li/BS,487,22,0
Castform H+WBR/EB,386,27,0
Castform (Rainy) WG+WBW/T,386,35,0
Castform (Snowy) PS+WBI/Bl,585,3,24
Castform (Sunny) E+WBF/SoB,407,9,0
Celebi Cf+AuS/LfS,764,1,74
Centiskorch E+Lu/HW,341,41,0
Ceruledge I+SB/HW,481,1,0
Cetitan PS+ISp/SP,532,35,9
Cetoddle PS+Av/BS,567,48,19
Chandelure I+SB/EB,539,1,11
Chandelure (Shadow) I+SB/EB,274,20,0
Chansey ZH+DG/P,628,3,36
Charizard E+BB/AC,393,46,0
Charizard (Shadow) E+BB/AC,452,46,0
Charjabug VS+XS/D,546,40,13
Charjabug (Shadow) VS+XS/D,764,1,74
Charmeleon E+FiP/Re,222,41,0
Charmeleon (Shadow) E+FiP/Ft,238,33,0
Chatot Pk+SA/HW,760,1,73
Cherrim (Overcast) BS+DG/SoB,896,1,111
Cherrim (Sunshine) BS+WBF/SoB,671,1,48
Chesnaught LK+FP/SP,746,1,69
Chesnaught (Shadow) LK+FP/SP,710,1,59
Chespin VW+BS/SeB,717,1,61
Chespin (Shadow) VW+BS/SeB,657,1,44
Chimecho A+Psh/SB,571,9,20
Chinchou B+WP/Tb,546,3,13
Cinccino Ch+AT/Tb,771,1,76
Cinderace FS+BB/PB,491,1,0
Clamperl WG+BS/WP,585,22,24
Clauncher WG+AJ/Crbh,468,35,0
Clawitzer WG+Crbh/IB,696,22,55
Claydol MSl+RT/SB,326,27,0
Claydol (Shadow) MSl+RT/SB,392,27,0
Clobbopus RSm+SP/IP,532,53,9
Clodsire PSt+Eq/SE,521,8,6
Cloyster IS+IW/Li,625,30,35
Cloyster (Shadow) IS+IW/Li,825,9,91
Coalossal FS+RS/FmC,332,9,0
Cofagrigus SC+SB/Re,503,22,1
Cofagrigus (Shadow) SC+SB/DP,739,9,67
Combusken E+RS/FmC,164,41,0
Combusken (Shadow) E+RS/FmC,190,41,0
Conkeldurr FPm+DyP/BrS,109,46,0
Conkeldurr (Shadow) FPm+DyP/BrS,116,33,0
Corphish B+AJ/VG,582,9,23
Corphish (Shadow) B+AJ/VG,487,1,0
Corsola B+PG/RB,320,9,0
Corsola (Galarian) A+NSh/PG,399,22,0
Corvisquire Pk+SA/Pbk,800,1,84
Corvisquire (Shadow) Pk+SA/Pbk,760,1,73
Crabominable B+IP/BkB,510,22,3
Crabrawler B+Crbh/PUP,635,40,38
Cradily Ac+RT/GK,381,40,0
Cradily BS+RT/GK,546,8,13
Cradily (Shadow) Ac+RT/GK,440,14,0
Cranidos TD+RT/AP,871,1,104
Cranidos (Shadow) TD+RT/AP,846,1,97
Cresselia PC+GK/M,650,3,42
Cresselia (Shadow) PC+GK/M,621,3,34
Crobat AS+PF/SB,789,1,81
Crobat (Shadow) AS+PF/SB,757,1,72
Crocalor I+Cr/Ft,219,59,0
Croconaw WG+IP/WP,422,35,0
Croconaw (Shadow) WG+IP/WP,582,35,23
Crustle FC+XS/RW,482,1,0
Crustle (Shadow) FC+XS/RW,760,1,73
Cryogonal IS+TAx/NS,692,35,54
Cubone MSl+BC/Re,632,40,37
Cubone (Shadow) MSl+BC/Dg,796,1,83
Cursola A+NSh/PG,696,1,55
Darmanitan (Galarian) IF+Av/SP,800,1,84
Darmanitan (Standard) I+RS/Ov,553,1,15
Darmanitan (Standard) (Shadow) I+RS/Ov,257,20,0
Dartrix Pk+BrB/EB,800,1,84
Darumaka FF+FiP/FmC,445,1,0
Darumaka (Galarian) IF+IP/IB,782,9,79
Darumaka (Shadow) FF+FiP/FmC,251,33,0
Decidueye Lf+FP/SSh,667,1,47
Decidueye (Hisuian) PC+EB/AuS,514,1,4
Deerling Tk+WC/EB,760,1,73
Delcatty Ch+WC/DV,653,8,43
Delphox FS+Psh/BB,459,1,0
Delphox (Shadow) FS+Psh/BB,290,46,0
Deoxys (Defense) C+PB/Tb,438,35,0
Deoxys (Speed) CB+PB/Sw,667,1,47
Dewgong IS+IW/DR,685,11,52
Dewgong (Shadow) IS+IW/DR,614,56,32
Dewott FC+AT/XS,439,22,0
Dewott (Shadow) FC+AT/XS,550,9,14
Dhelmise SC+PW/BrS,632,1,37
Diggersby MS+FiP/ScS,532,8,9
Diggersby (Shadow) MS+ScS/FiP,399,27,0
Dipplin DT+SeB/O,821,1,90
Dodrio Pk+DrlP/BrB,550,1,14
Dolliv ML+EP/TBl,782,1,79
Dondozo W+S/O,320,35,0
Donphan MSl+BS/TBl,750,1,70
Donphan (Shadow) MSl+BS/TBl,560,1,17
Dottler Cf+BBu/P,803,9,85
Dragalge DT+AT/O,696,1,55
Dragapult DT+SB/O,771,1,76
Dragonair DB+AT/DgP,760,1,73
Dragonair (Shadow) DB+Wr/AT,735,1,66
Dragonite DB+TP/SP,252,46,0
Dragonite (Shadow) DB+TP/SP,314,46,0
Drakloak DT+SB/O,796,1,83
Drampa DB+Sw/DgP,760,1,73
Drifblim H+IW/SB,846,1,97
Drifblim (Shadow) A+IW/SB,696,1,55
Drifloon H+SB/IW,846,1,97
Drifloon (Shadow) H+SB/IW,821,1,90
Drilbur MSl+DR/RT,746,1,69
