Pokemon,Battle Rating,Energy Remaining,HP Remaining
Corsola (Galarian) A+NSh/PG,388,29,0
Snorlax Psy+BS/Eq,377,6,0
Regidrago DB+DrE/VG,280,4,0
Dusclops H+IP/ShP,388,10,0
Oranguru Cf+BrS/TBl,475,4,0
Cresselia PC+GK/M,312,22,0
Lapras Psy+SpA/IB,310,20,0
Kingdra DB+S/Sw,461,32,0
Shelgon DB+Tw/Ft,239,1,0
Cramorant Pk+Dve/Fl,717,0,51
Dusclops (Shadow) H+IP/ShP,300,32,0
Cradily Ac+RT/GK,368,30,0
Giratina (Altered) (Shadow) DB+DC/SS,276,8,0
Crustle FC+XS/RW,404,21,0
Jumpluff FW+EB/Acr,346,12,0
Dusknoir (Shadow) A+DyP/ShP,322,21,0
Grumpig Psy+DyP/SB,615,0,27
Araquanid Inf+WP/MrC,485,12,0
Kingdra (Shadow) DB+S/Sw,512,20,3
Dragonair (Shadow) DB+Wr/AT,370,17,0
Furret SkP+Sw/TBl,468,0,0
Shelgon (Shadow) DB+Tw/Ft,292,1,0
Sliggoo DB+BS/DgP,289,12,0
Aurorus PS+WBI/MeB,335,25,0
Snorlax (Shadow) Psy+BS/SP,598,5,23
Jellicent H+S/SB,632,0,31
Abomasnow (Shadow) PS+WBI/EB,251,0,0
Goodra DB+AT/TP,500,1,0
Oinkologne (Female) TD+BS/TBl,467,34,0
Jumpluff (Shadow) FW+EB/Acr,431,0,0
Abomasnow PS+WBI/EB,251,29,0
Dusknoir A+DyP/ShP,602,1,24
Clodsire PSt+Eq/SE,459,30,0
Dunsparce Bi+DR/RS,383,14,0
Walrein PS+ISp/Eq,347,16,0
Spidops SC+Lu/RT,442,17,0
Deoxys (Defense) LK+PB/Tb,438,22,0
Dragonair DB+AT/DgP,307,12,0
Persian (Shadow) Scr+NS/PG,619,2,28
Toucannon (Shadow) Pk+BBl/DrlP,581,0,19
Vigoroth Scr+BS/Bd,489,0,0
Cofagrigus SC+SB/EB,463,17,0
Mantine WA+Tw/WP,598,1,23
Hypno Cf+SB/TP,397,33,0
Kommo-o DT+ClS/UH,283,5,0
Lapras (Shadow) Psy+SpA/IB,329,12,0
Araquanid (Shadow) Inf+WP/MrC,636,0,32
Persian Scr+NS/PG,508,0,2
Arctibax DB+Av/DC,281,4,0
Latias DB+AuS/MsB,365,21,0
Medicham PC+IP/DyP,312,32,0
Swalot Inf+Sl/IB,380,10,0
Annihilape (Shadow) LK+RF/IP,403,29,0
Cofagrigus (Shadow) SC+SB/EB,504,2,1
Lickilicky RO+BS/SB,434,22,0
Cradily (Shadow) Ac+RT/GK,451,30,0
Crustle (Shadow) FC+XS/RW,421,13,0
Lunatone Psy+WBI/RS,529,2,7
Blastoise Bi+HC/SkB,525,0,6
Walrein (Shadow) PS+ISp/Eq,350,0,0
