Pokemon,Battle Rating,Energy Remaining,HP Remaining
Corsola (Galarian) A+NSh/PG,474,14,0
Snorlax Psy+BS/Eq,555,24,13
Regidrago DB+DrE/VG,614,2,27
Dusclops H+IP/ShP,458,18,0
Oranguru Cf+BrS/TBl,478,12,0
Cresselia PC+GK/M,387,12,0
Lapras Psy+SpA/IB,335,16,0
Kingdra DB+S/Sw,500,2,0
Shelgon DB+Tw/Ft,614,2,27
Cramorant Pk+Dve/Fl,512,38,3
Dusclops (Shadow) H+IP/ShP,605,0,25
Cradily Ac+RT/GK,392,10,0
Giratina (Altered) (Shadow) DB+DC/SS,572,0,17
Crustle FC+XS/RW,741,0,57
Jumpluff FW+EB/Acr,339,22,0
Dusknoir (Shadow) A+DyP/ShP,665,0,39
Grumpig Psy+DyP/SB,703,8,48
Araquanid Inf+WP/MrC,316,38,0
Kingdra (Shadow) DB+S/Sw,500,2,0
Dragonair (Shadow) DB+Wr/AT,429,37,0
Furret SkP+Sw/TBl,741,0,57
Shelgon (Shadow) DB+Tw/Ft,516,2,4
Sliggoo DB+BS/DgP,614,2,27
Aurorus PS+WBI/MeB,766,0,63
Snorlax (Shadow) Psy+BS/SP,741,0,57
Jellicent H+S/SB,362,2,0
Abomasnow (Shadow) PS+WBI/EB,255,37,0
Goodra DB+AT/TP,614,2,27
Oinkologne (Female) TD+BS/TBl,550,12,12
Jumpluff (Shadow) FW+EB/Acr,320,6,0
Abomasnow PS+WBI/EB,433,6,0
Dusknoir A+DyP/ShP,716,0,51
Clodsire PSt+Eq/SE,473,18,0
Dunsparce Bi+DR/RS,576,28,18
Walrein PS+ISp/Eq,386,26,0
Spidops SC+Lu/RT,343,22,0
Deoxys (Defense) LK+PB/Tb,508,3,2
Dragonair DB+AT/DgP,542,2,10
Persian (Shadow) Scr+NS/PG,478,6,0
Toucannon (Shadow) Pk+BBl/DrlP,690,2,45
Vigoroth Scr+BS/Bd,479,4,0
Cofagrigus SC+SB/EB,783,0,67
Mantine WA+Tw/WP,409,18,0
Hypno Cf+SB/TP,504,3,1
Kommo-o DT+ClS/UH,639,2,33
Lapras (Shadow) Psy+SpA/IB,424,26,0
Araquanid (Shadow) Inf+WP/MrC,393,22,0
Persian Scr+NS/PG,572,4,17
Arctibax DB+Av/DC,597,2,23
Latias DB+AuS/MsB,614,2,27
Medicham PC+IP/DyP,478,16,0
Swalot Inf+Sl/IB,365,38,0
Annihilape (Shadow) LK+RF/IP,360,6,0
Cofagrigus (Shadow) SC+SB/EB,741,0,57
Lickilicky RO+BS/SB,555,3,13
Cradily (Shadow) Ac+RT/GK,468,20,0
Crustle (Shadow) FC+XS/RW,656,0,37
Lunatone Psy+WBI/RS,567,0,16
Blastoise Bi+HC/SkB,656,3,37
Walrein (Shadow) PS+ISp/Eq,428,6,0
Wartortle Bi+AJ/IB,512,3,3
Vigoroth (Shadow) Scr+BkB/RS,656,0,37
Hypno (Shadow) Cf+TP/IP,482,12,0
Pachirisu VS+Tb/TP,366,22,0
Rillaboom Scr+DrB/EP,410,10,0
Altaria DB+M/Ft,478,26,0
Cetitan PS+ISp/SP,741,0,57
Greedent Bi+BS/TBl,601,20,24
Pidgeot G+Tw/BrB,699,8,47
Toucannon Pk+BBl/DrlP,728,2,54
Lickitung L+BS/PW,555,1,13
Sealeo PS+S/BS,533,3,8
Annihilape LK+RF/IP,346,6,0
Aurorus (Shadow) PS+WBI/MeB,347,6,0
Grumpig (Shadow) Psy+DyP/MrC,741,0,57
Froslass PS+Av/SB,741,0,57
Noctowl WA+SB/Re,529,3,7
Toxapex Bi+Bri/SW,461,15,0
Girafarig (Shadow) Cf+PsF/TBl,656,2,37
Seaking Pk+DR/IW,559,8,14
Runerigus SC+SB/RT,783,0,67
Uxie Cf+Sw/T,426,28,0
Altaria (Shadow) DB+M/Ft,572,6,17
Girafarig Cf+PsF/TBl,496,6,0
Latias (Shadow) DB+AuS/MsB,538,2,9
Pelipper WA+WBW/Hu,486,12,0
Feraligatr SC+HC/IB,464,12,0
Maushold TD+Sw/Cr,639,8,33
Miltank RO+BS/HH,588,3,21
Dodrio Pk+DrlP/BrB,728,2,54
Dubwool TD+BS/WC,588,12,21
Sealeo (Shadow) PS+S/BS,431,18,0
Flamigo Pk+UH/BrB,728,2,54
Dartrix Pk+BrB/EB,376,22,0
Cresselia (Shadow) PC+GK/M,343,22,0
Golisopod FC+XS/AJ,449,6,0
Lileep Ac+GK/AP,466,14,0
Dragalge Ac+AT/O,699,6,47
Kecleon SkP+TP/DyP,741,0,57
Castform H+WBR/EB,593,20,22
Drampa DB+Sw/DgP,473,37,0
Pidgeot (Shadow) G+Tw/BrB,635,0,32
Charjabug VS+XS/D,508,4,2
Linoone SC+Sw/GK,610,0,26
Volbeat Inf+Lu/Tb,454,12,0
Wartortle (Shadow) Bi+AJ/IB,417,22,0
Castform (Snowy) PS+WBI/Bl,529,20,7
Orbeetle PC+Psh/BBu,588,4,21
Piloswine PS+ISp/HH,741,0,57
Samurott FC+HC/Mh,601,14,24
Wobbuffet C+MrC/Re,435,27,0
Articuno PS+IW/Hu,496,3,0
Cetoddle PS+Av/BS,593,4,22
Slowbro Cf+DrP/IB,493,3,0
Victreebel (Shadow) SkP+LB/AS,690,2,45
Fearow Pk+DrlP/DR,495,2,0
Aerodactyl (Shadow) DB+RS/BrS,304,37,0
Dondozo W+S/O,745,3,58
Gliscor WA+NS/Acr,652,0,36
Electrode (Hisuian) TS+WC/EB,430,6,0
Gyarados DB+AT/Tw,690,2,45
Hakamo-o DT+BkB/RT,639,2,33
Ledian RO+DyP/Acr,458,12,0
Regirock LO+SE/FB,911,0,97
Trumbeak (Shadow) Pk+DrlP/RB,690,2,45
Lopunny LK+TP/TAx,593,4,22
Victreebel SkP+LB/SlB,492,2,0
Gyarados (Shadow) DB+AT/Tw,614,2,27
Solrock Psy+WBF/RS,677,0,42
Glalie RO+Av/SB,525,12,6
Mew SC+WC/Psh,783,0,67
Blastoise (Shadow) Bi+HC/SkB,627,42,30
Dewgong IS+IW/DR,542,3,10
Feraligatr (Shadow) SC+HC/IB,766,2,63
Rufflet Pk+BrB/Fl,741,0,57
Amaura (Shadow) PS+WBI/Tb,221,37,0
Gligar (Shadow) WA+NS/Dg,635,0,32
Lumineon G+AT/SvW,504,3,1
Bellossom (Shadow) Ac+LB/DG,285,37,0
Charjabug (Shadow) VS+XS/D,677,10,42
Salamence (Shadow) DT+Fl/BrS,673,60,41
Spinda SkP+RT/IW,716,8,51
Emolga TS+Acr/D,622,6,29
Amaura PS+WBI/Tb,550,0,12
Gogoat VW+LB/RS,439,18,0
Ludicolo A+WBW/EB,421,22,0
Drifblim H+IW/SB,468,2,0
Lileep (Shadow) Ac+GK/AP,480,2,0
Slowking (Galarian) Ac+Psh/SB,485,0,0
Bellibolt TS+ZC/PbC,542,20,10
Dewott FC+AT/XS,489,22,0
Piloswine (Shadow) PS+ISp/HH,728,2,54
Bellossom Ac+LB/DG,429,22,0
Trevenant (Shadow) SC+SB/FoP,385,6,0
Turtonator I+BrS/DC,877,10,89
Aipom (Shadow) Scr+Sw/AA,270,37,0
Froslass (Shadow) PS+Av/SB,699,0,47
Gligar WA+NS/Dg,699,0,47
Aerodactyl DB+RS/BrS,304,37,0
Aipom Scr+Sw/AA,538,0,9
Dragonite (Shadow) DB+TP/SP,588,68,21
Vespiquen FC+XS/PG,481,8,0
Raikou TS+WC/AuS,567,2,16
Servine VW+GK/Wr,380,22,0
Slowbro (Shadow) Cf+DrP/IB,440,22,0
Starmie (Shadow) Psy+AJ/PG,690,2,45
Tentacruel Ac+Sc/Pbk,605,3,25
Trevenant SC+SeB/SB,521,0,5
Ampharos (Shadow) VS+BrS/TBl,724,2,53
Amoonguss A+FoP/GK,437,34,0
Milotic W+AT/Wr,618,3,28
Ninetales E+WBF/EB,834,0,79
Druddigon DT+NS/RT,388,37,0
Croconaw Scr+IP/WP,444,30,0
Ariados PSt+Lu/FoP,521,20,5
Samurott (Shadow) FC+HC/Mh,766,2,63
Starmie Psy+AJ/PG,741,10,57
Ursaring (Shadow) SC+CC/Sw,361,37,0
Ampharos VS+BrS/TBl,488,6,0
Latios DB+AuS/LrP,614,2,27
Swoobat Cf+Fl/PsF,467,6,0
Drifblim (Shadow) A+IW/SB,665,0,39
Oinkologne TD+BS/TBl,652,0,36
Poliwrath MS+IW/DyP,504,3,1
Furfrou TD+DP/GK,639,8,33
Raichu VS+VT/TBl,758,2,61
