Pokemon,Battle Rating,Energy Remaining,HP Remaining
Corsola (Galarian) A+NSh/PG,208,32,0
Snorlax Psy+BS/Eq,846,0,72
Regidrago DB+DrE/VG,417,40,0
Dusclops H+IP/ShP,259,28,0
Oranguru Cf+BrS/TBl,754,0,53
Cresselia PC+GK/M,400,20,0
Lapras Psy+SpA/IB,846,0,72
Kingdra DB+S/Sw,427,40,0
Shelgon DB+Tw/Ft,410,40,0
Cramorant Pk+Dve/Fl,500,0,0
Dusclops (Shadow) H+IP/ShP,259,28,0
Cradily Ac+RT/GK,716,8,45
Giratina (Altered) (Shadow) DB+DC/SS,396,40,0
Crustle FC+XS/RW,321,16,0
Jumpluff FW+EB/Acr,228,56,0
Dusknoir (Shadow) A+DyP/ShP,338,20,0
Grumpig Psy+DyP/SB,663,12,34
Araquanid Inf+WP/MrC,330,8,0
Kingdra (Shadow) DB+S/Sw,548,36,10
Dragonair (Shadow) DB+Wr/AT,397,20,0
Furret SkP+Sw/TBl,287,40,0
Shelgon (Shadow) DB+Tw/Ft,528,40,6
Sliggoo DB+BS/DgP,394,40,0
Aurorus PS+WBI/MeB,262,32,0
Snorlax (Shadow) Psy+BS/SP,701,0,42
Jellicent H+S/SB,323,52,0
Abomasnow (Shadow) PS+WBI/EB,342,16,0
Goodra DB+AT/TP,431,40,0
Oinkologne (Female) TD+BS/TBl,509,0,2
Jumpluff (Shadow) FW+EB/Acr,339,56,0
Abomasnow PS+WBI/EB,300,32,0
Dusknoir A+DyP/ShP,244,4,0
Clodsire PSt+Eq/SE,745,0,51
Dunsparce Bi+DR/RS,701,0,42
Walrein PS+ISp/Eq,279,32,0
Spidops SC+Lu/RT,581,0,17
Deoxys (Defense) LK+PB/Tb,826,0,68
Dragonair DB+AT/DgP,496,40,0
Persian (Shadow) Scr+NS/PG,401,28,0
Toucannon (Shadow) Pk+BBl/DrlP,495,0,0
Vigoroth Scr+BS/Bd,701,0,42
Cofagrigus SC+SB/EB,266,32,0
Mantine WA+Tw/WP,367,4,0
Hypno Cf+SB/TP,759,0,54
Kommo-o DT+ClS/UH,519,48,4
Lapras (Shadow) Psy+SpA/IB,701,0,42
Araquanid (Shadow) Inf+WP/MrC,316,32,0
Persian Scr+NS/PG,335,40,0
Arctibax DB+Av/DC,403,16,0
Latias DB+AuS/MsB,500,4,0
Medicham PC+IP/DyP,591,0,19
Swalot Inf+Sl/IB,269,40,0
Annihilape (Shadow) LK+RF/IP,677,0,37
Cofagrigus (Shadow) SC+SB/EB,325,12,0
Lickilicky RO+BS/SB,798,0,62
Cradily (Shadow) Ac+RT/GK,663,20,34
Crustle (Shadow) FC+XS/RW,321,16,0
Lunatone Psy+WBI/RS,286,28,0
Blastoise Bi+HC/SkB,701,0,42
Walrein (Shadow) PS+ISp/Eq,318,16,0
Wartortle Bi+AJ/IB,701,0,42
Vigoroth (Shadow) Scr+BkB/RS,519,0,4
Hypno (Shadow) Cf+TP/IP,721,0,46
Pachirisu VS+Tb/TP,701,0,42
Rillaboom Scr+DrB/EP,310,40,0
Altaria DB+M/Ft,548,0,10
Cetitan PS+ISp/SP,282,32,0
Greedent Bi+BS/TBl,701,0,42
Pidgeot G+Tw/BrB,620,0,25
Toucannon Pk+BBl/DrlP,495,0,0
Lickitung L+BS/PW,483,8,0
Sealeo PS+S/BS,557,0,12
