Pokemon,Battle Rating,Energy Remaining,HP Remaining
Corsola (Galarian) A+NSh/PG,507,2,2
Snorlax Psy+BS/Eq,597,0,25
Regidrago DB+DrE/VG,466,4,0
Dusclops H+IP/ShP,453,2,0
Oranguru Cf+BrS/TBl,621,13,31
Cresselia PC+GK/M,371,41,0
Lapras Psy+SpA/IB,324,16,0
Kingdra DB+S/Sw,570,0,18
Shelgon DB+Tw/Ft,329,40,0
Cramorant Pk+Dve/Fl,539,1,10
Dusclops (Shadow) H+IP/ShP,481,13,0
Cradily Ac+RT/GK,454,2,0
Giratina (Altered) (Shadow) DB+DC/SS,621,1,31
Crustle FC+XS/RW,295,8,0
Jumpluff FW+EB/Acr,382,33,0
Dusknoir (Shadow) A+DyP/ShP,333,12,0
Grumpig Psy+DyP/SB,621,1,31
Araquanid Inf+WP/MrC,597,1,25
Kingdra (Shadow) DB+S/Sw,385,32,0
Dragonair (Shadow) DB+Wr/AT,397,40,0
Furret SkP+Sw/TBl,578,17,20
Shelgon (Shadow) DB+Tw/Ft,410,40,0
Sliggoo DB+BS/DgP,500,12,0
Aurorus PS+WBI/MeB,167,32,0
Snorlax (Shadow) Psy+BS/SP,605,1,27
Jellicent H+S/SB,582,14,21
Abomasnow (Shadow) PS+WBI/EB,192,32,0
Goodra DB+AT/TP,621,0,31
Oinkologne (Female) TD+BS/TBl,395,36,0
Jumpluff (Shadow) FW+EB/Acr,450,5,0
Abomasnow PS+WBI/EB,192,32,0
Dusknoir A+DyP/ShP,507,1,2
Clodsire PSt+Eq/SE,613,1,29
Dunsparce Bi+DR/RS,486,0,0
Walrein PS+ISp/Eq,198,40,0
Spidops SC+Lu/RT,550,1,13
Deoxys (Defense) LK+PB/Tb,621,25,31
Dragonair DB+AT/DgP,585,4,22
Persian (Shadow) Scr+NS/PG,437,12,0
Toucannon (Shadow) Pk+BBl/DrlP,329,40,0
Vigoroth Scr+BS/Bd,523,5,6
Cofagrigus SC+SB/EB,531,10,8
Mantine WA+Tw/WP,491,0,0
Hypno Cf+SB/TP,503,1,1
Kommo-o DT+ClS/UH,738,0,61
Lapras (Shadow) Psy+SpA/IB,346,16,0
Araquanid (Shadow) Inf+WP/MrC,527,1,7
Persian Scr+NS/PG,535,1,9
Arctibax DB+Av/DC,652,4,39
Latias DB+AuS/MsB,389,40,0
Medicham PC+IP/DyP,407,17,0
Swalot Inf+Sl/IB,356,28,0
Annihilape (Shadow) LK+RF/IP,289,40,0
Cofagrigus (Shadow) SC+SB/EB,495,1,0
Lickilicky RO+BS/SB,656,0,40
Cradily (Shadow) Ac+RT/GK,461,34,0
Crustle (Shadow) FC+XS/RW,408,8,0
