Pokemon,Battle Rating,Energy Remaining,HP Remaining
Toxapex PJ+Bri/SW,394,22,0
Mandibuzz AS+FoP/AA,234,0,0
Mantine WA+Tw/AA,169,35,0
Morpeko (Full Belly) TS+AuW/PsF,625,3,31
Cramorant Pk+Dve/Fl,162,19,0
Pawmot TS+BkB/WC,608,6,27
Kingdra DB+O/Sw,717,3,54
Hydreigon (Shadow) DB+BrS/Fl,219,40,0
Murkrow (Shadow) Pk+DrlP/FoP,114,0,0
Zweilous DB+BS/DP,556,3,14
Lanturn Sp+S/Tb,850,6,87
Annihilape LK+RF/CC,217,35,0
Zweilous (Shadow) DB+BS/DP,132,32,0
Araquanid BBi+BBu/BuB,419,46,0
Kingdra (Shadow) DB+O/Sw,258,35,0
Sableye SC+DrP/DG,360,3,0
Azumarill B+IB/PR,866,6,91
Kommo-o DT+ClS/UH,160,43,0
Sableye (Shadow) SC+DrP/DG,432,3,0
Hydreigon DB+BrS/Fl,176,40,0
Gyarados DB+AT/Tw,276,43,0
Moltres (Galarian) SkP+Fl/BrB,366,59,0
Gyarados (Shadow) DB+AT/Tw,293,35,0
Pelipper WA+WBW/Hu,200,27,0
Murkrow Pk+DrlP/FoP,114,8,0
Annihilape (Shadow) C+RF/IP,432,3,0
Araquanid (Shadow) BBi+BuB/BBu,437,22,0
Hakamo-o DT+BkB/RT,379,16,0
Pawmo TS+WC/TP,709,6,52
Guzzlord DT+BrS/SlB,653,3,38
Gastrodon MSl+BS/EP,669,51,42
Chesnaught (Shadow) VW+FP/SP,500,3,0
Malamar (Shadow) Psy+FoP/SP,219,35,0
Malamar Psy+SP/FoP,183,35,0
Swanna G+AJ/Fl,138,3,0
Chesnaught VW+FP/SP,500,43,0
Swanna (Shadow) G+AJ/Fl,134,0,0
Gallade (Shadow) PC+CC/LB,264,27,0
Qwilfish (Shadow) PSt+AT/SB,288,35,0
Morgrem SkP+FoP/PR,754,6,63
Gallade PC+CC/LB,221,27,0
Jellicent H+S/SB,653,6,38
Milotic (Shadow) DT+AT/Wr,544,6,11
Seaking Pk+DR/Mh,329,35,0
Skuntank PJ+Cr/TBl,142,43,0
Spiritomb SkP+RT/SB,754,6,63
Decidueye (Hisuian) PC+EB/AuS,177,43,0
Golisopod FC+XS/AJ,259,43,0
Empoleon MSo+HC/DrlP,209,40,0
Medicham PC+IP/DyP,180,35,0
Tentacruel Ac+Sc/SW,484,6,0
Vullaby AS+BrB/FoP,89,32,0
Flamigo WA+UH/BrB,134,19,0
Walrein PS+ISp/Eq,262,35,0
Lapras Psy+SpA/SkB,625,3,31
Milotic DT+AT/Wr,616,6,29
Empoleon (Shadow) MSo+HC/DrlP,250,40,0
Lumineon G+AT/SvW,233,27,0
Ludicolo A+WBW/EB,572,6,18
Walrein (Shadow) PS+ISp/Eq,327,35,0
Lucario FPm+AuS/TP,199,43,0
Qwilfish PSt+AT/SB,247,35,0
Primeape KC+RF/CC,237,27,0
Umbreon Sn+FoP/LR,637,6,34
Quagsire MS+AT/MB,790,6,72
Samurott (Shadow) FC+HC/Mh,448,43,0
Barbaracle FC+CrC/SE,588,43,22
Farfetch'd (Galarian) FC+LB/BkB,256,35,0
Meowscarada Lf+NS/FP,560,3,15
Heracross FC+UH/RT,179,35,0
Palkia (Shadow) DB+AT/DM,355,35,0
Samurott FC+HC/Mh,717,3,54
Swampert MS+HC/Eq,923,80,105
Drapion (Shadow) PSt+SlB/AT,173,35,0
Tentacruel (Shadow) Ac+Sc/SW,419,11,0
Quagsire (Shadow) MS+AT/MB,786,35,71
Primeape (Shadow) KC+RF/CC,245,19,0
Qwilfish (Hisuian) PSt+AT/SB,169,35,0
Sirfetch'd FC+LB/CC,308,35,0
Pawniard FC+NS/XS,516,3,4
Skuntank (Shadow) PJ+Cr/TBl,145,27,0
Machoke (Shadow) KC+CrC/DyP,223,27,0
Blastoise RO+HC/SkB,697,6,49
Drapion PSt+SlB/AT,131,35,0
Throh LK+BkB/BS,580,6,20
Hawlucha LK+FlP/AA,160,35,0
Dewott FC+AT/XS,508,6,2
Sealeo (Shadow) PS+S/BS,270,27,0
Dewott (Shadow) FC+AT/XS,417,43,0
Overqwil PSt+AT/SB,168,35,0
Machamp KC+CrC/RS,552,6,13
Swampert (Shadow) MS+HC/Eq,899,72,99
Bombirdier SkP+Fl/RT,754,11,63
Throh (Shadow) LK+BkB/BS,524,6,6
Toxicroak (Shadow) PSt+DyP/SB,197,35,0
Conkeldurr (Shadow) FPm+DyP/BrS,334,43,0
Grimmsnarl SkP+FoP/PR,540,6,10
Sealeo PS+S/BS,524,3,6
Seismitoad MS+EP/IW,620,51,30
Grimer (Alolan) PJ+Cr/SlB,163,43,0
Lapras (Shadow) Psy+SpA/SkB,625,3,31
Toxicroak PSt+DyP/SB,158,35,0
Machamp (Shadow) KC+CrC/RS,314,43,0
Thievul SkP+IW/PR,774,3,68
Feraligatr (Shadow) SC+HC/IB,729,3,57
Lokix SkP+XS/TBl,774,3,68
Dewgong IS+IW/DR,641,6,35
Shiftry (Shadow) RL+LB/FoP,661,3,40
Starmie (Shadow) Psy+AJ/PG,437,35,0
Whiscash MS+MB/Sc,774,6,68
Greninja (Shadow) WSh+HC/NS,625,43,31
Muk (Alolan) (Shadow) PJ+DP/AS,138,35,0
Conkeldurr FPm+DyP/BrS,512,3,3
Dondozo W+S/O,802,6,75
Machoke KC+CrC/Re,774,3,68
Samurott (Hisuian) FC+SSw/IW,382,35,0
Scrafty C+TP/UH,685,3,46
Pangoro KC+CC/NS,206,32,0
Muk (Alolan) PJ+DP/AS,152,43,0
Grimer (Alolan) (Shadow) PJ+Cr/SlB,134,27,0
Hariyama FPm+UH/HS,629,3,32
Hariyama (Shadow) FPm+UH/HS,572,3,18
Blastoise (Shadow) RO+HC/SkB,665,6,41
Feraligatr SC+HC/IB,774,3,68
Starmie Psy+AJ/PG,389,35,0
Whiscash (Shadow) MS+MB/Sc,750,51,62
Kabutops (Shadow) FC+AJ/SE,850,56,87
Kabutops FC+AJ/SE,790,72,72
Tyranitar DB+BrS/SE,717,3,54
Poliwrath MS+IW/DyP,596,6,24
Passimian C+BrS/SP,641,3,35
Wailmer (Shadow) RO+Sc/BS,689,6,47
Honchkrow Pk+BrB/DP,127,8,0
Machop (Shadow) KC+CrC/BkB,261,27,0
Marshtomp MS+S/Sl,580,43,20
Tapu Fini WG+S/NM,766,6,66
Machop KC+CrC/BkB,540,6,10
Dewgong (Shadow) IS+IW/DR,576,6,19
Poliwrath (Shadow) MS+IW/DyP,532,6,8
Gurdurr LK+BkB/SE,556,6,14
Mightyena (Shadow) SkP+Cr/PF,709,3,52
Timburr LK+BkB/RT,556,6,14
Kingambit MSo+FoP/IH,774,3,68
Tyranitar (Shadow) DB+BrS/SE,568,3,17
Bruxish Cf+AT/PsF,388,35,0
Frillish H+NSh/IB,572,6,18
Politoed (Shadow) MS+WBW/IB,327,35,0
Urshifu (Single Strike) SkP+BkB/DyP,713,3,53
Zapdos (Galarian) LK+Fl/BrB,446,3,0
Gurdurr (Shadow) LK+BkB/SE,248,35,0
Tauros (Combat) DK+CC/TBl,737,6,59
Mightyena SkP+Cr/PF,754,3,63
Tauros (Aqua) DK+AJ/TBl,512,6,3
Slowbro Cf+DrP/IB,420,3,0
Barraskewda Pk+CC/AJ,378,11,0
Shiftry RL+LB/FoP,729,3,57
Blaziken (Shadow) E+AuS/BB,193,32,0
Raticate (Alolan) QA+Cr/Re,818,3,79
Mienshao FPm+BrS/GK,371,43,0
Brionne Ch+AJ/DV,512,6,3
Honchkrow (Shadow) Pk+BrB/DP,124,0,0
Timburr (Shadow) LK+BkB/RT,246,35,0
Wailord RO+S/Re,701,6,50
Castform (Rainy) WG+WBW/T,802,6,75
Greninja WSh+HC/NS,657,6,39
Marshtomp (Shadow) MS+S/Sl,931,72,107
Wailmer RO+Sc/BS,681,6,45
Quaquaval WA+CC/HC,420,35,0
Palpitoad MS+EP/WP,899,51,99
Quaxwell WA+AJ/AA,329,35,0
Slowbro (Shadow) Cf+DrP/IB,305,35,0
Sneasler (Shadow) SC+CC/XS,227,35,0
Hitmontop C+CC/TAx,592,6,23
Pancham LK+BS/Cr,604,6,26
Politoed MS+WBW/IB,508,3,2
Blaziken E+AuS/BB,155,32,0
Sneasel (Hisuian) (Shadow) PJ+CC/XS,148,19,0
Bibarel (Shadow) RO+S/HF,657,6,39
Sawk (Shadow) LK+BkB/BS,303,35,0
Golduck (Shadow) Cf+CrC/Li,391,35,0
Hitmonlee (Shadow) LK+BK/BkB,324,35,0
Raticate (Alolan) (Shadow) QA+Cr/HB,774,3,68
Linoone (Galarian) (Shadow) Sn+BS/Dg,657,3,39
Cacturne SkP+TBl/DyP,729,3,57
Sneasel (Hisuian) PJ+CC/XS,184,35,0
Sneasler SC+CC/XS,200,43,0
Rotom (Wash) TS+Tb/HP,850,6,87
Bewear (Shadow) SC+SP/St,264,40,0
Kabuto MS+AJ/RT,931,72,107
Kabuto (Shadow) MS+AJ/RT,947,56,111
Lilligant (Hisuian) BS+UH/PlB,604,3,26
Obstagoon (Shadow) C+CrC/NS,685,3,46
Absol PC+BrS/Mh,325,40,0
Cacturne (Shadow) SkP+TBl/DyP,685,3,46
Buzzwole C+SP/Lu,487,22,0
Krookodile MSl+ST/Cr,770,6,67
Wailord (Shadow) RO+S/HB,866,6,91
Slowpoke (Shadow) Cf+Psh/WP,512,3,3
Mankey (Shadow) KC+CrC/BkB,323,19,0
Tentacool PSt+Wr/WP,580,6,20
Bewear SC+SP/St,232,40,0
Golduck Cf+CrC/Li,313,35,0
Obstagoon C+NS/CrC,576,3,19
