Pokemon,Battle Rating,Energy Remaining,HP Remaining
Dewgong IS+AJ/DR,302,20,0
Ninetales (Alolan) PS+WBI/Psh,72,36,0
Golisopod SC+AJ/XS,562,8,16
Weezing (Galarian) FW+Sl/BrS,297,20,0
Glalie RO+SB/Av,396,3,0
Arctibax DB+DC/IW,443,3,0
Piloswine PS+ISp/SE,116,36,0
Hypno Cf+Psh/SB,811,3,79
Tentacruel Ac+Sc/Pbk,259,8,0
Qwilfish PSt+AT/SB,378,8,0
Starmie Psy+AJ/PG,216,36,0
Arbok Ac+BrS/Wr,356,20,0
Runerigus SC+BrS/RT,279,8,0
Cofagrigus SC+SB/DP,279,8,0
Swalot MS+Sl/IB,269,32,0
Ledian RO+Acr/DyP,324,8,0
Weezing RO+DP/SB,314,8,0
Skeledirge H+SB/TSo,294,8,0
Slowbro Cf+DrP/Sc,799,3,76
Vanillish A+IW/SiB,454,3,0
Castform (Snowy) PS+WBI/IB,102,36,0
Charjabug VS+XS/Cr,392,3,0
Dragalge DT+AT/O,300,8,0
Slowking (Galarian) Ac+Psh/SB,405,3,0
Amoonguss A+FoP/GK,500,44,0
Avalugg Bi+Av/BS,362,3,0
Drifblim A+MF/SB,272,8,0
Froslass H+Av/SB,334,8,0
Wormadam (Sandy) SkP+Bd/BBu,449,20,0
Baxcalibur DB+GlR/IW,141,36,0
Cetitan PS+ISp/SP,111,36,0
Grumpig Psy+MrC/SB,811,3,79
Bruxish Cf+Psh/PsF,751,3,64
Abomasnow Lf+WBI/EB,523,8,6
Claydol Cf+RT/EP,811,3,79
Nidorina PSt+PF/Dg,324,32,0
Centiskorch E+Lu/Cr,566,8,17
Cetoddle PS+Av/BS,392,3,0
Slowbro (Galarian) Cf+BrS/SlB,458,15,0
Ceruledge E+SB/HW,56,36,0
Frigibax DB+DC/IW,811,3,79
Haunter SC+ShP/DP,89,36,0
Muk PJ+DP/TP,300,8,0
Raichu (Alolan) VS+WC/Psh,657,3,40
Misdreavus A+DP/SS,331,8,0
Orbeetle Cf+Psh/BBu,799,3,76
Venomoth Psy+SvW/PF,649,8,38
Medicham PC+DyP/IP,468,32,0
Delphox FS+BB/Psh,653,3,39
Golbat WA+AC/SB,43,36,0
Xatu Pk+Psh/SB,138,36,0
Illumise Inf+SB/SvW,527,32,7
Nidoqueen PSt+EP/SE,294,8,0
Victreebel SkP+LB/SlB,685,8,47
Chimecho A+Psh/SB,811,3,79
Ariados Inf+FoP/CP,614,20,29
Mamoswine PS+ISp/SE,141,36,0
Gourgeist (Super) I+SB/FoP,461,8,0
Gourgeist (Average) I+SB/FoP,465,8,0
Larvesta E+FW/BBu,91,36,0
Dhelmise SC+BrS/SB,606,8,27
Lampent A+HW/EB,344,8,0
Volbeat Inf+BBu/Tb,436,8,0
Beedrill PSt+DR/XS,712,8,54
Slowpoke Cf+Psh/WP,811,3,79
Vespiquen PSt+XS/PG,363,8,0
Gengar SC+ShP/DrP,102,48,0
Gourgeist (Large) I+SB/FoP,471,8,0
Grimer MSl+Sl/MB,606,4,27
Heracross FC+RT/CC,858,8,91
Mismagius H+SB/DP,379,8,0
Salazzle I+PF/DgP,65,36,0
Jynx Cf+Psh/Av,751,3,64
Slowking Cf+S/P,799,3,76
Decidueye A+FP/SSh,763,8,67
Crobat Bi+AC/CP,46,36,0
Galvantula VS+D/Lu,657,3,40
Gourgeist (Small) I+SB/FoP,481,8,0
Kricketune FC+XS/AA,677,8,45
Toxicroak PSt+SB/DyP,704,8,52
Mr. Mime Psy+SB/P,811,3,79
Trevenant SC+SB/FoP,586,8,22
Palossand A+SB/EP,298,8,0
Wobbuffet C+MrC/Re,653,11,39
Hatterene PC+Psh/DG,515,3,4
Vanilluxe A+Av/FC,795,3,75
Houndstone Bi+SB/PsF,319,8,0
Smoochum PS+Psh/IP,262,36,0
Swoobat Cf+Fl/PsF,586,15,22
Hattrem Cf+Psh/DG,775,3,70
Gallade Cf+LB/Sy,751,8,64
Espathra Cf+Psh/DG,763,3,67
Polteageist H+SB/DP,457,8,0
Espeon Cf+PsF/SB,507,8,2
Pumpkaboo (Super) A+FoP/SS,519,20,5
Bergmite Bi+Cr/MrC,602,27,26
Wormadam (Plant) SkP+EB/BBu,834,8,85
Gothitelle Cf+RS/FS,787,3,73
Slowpoke (Galarian) Cf+Psh/S,811,3,79
Dustox Cf+SvW/SlB,362,32,0
Vikavolt VS+Fl/D,645,3,37
Alakazam PC+SB/FiP,296,36,0
Pumpkaboo (Large) A+FoP/SS,795,8,75
Leavanny SC+LB/XS,669,8,43
Rotom A+Tb/OW,283,8,0
Scyther FC+NS/XS,673,8,44
Cryogonal IS+NS/TAx,404,3,0
Roserade PSt+WBF/GK,103,24,0
Meowstic (Female) Cf+SB/EB,787,3,73
Mr. Rime Cf+IP/P,775,3,70
Espurr Cf+Psh/EB,799,3,76
Scolipede PSt+AT/XS,677,8,45
Seviper PJ+Cr/PF,412,8,0
Gothorita Cf+FS/P,799,3,76
Mr. Mime (Galarian) Cf+IP/P,763,3,67
Drifloon A+SB/IW,293,8,0
Cursola A+NSh/PG,468,8,0
Koffing Inf+DP/Sl,543,4,11
Chandelure A+EB/FmC,456,8,0
Skrelp Ac+AT/Tw,421,32,0
Swadloon BBi+EB/SvW,858,8,91
Tentacool PSt+Wr/WP,380,32,0
Sneasler SC+CC/AA,89,48,0
Pinsir FC+XS/VG,582,8,21
Pumpkaboo (Average) A+FoP/SS,795,8,75
Masquerain Inf+AC/Lu,874,8,95
Meowstic (Male) Cf+EB/P,787,3,73
Sandygast A+SB/EP,329,8,0
Karrablast FC+DR/XS,688,8,48
Venusaur VW+FP/Sl,625,8,32
Frosmoth PS+IW/Hu,692,8,49
Nidorino PSt+SlB/Dg,329,8,0
Banette SC+SB/T,460,8,0
Garbodor Inf+BS/SeB,594,4,24
Pineco BBi+RT/ST,858,8,91
Pumpkaboo (Small) A+FoP/SS,795,8,75
Drakloak A+SB/O,369,8,0
Cloyster IS+Av/Li,419,3,0
Nidoking PSt+EP/ST,629,4,33
Rapidash (Galarian) FW+BS/HH,633,3,34
Beartic PS+IP/Li,138,36,0
Ninjask FC+SB/AA,132,48,0
Parasect FC+XS/CP,688,8,48
Beautifly Inf+AC/SvW,500,8,0
Drowzee Cf+Psh/Re,846,3,88
Rotom (Frost) A+Tb/Bl,716,15,55
Dragapult A+SB/O,447,8,0
Yanma WA+SvW/AP,763,8,67
Darumaka (Galarian) IF+IP/IB,622,3,31
Sneasel (Hisuian) PJ+CC/XS,787,8,73
Accelgor Inf+EB/BBu,858,8,91
Yanmega WA+AP/AA,740,8,61
Musharna CB+Psh/DG,858,3,91
Ponyta (Galarian) PC+Sw/Psb,677,8,45
Skorupi Inf+CP/AT,688,32,48
Crabominable B+IP/BkB,858,8,91
Ribombee FW+DK/BBu,858,8,91
Whirlipede PSt+GB/SlB,559,4,15
Beheeyem Cf+RS/DP,763,8,67
Snover PS+EB/IB,763,3,67
Elgyem Cf+DP/P,763,8,67
Exeggutor Cf+SeB/P,751,8,64
Ivysaur VW+PW/SlB,566,20,17
Vivillon G+Hu/AA,622,8,31
Gloom Ac+SlB/M,834,8,85
Gardevoir Cf+SB/Sy,751,3,64
Oddish Ac+SeB/SlB,763,8,67
Darmanitan (Galarian) IF+Av/IP,574,3,19
Weepinbell Ac+PW/SlB,811,8,79
Dottler Cf+P/BBu,846,8,88
