Pokemon,Battle Rating,Energy Remaining,HP Remaining
Dewgong IS+AJ/DR,756,7,60
Ninetales (Alolan) PS+WBI/Psh,611,42,26
Golisopod SC+AJ/XS,412,14,0
Weezing (Galarian) FW+Sl/BrS,803,49,71
Glalie RO+SB/Av,403,23,0
Arctibax DB+DC/IW,581,2,19
Piloswine PS+ISp/SE,559,42,14
Hypno Cf+Psh/SB,384,21,0
Tentacruel Ac+Sc/Pbk,739,14,56
Qwilfish PSt+AT/SB,837,35,79
Starmie Psy+AJ/PG,534,2,8
Arbok Ac+BrS/Wr,760,35,61
Runerigus SC+BrS/RT,339,9,0
Cofagrigus SC+SB/DP,334,49,0
Swalot MS+Sl/IB,871,28,87
Ledian RO+Acr/DyP,598,7,23
Weezing RO+DP/SB,811,49,73
Skeledirge H+SB/TSo,438,23,0
Slowbro Cf+DrP/Sc,388,21,0
Vanillish A+IW/SiB,315,0,0
Castform (Snowy) PS+WBI/IB,594,2,22
Charjabug VS+XS/Cr,285,35,0
Dragalge DT+AT/O,722,49,52
Slowking (Galarian) Ac+Psh/SB,456,28,0
Amoonguss A+FoP/GK,485,9,0
Avalugg Bi+Av/BS,437,28,0
Drifblim A+MF/SB,253,35,0
Froslass H+Av/SB,488,28,0
Wormadam (Sandy) SkP+Bd/BBu,324,9,0
Baxcalibur DB+GlR/IW,492,28,0
Cetitan PS+ISp/SP,559,42,14
Grumpig Psy+MrC/SB,717,2,51
Bruxish Cf+Psh/PsF,500,2,0
Abomasnow Lf+WBI/EB,381,49,0
Claydol Cf+RT/EP,371,30,0
Nidorina PSt+PF/Dg,769,49,63
Centiskorch E+Lu/Cr,444,28,0
Cetoddle PS+Av/BS,534,42,8
Slowbro (Galarian) Cf+BrS/SlB,649,42,35
Ceruledge E+SB/HW,811,28,73
Frigibax DB+DC/IW,670,28,40
Haunter SC+ShP/DP,585,21,20
Muk PJ+DP/TP,636,49,32
Raichu (Alolan) VS+WC/Psh,198,21,0
Misdreavus A+DP/SS,250,21,0
Orbeetle Cf+Psh/BBu,478,2,0
Venomoth Psy+SvW/PF,824,35,76
Medicham PC+DyP/IP,602,2,24
Delphox FS+BB/Psh,662,2,38
Golbat WA+AC/SB,756,49,60
Xatu Pk+Psh/SB,352,23,0
Illumise Inf+SB/SvW,323,9,0
Nidoqueen PSt+EP/SE,790,49,68
Victreebel SkP+LB/SlB,525,35,6
Chimecho A+Psh/SB,192,0,0
Ariados Inf+FoP/CP,521,35,5
Mamoswine PS+ISp/SE,752,28,59
Gourgeist (Super) I+SB/FoP,735,2,55
Gourgeist (Average) I+SB/FoP,735,7,55
Larvesta E+FW/BBu,811,28,73
Dhelmise SC+BrS/SB,423,35,0
Lampent A+HW/EB,282,16,0
Volbeat Inf+BBu/Tb,323,9,0
Beedrill PSt+DR/XS,837,35,79
Slowpoke Cf+Psh/WP,373,11,0
Vespiquen PSt+XS/PG,371,23,0
Gengar SC+ShP/DrP,585,21,20
Gourgeist (Large) I+SB/FoP,735,7,55
Grimer MSl+Sl/MB,683,49,43
Heracross FC+RT/CC,568,35,16
Mismagius H+SB/DP,451,14,0
Salazzle I+PF/DgP,876,56,88
Jynx Cf+Psh/Av,615,42,27
Slowking Cf+S/P,683,2,43
Decidueye A+FP/SSh,256,21,0
Crobat Bi+AC/CP,760,35,61
Galvantula VS+D/Lu,372,35,0
Gourgeist (Small) I+SB/FoP,735,42,55
Kricketune FC+XS/AA,359,0,0
Toxicroak PSt+SB/DyP,888,42,91
Mr. Mime Psy+SB/P,717,2,51
Trevenant SC+SB/FoP,362,0,0
Palossand A+SB/EP,212,21,0
Wobbuffet C+MrC/Re,457,10,0
Hatterene PC+Psh/DG,437,28,0
Vanilluxe A+Av/FC,277,21,0
Houndstone Bi+SB/PsF,399,14,0
Smoochum PS+Psh/IP,420,28,0
Swoobat Cf+Fl/PsF,581,2,19
Hattrem Cf+Psh/DG,649,7,35
Gallade Cf+LB/Sy,756,14,60
Espathra Cf+Psh/DG,615,2,27
Polteageist H+SB/DP,551,49,12
Espeon Cf+PsF/SB,521,42,5
Pumpkaboo (Super) A+FoP/SS,230,21,0
Bergmite Bi+Cr/MrC,581,42,19
Wormadam (Plant) SkP+EB/BBu,320,49,0
Gothitelle Cf+RS/FS,683,2,43
Slowpoke (Galarian) Cf+Psh/S,413,25,0
Dustox Cf+SvW/SlB,782,28,66
Vikavolt VS+Fl/D,351,21,0
Alakazam PC+SB/FiP,811,28,73
Pumpkaboo (Large) A+FoP/SS,229,21,0
Leavanny SC+LB/XS,454,14,0
Rotom A+Tb/OW,287,16,0
Scyther FC+NS/XS,398,0,0
Cryogonal IS+NS/TAx,504,2,1
Roserade PSt+WBF/GK,846,21,81
Meowstic (Female) Cf+SB/EB,683,2,43
Mr. Rime Cf+IP/P,649,2,35
Espurr Cf+Psh/EB,683,2,43
Scolipede PSt+AT/XS,799,35,70
Seviper PJ+Cr/PF,722,21,52
Gothorita Cf+FS/P,683,2,43
Mr. Mime (Galarian) Cf+IP/P,649,2,35
Drifloon A+SB/IW,276,35,0
Cursola A+NSh/PG,342,16,0
Koffing Inf+DP/Sl,585,49,20
Chandelure A+EB/FmC,370,16,0
Skrelp Ac+AT/Tw,799,35,70
Swadloon BBi+EB/SvW,192,21,0
Tentacool PSt+Wr/WP,666,49,39
Sneasler SC+CC/AA,769,42,63
Pinsir FC+XS/VG,333,21,0
Pumpkaboo (Average) A+FoP/SS,242,21,0
Masquerain Inf+AC/Lu,311,0,0
Meowstic (Male) Cf+EB/P,683,2,43
Sandygast A+SB/EP,240,21,0
Karrablast FC+DR/XS,440,0,0
Venusaur VW+FP/Sl,653,35,36
Frosmoth PS+IW/Hu,692,28,45
Nidorino PSt+SlB/Dg,824,35,76
Banette SC+SB/T,460,35,0
Garbodor Inf+BS/SeB,551,49,12
Pineco BBi+RT/ST,255,21,0
Pumpkaboo (Small) A+FoP/SS,256,21,0
Drakloak A+SB/O,271,16,0
Cloyster IS+Av/Li,709,42,49
Nidoking PSt+EP/ST,803,35,71
Rapidash (Galarian) FW+BS/HH,357,23,0
Beartic PS+IP/Li,752,28,59
Ninjask FC+SB/AA,355,21,0
Parasect FC+XS/CP,337,0,0
Beautifly Inf+AC/SvW,334,21,0
Drowzee Cf+Psh/Re,404,25,0
Rotom (Frost) A+Tb/Bl,349,0,0
Dragapult A+SB/O,317,16,0
Yanma WA+SvW/AP,692,28,45
Darumaka (Galarian) IF+IP/IB,611,28,26
Sneasel (Hisuian) PJ+CC/XS,794,42,69
Accelgor Inf+EB/BBu,329,21,0
Yanmega WA+AP/AA,683,14,43
Musharna CB+Psh/DG,223,18,0
Ponyta (Galarian) PC+Sw/Psb,598,2,23
Skorupi Inf+CP/AT,632,84,31
Crabominable B+IP/BkB,863,70,85
Ribombee FW+DK/BBu,713,28,50
Whirlipede PSt+GB/SlB,841,49,80
Beheeyem Cf+RS/DP,615,2,27
Snover PS+EB/IB,752,28,59
Elgyem Cf+DP/P,615,2,27
Exeggutor Cf+SeB/P,615,2,27
Ivysaur VW+PW/SlB,585,49,20
Vivillon G+Hu/AA,375,0,0
Gloom Ac+SlB/M,739,35,56
Gardevoir Cf+SB/Sy,525,2,6
Oddish Ac+SeB/SlB,739,35,56
Darmanitan (Galarian) IF+Av/IP,688,49,44
Weepinbell Ac+PW/SlB,730,21,54
Dottler Cf+P/BBu,752,2,59
Vileplume Ac+SlB/M,739,35,56
Kadabra Cf+SB/DG,551,28,12
Mothim BBi+AA/BBu,326,21,0
Glaceon IS+Av/WP,760,28,61
Exeggcute Cf+AP/SeB,717,2,51
Butterfree Cf+BBu/P,688,28,44
Reuniclus HPP+Psh/SB,709,7,49
Sigilyph AS+AC/AP,572,2,17
Oricorio (Pa'u) AS+AC/Hu,572,2,17
Oricorio (Sensu) AS+AC/Hu,649,28,35
Braviary (Hisuian) AS+BrB/Fl,572,7,17
Munna CB+Psh/DG,424,2,0
Roselia PJ+SlB/PlB,692,21,45
Duosion HPP+Psh/NSh,662,42,38
Bulbasaur VW+PW/SlB,696,35,46
Solosis HPP+Psh/NSh,662,42,38
Spoink ZH+MrC/SB,760,2,61
