Pokemon,Battle Rating,Energy Remaining,HP Remaining
Dewgong IS+AJ/DR,500,0,0
Ninetales (Alolan) PS+WBI/Psh,598,0,31
Golisopod SC+AJ/XS,370,10,0
Weezing (Galarian) FW+Sl/BrS,681,0,57
Glalie RO+SB/Av,389,30,0
Arctibax DB+DC/IW,241,30,0
Piloswine PS+ISp/SE,878,0,119
Hypno Cf+Psh/SB,425,20,0
Tentacruel Ac+Sc/Pbk,506,0,2
Qwilfish PSt+AT/SB,649,0,47
Starmie Psy+AJ/PG,221,30,0
Arbok Ac+BrS/Wr,278,30,0
Runerigus SC+BrS/RT,573,0,23
Cofagrigus SC+SB/DP,576,30,24
Swalot MS+Sl/IB,447,30,0
Ledian RO+Acr/DyP,522,10,7
Weezing RO+DP/SB,605,0,33
Skeledirge H+SB/TSo,605,0,33
Slowbro Cf+DrP/Sc,260,30,0
Vanillish A+IW/SiB,327,20,0
Castform (Snowy) PS+WBI/IB,694,0,61
Charjabug VS+XS/Cr,269,30,0
Dragalge DT+AT/O,512,0,4
Slowking (Galarian) Ac+Psh/SB,573,0,23
Amoonguss A+FoP/GK,617,0,37
Avalugg Bi+Av/BS,385,20,0
Drifblim A+MF/SB,649,0,47
Froslass H+Av/SB,426,30,0
Wormadam (Sandy) SkP+Bd/BBu,678,0,56
Baxcalibur DB+GlR/IW,299,30,0
Cetitan PS+ISp/SP,398,20,0
Grumpig Psy+MrC/SB,550,30,16
Bruxish Cf+Psh/PsF,243,30,0
Abomasnow Lf+WBI/EB,251,20,0
Claydol Cf+RT/EP,675,20,55
Nidorina PSt+PF/Dg,484,0,0
Centiskorch E+Lu/Cr,393,10,0
Cetoddle PS+Av/BS,624,0,39
Slowbro (Galarian) Cf+BrS/SlB,611,0,35
Ceruledge E+SB/HW,589,0,28
Frigibax DB+DC/IW,281,30,0
Haunter SC+ShP/DP,509,30,3
Muk PJ+DP/TP,538,0,12
Raichu (Alolan) VS+WC/Psh,355,30,0
Misdreavus A+DP/SS,592,10,29
Orbeetle Cf+Psh/BBu,442,10,0
Venomoth Psy+SvW/PF,566,0,21
Medicham PC+DyP/IP,425,10,0
Delphox FS+BB/Psh,227,40,0
Golbat WA+AC/SB,646,0,46
Xatu Pk+Psh/SB,585,100,27
Illumise Inf+SB/SvW,506,30,2
Nidoqueen PSt+EP/SE,538,0,12
