Pokemon,Battle Rating,Energy Remaining,HP Remaining
Dewgong IS+AJ/DR,617,0,27
Ninetales (Alolan) PS+WBI/Psh,456,10,0
Golisopod SC+AJ/XS,449,10,0
Weezing (Galarian) FW+Sl/BrS,396,10,0
Glalie RO+SB/Av,432,40,0
Arctibax DB+DC/IW,490,0,0
Piloswine PS+ISp/SE,324,0,0
Hypno Cf+Psh/SB,513,0,3
Tentacruel Ac+Sc/Pbk,297,10,0
Qwilfish PSt+AT/SB,300,20,0
Starmie Psy+AJ/PG,678,10,41
Arbok Ac+BrS/Wr,438,10,0
Runerigus SC+BrS/RT,647,10,34
Cofagrigus SC+SB/DP,311,0,0
Swalot MS+Sl/IB,385,0,0
Ledian RO+Acr/DyP,358,10,0
Weezing RO+DP/SB,443,30,0
Skeledirge H+SB/TSo,323,0,0
Slowbro Cf+DrP/Sc,639,0,32
Vanillish A+IW/SiB,340,0,0
Castform (Snowy) PS+WBI/IB,277,0,0
Charjabug VS+XS/Cr,643,30,33
Dragalge DT+AT/O,376,30,0
Slowking (Galarian) Ac+Psh/SB,547,10,11
Amoonguss A+FoP/GK,517,0,4
Avalugg Bi+Av/BS,279,0,0
Drifblim A+MF/SB,344,0,0
Froslass H+Av/SB,426,0,0
Wormadam (Sandy) SkP+Bd/BBu,421,10,0
Baxcalibur DB+GlR/IW,330,0,0
Cetitan PS+ISp/SP,316,0,0
Grumpig Psy+MrC/SB,565,10,15
Bruxish Cf+Psh/PsF,617,10,27
Abomasnow Lf+WBI/EB,643,10,33
Claydol Cf+RT/EP,613,20,26
Nidorina PSt+PF/Dg,534,10,8
Centiskorch E+Lu/Cr,477,10,0
Cetoddle PS+Av/BS,291,0,0
Slowbro (Galarian) Cf+BrS/SlB,652,10,35
Ceruledge E+SB/HW,410,0,0
Frigibax DB+DC/IW,429,10,0
Haunter SC+ShP/DP,178,40,0
Muk PJ+DP/TP,388,10,0
Raichu (Alolan) VS+WC/Psh,686,20,43
Misdreavus A+DP/SS,372,0,0
Orbeetle Cf+Psh/BBu,691,10,44
Venomoth Psy+SvW/PF,726,10,52
Medicham PC+DyP/IP,450,10,0
Delphox FS+BB/Psh,390,0,0
Golbat WA+AC/SB,248,0,0
Xatu Pk+Psh/SB,424,0,0
Illumise Inf+SB/SvW,530,0,7
Nidoqueen PSt+EP/SE,435,30,0
Victreebel SkP+LB/SlB,617,20,27
Chimecho A+Psh/SB,350,0,0
Ariados Inf+FoP/CP,626,10,29
Mamoswine PS+ISp/SE,202,40,0
Gourgeist (Super) I+SB/FoP,617,10,27
Gourgeist (Average) I+SB/FoP,500,10,0
Larvesta E+FW/BBu,122,40,0
Dhelmise SC+BrS/SB,582,0,19
Lampent A+HW/EB,387,0,0
Volbeat Inf+BBu/Tb,582,0,19
