Pokemon,Battle Rating,Energy Remaining,HP Remaining
Dewgong IS+AJ/DR,410,48,0
Ninetales (Alolan) PS+WBI/Psh,460,17,0
Golisopod SC+AJ/XS,594,9,22
Weezing (Galarian) FW+Sl/BrS,409,43,0
Glalie RO+SB/Av,556,53,13
Arctibax DB+DC/IW,357,1,0
Piloswine PS+ISp/SE,340,1,0
Hypno Cf+Psh/SB,374,9,0
Tentacruel Ac+Sc/Pbk,564,3,15
Qwilfish PSt+AT/SB,491,22,0
Starmie Psy+AJ/PG,149,33,0
Arbok Ac+BrS/Wr,446,35,0
Runerigus SC+BrS/RT,380,35,0
Cofagrigus SC+SB/DP,477,22,0
Swalot MS+Sl/IB,315,35,0
Ledian RO+Acr/DyP,551,35,12
Weezing RO+DP/SB,500,3,0
Skeledirge H+SB/TSo,625,1,29
Slowbro Cf+DrP/Sc,388,9,0
Vanillish A+IW/SiB,483,48,0
Castform (Snowy) PS+WBI/IB,445,22,0
Charjabug VS+XS/Cr,560,48,14
Dragalge DT+AT/O,318,1,0
Slowking (Galarian) Ac+Psh/SB,508,22,2
Amoonguss A+FoP/GK,521,3,5
Avalugg Bi+Av/BS,472,35,0
Drifblim A+MF/SB,538,22,9
Froslass H+Av/SB,577,1,18
Wormadam (Sandy) SkP+Bd/BBu,347,35,0
Baxcalibur DB+GlR/IW,444,1,0
Cetitan PS+ISp/SP,492,22,0
Grumpig Psy+MrC/SB,420,1,0
Bruxish Cf+Psh/PsF,183,46,0
Abomasnow Lf+WBI/EB,472,22,0
Claydol Cf+RT/EP,297,35,0
Nidorina PSt+PF/Dg,521,3,5
Centiskorch E+Lu/Cr,685,1,43
Cetoddle PS+Av/BS,438,22,0
Slowbro (Galarian) Cf+BrS/SlB,123,46,0
Ceruledge E+SB/HW,577,1,18
Frigibax DB+DC/IW,436,1,0
Haunter SC+ShP/DP,212,28,0
Muk PJ+DP/TP,603,3,24
Raichu (Alolan) VS+WC/Psh,162,46,0
Misdreavus A+DP/SS,685,9,43
Orbeetle Cf+Psh/BBu,650,9,35
Venomoth Psy+SvW/PF,534,9,8
Medicham PC+DyP/IP,379,17,0
Delphox FS+BB/Psh,724,1,52
Golbat WA+AC/SB,564,35,15
Xatu Pk+Psh/SB,205,28,0
Illumise Inf+SB/SvW,603,3,24
Nidoqueen PSt+EP/SE,302,9,0
Victreebel SkP+LB/SlB,469,9,0
Chimecho A+Psh/SB,450,1,0
Ariados Inf+FoP/CP,681,9,42
