Pokemon,Battle Rating,Energy Remaining,HP Remaining
Accelgor Ac+BBu/SiB,739,20,68
Alakazam PC+SB/FiP,619,11,34
Ampharos VS+BrS/PG,445,34,0
Appletun A+O/DgP,538,48,11
Arbok Ac+DP/SW,552,53,15
Arboliva Tk+TBl/SeB,767,6,76
Ariados PSt+SS/Lu,732,3,66
Azelf Cf+Sw/FS,573,11,21
Banette SC+SB/DG,465,34,0
Bayleef ML+AP/GK,588,3,25
Beautifly Inf+AC/SvW,549,20,14
Beedrill PSt+XS/DR,591,53,26
Beheeyem Cf+RS/DP,102,56,0
Bellossom Ac+LB/DG,746,48,70
Boltund Sp+Cr/T,577,34,22
Braviary (Hisuian) AS+BrB/Fl,314,6,0
Breloom FPm+SlB/DyP,813,11,89
Bruxish Cf+Psh/PsF,418,11,0
Bulbasaur VW+SlB/PW,823,20,92
Butterfree BBi+BBu/SiB,647,3,42
Carnivine VW+Cr/PW,809,6,88
Celebi Cf+AuS/P,93,56,0
Cherrim (Overcast) BS+DG/HB,661,34,46
Cherrim (Sunshine) BS+WBF/DG,584,34,24
Chesnaught VW+FP/TP,838,6,96
Chespin VW+BS/SeB,753,20,72
Chimecho A+Psh/SB,365,39,0
Chinchou B+WP/Tb,654,3,44
Crobat AS+AC/CP,449,34,0
Dartrix Pk+BrB/SeB,87,42,0
Decidueye A+FP/SSh,445,34,0
Decidueye (Hisuian) PC+NSh/AuS,764,6,75
Dedenne TS+PbC/PR,538,3,11
Deerling Tk+WC/TBl,880,6,108
Delphox FS+Psh/BB,109,56,0
Deoxys (Defense) C+PB/RS,443,8,0
Deoxys (Speed) CB+PB/Sw,465,25,0
Dipplin DT+O/DgP,552,3,15
Dolliv Tk+TBl/SeB,742,34,69
Dottler Cf+BBu/P,514,8,4
Drowzee Cf+Psh/Re,306,39,0
Duosion HPP+Psh/NSh,130,56,0
Dustox Cf+SlB/SvW,500,31,0
Eelektrik Ac+Cr/D,609,3,31
Eelektross Ac+Cr/Tb,476,34,0
Eldegoss BS+GK/EB,795,3,84
Electabuzz TS+TP/Re,465,34,0
Electivire TS+IP/WC,605,20,30
Electrode VS+FoP/D,535,3,10
Electrode (Hisuian) TS+WC/Sw,549,34,14
Elekid TS+TP/BkB,602,34,29
Elgyem Cf+DP/P,106,56,0
Emolga TS+Acr/D,360,6,0
Espeon Cf+SB/PsF,500,25,0
Espurr Cf+Psh/EB,331,25,0
Exeggcute Cf+AP/SeB,489,53,0
Exeggutor Cf+P/SeB,106,56,0
Exeggutor (Alolan) DT+DgP/SeB,651,6,43
Flaaffy Tk+PG/D,538,3,11
Flapple DB+Fl/O,549,6,14
Floragato Lf+GK/PR,827,20,93
Frosmoth PS+IW/BBu,454,34,0
Gallade Cf+LB/CC,500,34,0
Galvantula FC+CP/Lu,605,3,30
Garbodor Inf+BS/GS,619,3,34
Gardevoir Cf+SB/TAx,521,6,6
Gengar SC+ShP/SB,538,25,11
Girafarig Cf+PsF/TBl,403,25,0
Gloom Ac+SlB/M,760,34,74
Gogoat VW+LB/RS,637,34,39
Golisopod SC+XS/AJ,462,48,0
Gothitelle Cf+RS/FS,298,11,0
Gothorita Cf+FS/P,276,11,0
Grafaiai PJ+PF/SlB,760,39,74
Grimer PJ+Sl/MB,640,3,40
Grotle Bi+BS/EB,602,48,29
Grovyle QA+LB/AA,721,6,63
Grumpig Psy+SB/DyP,321,39,0
Hatterene PC+PW/DG,728,6,65
Hattrem Cf+P/DG,93,56,0
Haunter SC+ShP/IP,686,6,53
Heliolisk VS+PbC/GK,490,48,0
Heracross FC+Mh/RT,609,20,31
Hoopa A+SB/P,333,11,0
Houndstone L+SB/PsF,357,48,0
Hydrapple DT+O/DgP,580,34,23
Hypno Cf+SB/Psh,272,39,0
Illumise StB+SvW/DG,781,3,80
Indeedee (Female) Ex+P/EB,343,25,0
Indeedee (Male) Ex+SB/P,401,11,0
Ivysaur VW+SlB/PW,802,34,86
Jolteon VS+D/LR,573,34,21
Jynx Cf+Av/IP,127,56,0
Kadabra PC+SB/DG,598,11,28
Karrablast FC+XS/DR,700,20,57
Kilowattrel TS+Acr/AA,139,42,0
Koffing Tk+Sl/DP,661,53,46
Kricketune FC+XS/AA,454,34,0
Leafeon QA+LB/LR,746,6,70
Leavanny SC+XS/LB,802,6,86
Lilligant Ch+PlB/HB,911,6,117
Lilligant (Hisuian) Lf+LB/Acr,588,6,25
Lombre B+IB/Sc,672,48,49
Ludicolo A+WBW/IB,466,34,0
Lurantis FC+LB/XS,785,20,81
Luxio Sp+WC/Cr,672,48,49
Luxray Sp+Cr/PsF,531,34,9
Manectric Sn+WC/PsF,495,20,0
Maractus PJ+AA/PlB,725,6,64
Masquerain Inf+AC/Lu,559,48,17
Medicham PC+IP/DyP,464,3,0
Meganium VW+FP/Re,679,3,51
Meowstic (Female) Cf+SB/P,314,25,0
Meowstic (Male) SkP+P/Tb,352,53,0
Mesprit Cf+Sw/FS,333,11,0
Mew SC+DP/Psh,348,25,0
Minun QA+Tb/GK,396,48,0
Misdreavus A+SS/DP,479,3,0
Mismagius H+SB/DP,375,34,0
Mothim BBi+AA/BBu,580,34,23
Mr. Mime Psy+SB/P,111,56,0
Mr. Mime (Galarian) Cf+IP/TAx,413,39,0
Mr. Rime Cf+IP/TAx,412,39,0
Muk PJ+DP/TP,644,3,41
Munna CB+Psh/DG,367,39,0
Musharna CB+Psh/DG,316,39,0
Nidorino PSt+SlB/IB,563,48,18
Ninjask FC+SB/AA,602,20,29
Oddish Ac+SlB/SeB,778,20,79
Oricorio (Pa'u) AS+AC/AA,367,20,0
Oricorio (Pom-Pom) AS+AC/AA,425,20,0
Parasect FC+XS/CP,771,20,77
Pawmo TS+WC/TP,774,6,78
Pawmot TS+WC/CC,616,6,33
Pineco BBi+RT/ST,602,3,29
Pinsir FC+XS/CC,647,34,42
Plusle QA+Tb/GK,496,48,0
Polteageist H+SB/DP,457,34,0
Ponyta (Galarian) PC+Sw/Psb,413,25,0
Quilladin VW+BS/GB,711,3,60
Qwilfish PSt+AT/IB,612,34,32
Raichu VS+WC/BkB,473,34,0
Raichu (Alolan) TS+WC/Psh,400,11,0
Rapidash (Galarian) PC+BS/Mh,626,20,36
Reuniclus Ch+Psh/SB,559,8,17
Ribombee FW+BBu/DG,806,6,87
Rillaboom RL+DrB/FP,915,6,118
Roselia PJ+SlB/DG,757,6,73
Roserade PSt+WBF/SlB,739,6,68
Rowlet Lf+SeB/EB,862,20,103
Sawsbuck FA+WC/Mh,686,6,53
Sceptile FC+LB/AA,686,6,53
Scolipede BBi+XS/AT,718,39,62
Scyther FC+NS/XS,626,34,36
Serperior VW+FP/AA,577,3,22
Servine VW+Wr/GK,686,3,53
Seviper PJ+PF/Cr,707,20,59
Shaymin (Land) ML+GK/EB,838,34,96
Shaymin (Sky) HPF+GK/EB,806,6,87
Shiinotic A+M/SlB,785,6,81
Sigilyph AS+AC/AP,377,34,0
Simisage VW+Cr/GK,802,6,86
Skiddo RSm+RS/SeB,908,20,116
Skorupi PSt+CP/AT,683,3,52
Skrelp Ac+AT/Tw,672,34,49
Slowbro Cf+IB/S,350,53,0
Slowbro (Galarian) Cf+BrS/SlB,383,53,0
Slowking Cf+S/Bl,309,25,0
Slowpoke Cf+Psh/WP,314,39,0
Slowpoke (Galarian) Cf+Psh/S,314,39,0
Sneasel (Hisuian) PJ+XS/CC,816,6,90
Sneasler SC+XS/CC,809,11,88
Snover PS+IB/St,676,20,50
Solosis HPP+Psh/NSh,135,56,0
Spoink ZH+SB/Re,535,8,10
Starmie Psy+PG/S,115,56,0
Sunflora BS+SlB/LfS,841,6,97
Swadloon BBi+SvW/EB,721,3,63
Swoobat Cf+Fl/PsF,101,56,0
Tangela VW+SlB/GK,830,20,94
Tangrowth VW+RS/SlB,690,34,54
Tentacool PSt+Wr/WP,711,3,60
Tentacruel Ac+Sc/Pbk,419,48,0
Thwackey Scr+GK/EB,778,20,79
Toxicroak PSt+SB/SlB,739,6,68
Trevenant SC+SB/FoP,446,34,0
Tropius AS+BrS/LB,514,12,4
Tsareena ML+TAx/GK,823,6,92
Turtwig Tk+BS/SeB,760,20,74
Unown HPI+Str,823,53,92
Uxie Cf+Sw/FS,233,11,0
Venomoth Psy+PF/SvW,449,39,0
Venusaur VW+Sl/FP,725,34,64
Victreebel Ac+LB/SlB,799,6,85
Vileplume Ac+SlB/M,774,20,78
Vivillon G+AA/BBu,432,20,0
Volbeat StB+BBu/SiB,742,3,69
Weepinbell Ac+SlB/PW,795,6,84
Weezing RO+SB/SlB,426,34,0
Weezing (Galarian) FW+BrS/Sl,609,48,31
Whimsicott FW+M/Hu,619,6,34
Whirlipede PSt+SlB/SiB,725,3,64
Wobbuffet Ch+Re/MrC,584,2,24
Wormadam (Plant) SkP+BBu/EB,672,3,49
Wyrdeer Cf+WC/Mh,352,11,0
Xatu Pk+Psh/AA,357,20,0
Yanma WA+AA/SvW,476,34,0
Yanmega WA+AA/BBu,503,34,1
Zebstrika Sp+WC/FmC,573,34,21
