Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,321,10,0
Abomasnow (Shadow) PS+WBI/EB,314,0,0
Alomomola W+HP/Bl,759,0,92
Amoonguss A+GK/FoP,500,10,0
Amoonguss (Shadow) A+GK/FoP,500,0,0
Appletun A+SeB/O,556,0,20
Araquanid BBi+WP/BuB,389,0,0
Arboliva ML+EP/TBl,469,10,0
Aromatisse Ch+Psh/M,663,10,58
Azumarill B+IB/PR,810,0,110
Barbaracle FC+CrC/SE,391,30,0
Basculin WG+AT/AJ,706,100,73
Bayleef ML+AP/EB,847,10,123
Bayleef (Shadow) ML+AP/EB,824,0,115
Bellossom Ac+LB/DG,553,0,19
Bellossom (Shadow) Ac+LB/DG,437,30,0
Bibarel RO+S/HF,511,0,4
Bibarel (Shadow) RO+S/HF,191,30,0
Blastoise RO+HC/SkB,376,40,0
Blastoise (Shadow) RO+HC/SkB,423,40,0
Breloom FPm+DyP/GK,717,100,77
Brionne Ch+AJ/DV,723,0,79
Bruxish Cf+AT/PsF,533,80,12
Bulbasaur VW+PW/SeB,898,100,141
Bulbasaur (Shadow) VW+PW/SeB,884,100,136
Cacturne SkP+TBl/DyP,305,0,0
Cacturne (Shadow) SkP+TBl/DyP,338,0,0
Carbink RTh+RS/M,655,0,55
Carnivine VW+PW/Cr,850,100,124
Carracosta WG+Li/AP,680,0,64
Carracosta (Shadow) WG+AP/BS,706,100,73
Castform (Rainy) WG+WBW/T,683,0,65
Celebi Cf+AuS/LfS,437,40,0
Cherrim (Overcast) BS+DG/SoB,892,0,139
Cherrim (Sunshine) BS+WBF/SoB,423,40,0
Chesnaught LK+FP/SP,689,0,67
Chesnaught (Shadow) VW+FP/SP,717,80,77
Chespin VW+BS/SeB,771,0,96
Chespin (Shadow) VW+BS/SeB,728,100,81
Chinchou B+WP/Tb,824,0,115
Clamperl WG+BS/WP,706,100,73
Clauncher WG+AJ/Crbh,785,0,101
Clawitzer WG+Crbh/IB,709,30,74
Clefable FW+M/MM,598,0,35
Clefairy ZH+DV/BS,601,10,36
Cloyster IS+IW/Li,360,30,0
Cloyster (Shadow) IS+IW/Li,381,10,0
Comfey VW+GK/DK,892,0,139
Corphish B+AJ/VG,841,100,121
Corphish (Shadow) B+AJ/VG,838,90,120
Corsola B+PG/RB,703,0,72
Cradily Ac+RT/GK,315,50,0
Cradily (Shadow) Ac+RT/GK,447,0,0
Crawdaunt W+NS/Sc,394,40,0
Crawdaunt (Shadow) W+NS/Sc,412,30,0
Croconaw WG+IP/WP,785,0,101
Croconaw (Shadow) WG+IP/WP,680,0,64
Dachsbun Ch+PsF/PR,596,0,34
Dartrix Pk+BrB/SeB,327,30,0
Decidueye Lf+FP/SSh,909,80,145
Decidueye (Hisuian) PC+TBl/AuS,528,0,10
Dedenne TS+D/PR,666,0,59
Deerling Tk+WC/TBl,457,20,0
Dewgong IS+IW/DR,516,0,6
Dewott FC+AT/XS,449,40,0
Dewott (Shadow) FC+AT/XS,407,0,0
Dhelmise SC+PW/BrS,790,70,103
Diancie RTh+RS/M,514,0,5
Dipplin DT+SeB/O,371,40,0
Dolliv ML+EP/TBl,400,20,0
Dondozo W+S/O,737,0,84
Drizzile WG+S/WP,740,100,85
Eldegoss BS+GK/EB,926,0,151
Electrode (Hisuian) TS+WC/Sw,514,0,5
Empoleon MSo+HC/DrlP,377,20,0
Empoleon (Shadow) MSo+HC/DrlP,459,10,0
Exeggcute Cf+SeB/AP,450,10,0
Exeggcute (Shadow) Cf+SeB/AP,522,90,8
Exeggutor Cf+SeB/P,484,30,0
Exeggutor (Alolan) DT+SeB/DM,683,100,65
Exeggutor (Alolan) (Shadow) DT+SeB/DM,663,60,58
Exeggutor (Shadow) Cf+SeB/P,579,60,28
Feraligatr SC+HC/IB,404,30,0
Feraligatr (Shadow) SC+HC/IB,488,50,0
Ferroseed MC+GB/Re,790,0,103
Ferroseed (Shadow) MC+GB/IH,740,0,85
Ferrothorn BS+PW/FC,915,10,147
Ferrothorn (Shadow) BS+PW/FC,892,0,139
Flabebe VW+DG/PlB,898,100,141
Flapple DB+SeB/DgP,655,100,55
Floatzel W+AJ/Sw,765,100,94
Floette VW+DG/PlB,881,10,135
Floragato Lf+GK/PR,841,0,121
Florges FW+CW/DV,737,0,84
Frillish H+NSh/IB,836,100,119
Frogadier B+S/AA,807,30,109
Frogadier (Shadow) B+S/AA,793,100,104
Gardevoir Ch+TAx/SB,827,70,116
Gardevoir (Shadow) Ch+TAx/SB,793,70,104
Gastrodon MSl+BS/WP,333,30,0
Gloom Ac+SlB/M,638,0,49
Gloom (Shadow) Ac+SlB/M,610,100,39
Gogoat VW+LB/RS,661,0,57
Goldeen Pk+AT/HA,462,50,0
Golduck Cf+CrC/Li,356,0,0
Golduck (Shadow) Cf+CrC/Li,344,30,0
Golisopod FC+XS/AJ,379,20,0
Gorebyss Cf+WP/P,370,0,0
Gourgeist (Average) I+SB/SeB,598,100,35
Gourgeist (Large) I+SB/SeB,519,20,7
Gourgeist (Small) I+SB/SeB,598,100,35
Gourgeist (Super) I+SB/SeB,598,100,35
Granbull Ch+CC/Cr,686,100,66
Granbull (Shadow) Ch+CC/Cr,692,100,68
Greninja WSh+HC/NS,373,40,0
Greninja (Shadow) WSh+HC/NS,391,30,0
Grimmsnarl SkP+FoP/PR,338,30,0
Grotle RL+BS/EB,790,0,103
Grotle (Shadow) RL+BS/EB,740,0,85
Grovyle QA+LB/AA,431,50,0
Grovyle (Shadow) BS+LB/AA,926,100,151
Gyarados DB+AT/Cr,593,80,33
Gyarados (Shadow) DB+AT/Cr,542,10,15
Hatterene PC+Psh/PW,765,70,94
Huntail WG+AT/Cr,706,100,73
Hydrapple DT+SeB/O,448,40,0
Inteleon WG+S/SB,776,90,98
Ivysaur VW+PW/SlB,841,0,121
Ivysaur (Shadow) VW+PW/SlB,850,100,124
Jellicent H+S/SB,796,100,105
Kabuto MS+AJ/RT,587,0,31
Kabuto (Shadow) MS+AJ/RT,824,100,115
Kabutops FC+SE/WP,706,100,73
Kabutops (Shadow) FC+SE/WP,689,100,67
Kartana FC+LB/SSw,745,80,87
Kingdra DB+Sw/O,381,30,0
Kingdra (Shadow) DB+Sw/O,427,50,0
Kingler B+Crbh/VG,816,100,112
Klefki A+FoP/PR,418,40,0
Krabby B+VG/RSh,836,10,119
Kyogre (Shadow) W+Av/S,742,100,86
Lanturn Sp+S/Tb,824,0,115
Lapras Psy+SpA/IB,282,30,0
Lapras (Shadow) Psy+SpA/IB,343,30,0
Leafeon QA+LB/LR,480,40,0
Leavanny SC+LB/XS,462,30,0
Lileep Ac+GK/AP,587,0,31
Lileep (Shadow) Ac+GK/AP,522,0,8
Lilligant Ch+PlB/HB,717,100,77
Lilligant (Hisuian) BS+UH/PlB,909,100,145
Lombre B+Sc/GK,824,0,115
Ludicolo A+WBW/LfS,542,0,15
Lumineon W+AT/SvW,680,0,64
Lurantis Lf+LB/SP,754,0,90
Mantine WA+AA/IB,326,30,0
Mantyke B+WP/AA,824,0,115
Maractus BS+AA/PlB,909,100,145
Marshtomp MS+S/Sl,615,0,41
Marshtomp (Shadow) MS+S/Sl,601,100,36
Mawile A+VG/IH,462,40,0
Mawile (Shadow) A+IH/VG,638,100,49
Meganium VW+FP/Eq,892,0,139
Meganium (Shadow) VW+FP/Eq,711,0,75
Meowscarada Lf+FP/NS,663,0,58
Milotic W+AT/Wr,700,0,71
Milotic (Shadow) W+AT/Wr,502,0,1
Morgrem SkP+FoP/PR,292,40,0
Mr. Mime Psy+SB/P,624,80,44
Ninetales (Alolan) PS+WBI/DG,296,0,0
Ninetales (Alolan) (Shadow) PS+WBI/DG,368,0,0
Nuzleaf FA+LB/FoP,493,0,0
Nuzleaf (Shadow) FA+LB/FoP,388,40,0
Octillery LO+Oc/GS,898,100,141
Oddish Ac+SeB/SlB,590,30,32
Oddish (Shadow) Ac+SeB/SlB,700,100,71
Omanyte MS+RT/RB,601,0,36
Omanyte (Shadow) MS+RT/RB,525,100,9
Omastar MS+RS/HP,604,0,37
Omastar (Shadow) MS+RS/HP,824,100,115
Palkia (Shadow) DB+AT/DM,655,90,55
Palpitoad MS+WP/EP,528,0,10
Parasect FC+XS/CP,337,10,0
Pelipper WA+WBW/Hu,356,20,0
Piplup B+DrlP/IW,824,0,115
Piplup (Shadow) B+DrlP/IW,807,80,109
Politoed MS+WBW/IB,395,40,0
Politoed (Shadow) MS+WBW/IB,330,0,0
Poliwhirl B+Sc/MB,790,0,103
Poliwhirl (Shadow) B+Sc/MB,757,0,91
Poliwrath MS+DyP/IW,601,0,36
Poliwrath (Shadow) MS+DyP/IW,470,0,0
Popplio WG+AT/AJ,802,100,107
Primarina W+DV/HC,556,0,20
Prinplup B+IW/HP,536,0,13
Prinplup (Shadow) B+IW/HP,757,0,91
Pumpkaboo (Average) A+GK/FoP,703,90,72
