Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,94,30,0
Abomasnow (Shadow) PS+WBI/EB,104,30,0
Alomomola W+HP/Bl,317,30,0
Amoonguss A+GK/FoP,471,20,0
Amoonguss (Shadow) A+GK/FoP,673,0,56
Appletun A+SeB/O,500,0,0
Araquanid BBi+WP/BuB,411,30,0
Arboliva ML+EP/TBl,813,20,101
Aromatisse Ch+Psh/M,323,20,0
Azumarill B+IB/PR,303,40,0
Barbaracle FC+CrC/SE,838,0,109
Basculin WG+AT/AJ,826,10,105
Bayleef ML+AP/EB,633,0,43
Bayleef (Shadow) ML+AP/EB,748,20,80
Bellossom Ac+LB/DG,203,0,0
Bellossom (Shadow) Ac+LB/DG,253,0,0
Bibarel RO+S/HF,379,40,0
Bibarel (Shadow) RO+S/HF,611,0,36
Blastoise RO+HC/SkB,586,0,28
Blastoise (Shadow) RO+HC/SkB,807,0,99
Breloom FPm+DyP/GK,354,0,0
Brionne Ch+AJ/DV,450,10,0
Bruxish Cf+AT/PsF,711,0,68
Bulbasaur VW+PW/SeB,850,0,113
Bulbasaur (Shadow) VW+PW/SeB,832,0,107
Cacturne SkP+TBl/DyP,173,60,0
Cacturne (Shadow) SkP+TBl/DyP,334,0,0
Carbink RTh+RS/M,253,40,0
Carnivine VW+PW/Cr,763,0,85
Carracosta WG+Li/AP,919,0,135
Carracosta (Shadow) WG+AP/BS,919,0,135
Castform (Rainy) WG+WBW/T,785,20,92
Celebi Cf+AuS/LfS,621,0,39
Cherrim (Overcast) BS+DG/SoB,621,0,39
Cherrim (Sunshine) BS+WBF/SoB,822,0,104
Chesnaught LK+FP/SP,618,0,38
Chesnaught (Shadow) VW+FP/SP,627,0,41
Chespin VW+BS/SeB,829,0,106
Chespin (Shadow) VW+BS/SeB,807,0,99
Chinchou B+WP/Tb,866,0,118
Clamperl WG+BS/WP,751,20,81
Clauncher WG+AJ/Crbh,875,20,121
Clawitzer WG+Crbh/IB,900,10,129
Clefable FW+M/MM,275,0,0
Clefairy ZH+DV/BS,577,0,25
Cloyster IS+IW/Li,387,0,0
Cloyster (Shadow) IS+IW/Li,456,0,0
Comfey VW+GK/DK,661,0,52
Corphish B+AJ/VG,767,0,86
Corphish (Shadow) B+AJ/VG,732,0,75
Corsola B+PG/RB,714,30,69
Cradily Ac+RT/GK,406,30,0
Cradily (Shadow) Ac+RT/GK,427,10,0
Crawdaunt W+NS/Sc,748,10,80
Crawdaunt (Shadow) W+NS/Sc,717,0,70
Croconaw WG+IP/WP,512,10,4
Croconaw (Shadow) WG+IP/WP,448,0,0
Dachsbun Ch+PsF/PR,334,30,0
Dartrix Pk+BrB/SeB,159,0,0
Decidueye Lf+FP/SSh,763,0,85
Decidueye (Hisuian) PC+TBl/AuS,645,0,47
Dedenne TS+D/PR,443,40,0
Deerling Tk+WC/TBl,611,40,36
Dewgong IS+IW/DR,277,0,0
Dewott FC+AT/XS,524,0,8
Dewott (Shadow) FC+AT/XS,482,0,0
Dhelmise SC+PW/BrS,652,0,49
Diancie RTh+RS/M,512,40,4
