Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,858,0,89
Abomasnow (Shadow) PS+WBI/EB,818,0,79
Alomomola W+HP/Bl,838,3,84
Amoonguss A+GK/FoP,341,19,0
Amoonguss (Shadow) A+GK/FoP,423,16,0
Appletun A+SeB/O,381,32,0
Araquanid BBi+WP/BuB,528,22,7
Arboliva ML+EP/TBl,939,0,109
Aromatisse Ch+Psh/M,346,11,0
Azumarill B+IB/PR,625,6,31
Barbaracle FC+CrC/SE,895,3,98
Basculin WG+AT/AJ,895,3,98
Bayleef ML+AP/EB,709,3,52
Bayleef (Shadow) ML+AP/EB,681,3,45
Bellossom Ac+LB/DG,109,56,0
Bellossom (Shadow) Ac+LB/DG,136,56,0
Bibarel RO+S/HF,705,3,51
Bibarel (Shadow) RO+S/HF,641,3,35
Blastoise RO+HC/SkB,951,3,112
Blastoise (Shadow) RO+HC/SkB,935,3,108
Breloom FPm+DyP/GK,854,0,88
Brionne Ch+AJ/DV,774,3,68
Bruxish Cf+AT/PsF,516,3,4
Bulbasaur VW+PW/SeB,697,16,49
Bulbasaur (Shadow) VW+PW/SeB,685,0,46
Cacturne SkP+TBl/DyP,899,0,99
Cacturne (Shadow) SkP+TBl/DyP,879,0,94
Carbink RTh+RS/M,325,43,0
Carnivine VW+PW/Cr,689,0,47
Carracosta WG+Li/AP,895,3,98
Carracosta (Shadow) WG+AP/BS,733,3,58
Castform (Rainy) WG+WBW/T,903,3,100
Celebi Cf+AuS/LfS,271,11,0
Cherrim (Overcast) BS+DG/SoB,540,11,10
Cherrim (Sunshine) BS+WBF/SoB,438,32,0
Chesnaught LK+FP/SP,500,0,0
Chesnaught (Shadow) VW+FP/SP,576,40,19
Chespin VW+BS/SeB,637,3,34
Chespin (Shadow) VW+BS/SeB,782,16,70
Chinchou B+WP/Tb,935,3,108
Clamperl WG+BS/WP,758,3,64
Clauncher WG+AJ/Crbh,895,3,98
Clawitzer WG+Crbh/IB,895,3,98
Clefable FW+M/MM,346,3,0
Clefairy ZH+DV/BS,657,6,39
Cloyster IS+IW/Li,822,3,80
Cloyster (Shadow) IS+IW/Li,790,3,72
Comfey VW+GK/DK,625,6,31
Corphish B+AJ/VG,729,3,57
Corphish (Shadow) B+AJ/VG,689,3,47
Corsola B+PG/RB,935,3,108
Cradily Ac+RT/GK,657,32,39
Cradily (Shadow) Ac+RT/GK,858,0,89
Crawdaunt W+NS/Sc,774,3,68
Crawdaunt (Shadow) W+NS/Sc,733,3,58
