Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,353,42,0
Abomasnow (Shadow) PS+WBI/EB,353,42,0
Alomomola W+HP/Bl,726,4,81
Amoonguss A+GK/FoP,717,1,78
Amoonguss (Shadow) A+GK/FoP,656,100,56
Appletun A+SeB/O,434,9,0
Araquanid BBi+WP/BuB,338,29,0
Arboliva ML+EP/TBl,400,30,0
Aromatisse Ch+Psh/M,561,1,22
Azumarill B+IB/PR,600,16,36
Barbaracle FC+CrC/SE,295,42,0
Basculin WG+AT/AJ,701,1,72
Bayleef ML+AP/EB,376,5,0
Bayleef (Shadow) ML+AP/EB,334,34,0
Bellossom Ac+LB/DG,250,34,0
Bellossom (Shadow) Ac+LB/DG,347,26,0
Bibarel RO+S/HF,348,46,0
Bibarel (Shadow) RO+S/HF,348,46,0
Blastoise RO+HC/SkB,423,9,0
Blastoise (Shadow) RO+HC/SkB,502,1,1
Breloom FPm+DyP/GK,466,21,0
Brionne Ch+AJ/DV,594,1,34
Bruxish Cf+AT/PsF,282,38,0
Bulbasaur VW+PW/SeB,681,100,65
Bulbasaur (Shadow) VW+PW/SeB,720,96,79
Cacturne SkP+TBl/DyP,256,30,0
Cacturne (Shadow) SkP+TBl/DyP,239,22,0
Carbink RTh+RS/M,353,13,0
Carnivine VW+PW/Cr,400,46,0
Carracosta WG+Li/AP,798,1,107
Carracosta (Shadow) WG+AP/BS,701,1,72
Castform (Rainy) WG+WBW/T,798,5,107
Celebi Cf+AuS/LfS,449,9,0
Cherrim (Overcast) BS+DG/SoB,748,1,89
Cherrim (Sunshine) BS+WBF/SoB,400,46,0
Chesnaught LK+FP/SP,681,100,65
Chesnaught (Shadow) VW+FP/SP,603,100,37
Chespin VW+BS/SeB,349,34,0
Chespin (Shadow) VW+BS/SeB,327,26,0
Chinchou B+WP/Tb,826,13,117
Clamperl WG+BS/WP,798,1,107
Clauncher WG+AJ/Crbh,798,1,107
Clawitzer WG+Crbh/IB,701,1,72
Clefable FW+M/MM,511,1,4
Clefairy ZH+DV/BS,796,1,106
Cloyster IS+IW/Li,871,1,133
Cloyster (Shadow) IS+IW/Li,840,1,122
Comfey VW+GK/DK,662,1,58
Corphish B+AJ/VG,634,1,48
Corphish (Shadow) B+AJ/VG,818,100,114
Corsola B+PG/RB,477,5,0
Cradily Ac+RT/GK,729,3,82
Cradily (Shadow) Ac+RT/GK,675,3,63
Crawdaunt W+NS/Sc,417,21,0
Crawdaunt (Shadow) W+NS/Sc,321,46,0
Croconaw WG+IP/WP,798,1,107
Croconaw (Shadow) WG+IP/WP,701,1,72
Dachsbun Ch+PsF/PR,569,1,25
Dartrix Pk+BrB/SeB,327,42,0
Decidueye Lf+FP/SSh,399,34,0
Decidueye (Hisuian) PC+TBl/AuS,460,45,0
Dedenne TS+D/PR,334,26,0
Deerling Tk+WC/TBl,631,1,47
Dewgong IS+IW/DR,712,0,76
Dewott FC+AT/XS,611,1,40
Dewott (Shadow) FC+AT/XS,304,26,0
Dhelmise SC+PW/BrS,447,45,0
Diancie RTh+RS/M,303,14,0
Dipplin DT+SeB/O,265,46,0
Dolliv ML+EP/TBl,238,30,0
Dondozo W+S/O,743,35,87
Drizzile WG+S/WP,701,1,72
Eldegoss BS+GK/EB,441,9,0
Electrode (Hisuian) TS+WC/Sw,234,14,0
Empoleon MSo+HC/DrlP,508,21,3
Empoleon (Shadow) MSo+HC/DrlP,262,34,0
Exeggcute Cf+SeB/AP,267,58,0
Exeggcute (Shadow) Cf+SeB/AP,267,58,0
Exeggutor Cf+SeB/P,484,9,0
Exeggutor (Alolan) DT+SeB/DM,362,34,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,477,45,0
Exeggutor (Shadow) Cf+SeB/P,267,46,0
Feraligatr SC+HC/IB,567,1,24
Feraligatr (Shadow) SC+HC/IB,416,46,0
Ferroseed MC+GB/Re,782,3,101
Ferroseed (Shadow) MC+GB/IH,782,3,101
Ferrothorn BS+PW/FC,417,9,0
Ferrothorn (Shadow) BS+PW/FC,441,9,0
Flabebe VW+DG/PlB,709,1,75
Flapple DB+SeB/DgP,405,34,0
Floatzel W+AJ/Sw,567,1,24
Floette VW+DG/PlB,662,1,58
Floragato Lf+GK/PR,396,46,0
Florges FW+CW/DV,611,1,40
Frillish H+NSh/IB,492,27,0
Frogadier B+S/AA,810,1,111
Frogadier (Shadow) B+S/AA,779,1,100
Gardevoir Ch+TAx/SB,317,38,0
Gardevoir (Shadow) Ch+TAx/SB,288,26,0
Gastrodon MSl+BS/WP,536,1,13
Gloom Ac+SlB/M,743,100,87
Gloom (Shadow) Ac+SlB/M,706,100,74
Gogoat VW+LB/RS,269,26,0
Goldeen Pk+AT/HA,664,1,59
Golduck Cf+CrC/Li,391,42,0
Golduck (Shadow) Cf+CrC/Li,391,42,0
Golisopod FC+XS/AJ,296,34,0
Gorebyss Cf+WP/P,662,100,58
Gourgeist (Average) I+SB/SeB,278,34,0
Gourgeist (Large) I+SB/SeB,262,34,0
Gourgeist (Small) I+SB/SeB,299,34,0
Gourgeist (Super) I+SB/SeB,248,34,0
Granbull Ch+CC/Cr,374,46,0
Granbull (Shadow) Ch+CC/Cr,406,45,0
Greninja WSh+HC/NS,395,25,0
Greninja (Shadow) WSh+HC/NS,286,38,0
Grimmsnarl SkP+FoP/PR,567,1,24
Grotle RL+BS/EB,251,2,0
Grotle (Shadow) RL+BS/EB,226,39,0
Grovyle QA+LB/AA,380,26,0
Grovyle (Shadow) BS+LB/AA,354,18,0
Gyarados DB+AT/Cr,606,1,38
Gyarados (Shadow) DB+AT/Cr,380,30,0
Hatterene PC+Psh/PW,333,34,0
Huntail WG+AT/Cr,701,1,72
Hydrapple DT+SeB/O,349,34,0
Inteleon WG+S/SB,709,100,75
Ivysaur VW+PW/SlB,659,100,57
Ivysaur (Shadow) VW+PW/SlB,553,100,19
Jellicent H+S/SB,381,21,0
Kabuto MS+AJ/RT,333,34,0
Kabuto (Shadow) MS+AJ/RT,675,100,63
Kabutops FC+SE/WP,726,100,81
Kabutops (Shadow) FC+SE/WP,636,100,49
Kartana FC+LB/SSw,367,22,0
Kingdra DB+Sw/O,296,46,0
Kingdra (Shadow) DB+Sw/O,415,38,0
Kingler B+Crbh/VG,843,100,123
Klefki A+FoP/PR,687,1,67
Krabby B+VG/RSh,818,100,114
Kyogre (Shadow) W+Av/S,687,100,67
Lanturn Sp+S/Tb,435,25,0
Lapras Psy+SpA/IB,500,45,0
Lapras (Shadow) Psy+SpA/IB,500,33,0
Leafeon QA+LB/LR,294,26,0
Leavanny SC+LB/XS,367,26,0
Lileep Ac+GK/AP,251,58,0
Lileep (Shadow) Ac+GK/AP,756,1,92
Lilligant Ch+PlB/HB,561,1,22
Lilligant (Hisuian) BS+UH/PlB,768,100,96
Lombre B+Sc/GK,826,3,117
Ludicolo A+WBW/LfS,558,3,21
Lumineon W+AT/SvW,467,45,0
Lurantis Lf+LB/SP,373,26,0
Mantine WA+AA/IB,597,3,35
Mantyke B+WP/AA,826,3,117
Maractus BS+AA/PlB,561,1,22
