Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,388,50,0
Abomasnow (Shadow) PS+WBI/EB,367,30,0
Alomomola W+HP/Bl,413,20,0
Amoonguss A+GK/FoP,307,40,0
Amoonguss (Shadow) A+GK/FoP,319,30,0
Appletun A+SeB/O,375,50,0
Araquanid BBi+WP/BuB,334,0,0
Arboliva ML+EP/TBl,178,50,0
Aromatisse Ch+Psh/M,659,0,38
Azumarill B+IB/PR,468,30,0
Barbaracle FC+CrC/SE,621,0,29
Basculin WG+AT/AJ,406,30,0
Bayleef ML+AP/EB,659,0,38
Bayleef (Shadow) ML+AP/EB,600,0,24
Bellossom Ac+LB/DG,355,50,0
Bellossom (Shadow) Ac+LB/DG,433,50,0
Bibarel RO+S/HF,362,10,0
Bibarel (Shadow) RO+S/HF,144,20,0
Blastoise RO+HC/SkB,496,0,0
Blastoise (Shadow) RO+HC/SkB,426,50,0
Breloom FPm+DyP/GK,500,30,0
Brionne Ch+AJ/DV,417,50,0
Bruxish Cf+AT/PsF,810,70,74
Bulbasaur VW+PW/SeB,626,100,30
Bulbasaur (Shadow) VW+PW/SeB,546,90,11
Cacturne SkP+TBl/DyP,338,40,0
Cacturne (Shadow) SkP+TBl/DyP,413,40,0
Carbink RTh+RS/M,743,0,58
Carnivine VW+PW/Cr,504,0,1
Carracosta WG+Li/AP,617,0,28
Carracosta (Shadow) WG+AP/BS,404,30,0
Castform (Rainy) WG+WBW/T,277,30,0
Celebi Cf+AuS/LfS,785,30,68
Cherrim (Overcast) BS+DG/SoB,693,0,46
Cherrim (Sunshine) BS+WBF/SoB,563,0,15
Chesnaught LK+FP/SP,286,20,0
Chesnaught (Shadow) VW+FP/SP,342,20,0
Chespin VW+BS/SeB,600,0,24
Chespin (Shadow) VW+BS/SeB,617,100,28
Chinchou B+WP/Tb,701,0,48
Clamperl WG+BS/WP,480,50,0
Clauncher WG+AJ/Crbh,393,40,0
Clawitzer WG+Crbh/IB,446,40,0
Clefable FW+M/MM,340,40,0
Clefairy ZH+DV/BS,827,0,78
Cloyster IS+IW/Li,322,40,0
Cloyster (Shadow) IS+IW/Li,397,40,0
Comfey VW+GK/DK,626,0,30
Corphish B+AJ/VG,448,30,0
Corphish (Shadow) B+AJ/VG,701,80,48
Corsola B+PG/RB,542,0,10
Cradily Ac+RT/GK,613,0,27
Cradily (Shadow) Ac+RT/GK,508,0,2
Crawdaunt W+NS/Sc,261,20,0
Crawdaunt (Shadow) W+NS/Sc,293,20,0
Croconaw WG+IP/WP,374,50,0
Croconaw (Shadow) WG+IP/WP,403,40,0
Dachsbun Ch+PsF/PR,592,0,22
Dartrix Pk+BrB/SeB,288,30,0
Decidueye Lf+FP/SSh,827,70,78
Decidueye (Hisuian) PC+TBl/AuS,393,40,0
Dedenne TS+D/PR,417,50,0
Deerling Tk+WC/TBl,478,0,0
Dewgong IS+IW/DR,235,40,0
Dewott FC+AT/XS,365,40,0
Dewott (Shadow) FC+AT/XS,465,40,0
Dhelmise SC+PW/BrS,760,60,62
Diancie RTh+RS/M,680,0,43
Dipplin DT+SeB/O,789,0,69
Dolliv ML+EP/TBl,415,0,0
Dondozo W+S/O,267,40,0
Drizzile WG+S/WP,460,40,0
Eldegoss BS+GK/EB,680,0,43
Electrode (Hisuian) TS+WC/Sw,265,10,0
Empoleon MSo+HC/DrlP,290,20,0
