Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,732,1,75
Abomasnow (Shadow) PS+WBI/EB,279,12,0
Alomomola W+HP/Bl,474,25,0
Amoonguss A+GK/FoP,254,17,0
Amoonguss (Shadow) A+GK/FoP,488,37,0
Appletun A+SeB/O,180,8,0
Araquanid BBi+WP/BuB,308,6,0
Arboliva ML+EP/TBl,73,37,0
Aromatisse Ch+Psh/M,549,4,16
Azumarill B+IB/PR,348,33,0
Barbaracle FC+CrC/SE,723,1,72
Basculin WG+AT/AJ,633,1,43
Bayleef ML+AP/EB,73,35,0
Bayleef (Shadow) ML+AP/EB,59,17,0
Bellossom Ac+LB/DG,218,12,0
Bellossom (Shadow) Ac+LB/DG,117,16,0
Bibarel RO+S/HF,869,10,119
Bibarel (Shadow) RO+S/HF,854,1,114
Blastoise RO+HC/SkB,473,6,0
Blastoise (Shadow) RO+HC/SkB,807,37,99
Breloom FPm+DyP/GK,383,12,0
Brionne Ch+AJ/DV,621,10,39
Bruxish Cf+AT/PsF,380,12,0
Bulbasaur VW+PW/SeB,158,38,0
Bulbasaur (Shadow) VW+PW/SeB,158,11,0
Cacturne SkP+TBl/DyP,347,12,0
Cacturne (Shadow) SkP+TBl/DyP,157,38,0
Carbink RTh+RS/M,720,5,71
Carnivine VW+PW/Cr,84,0,0
Carracosta WG+Li/AP,614,1,37
Carracosta (Shadow) WG+AP/BS,658,12,51
Castform (Rainy) WG+WBW/T,284,8,0
Celebi Cf+AuS/LfS,255,8,0
Cherrim (Overcast) BS+DG/SoB,257,8,0
Cherrim (Sunshine) BS+WBF/SoB,130,34,0
Chesnaught LK+FP/SP,254,39,0
Chesnaught (Shadow) VW+FP/SP,80,11,0
Chespin VW+BS/SeB,95,18,0
Chespin (Shadow) VW+BS/SeB,117,0,0
Chinchou B+WP/Tb,779,1,90
Clamperl WG+BS/WP,633,1,43
Clauncher WG+AJ/Crbh,686,19,60
Clawitzer WG+Crbh/IB,614,1,37
Clefable FW+M/MM,346,39,0
Clefairy ZH+DV/BS,791,4,94
Cloyster IS+IW/Li,742,1,78
Cloyster (Shadow) IS+IW/Li,686,1,60
Comfey VW+GK/DK,300,3,0
Corphish B+AJ/VG,742,1,78
Corphish (Shadow) B+AJ/VG,686,1,60
Corsola B+PG/RB,720,4,71
Cradily Ac+RT/GK,413,2,0
Cradily (Shadow) Ac+RT/GK,486,2,0
Crawdaunt W+NS/Sc,602,1,33
Crawdaunt (Shadow) W+NS/Sc,467,21,0
Croconaw WG+IP/WP,621,35,39
Croconaw (Shadow) WG+IP/WP,614,1,37
Dachsbun Ch+PsF/PR,540,4,13
Dartrix Pk+BrB/SeB,55,25,0
Decidueye Lf+FP/SSh,75,2,0
Decidueye (Hisuian) PC+TBl/AuS,248,21,0
Dedenne TS+D/PR,863,1,117
Deerling Tk+WC/TBl,596,28,31
Dewgong IS+IW/DR,436,0,0
Dewott FC+AT/XS,537,10,12
Dewott (Shadow) FC+AT/XS,335,12,0
Dhelmise SC+PW/BrS,689,1,61
Diancie RTh+RS/M,795,3,95
Dipplin DT+SeB/O,113,16,0
Dolliv ML+EP/TBl,80,35,0
Dondozo W+S/O,393,24,0
Drizzile WG+S/WP,614,1,37
Eldegoss BS+GK/EB,256,17,0
Electrode (Hisuian) TS+WC/Sw,708,10,67
Empoleon MSo+HC/DrlP,546,10,15
Empoleon (Shadow) MSo+HC/DrlP,819,1,103
Exeggcute Cf+SeB/AP,242,17,0
Exeggcute (Shadow) Cf+SeB/AP,264,17,0
Exeggutor Cf+SeB/P,524,1,8
Exeggutor (Alolan) DT+SeB/DM,686,1,60
Exeggutor (Alolan) (Shadow) DT+SeB/DM,630,1,42
Exeggutor (Shadow) Cf+SeB/P,335,12,0
Feraligatr SC+HC/IB,472,1,0
Feraligatr (Shadow) SC+HC/IB,689,1,61
Ferroseed MC+GB/Re,816,2,102
Ferroseed (Shadow) MC+GB/IH,816,2,102
Ferrothorn BS+PW/FC,394,13,0
Ferrothorn (Shadow) BS+PW/FC,308,39,0
Flabebe VW+DG/PlB,559,1,19
Flapple DB+SeB/DgP,633,1,43
Floatzel W+AJ/Sw,602,1,33
Floette VW+DG/PlB,316,3,0
Floragato Lf+GK/PR,80,35,0
Florges FW+CW/DV,552,2,17
Frillish H+NSh/IB,477,26,0
Frogadier B+S/AA,742,1,78
Frogadier (Shadow) B+S/AA,686,1,60
Gardevoir Ch+TAx/SB,437,12,0
Gardevoir (Shadow) Ch+TAx/SB,534,3,11
Gastrodon MSl+BS/WP,363,39,0
Gloom Ac+SlB/M,757,37,83
Gloom (Shadow) Ac+SlB/M,776,1,89
Gogoat VW+LB/RS,106,9,0
Goldeen Pk+AT/HA,611,1,36
Golduck Cf+CrC/Li,484,10,0
Golduck (Shadow) Cf+CrC/Li,624,1,40
Golisopod FC+XS/AJ,633,1,43
Gorebyss Cf+WP/P,649,1,48
Gourgeist (Average) I+SB/SeB,130,16,0
Gourgeist (Large) I+SB/SeB,122,16,0
Gourgeist (Small) I+SB/SeB,140,16,0
Gourgeist (Super) I+SB/SeB,395,28,0
Granbull Ch+CC/Cr,531,1,10
Granbull (Shadow) Ch+CC/Cr,549,3,16
Greninja WSh+HC/NS,509,1,3
Greninja (Shadow) WSh+HC/NS,217,38,0
Grimmsnarl SkP+FoP/PR,531,1,10
Grotle RL+BS/EB,46,19,0
Grotle (Shadow) RL+BS/EB,56,10,0
Grovyle QA+LB/AA,269,12,0
Grovyle (Shadow) BS+LB/AA,162,38,0
Gyarados DB+AT/Cr,723,1,72
Gyarados (Shadow) DB+AT/Cr,280,12,0
Hatterene PC+Psh/PW,776,1,89
Huntail WG+AT/Cr,633,1,43
Hydrapple DT+SeB/O,110,16,0
Inteleon WG+S/SB,614,1,37
Ivysaur VW+PW/SlB,133,9,0
Ivysaur (Shadow) VW+PW/SlB,147,11,0
Jellicent H+S/SB,169,43,0
Kabuto MS+AJ/RT,863,12,117
Kabuto (Shadow) MS+AJ/RT,844,3,111
Kabutops FC+SE/WP,760,3,84
Kabutops (Shadow) FC+SE/WP,683,3,59
