Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,342,22,0
Abomasnow (Shadow) PS+WBI/EB,230,22,0
Alomomola W+HP/Bl,785,1,81
Amoonguss A+GK/FoP,271,9,0
Amoonguss (Shadow) A+GK/FoP,322,1,0
Appletun A+SeB/O,338,33,0
Araquanid BBi+WP/BuB,161,12,0
Arboliva ML+EP/TBl,735,1,67
Aromatisse Ch+Psh/M,531,1,9
Azumarill B+IB/PR,823,9,92
Barbaracle FC+CrC/SE,711,43,60
Basculin WG+AT/AJ,809,14,88
Bayleef ML+AP/EB,602,4,29
Bayleef (Shadow) ML+AP/EB,507,4,2
Bellossom Ac+LB/DG,355,38,0
Bellossom (Shadow) Ac+LB/DG,382,22,0
Bibarel RO+S/HF,816,38,90
Bibarel (Shadow) RO+S/HF,823,67,92
Blastoise RO+HC/SkB,665,1,47
Blastoise (Shadow) RO+HC/SkB,623,38,35
Breloom FPm+DyP/GK,339,30,0
Brionne Ch+AJ/DV,644,30,41
Bruxish Cf+AT/PsF,623,14,35
Bulbasaur VW+PW/SeB,491,49,0
Bulbasaur (Shadow) VW+PW/SeB,612,17,32
Cacturne SkP+TBl/DyP,305,30,0
Cacturne (Shadow) SkP+TBl/DyP,280,1,0
Carbink RTh+RS/M,676,4,50
Carnivine VW+PW/Cr,633,1,38
Carracosta WG+Li/AP,841,43,97
Carracosta (Shadow) WG+AP/BS,855,35,101
Castform (Rainy) WG+WBW/T,753,46,72
Celebi Cf+AuS/LfS,484,1,0
Cherrim (Overcast) BS+DG/SoB,619,49,34
Cherrim (Sunshine) BS+WBF/SoB,407,46,0
Chesnaught LK+FP/SP,419,1,0
Chesnaught (Shadow) VW+FP/SP,813,1,89
Chespin VW+BS/SeB,707,1,59
Chespin (Shadow) VW+BS/SeB,686,1,53
Chinchou B+WP/Tb,852,38,100
Clamperl WG+BS/WP,795,22,84
Clauncher WG+AJ/Crbh,781,30,80
Clawitzer WG+Crbh/IB,806,14,87
Clefable FW+M/MM,346,46,0
Clefairy ZH+DV/BS,785,1,81
Cloyster IS+IW/Li,528,1,8
Cloyster (Shadow) IS+IW/Li,549,30,14
Comfey VW+GK/DK,813,1,89
Corphish B+AJ/VG,855,51,101
Corphish (Shadow) B+AJ/VG,848,43,99
Corsola B+PG/RB,880,59,108
Cradily Ac+RT/GK,479,4,0
Cradily (Shadow) Ac+RT/GK,549,4,14
Crawdaunt W+NS/Sc,820,51,91
Crawdaunt (Shadow) W+NS/Sc,827,35,93
Croconaw WG+IP/WP,767,38,76
Croconaw (Shadow) WG+IP/WP,781,30,80
Dachsbun Ch+PsF/PR,573,1,21
Dartrix Pk+BrB/SeB,269,30,0
Decidueye Lf+FP/SSh,466,10,0
Decidueye (Hisuian) PC+TBl/AuS,584,1,24
Dedenne TS+D/PR,813,1,89
Deerling Tk+WC/TBl,605,1,30
Dewgong IS+IW/DR,570,4,20
Dewott FC+AT/XS,442,22,0
Dewott (Shadow) FC+AT/XS,626,14,36
Dhelmise SC+PW/BrS,276,30,0
Diancie RTh+RS/M,577,38,22
Dipplin DT+SeB/O,299,1,0
Dolliv ML+EP/TBl,488,41,0
Dondozo W+S/O,799,1,85
Drizzile WG+S/WP,806,14,87
Eldegoss BS+GK/EB,690,4,54
Electrode (Hisuian) TS+WC/Sw,690,1,54
Empoleon MSo+HC/DrlP,360,30,0
Empoleon (Shadow) MSo+HC/DrlP,422,30,0
Exeggcute Cf+SeB/AP,426,25,0
Exeggcute (Shadow) Cf+SeB/AP,598,1,28
Exeggutor Cf+SeB/P,570,1,20
Exeggutor (Alolan) DT+SeB/DM,435,9,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,240,46,0
Exeggutor (Shadow) Cf+SeB/P,309,22,0
Feraligatr SC+HC/IB,728,30,65
Feraligatr (Shadow) SC+HC/IB,764,14,75
Ferroseed MC+GB/Re,595,4,27
Ferroseed (Shadow) MC+GB/IH,361,33,0
Ferrothorn BS+PW/FC,398,12,0
Ferrothorn (Shadow) BS+PW/FC,312,41,0
Flabebe VW+DG/PlB,873,1,106
Flapple DB+SeB/DgP,410,46,0
Floatzel W+AJ/Sw,820,51,91
Floette VW+DG/PlB,873,1,106
Floragato Lf+GK/PR,473,17,0
Florges FW+CW/DV,566,1,19
Frillish H+NSh/IB,760,46,74
Frogadier B+S/AA,834,22,95
Frogadier (Shadow) B+S/AA,827,51,93
Gardevoir Ch+TAx/SB,451,38,0
Gardevoir (Shadow) Ch+TAx/SB,379,1,0
Gastrodon MSl+BS/WP,845,51,98
Gloom Ac+SlB/M,328,38,0
Gloom (Shadow) Ac+SlB/M,370,22,0
Gogoat VW+LB/RS,442,17,0
Goldeen Pk+AT/HA,672,14,49
Golduck Cf+CrC/Li,697,30,56
Golduck (Shadow) Cf+CrC/Li,697,14,56
Golisopod FC+XS/AJ,337,30,0
Gorebyss Cf+WP/P,676,14,50
Gourgeist (Average) I+SB/SeB,191,12,0
Gourgeist (Large) I+SB/SeB,180,12,0
Gourgeist (Small) I+SB/SeB,205,12,0
Gourgeist (Super) I+SB/SeB,170,12,0
Granbull Ch+CC/Cr,456,46,0
Granbull (Shadow) Ch+CC/Cr,377,9,0
Greninja WSh+HC/NS,714,14,61
Greninja (Shadow) WSh+HC/NS,873,43,106
Grimmsnarl SkP+FoP/PR,432,38,0
Grotle RL+BS/EB,570,49,20
Grotle (Shadow) RL+BS/EB,598,1,28
Grovyle QA+LB/AA,510,1,3
Grovyle (Shadow) BS+LB/AA,363,46,0
Gyarados DB+AT/Cr,363,30,0
Gyarados (Shadow) DB+AT/Cr,438,30,0
Hatterene PC+Psh/PW,531,46,9
Huntail WG+AT/Cr,802,22,86
Hydrapple DT+SeB/O,334,1,0
Inteleon WG+S/SB,841,43,97
Ivysaur VW+PW/SlB,324,9,0
Ivysaur (Shadow) VW+PW/SlB,387,9,0
Jellicent H+S/SB,679,1,51
Kabuto MS+AJ/RT,933,27,123
Kabuto (Shadow) MS+AJ/RT,940,19,125
Kabutops FC+SE/WP,757,27,73
Kabutops (Shadow) FC+SE/WP,714,19,61
Kartana FC+LB/SSw,221,14,0
Kingdra DB+Sw/O,360,46,0
Kingdra (Shadow) DB+Sw/O,402,38,0
Kingler B+Crbh/VG,855,51,101
Klefki A+FoP/PR,427,2,0
Krabby B+VG/RSh,873,43,106
Kyogre (Shadow) W+Av/S,799,43,85
Lanturn Sp+S/Tb,813,1,89
Lapras Psy+SpA/IB,753,1,72
Lapras (Shadow) Psy+SpA/IB,633,46,38
Leafeon QA+LB/LR,633,1,38
Leavanny SC+LB/XS,338,22,0
Lileep Ac+GK/AP,281,46,0
Lileep (Shadow) Ac+GK/AP,337,46,0
Lilligant Ch+PlB/HB,573,1,21
Lilligant (Hisuian) BS+UH/PlB,654,1,44
Lombre B+Sc/GK,838,1,96
Ludicolo A+WBW/LfS,577,1,22
Lumineon W+AT/SvW,799,1,85
Lurantis Lf+LB/SP,637,1,39
Mantine WA+AA/IB,219,36,0
Mantyke B+WP/AA,838,1,96
Maractus BS+AA/PlB,619,1,34
Marshtomp MS+S/Sl,922,43,120
Marshtomp (Shadow) MS+S/Sl,929,35,122
Mawile A+VG/IH,235,44,0
Mawile (Shadow) A+IH/VG,605,1,30
Meganium VW+FP/Eq,450,49,0
Meganium (Shadow) VW+FP/Eq,573,33,21
Meowscarada Lf+FP/NS,602,1,29
Milotic W+AT/Wr,739,1,68
Milotic (Shadow) W+AT/Wr,735,30,67
Morgrem SkP+FoP/PR,573,1,21
Mr. Mime Psy+SB/P,623,1,35
Ninetales (Alolan) PS+WBI/DG,268,22,0
Ninetales (Alolan) (Shadow) PS+WBI/DG,324,22,0
Nuzleaf FA+LB/FoP,633,1,38
Nuzleaf (Shadow) FA+LB/FoP,573,1,21
Octillery LO+Oc/GS,894,22,112
Oddish Ac+SeB/SlB,362,30,0
Oddish (Shadow) Ac+SeB/SlB,404,14,0
Omanyte MS+RT/RB,929,35,122
Omanyte (Shadow) MS+RT/RB,933,27,123
Omastar MS+RS/HP,926,35,121
Omastar (Shadow) MS+RS/HP,933,27,123
Palkia (Shadow) DB+AT/DM,485,22,0
Palpitoad MS+WP/EP,911,51,117
Parasect FC+XS/CP,321,22,0
Pelipper WA+WBW/Hu,369,46,0
Piplup B+DrlP/IW,880,67,108
Piplup (Shadow) B+DrlP/IW,852,59,100
Politoed MS+WBW/IB,873,46,106
Politoed (Shadow) MS+WBW/IB,507,30,2
Poliwhirl B+Sc/MB,838,46,96
Poliwhirl (Shadow) B+Sc/MB,834,30,95
Poliwrath MS+DyP/IW,633,1,38
Poliwrath (Shadow) MS+DyP/IW,584,1,24
Popplio WG+AT/AJ,795,22,84
Primarina W+DV/HC,771,22,77
Prinplup B+IW/HP,838,1,96
Prinplup (Shadow) B+IW/HP,834,30,95
Pumpkaboo (Average) A+GK/FoP,222,44,0
Pumpkaboo (Large) A+GK/FoP,210,44,0
Pumpkaboo (Small) A+GK/FoP,235,44,0
Pumpkaboo (Super) A+GK/FoP,198,44,0
Quagsire MS+AT/SE,908,6,116
Quagsire (Shadow) MS+AT/SE,922,43,120
Quaquaval WA+CC/HC,721,6,63
Quaxwell WA+AJ/AA,676,30,50
Quilladin VW+BS/EB,430,25,0
Quilladin (Shadow) VW+BS/EB,461,9,0
Qwilfish PSt+AT/IB,337,22,0
Qwilfish (Shadow) PSt+AT/IB,414,22,0
Rapidash (Galarian) FW+BS/WC,455,46,0
Relicanth WG+AT/AP,802,22,86
Ribombee FW+DG/BBu,753,1,72
Rillaboom RL+DrB/FP,623,25,35
Roselia PJ+SlB/PlB,350,51,0
Rotom (Mow) TS+OW/LfS,566,1,19
