Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,132,28,0
Abomasnow (Shadow) PS+WBI/EB,122,4,0
Accelgor WSh+BBu/AS,752,6,63
Accelgor (Shadow) WSh+EB/BBu,740,6,60
Aipom A+Sw/AA,632,0,33
Aipom (Shadow) A+Sw/AA,552,15,13
Alomomola W+HP/Bl,612,27,28
Ambipom A+AA/Re,596,0,24
Ambipom (Shadow) A+AA/LS,516,6,4
Amoonguss A+FoP/GK,671,0,43
Amoonguss (Shadow) A+GK/FoP,592,0,23
Ampharos VS+BrS/TBl,294,6,0
Ampharos (Shadow) VS+BrS/TBl,170,46,0
Anorith StB+AJ/AP,756,6,64
Anorith (Shadow) StB+AJ/CP,740,6,60
Appletun A+EB/O,636,0,34
Araquanid BBi+WP/BuB,744,0,61
Araquanid (Shadow) BBi+BuB/WP,620,0,30
Arboliva ML+EP/TBl,720,0,55
Arcanine FF+WC/PsF,216,37,0
Arcanine (Hisuian) Sn+WC/RS,832,15,83
Arcanine (Shadow) FF+WC/PsF,248,28,0
Ariados PSt+Lu/TBl,576,0,19
Armaldo FC+RB/Li,491,15,0
Armaldo (Shadow) FC+RB/Li,644,6,36
Armarouge I+Psh/HW,264,55,0
Audino ZH+BS/DV,692,8,48
Azumarill B+IB/PR,704,2,51
Barbaracle FC+CrC/SE,668,6,42
Basculin WG+AT/AJ,644,6,36
Bayleef ML+AP/EB,792,0,73
Bayleef (Shadow) ML+AP/EB,752,0,63
Beautifly Inf+AC/SvW,732,6,58
Beedrill PSt+XS/DR,620,0,30
Beedrill (Shadow) PSt+XS/DR,712,6,53
Bellibolt TS+ZC/PbC,136,43,0
Bellossom Ac+LB/DG,568,0,17
Bellossom (Shadow) Ac+LB/DG,540,0,10
Bewear SC+SP/St,441,6,0
Bewear (Shadow) SC+SP/St,656,6,39
Bibarel RO+S/HF,668,6,42
Bibarel (Shadow) RO+S/HF,632,6,33
Blacephalon I+MdB/SB,339,4,0
Blastoise RO+HC/SkB,704,6,51
Blastoise (Shadow) RO+HC/SkB,668,6,42
Blaziken E+AuS/BB,712,6,53
Blaziken (Shadow) E+AuS/BB,361,46,0
Blissey ZH+WC/DG,704,19,51
Boltund Sp+Cr/T,612,27,28
Bouffalant MS+St/Mh,692,0,48
Braixen E+Psh/FmC,447,6,0
Braixen (Shadow) E+Psh/FmC,292,46,0
Braviary AS+Fl/CC,756,6,64
Breloom FPm+DyP/GK,632,0,33
Brionne Ch+AJ/DV,636,6,34
Bruxish Cf+AT/PsF,427,46,0
Bulbasaur VW+PW/SeB,812,0,78
Bulbasaur (Shadow) VW+PW/SlB,812,0,78
Buneary QA+Sw/FiP,520,0,5
Butterfree Cf+BBu/SiB,660,6,40
Butterfree (Shadow) Cf+BBu/SiB,576,6,19
Buzzwole C+SP/Lu,675,0,44
Cacturne SkP+TBl/DyP,157,28,0
Cacturne (Shadow) SkP+TBl/DyP,173,10,0
Camerupt I+EP/RT,420,0,0
Camerupt (Shadow) I+EP/RT,120,46,0
Carkol SD+RS/FmC,130,46,0
Carnivine VW+EB/Cr,812,0,78
Carracosta WG+Li/BS,656,6,39
Carracosta (Shadow) WG+Li/BS,532,6,8
Castform H+WBR/EB,536,0,9
Castform (Rainy) WG+WBW/T,644,6,36
Castform (Sunny) E+WBF/SoB,576,0,19
