Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,519,3,6
Abomasnow (Shadow) PS+WBI/EB,192,40,0
Accelgor WSh+BBu/AS,838,3,103
Accelgor (Shadow) WSh+EB/BBu,694,3,59
Aipom A+Sw/AA,743,1,74
Aipom (Shadow) A+Sw/AA,703,11,62
Alomomola W+HP/Bl,319,51,0
Ambipom A+AA/Re,917,1,127
Ambipom (Shadow) A+AA/LS,769,3,82
Amoonguss A+FoP/GK,779,11,85
Amoonguss (Shadow) A+GK/FoP,934,3,132
Ampharos VS+BrS/TBl,333,35,0
Ampharos (Shadow) VS+BrS/TBl,484,1,0
Anorith StB+AJ/AP,907,3,124
Anorith (Shadow) StB+AJ/CP,881,3,116
Appletun A+EB/O,947,3,136
Araquanid BBi+WP/BuB,861,1,110
Araquanid (Shadow) BBi+BuB/WP,861,11,110
Arboliva ML+EP/TBl,907,3,124
Arcanine FF+WC/PsF,792,1,89
Arcanine (Hisuian) Sn+WC/RS,93,48,0
Arcanine (Shadow) FF+WC/PsF,782,3,86
Ariados PSt+Lu/TBl,786,3,87
Armaldo FC+RB/Li,562,11,19
Armaldo (Shadow) FC+RB/Li,523,3,7
Armarouge I+Psh/HW,588,1,27
Audino ZH+BS/DV,677,4,54
Azumarill B+IB/PR,465,6,0
Barbaracle FC+CrC/SE,256,11,0
Basculin WG+AT/AJ,552,11,16
Bayleef ML+AP/EB,901,1,122
Bayleef (Shadow) ML+AP/EB,907,3,124
Beautifly Inf+AC/SvW,743,3,74
Beedrill PSt+XS/DR,773,3,83
Beedrill (Shadow) PSt+XS/DR,726,3,69
Bellibolt TS+ZC/PbC,224,3,0
Bellossom Ac+LB/DG,776,3,84
Bellossom (Shadow) Ac+LB/DG,730,3,70
Bewear SC+SP/St,940,3,134
Bewear (Shadow) SC+SP/St,940,3,134
Bibarel RO+S/HF,592,1,28
Bibarel (Shadow) RO+S/HF,513,1,4
Blacephalon I+MdB/SB,208,40,0
Blastoise RO+HC/SkB,496,1,0
Blastoise (Shadow) RO+HC/SkB,552,1,16
Blaziken E+AuS/BB,277,48,0
Blaziken (Shadow) E+AuS/BB,327,48,0
Blissey ZH+WC/DG,403,46,0
Boltund Sp+Cr/T,448,1,0
Bouffalant MS+St/Mh,796,1,90
Braixen E+Psh/FmC,687,1,57
Braixen (Shadow) E+Psh/FmC,644,3,44
Braviary AS+Fl/CC,819,11,97
Breloom FPm+DyP/GK,776,3,84
Brionne Ch+AJ/DV,819,1,97
Bruxish Cf+AT/PsF,601,11,31
Bulbasaur VW+PW/SeB,842,3,104
Bulbasaur (Shadow) VW+PW/SlB,921,3,128
Buneary QA+Sw/FiP,694,1,59
Butterfree Cf+BBu/SiB,851,3,107
Butterfree (Shadow) Cf+BBu/SiB,822,3,98
Buzzwole C+SP/Lu,822,3,98
Cacturne SkP+TBl/DyP,802,3,92
Cacturne (Shadow) SkP+TBl/DyP,763,3,80
Camerupt I+EP/RT,773,1,83
Camerupt (Shadow) I+EP/RT,815,3,96
Carkol SD+RS/FmC,184,27,0
Carnivine VW+EB/Cr,707,3,63
Carracosta WG+Li/BS,287,35,0
Carracosta (Shadow) WG+Li/BS,329,19,0
Castform H+WBR/EB,697,9,60
Castform (Rainy) WG+WBW/T,519,9,6
Castform (Sunny) E+WBF/SoB,684,9,56
Celebi Cf+AuS/LfS,832,3,101
Centiskorch E+Lu/HW,648,3,45
Ceruledge I+SB/HW,842,3,104
Chandelure I+SB/EB,828,3,100
Chandelure (Shadow) I+SB/EB,796,3,90
Chansey ZH+DG/P,641,2,43
Charizard E+BB/AC,153,48,0
Charizard (Shadow) E+BB/AC,179,48,0
Charjabug VS+XS/D,353,3,0
Charjabug (Shadow) VS+XS/D,424,3,0
Charmeleon E+FiP/Re,687,1,57
Charmeleon (Shadow) E+FiP/Ft,644,3,44
Chatot Pk+SA/HW,842,3,104
Cherrim (Overcast) BS+DG/SoB,947,3,136
Cherrim (Sunshine) BS+WBF/SoB,776,3,84
Chesnaught LK+FP/SP,618,3,36
Chesnaught (Shadow) LK+FP/SP,542,3,13
Chespin VW+BS/SeB,815,3,96
Chespin (Shadow) VW+BS/SeB,773,3,83
Chinchou B+WP/Tb,347,1,0
Cinccino Ch+AT/Tb,802,11,92
Cinderace FS+BB/PB,536,1,11
Clamperl WG+BS/WP,654,1,47
Clauncher WG+AJ/Crbh,648,9,45
Clawitzer WG+Crbh/IB,802,11,92
Cloyster IS+IW/Li,753,1,77
Cloyster (Shadow) IS+IW/Li,703,1,62
Coalossal FS+RS/FmC,188,27,0
Combusken E+RS/FmC,552,3,16
Combusken (Shadow) E+RS/FmC,229,40,0
Corphish B+AJ/VG,625,3,38
Corphish (Shadow) B+AJ/VG,546,3,14
Corsola B+PG/RB,291,1,0
Cradily Ac+RT/GK,440,1,0
Cradily (Shadow) Ac+RT/GK,861,1,110
Crawdaunt W+NS/Sc,611,3,34
Crawdaunt (Shadow) W+NS/Sc,532,3,10
Crocalor I+Cr/Ft,792,1,89
Croconaw WG+IP/WP,861,1,110
Croconaw (Shadow) WG+IP/WP,815,1,96
Crustle FC+XS/RW,386,3,0
Crustle (Shadow) FC+XS/RW,465,3,0
Darmanitan (Standard) I+RS/Ov,828,3,100
Darmanitan (Standard) (Shadow) I+RS/Ov,796,3,90
Dartrix Pk+BrB/EB,881,3,116
Darumaka FF+FiP/FmC,792,1,89
Darumaka (Shadow) FF+FiP/FmC,782,3,86
Decidueye Lf+FP/SSh,677,3,54
Decidueye (Hisuian) PC+EB/AuS,651,3,46
Dedenne TS+D/PR,308,27,0
Deerling Tk+WC/EB,871,3,113
Delcatty Ch+WC/DV,835,9,102
Delphox FS+Psh/BB,569,11,21
Delphox (Shadow) FS+Psh/BB,190,48,0
Dewgong IS+IW/DR,328,27,0
Dewgong (Shadow) IS+AJ/DR,513,9,4
Dewott FC+AT/XS,717,1,66
Dewott (Shadow) FC+AT/XS,677,11,54
Dhelmise SC+PW/BrS,940,3,134
Diggersby MS+FiP/ScS,694,6,59
Diggersby (Shadow) MS+ScS/FiP,605,6,32
Dipplin DT+SeB/O,881,3,116
Dodrio Pk+DrlP/BrB,842,3,104
Dolliv ML+EP/TBl,907,3,124
Dondozo W+S/O,427,1,0
Dottler Cf+BBu/P,881,3,116
Drampa DB+Sw/DgP,618,11,36
Drizzile WG+S/WP,828,3,100
Dubwool DK+BS/Pbk,713,9,65
Dudunsparce RO+BS/DR,687,1,57
Dunsparce RO+DR/RS,429,1,0
Durant BBi+XS/SE,851,11,107
Dustox Cf+SvW/SlB,891,1,119
Dwebble SD+XS/RT,720,1,67
Dwebble (Shadow) SD+XS/RT,671,1,52
Eelektrik Ac+D/Cr,312,35,0
Eelektross VS+DC/Tb,432,1,0
Eevee QA+BS/Sw,746,1,75
Eldegoss BS+EB/GK,789,11,88
Electabuzz TS+TP/Re,295,3,0
Electabuzz (Shadow) TS+TP/Tb,87,40,0
Electivire TS+IP/WC,92,40,0
Electivire (Shadow) TS+IP/WC,115,40,0
Electrode VS+D/FoP,245,3,0
Electrode (Hisuian) TS+WC/EB,108,40,0
Electrode (Shadow) VS+D/FoP,300,3,0
Elekid TS+TP/BkB,462,1,0
Emboar E+BB/HW,244,48,0
Emboar (Shadow) E+BB/HW,306,48,0
Emolga TS+Acr/D,276,3,0
Empoleon MSo+HC/DrlP,340,35,0
Empoleon (Shadow) MSo+HC/DrlP,454,1,0
Entei FF+FmC/ScS,792,1,89
Entei (Shadow) FF+FmC/ScS,782,3,86
Escavalier BBi+DR/RSh,753,11,77
Escavalier (Shadow) BBi+DR/RSh,710,3,64
Exeggcute Cf+SeB/AP,861,3,110
Exeggcute (Shadow) Cf+SeB/AP,832,3,101
Exeggutor Cf+SeB/P,680,3,55
Exeggutor (Alolan) DT+SeB/DM,723,3,68
Exeggutor (Alolan) (Shadow) DT+SeB/DM,674,3,53
Exeggutor (Shadow) Cf+SeB/P,615,3,35
Exploud A+Cr/DV,934,1,132
Exploud (Shadow) A+Cr/DV,917,1,127
Farfetch'd FC+LB/AA,717,1,66
Fearow Pk+DrlP/DR,605,1,32
Feraligatr SC+HC/IB,664,1,50
Feraligatr (Shadow) SC+HC/IB,608,11,33
Ferroseed MC+GB/Re,907,1,124
Ferroseed (Shadow) MC+GB/IH,884,1,117
Ferrothorn BS+PW/T,441,1,0
Ferrothorn (Shadow) BS+PW/T,743,1,74
Flaaffy CB+D/TBl,298,35,0
Flaaffy (Shadow) CB+TBl/D,433,1,0
Flapple DB+SeB/DgP,828,3,100
Flareon E+SP/HW,901,3,122
Fletchinder Pk+Fl/HW,585,1,26
Fletchinder (Shadow) Pk+Fl/HW,509,1,3
Floatzel W+AJ/Sw,532,3,10
Floragato Lf+EB/PR,921,3,128
Forretress BBi+ST/RT,779,9,85
Forretress (Shadow) BBi+ST/RT,861,1,110
Frillish H+NSh/IB,875,1,114
Frogadier B+S/AA,835,1,102
Frogadier (Shadow) B+S/AA,855,3,108
Frosmoth PS+IW/BBu,270,48,0
Fuecoco I+Cr/Ft,812,1,95
Furfrou SkP+S/GK,634,9,41
Furret SkP+Sw/TBl,684,1,56
Galvantula VS+D/Lu,172,48,0
Galvantula (Shadow) VS+D/Lu,196,48,0
Gastrodon MSl+BS/EP,773,9,83
Genesect FC+XS/TBN,871,3,113
Geodude (Alolan) VS+RT/RS,168,3,0
Geodude (Alolan) (Shadow) VS+RT/RS,216,3,0
Girafarig Cf+PsF/TBl,674,1,53
Girafarig (Shadow) Cf+PsF/TBl,608,3,33
Gloom Ac+SlB/M,861,3,110
Gloom (Shadow) Ac+SlB/M,842,3,104
Gogoat VW+LB/RS,786,3,87
Goldeen Pk+AT/HA,723,1,68
Golduck Cf+CrC/Li,690,1,58
Golduck (Shadow) Cf+CrC/Li,641,11,43
Golem (Alolan) VS+WC/RB,162,3,0
Golem (Alolan) (Shadow) VS+WC/RB,209,3,0
Golisopod FC+XS/AJ,684,3,56
Gorebyss Cf+WP/P,842,1,104
Gourgeist (Average) I+SB/SeB,776,3,84
Gourgeist (Large) I+SB/SeB,776,3,84
Gourgeist (Small) I+SB/SeB,773,3,83
Gourgeist (Super) I+SB/SeB,776,3,84
Grafaiai MSl+PF/SlB,763,11,80
Graveler (Alolan) VS+SE/RB,155,3,0
Graveler (Alolan) (Shadow) VS+SE/RB,204,3,0
Greedent MS+BS/TBl,506,25,2
Greninja WSh+HC/NS,697,3,60
Greninja (Shadow) WSh+HC/NS,506,3,2
Grotle RL+BS/EB,881,3,116
Grotle (Shadow) RL+EB/BS,861,3,110
Grovyle QA+LB/AA,710,3,64
Grovyle (Shadow) BS+LB/AA,733,3,71
Growlithe E+FW/BS,618,11,36
Growlithe (Hisuian) E+RS/Ft,88,40,0
Growlithe (Shadow) E+FW/BS,559,3,18
Gumshoos Bi+RT/Cr,802,1,92
Gyarados DB+AT/Tw,661,1,49
Gyarados (Shadow) DB+AT/Tw,598,3,30
Heatmor FS+TP/Ft,526,1,8
Heatran FS+MgS/EP,442,1,0
Heatran (Shadow) FS+MgS/EP,516,1,5
Heliolisk VS+BkS/PbC,476,1,0
Heliolisk (Shadow) VS+BkS/PbC,684,1,56
Heracross FC+UH/RT,871,3,113
Herdier SdA+Dg/Tb,878,1,115
Ho-Oh I+BrB/SF,792,1,89
Ho-Oh (Shadow) I+BrB/SF,743,1,74
Houndoom Sn+FoP/Ft,667,3,51
Houndoom (Shadow) Sn+FoP/Ft,588,3,27
Houndour E+Cr/Ft,901,3,122
Houndour (Shadow) E+Cr/Ft,881,3,116
Huntail WG+AT/Cr,575,9,23
Hydrapple DT+SeB/O,868,3,112
Illumise Tk+SvW/DG,871,3,113
Incineroar FF+BrS/BB,628,1,39
Indeedee (Female) Ex+EB/P,851,1,107
Indeedee (Male) Ex+SB/P,835,11,102
Infernape FS+CC/BB,828,3,100
Infernape (Shadow) FS+CC/BB,789,3,88
Inteleon WG+S/SB,828,3,100
Ivysaur VW+PW/SlB,921,3,128
Ivysaur (Shadow) VW+PW/SlB,921,3,128
Jellicent H+S/SB,700,33,61
Jolteon TS+D/LR,480,1,0
Jumpluff FW+EB/Acr,805,1,93
Jumpluff (Shadow) FW+EB/Acr,756,11,78
Kabuto MS+AJ/RT,286,19,0
Kabuto (Shadow) MS+AJ/RT,125,48,0
Kabutops FC+AJ/SE,343,11,0
Kabutops (Shadow) FC+AJ/SE,382,11,0
Kangaskhan LK+BkB/Cr,713,1,65
Karrablast FC+DR/XS,736,3,72
Karrablast (Shadow) FC+DR/XS,707,3,63
Kartana FC+LB/SSw,644,3,44
Kecleon SkP+TP/DyP,601,1,31
Kilowattrel TS+Acr/AA,355,3,0
Kingdra DB+S/Sw,657,1,48
Kingdra (Shadow) DB+S/Sw,523,1,7
Kingler B+Crbh/XS,730,3,70
Kingler (Shadow) B+Crbh/XS,677,3,54
Kleavor FC+XS/RS,173,48,0
Komala RO+Pbk/Bd,799,11,91
Krabby B+VG/RSh,611,3,34
Krabby (Shadow) B+VG/RSh,539,3,12
Kricketune FC+XS/AA,700,3,61
Kyogre (Shadow) W+Av/S,802,3,92
Lampent E+HW/EB,621,1,37
Lampent (Shadow) E+HW/EB,569,3,21
Lanturn WG+S/Tb,213,27,0
Lapras Psy+SpA/IB,312,11,0
Lapras (Shadow) Psy+SpA/IB,578,1,24
Larvesta E+FW/BBu,625,3,38
Leafeon QA+LB/LR,901,3,122
Leavanny SC+LB/XS,792,3,89
Ledian RO+DyP/Acr,667,1,51
Ledian (Shadow) RO+DyP/Acr,868,3,112
Lickilicky RO+BS/SB,462,17,0
Lickitung L+BS/PW,621,14,37
Lileep Ac+AP/GK,532,6,10
Lileep (Shadow) Ac+AP/GK,555,1,17
Lilligant Ch+PlB/HB,842,3,104
Lilligant (Hisuian) BS+UH/PlB,684,3,56
Linoone SC+Sw/GK,782,1,86
Linoone (Galarian) Sn+BS/Dg,756,1,78
Linoone (Galarian) (Shadow) Sn+BS/Dg,710,1,64
Litleo I+FmC/Cr,792,1,89
Lokix SkP+XS/TBl,671,3,52
Lombre B+Sc/GK,894,3,120
Lopunny LK+TP/SB,671,1,52
Loudred Bi+St/DV,802,1,92
Loudred (Shadow) Bi+St/DV,753,11,77
Ludicolo A+WBW/EB,947,3,136
Lumineon G+AT/SvW,631,17,40
Lurantis Lf+LB/SP,667,3,51
Luxio Sp+WC/Cr,305,3,0
Luxio (Shadow) Sp+WC/Cr,345,3,0
Luxray Sp+WC/PsF,310,3,0
Luxray (Shadow) Sn+WC/PsF,126,48,0
Magby KC+FiP/BkB,684,3,56
Magcargo E+RT/Ov,247,35,0
Magmar KC+FiP/ScS,674,11,53
Magmar (Shadow) KC+FiP/ScS,628,3,39
Magmortar KC+FiP/Tb,901,3,122
Magmortar (Shadow) KC+FiP/Tb,881,3,116
Magnemite VS+MgB/D,100,48,0
Magnemite (Shadow) VS+MgB/D,100,48,0
Magneton VS+MgB/D,94,48,0
Magneton (Shadow) TS+D/MgB,78,40,0
Magnezone VS+WC/MrS,58,48,0
Magnezone (Shadow) VS+WC/MrS,88,48,0
Manectric TF+PsF/WC,371,11,0
