Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,893,60,92
Abomasnow (Shadow) PS+WBI/EB,893,60,92
Aipom A+Sw/AA,547,0,11
Aipom (Shadow) A+Sw/AA,270,20,0
Ambipom A+AA/Re,517,0,4
Ambipom (Shadow) A+AA/LS,306,20,0
Amoonguss A+GK/FoP,606,0,25
Amoonguss (Shadow) A+GK/FoP,547,0,11
Appletun A+EB/O,517,15,4
Arboliva ML+EP/TBl,867,80,86
Arcanine FF+WC/PsF,623,20,29
Arcanine (Hisuian) Sn+WC/RS,426,0,0
Arcanine (Shadow) FF+WC/PsF,764,0,62
Armarouge I+Psh/HW,500,35,0
Audino ZH+BS/DV,854,0,83
Bayleef ML+AP/EB,824,20,76
Bayleef (Shadow) ML+AP/EB,790,10,68
Bellossom Ac+LB/DG,585,15,20
Bellossom (Shadow) Ac+LB/DG,782,0,66
Bewear SC+SP/St,653,0,36
Bewear (Shadow) SC+SP/St,611,0,26
Bibarel RO+S/HF,422,0,0
Bibarel (Shadow) RO+S/HF,696,0,46
Blacephalon I+MdB/SB,722,0,52
Blaziken E+AuS/BB,619,20,28
Blaziken (Shadow) E+AuS/BB,306,40,0
Blissey ZH+WC/DG,803,0,71
Bouffalant MS+St/Mh,496,0,0
Braixen E+Psh/FmC,679,20,42
Braixen (Shadow) E+Psh/FmC,666,20,39
Braviary AS+Fl/CC,726,0,53
Breloom FPm+DyP/GK,807,60,72
Bulbasaur VW+PW/SeB,880,80,89
Bulbasaur (Shadow) VW+PW/SeB,880,80,89
Buneary QA+Sw/FiP,534,15,8
Cacturne SkP+TBl/DyP,487,15,0
Cacturne (Shadow) SkP+TBl/DyP,392,0,0
Camerupt I+EP/RT,428,0,0
Camerupt (Shadow) I+EP/RT,739,0,56
Carkol SD+RS/FmC,226,0,0
Carnivine VW+EB/Cr,880,80,89
Castform H+WBR/EB,455,0,0
Castform (Sunny) E+WBF/SoB,538,0,9
Celebi Cf+AuS/LfS,841,0,80
Centiskorch E+Lu/HW,867,0,86
Ceruledge I+SB/HW,773,0,64
Chandelure I+SB/EB,756,0,60
Chandelure (Shadow) I+SB/EB,705,0,48
Chansey ZH+DG/P,841,0,80
Charmeleon E+FiP/Re,496,20,0
Charmeleon (Shadow) E+FiP/Ft,666,20,39
Chatot Pk+HW/SA,462,55,0
Cherrim (Overcast) BS+DG/SoB,910,0,96
Cherrim (Sunshine) BS+WBF/SoB,910,0,96
Chesnaught LK+FP/SP,867,0,86
Chesnaught (Shadow) VW+FP/SP,841,80,80
Chespin VW+BS/SeB,705,100,48
Chespin (Shadow) VW+BS/SeB,880,80,89
Cinccino Ch+AT/Tb,786,0,67
Cinderace FS+BB/PB,786,0,67
Claydol MSl+RT/SB,384,10,0
Claydol (Shadow) MSl+RT/SB,347,0,0
Clodsire PSt+Eq/SE,451,20,0
Coalossal FS+RS/FmC,248,20,0
Combusken E+RS/FmC,867,0,86
Combusken (Shadow) E+RS/FmC,867,0,86
Cradily Ac+RT/GK,399,15,0
Cradily (Shadow) Ac+RT/GK,479,15,0
Crocalor I+Cr/Ft,412,0,0
Cubone MSl+BC/Re,472,0,0
Cubone (Shadow) MSl+BC/Dg,576,0,18
Darmanitan (Standard) I+RS/Ov,756,0,60
Darmanitan (Standard) (Shadow) I+RS/Ov,722,0,52
Dartrix Pk+BrB/EB,782,0,66
Darumaka FF+FiP/FmC,705,20,48
Darumaka (Shadow) FF+FiP/FmC,739,0,56
Decidueye Lf+FP/SSh,824,0,76
Decidueye (Hisuian) PC+EB/AuS,910,0,96
Deerling Tk+WC/EB,739,0,56
Delcatty Ch+WC/DV,803,20,71
Delphox FS+Psh/BB,459,20,0
Delphox (Shadow) FS+Psh/BB,508,15,2
Dhelmise SC+PW/BrS,447,15,0
Diggersby MS+FiP/ScS,324,0,0
Diggersby (Shadow) MS+ScS/FiP,387,0,0
Dipplin DT+SeB/O,598,20,23
Dodrio Pk+DrlP/BrB,386,40,0
Dolliv ML+EP/TBl,816,100,74
Donphan MSl+BS/TBl,305,40,0
Donphan (Shadow) MSl+BS/TBl,265,20,0
Drampa DB+Sw/DgP,508,0,2
Drilbur MSl+DR/RT,369,40,0
Drilbur (Shadow) MSl+DR/RT,330,20,0
Dubwool DK+BS/Pbk,437,0,0
Dudunsparce RO+BS/DR,189,20,0
Dugtrio SkP+MB/SE,525,0,6
Dugtrio (Alolan) MSl+MB/IH,594,60,22
Dugtrio (Alolan) (Shadow) MSl+MB/IH,508,60,2
Dugtrio (Shadow) SkP+MB/SE,320,15,0
