Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,625,46,42
Abomasnow (Shadow) PS+WBI/EB,684,30,62
Aipom A+Sw/AA,625,1,42
Aipom (Shadow) A+Sw/AA,625,1,42
Ambipom A+AA/Re,532,1,11
Ambipom (Shadow) A+AA/LS,559,46,20
Amoonguss A+GK/FoP,583,4,28
Amoonguss (Shadow) A+GK/FoP,616,1,39
Appletun A+EB/O,556,6,19
Arboliva ML+EP/TBl,365,30,0
Arcanine FF+WC/PsF,797,30,100
Arcanine (Hisuian) Sn+WC/RS,639,22,47
Arcanine (Shadow) FF+WC/PsF,800,64,101
Armarouge I+Psh/HW,773,22,92
Audino ZH+BS/DV,741,1,81
Bayleef ML+AP/EB,642,4,48
Bayleef (Shadow) ML+AP/EB,580,4,27
Bellossom Ac+LB/DG,627,1,43
Bellossom (Shadow) Ac+LB/DG,523,1,8
Bewear SC+SP/St,238,38,0
Bewear (Shadow) SC+SP/St,186,11,0
Bibarel RO+S/HF,214,11,0
Bibarel (Shadow) RO+S/HF,261,11,0
Blacephalon I+MdB/SB,925,48,143
Blaziken E+AuS/BB,424,35,0
Blaziken (Shadow) E+AuS/BB,550,35,17
Blissey ZH+WC/DG,714,2,72
Bouffalant MS+St/Mh,517,1,6
Braixen E+Psh/FmC,788,30,97
Braixen (Shadow) E+Psh/FmC,773,72,92
Braviary AS+Fl/CC,863,22,122
Breloom FPm+DyP/GK,276,22,0
Bulbasaur VW+PW/SeB,502,4,1
Bulbasaur (Shadow) VW+PW/SeB,595,46,32
Buneary QA+Sw/FiP,702,1,68
Cacturne SkP+TBl/DyP,388,22,0
Cacturne (Shadow) SkP+TBl/DyP,462,22,0
Camerupt I+EP/RT,284,19,0
Camerupt (Shadow) I+EP/RT,316,19,0
Carkol SD+RS/FmC,500,6,0
Carnivine VW+EB/Cr,450,46,0
Castform H+WBR/EB,580,1,27
Castform (Sunny) E+WBF/SoB,711,1,71
Celebi Cf+AuS/LfS,523,1,8
Centiskorch E+Lu/HW,937,56,147
Ceruledge I+SB/HW,681,22,61
Chandelure I+SB/EB,913,64,139
Chandelure (Shadow) I+SB/EB,925,48,143
Chansey ZH+DG/P,699,5,67
Charmeleon E+FiP/Re,863,30,122
Charmeleon (Shadow) E+FiP/Ft,866,22,123
Chatot Pk+HW/SA,833,22,112
Cherrim (Overcast) BS+DG/SoB,758,4,87
Cherrim (Sunshine) BS+WBF/SoB,812,4,105
Chesnaught LK+FP/SP,189,22,0
Chesnaught (Shadow) VW+FP/SP,221,30,0
Chespin VW+BS/SeB,636,4,46
Chespin (Shadow) VW+BS/SeB,550,54,17
Cinccino Ch+AT/Tb,571,1,24
Cinderace FS+BB/PB,889,22,131
Claydol MSl+RT/SB,252,30,0
Claydol (Shadow) MSl+RT/SB,256,22,0
Clodsire PSt+Eq/SE,211,22,0
Coalossal FS+RS/FmC,705,6,69
Combusken E+RS/FmC,347,35,0
Combusken (Shadow) E+RS/FmC,385,35,0
Cradily Ac+RT/GK,350,9,0
Cradily (Shadow) Ac+RT/GK,451,9,0
Crocalor I+Cr/Ft,773,38,92
Cubone MSl+BC/Re,255,6,0
Cubone (Shadow) MSl+BC/Dg,141,6,0
Darmanitan (Standard) I+RS/Ov,913,64,139
Darmanitan (Standard) (Shadow) I+RS/Ov,925,48,143
Dartrix Pk+BrB/EB,696,46,66
Darumaka FF+FiP/FmC,827,22,110
Darumaka (Shadow) FF+FiP/FmC,830,64,111
Decidueye Lf+FP/SSh,441,46,0
Decidueye (Hisuian) PC+EB/AuS,204,30,0
Deerling Tk+WC/EB,758,4,87
Delcatty Ch+WC/DV,699,1,67
Delphox FS+Psh/BB,747,22,83
Delphox (Shadow) FS+Psh/BB,901,14,135
Dhelmise SC+PW/BrS,395,30,0
Diggersby MS+FiP/ScS,195,14,0
Diggersby (Shadow) MS+ScS/FiP,224,6,0
Dipplin DT+SeB/O,592,1,31
Dodrio Pk+DrlP/BrB,803,64,102
Dolliv ML+EP/TBl,296,30,0
Donphan MSl+BS/TBl,166,14,0
Donphan (Shadow) MSl+BS/TBl,170,6,0
Drampa DB+Sw/DgP,386,43,0
Drilbur MSl+DR/RT,204,14,0
Drilbur (Shadow) MSl+DR/RT,200,6,0
Dubwool DK+BS/Pbk,601,1,34
Dudunsparce RO+BS/DR,286,30,0
Dugtrio SkP+MB/SE,235,22,0
Dugtrio (Alolan) MSl+MB/IH,105,3,0
Dugtrio (Alolan) (Shadow) MSl+MB/IH,133,48,0
Dugtrio (Shadow) SkP+MB/SE,280,22,0
Dunsparce RO+DR/RS,263,38,0
Eevee QA+BS/Dg,592,1,31
Eldegoss BS+EB/GK,595,4,32
Electrode (Hisuian) TS+WC/EB,365,38,0
Emboar E+BB/HW,699,1,67
Emboar (Shadow) E+BB/HW,782,38,95
Entei FF+FmC/ScS,863,30,122
Entei (Shadow) FF+FmC/ScS,880,22,128
Excadrill MS+DR/RS,110,3,0
Excadrill (Shadow) MS+DR/RS,110,3,0
Exeggcute Cf+SeB/AP,622,1,41
Exeggcute (Shadow) Cf+SeB/AP,571,1,24
Exeggutor Cf+SeB/P,517,46,6
Exeggutor (Alolan) DT+SeB/DM,312,27,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,404,22,0
Exeggutor (Shadow) Cf+SeB/P,458,30,0
Exploud A+Cr/DV,651,1,51
Exploud (Shadow) A+Cr/DV,595,1,32
Farfetch'd FC+LB/AA,610,35,37
Fearow Pk+DrlP/DR,547,30,16
Ferroseed MC+GB/Re,720,4,74
Ferroseed (Shadow) MC+GB/IH,696,4,66
Ferrothorn BS+PW/T,568,4,23
Ferrothorn (Shadow) BS+PW/T,394,1,0
Flapple DB+SeB/DgP,414,30,0
Flareon E+SP/HW,672,64,58
Fletchinder Pk+Fl/HW,907,56,137
Fletchinder (Shadow) Pk+Fl/HW,901,48,135
Floragato Lf+EB/PR,400,46,0
Flygon DT+ST/Tw,352,38,0
Flygon (Shadow) DT+ST/Tw,172,11,0
Fuecoco I+Cr/Ft,907,30,137
Furfrou SkP+S/GK,238,27,0
Furret SkP+Sw/TBl,526,1,9
Gabite MS+Tw/Dg,162,11,0
Gabite (Shadow) MS+Tw/Dg,189,11,0
Garchomp DT+Tw/ST,281,38,0
Garchomp (Shadow) DT+Tw/ST,198,11,0
Gastrodon MSl+BS/EP,163,27,0
Geodude RTh+RT/RS,353,1,0
Geodude (Shadow) RTh+RT/RS,265,30,0
Girafarig Cf+PsF/TBl,419,51,0
Girafarig (Shadow) Cf+PsF/TBl,423,30,0
Gligar WA+NS/Dg,309,46,0
Gligar (Shadow) WA+NS/Dg,217,19,0
Gliscor WA+ST/Acr,271,30,0
Gliscor (Shadow) WA+ST/Acr,306,35,0
Gloom Ac+SlB/M,625,4,42
Gloom (Shadow) Ac+SlB/M,633,4,45
Gogoat VW+LB/RS,281,30,0
Golem MSl+SE/Eq,286,14,0
Golem (Shadow) MSl+SE/Eq,158,3,0
Golett A+ShP/BkB,471,1,0
Golett (Shadow) A+ShP/BkB,304,38,0
Golurk MSl+ShP/DyP,167,6,0
Golurk (Shadow) MSl+ShP/DyP,167,3,0
Gourgeist (Average) I+SB/SeB,511,4,4
Gourgeist (Large) I+SB/SeB,511,4,4
Gourgeist (Small) I+SB/SeB,505,4,2
Gourgeist (Super) I+SB/SeB,511,4,4
Grafaiai MSl+PF/SlB,282,19,0
Graveler MSl+RS/Dg,142,19,0
Graveler (Shadow) MSl+RS/Dg,156,11,0
Greedent MS+BS/TBl,474,1,0
Grotle RL+BS/EB,619,4,40
Grotle (Shadow) RL+EB/BS,421,46,0
Groudon (Shadow) MS+PrB/FiP,240,14,0
Grovyle QA+LB/AA,580,1,27
Grovyle (Shadow) BS+LB/AA,470,30,0
Growlithe E+FW/BS,800,22,101
Growlithe (Hisuian) E+RS/Ft,651,30,51
Growlithe (Shadow) E+FW/BS,857,14,120
Gumshoos Bi+RT/Cr,666,1,56
Heatmor FS+TP/Ft,788,22,97
Heatran FS+MgS/EP,323,27,0
Heatran (Shadow) FS+MgS/EP,390,22,0
Heliolisk VS+BkS/PbC,574,1,25
Heliolisk (Shadow) VS+BkS/PbC,461,38,0
Herdier SdA+Dg/Tb,228,19,0
Hippopotas SdA+RT/BS,299,22,0
Hippopotas (Shadow) SdA+RT/BS,164,14,0
Hippowdon SdA+WBR/EP,274,6,0
Hippowdon (Shadow) SdA+WBR/EP,151,6,0
Ho-Oh I+BrB/SF,928,56,144
Ho-Oh (Shadow) I+BrB/SF,934,48,146
Houndoom FF+FoP/Ft,880,22,128
Houndoom (Shadow) Sn+FoP/Ft,907,56,137
Houndour E+Cr/Ft,773,64,92
Houndour (Shadow) E+Cr/Ft,949,48,151
Hydrapple DT+SeB/O,544,6,15
Incineroar FF+BrS/BB,758,35,87
Indeedee (Female) Ex+EB/P,666,1,56
Indeedee (Male) Ex+SB/P,616,46,39
Infernape FS+CC/BB,517,38,6
Infernape (Shadow) FS+CC/BB,432,22,0
Ivysaur VW+PW/SlB,607,1,36
Ivysaur (Shadow) VW+PW/SlB,568,1,23
Jumpluff FW+EB/Acr,645,1,49
Jumpluff (Shadow) FW+EB/Acr,592,1,31
Kangaskhan LK+BkB/Cr,271,30,0
Kartana FC+LB/SSw,360,22,0
Kecleon SkP+TP/DyP,343,46,0
Komala RO+Pbk/Bd,444,51,0
Krokorok MSl+Cr/Eq,151,6,0
Krookodile MSl+ST/Cr,193,14,0
Lampent E+HW/EB,767,30,90
Lampent (Shadow) E+HW/EB,761,64,88
Landorus (Incarnate) MS+EP/RS,283,11,0
Landorus (Incarnate) (Shadow) MS+EP/RS,314,11,0
Larvesta E+FW/BBu,949,48,151
Leafeon QA+LB/EB,598,1,33
Leavanny SC+LB/XS,681,30,61
Lickilicky RO+BS/SB,475,1,0
Lickitung L+BS/PW,438,20,0
Lileep Ac+GK/AP,556,12,19
Lileep (Shadow) Ac+GK/AP,347,46,0
Lilligant Ch+PlB/HB,803,54,102
Lilligant (Hisuian) BS+UH/PlB,273,38,0
Linoone SC+Sw/GK,586,1,29
Linoone (Galarian) Sn+BS/Dg,520,1,7
Linoone (Galarian) (Shadow) Sn+BS/Dg,353,51,0
Litleo I+FmC/Cr,770,43,91
Lombre B+Sc/GK,285,35,0
Lopunny LK+TP/SB,326,46,0
Loudred Bi+DV/St,666,1,56
Loudred (Shadow) Bi+St/DV,666,1,56
Ludicolo A+WBW/EB,320,38,0
Lurantis Lf+LB/SP,386,38,0
Magby KC+FiP/BkB,610,72,37
Magcargo E+RT/Ov,505,6,2
Magmar KC+FiP/ScS,403,11,0
Magmar (Shadow) E+FiP/ScS,464,11,0
Magmortar KC+FiP/Tb,726,22,76
Magmortar (Shadow) KC+FiP/Tb,744,56,82
Mamoswine PS+ISp/SE,535,1,12
Mamoswine (Shadow) PS+ISp/SE,362,14,0
Maractus BS+AA/PlB,607,54,36
Marowak MSl+BC/RS,248,6,0
Marowak (Alolan) FS+BC/SBo,436,51,0
Marowak (Alolan) (Shadow) FS+SBo/BC,622,38,41
Marowak (Shadow) MSl+BC/RS,300,6,0
Marshtomp MS+S/Sl,128,11,0
Marshtomp (Shadow) MS+S/Sl,154,11,0
Maushold MS+Sw/Cr,562,1,21
Meganium VW+FP/Eq,217,22,0
Meganium (Shadow) VW+FP/Eq,282,22,0
Meowscarada Lf+NS/FP,460,38,0
Miltank RO+BS/IB,622,9,41
Moltres WA+Fl/HW,925,48,143
Moltres (Shadow) WA+Fl/HW,943,40,149
Monferno E+FW/LS,622,6,41
Monferno (Shadow) E+FW/LS,568,46,23
Mudbray MSl+BS/Eq,160,6,0
Mudsdale MSl+BS/Eq,183,22,0
Munchlax Tk+BS/Bd,474,20,0
Nidoking FC+ST/EP,169,14,0
Nidoking (Shadow) FC+ST/EP,200,14,0
Nidoqueen MSl+EP/PF,298,14,0
Nidoqueen (Shadow) MSl+EP/PF,179,14,0
Ninetales E+WBF/Ov,815,46,106
Ninetales (Shadow) E+WBF/Ov,812,30,105
Noctowl WA+SA/SB,744,1,82
Nuzleaf FA+LB/FoP,583,1,28
Nuzleaf (Shadow) FA+LB/FoP,571,46,24
Obstagoon C+NS/CrC,339,46,0
Obstagoon (Shadow) C+CrC/NS,266,27,0
Oddish Ac+SeB/SlB,601,4,34
Oddish (Shadow) Ac+SeB/SlB,538,46,13
Oinkologne MSl+BS/TBl,229,19,0
Oinkologne (Female) MSl+BS/TBl,230,22,0
