Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow PS+WBI/EB,433,8,0
Abomasnow (Shadow) PS+WBI/EB,69,40,0
Aipom A+Sw/AA,886,0,92
Aipom (Shadow) A+Sw/AA,873,0,89
Ambipom A+AA/Re,886,0,92
Ambipom (Shadow) A+AA/LS,861,0,86
Amoonguss A+GK/FoP,248,26,0
Amoonguss (Shadow) A+GK/FoP,268,18,0
Appletun A+EB/O,298,32,0
Arboliva ML+EP/TBl,924,0,101
Arcanine FF+WC/PsF,280,21,0
Arcanine (Hisuian) Sn+WC/RS,949,0,107
Arcanine (Shadow) FF+WC/PsF,428,0,0
Armarouge I+Psh/HW,273,13,0
Audino ZH+BS/DV,689,21,45
Bayleef ML+AP/EB,516,2,4
Bayleef (Shadow) ML+AP/EB,621,21,29
Bellossom Ac+LB/DG,234,37,0
Bellossom (Shadow) Ac+LB/DG,250,13,0
Bewear SC+SP/St,894,0,94
Bewear (Shadow) SC+SP/St,873,0,89
Bibarel RO+S/HF,936,5,104
Bibarel (Shadow) RO+S/HF,924,5,101
Blacephalon I+MdB/SB,148,40,0
Blaziken E+AuS/BB,428,0,0
Blaziken (Shadow) E+AuS/BB,105,40,0
Blissey ZH+WC/DG,714,2,51
Bouffalant MS+St/Mh,764,16,63
Braixen E+Psh/FmC,349,0,0
Braixen (Shadow) E+Psh/FmC,422,0,0
Braviary AS+Fl/CC,262,13,0
Breloom FPm+DyP/GK,490,16,0
Bulbasaur VW+PW/SeB,366,26,0
Bulbasaur (Shadow) VW+PW/SeB,508,29,2
Buneary QA+Sw/FiP,621,8,29
Cacturne SkP+TBl/DyP,831,0,79
Cacturne (Shadow) SkP+TBl/DyP,789,0,69
Camerupt I+EP/RT,420,13,0
Camerupt (Shadow) I+EP/RT,714,13,51
Carkol SD+RS/FmC,558,5,14
Carnivine VW+EB/Cr,659,5,38
Castform H+WBR/EB,714,2,51
Castform (Sunny) E+WBF/SoB,232,29,0
Celebi Cf+AuS/LfS,426,2,0
Centiskorch E+Lu/HW,55,40,0
Ceruledge I+SB/HW,292,13,0
Chandelure I+SB/EB,349,13,0
Chandelure (Shadow) I+SB/EB,430,13,0
Chansey ZH+DG/P,663,4,39
Charmeleon E+FiP/Re,265,21,0
Charmeleon (Shadow) E+FiP/Ft,97,40,0
Chatot Pk+HW/SA,387,0,0
Cherrim (Overcast) BS+DG/SoB,655,5,37
Cherrim (Sunshine) BS+WBF/SoB,430,2,0
Chesnaught LK+FP/SP,546,5,11
Chesnaught (Shadow) VW+FP/SP,533,10,8
Chespin VW+BS/SeB,617,5,28
Chespin (Shadow) VW+BS/SeB,722,2,53
Cinccino Ch+AT/Tb,886,0,92
Cinderace FS+BB/PB,388,0,0
Claydol MSl+RT/SB,630,2,31
Claydol (Shadow) MSl+RT/SB,873,21,89
Clodsire PSt+Eq/SE,423,26,0
Coalossal FS+RS/FmC,347,16,0
Combusken E+RS/FmC,343,0,0
Combusken (Shadow) E+RS/FmC,412,0,0
Cradily Ac+RT/GK,525,5,6
Cradily (Shadow) Ac+RT/GK,430,24,0
Crocalor I+Cr/Ft,317,16,0
Cubone MSl+BC/Re,915,13,99
Cubone (Shadow) MSl+BC/Dg,936,5,104
Darmanitan (Standard) I+RS/Ov,596,16,23
Darmanitan (Standard) (Shadow) I+RS/Ov,672,0,41
Dartrix Pk+BrB/EB,116,13,0
Darumaka FF+FiP/FmC,264,13,0
Darumaka (Shadow) FF+FiP/FmC,315,13,0
Decidueye Lf+FP/SSh,470,2,0
Decidueye (Hisuian) PC+EB/AuS,299,37,0
