Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,539,2,10
Aromatisse FW+Psh/M,205,34,0
Sealeo PS+S/BS,539,2,10
Sylveon FW+Psh/SB,126,34,0
Cetitan PS+ISp/SP,388,34,0
Sealeo (Shadow) PS+S/BS,375,34,0
Florges FW+CW/DV,150,34,0
Walrein (Shadow) W+ISp/Eq,681,2,46
Snorlax L+BS/SP,673,2,44
Lopunny LK+SB/FiP,407,42,0
Lunatone Psy+RS/WBI,317,30,0
Solrock Psy+RS/WBF,317,30,0
Snorlax (Shadow) L+BS/SP,629,2,33
Graveler (Alolan) VS+SE/RB,539,2,10
Garganacl MS+RB/RT,622,2,31
Munchlax Tk+BS/Bd,629,2,33
Dusclops H+FiP/ShP,590,2,23
Gourgeist (Large) I+SB/SeB,570,2,18
Gourgeist (Average) I+SB/SeB,570,2,18
Primarina W+HC/DV,562,17,16
Walrein W+ISp/Eq,724,2,57
Slurpuff FW+Ft/EB,460,9,0
Dusclops (Shadow) H+FiP/ShP,535,2,9
Bibarel RO+S/HF,618,2,30
Gigalith LO+SP/MeB,431,42,0
Gourgeist (Small) I+SB/SeB,570,2,18
Gourgeist (Super) I+SB/SeB,570,2,18
Graveler (Alolan) (Shadow) VS+SE/RB,439,42,0
Golem (Alolan) VS+WC/RB,523,2,6
Golem (Alolan) (Shadow) VS+WC/RB,716,26,55
Barbaracle FC+CrC/SE,439,42,0
Whimsicott FW+SeB/M,148,42,0
Bibarel (Shadow) RO+S/HF,555,2,14
Shiinotic A+SeB/M,475,21,0
Maushold MS+Sw/Cr,633,2,34
Decidueye Lf+FP/SSh,614,2,29
Froslass (Shadow) H+Av/SB,685,38,47
Dachsbun FF+PsF/PR,352,9,0
Gigalith (Shadow) LO+MeB/SP,763,26,67
Cofagrigus SC+SB/Re,649,2,38
Dedenne TS+D/PR,255,42,0
Kabuto MS+AJ/RT,494,34,0
Dewgong IS+IW/DR,688,2,48
Glalie RO+Av/SB,649,2,38
Grafaiai MSl+PF/SlB,507,2,2
Dhelmise SC+PW/BrS,452,34,0
Kabutops (Shadow) FC+AJ/SE,645,10,37
Corsola B+PG/RB,811,2,79
Froslass H+Av/SB,724,2,57
Geodude (Alolan) VS+RT/RS,740,2,61
Dewgong (Shadow) IS+AJ/DR,649,2,38
Trevenant SC+SeB/SB,622,42,31
Avalugg IF+Av/BS,551,2,13
Arboliva ML+EP/TBl,700,2,51
Shiinotic (Shadow) A+SeB/M,535,1,9
Trevenant (Shadow) SC+SeB/SB,480,34,0
Cofagrigus (Shadow) SC+SB/DP,578,2,20
Pumpkaboo (Super) A+GK/FoP,574,2,19
Bouffalant MS+St/Mh,669,2,43
Armaldo (Shadow) FC+RB/Li,551,26,13
Glalie (Shadow) PS+Av/SB,582,2,21
Castform (Snowy) PS+WBI/Bl,519,2,5
Aipom (Shadow) A+Sw/LS,511,2,3
Avalugg (Hisuian) PS+RS/IW,649,2,38
Arctibax DB+Av/DC,547,10,12
Floette VW+DG/PlB,359,33,0
Kabuto (Shadow) MS+AJ/RT,494,34,0
Kabutops FC+AJ/SE,507,46,2
Geodude (Alolan) (Shadow) VS+RT/RS,716,26,55
Watchog LK+GK/Cr,582,2,21
Pumpkaboo (Large) A+GK/FoP,555,2,14
Kleavor FC+XS/RS,633,14,34
Klawf MSl+Bd/RT,618,2,30
Delcatty Ch+WC/DV,281,22,0
Watchog (Shadow) LK+GK/Cr,535,34,9
Zoroark (Hisuian) SC+SB/FoP,661,51,41
Armaldo FC+RB/Li,413,34,0
Omanyte MS+RT/RB,470,34,0
Carracosta (Shadow) RTh+AP/Li,287,23,0
Hatterene PC+Psh/PW,354,42,0
Houndstone L+SB/PsF,590,2,23
