Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aipom A+Sw/LS,515,2,4
Aipom (Shadow) A+Sw/LS,422,22,0
Ambipom A+LS/AA,566,100,17
Ambipom (Shadow) A+LS/AA,423,55,0
Anorith StB+AJ/CP,606,100,27
Anorith (Shadow) StB+AJ/CP,637,92,35
Arboliva ML+EP/TBl,641,2,36
Arctibax DB+Av/DC,523,100,6
Armaldo FC+RB/Li,400,30,0
Armaldo (Shadow) FC+RB/Li,570,100,18
Aromatisse FW+Psh/M,192,26,0
Audino ZH+DV/HB,665,30,42
Avalugg IF+Av/BS,338,32,0
Avalugg (Hisuian) PS+RS/IW,598,0,25
Banette SC+SB/DG,559,100,15
Banette (Shadow) SC+SB/DG,606,92,27
Barbaracle FC+CrC/SE,382,76,0
Baxcalibur DB+GlR/Av,500,44,0
Beartic PS+IP/Li,539,0,10
Bergmite Tk+IW/Cr,622,0,31
Bibarel RO+S/HF,574,0,19
Bibarel (Shadow) RO+S/HF,369,28,0
Blissey ZH+WC/DG,677,10,45
Boldore MSl+RS/Bd,543,2,11
Boldore (Shadow) MSl+RS/SE,465,30,0
Bonsly C+RT/RS,267,3,0
Bouffalant MS+St/Mh,346,34,0
Buneary QA+Sw/FiP,437,26,0
Carracosta RTh+Li/AP,241,36,0
Carracosta (Shadow) RTh+AP/Li,237,16,0
Castform H+WBR/EB,294,22,0
Castform (Snowy) PS+WBI/Bl,311,80,0
Cetitan PS+ISp/SP,606,0,27
Cinccino Ch+AT/Tb,343,88,0
Clefairy ZH+DV/BS,712,1,54
Cloyster IS+IW/Li,614,0,29
Cloyster (Shadow) IS+IW/Li,523,0,6
Cofagrigus SC+SB/Re,590,2,23
Cofagrigus (Shadow) SC+SB/DP,523,2,6
Comfey VW+GK/DK,490,25,0
Corsola B+PG/RB,783,0,72
Crabominable B+BkB/IP,744,0,62
Cranidos ZH+RT/AP,751,92,64
Cranidos (Shadow) ZH+RT/AP,740,76,61
Cryogonal IS+NS/TAx,614,0,29
Cursola A+NSh/PG,400,55,0
Dachsbun FF+PsF/PR,156,42,0
Darmanitan (Galarian) IF+SP/Av,438,56,0
Darumaka (Galarian) IF+IP/IB,350,28,0
Decidueye Lf+FP/SSh,424,42,0
Dedenne TS+D/PR,255,42,0
Deerling Tk+EB/WC,594,2,24
Delcatty Ch+WC/DV,232,2,0
Dewgong IS+IW/DR,653,0,39
Dewgong (Shadow) IS+AJ/DR,602,0,26
Dhelmise SC+PW/BrS,423,26,0
Dragapult DT+SB/O,594,80,24
Drakloak DT+SB/O,555,96,14
Dusclops H+FiP/ShP,551,2,13
Dusclops (Shadow) H+FiP/ShP,268,22,0
Dwebble SD+RT/XS,267,3,0
Dwebble (Shadow) SD+RT/XS,303,31,0
Eevee QA+BS/Dg,374,42,0
Exploud A+Cr/DV,559,2,15
Exploud (Shadow) A+Cr/DV,401,34,0
Flabebe VW+DG/PlB,791,1,74
Floette VW+DG/PlB,449,33,0
Florges FW+CW/DV,150,34,0
Frigibax DB+Av/DC,523,100,6
Froslass H+Av/SB,692,0,49
Froslass (Shadow) H+Av/SB,614,0,29
Frosmoth PS+IW/BBu,539,0,10
Gardevoir Cf+TAx/SB,269,18,0
Gardevoir (Shadow) Cf+TAx/SB,221,3,0
Garganacl MS+RB/RT,327,34,0
Gengar SC+ShP/SlB,645,100,37
Gengar (Shadow) SC+ShP/SlB,527,100,7
Geodude (Alolan) VS+RT/RS,708,2,53
Geodude (Alolan) (Shadow) VS+RT/RS,732,100,59
Gigalith LO+SP/MeB,431,42,0
Gigalith (Shadow) LO+MeB/SP,771,100,69
Glaceon IS+Av/WP,519,92,5
Glalie RO+Av/SB,614,0,29
Glalie (Shadow) PS+Av/SB,507,4,2
Glimmet RTh+RS/SW,250,11,0
Glimmora RTh+RS/SW,282,19,0
Golem (Alolan) VS+WC/RB,431,42,0
Golem (Alolan) (Shadow) VS+WC/RB,688,100,48
Gourgeist (Average) I+SB/SeB,413,34,0
Gourgeist (Large) I+SB/SeB,389,34,0
Gourgeist (Small) I+SB/SeB,443,34,0
Gourgeist (Super) I+SB/SeB,368,34,0
Grafaiai MSl+PF/SlB,400,30,0
Granbull Ch+CC/Cr,125,23,0
Granbull (Shadow) Ch+CC/Cr,89,3,0
Graveler (Alolan) VS+SE/RB,435,42,0
Graveler (Alolan) (Shadow) VS+SE/RB,439,42,0
Gumshoos Bi+RT/Cr,404,34,0
Hatterene PC+Psh/PW,312,26,0
Haunter SC+ShP/IP,614,100,29
Haunter (Shadow) SC+IP/SB,606,84,27
Heliolisk VS+PbC/GK,677,2,45
Heliolisk (Shadow) QA+BkS/PbC,606,100,27
Herdier SdA+Dg/Tb,724,2,57
Houndstone L+SB/PsF,503,2,1
Indeedee (Female) Ex+EB/P,645,2,37
Indeedee (Male) Ex+SB/P,602,2,26
Jynx Cf+Psh/Av,477,60,0
Kabuto MS+AJ/RT,637,100,35
Kabuto (Shadow) MS+AJ/RT,543,100,11
Kabutops FC+AJ/SE,598,0,25
Kabutops (Shadow) FC+AJ/SE,618,100,30
Klawf MSl+Bd/RT,559,2,15
Kleavor FC+XS/RS,606,100,27
Komala RO+Pbk/Bd,463,42,0
Lopunny LK+SB/FiP,383,34,0
Loudred Bi+DV/St,342,30,0
Loudred (Shadow) Bi+DV/St,342,6,0
Lunatone Psy+RS/WBI,296,22,0
Lycanroc (Dusk) SkP+TBl/SE,507,100,2
Lycanroc (Midday) SkP+DR/TBl,466,10,0
Lycanroc (Midnight) C+TBl/SE,322,0,0
Maushold MS+Sw/Cr,594,2,24
Misdreavus Psy+SS/DP,590,2,23
Misdreavus (Shadow) Psy+DP/SS,539,100,10
Mismagius Psy+SB/DP,590,46,23
Mismagius (Shadow) H+SB/DP,681,100,46
Mr. Mime Psy+SB/P,177,30,0
Mr. Mime (Galarian) Cf+IP/P,384,24,0
Mr. Rime Cf+IW/P,333,24,0
Munchlax Tk+BS/Bd,590,2,23
Nosepass RTh+RS/RB,285,18,0
Nosepass (Shadow) RTh+RS/RB,229,43,0
Omanyte MS+RT/RB,450,80,0
Omanyte (Shadow) MS+RT/RB,450,80,0
Omastar MS+RS/HP,795,0,75
Omastar (Shadow) MS+RS/HP,755,0,65
Persian FA+NS/PG,657,2,40
Persian (Shadow) FA+NS/PG,590,46,23
Polteageist H+SB/DP,637,100,35
Porygon QA+D/HB,562,2,16
Porygon (Shadow) Tk+D/SoB,451,30,0
Porygon-Z LO+TA/ZC,495,55,0
Porygon-Z (Shadow) LO+TA/ZC,818,96,81
Porygon2 LO+TA/SoB,397,42,0
Porygon2 (Shadow) LO+TA/SoB,460,34,0
Primarina W+HC/DV,645,1,37
Pumpkaboo (Average) A+GK/FoP,376,34,0
Pumpkaboo (Large) A+GK/FoP,357,34,0
Pumpkaboo (Small) A+GK/FoP,399,34,0
Pumpkaboo (Super) A+GK/FoP,515,2,4
Purugly SC+T/AA,614,42,29
Purugly (Shadow) SC+T/AA,551,42,13
Rampardos SD+RS/Ft,321,19,0
Rampardos (Shadow) SD+RS/Ft,313,7,0
Rapidash (Galarian) FW+BS/Mh,232,10,0
Raticate QA+Dg/HF,590,2,23
Raticate (Shadow) QA+Dg/HF,606,100,27
Ribombee FW+DG/BBu,271,30,0
Roggenrola SD+SE/RB,329,43,0
Roggenrola (Shadow) SD+SE/RB,300,35,0
Rotom TS+Tb/OW,610,2,28
Rotom (Frost) TS+Tb/Bl,826,100,83
Sawsbuck FA+TBl/WC,578,87,20
Sealeo PS+S/BS,270,80,0
Sealeo (Shadow) PS+S/BS,360,80,0
Shiinotic A+SeB/M,559,1,15
Shiinotic (Shadow) A+SeB/M,260,34,0
Slaking Y+BS/Eq,960,2,117
Slaking (Shadow) Y+BS/Eq,968,100,119
Slurpuff FW+Ft/EB,230,34,0
Smoochum PS+Psh/IP,606,100,27
Snorlax L+BS/SP,590,2,23
Snorlax (Shadow) L+BS/SP,590,2,23
Snover Lf+EB/IB,724,2,57
Snover (Shadow) Lf+EB/IB,657,2,40
Snubbull Tk+BkB/Cr,246,46,0
Snubbull (Shadow) Tk+BkB/Cr,225,34,0
Solrock Psy+RS/WBF,296,22,0
Spritzee Ch+Tb/DK,133,43,0
Stantler Tk+WC/Mh,488,34,0
Stantler (Shadow) Tk+WC/Mh,507,100,2
Stonjourner RTh+RS/SE,219,31,0
Stoutland SdA+WC/Cr,724,2,57
Stufful Tk+SP/St,391,30,0
Stufful (Shadow) Tk+SP/BkB,451,55,0
Sudowoodo C+MeB/TBl,269,3,0
Sudowoodo (Shadow) C+MeB/TBl,230,31,0
Swirlix Tk+EB/DK,582,1,21
Sylveon FW+Psh/SB,119,26,0
Tauros Tk+TBl/IH,395,34,0
Teddiursa L+CrC/TBl,590,2,23
Teddiursa (Shadow) L+CrC/TBl,566,100,17
Tirtouga WG+S/AP,704,0,52
Tirtouga (Shadow) WG+S/AP,629,0,33
Trevenant SC+SeB/SB,492,83,0
Trevenant (Shadow) SC+SeB/SB,450,26,0
Tyrantrum DT+RT/Cr,469,47,0
Tyrantrum (Shadow) DT+Cr/RT,547,80,12
Tyrunt DT+RT/St,468,55,0
Tyrunt (Shadow) DT+RT/St,468,40,0
Vanillish A+IW/SiB,535,0,9
Vanilluxe A+Av/FC,418,40,0
Walrein W+ISp/Eq,704,0,52
Walrein (Shadow) W+ISp/Eq,653,0,39
Watchog LK+GK/Cr,523,2,6
Watchog (Shadow) LK+GK/Cr,436,55,0
Whimsicott FW+SeB/M,131,26,0
Zoroark (Hisuian) SC+SB/FoP,649,96,38
