Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,356,33,0
Aromatisse FW+Psh/M,445,2,0
Sealeo PS+S/BS,511,4,3
Sylveon FW+Psh/SB,465,2,0
Cetitan PS+ISp/SP,742,15,63
Sealeo (Shadow) PS+S/BS,600,15,26
Florges FW+CW/DV,642,15,37
Walrein (Shadow) W+ISp/Eq,800,2,78
Snorlax L+BS/SP,588,1,23
Lopunny LK+SB/FiP,338,7,0
Lunatone Psy+RS/WBI,742,2,63
Solrock Psy+RS/WBF,561,2,16
Snorlax (Shadow) L+BS/SP,379,20,0
Graveler (Alolan) VS+SE/RB,838,2,88
Garganacl MS+RB/RT,313,20,0
Munchlax Tk+BS/Bd,792,1,76
Dusclops H+FiP/ShP,600,2,26
Gourgeist (Large) I+SB/SeB,600,7,26
Gourgeist (Average) I+SB/SeB,600,7,26
Primarina W+HC/DV,125,52,0
Walrein W+ISp/Eq,461,28,0
Slurpuff FW+Ft/EB,449,2,0
Dusclops (Shadow) H+FiP/ShP,519,2,5
Bibarel RO+S/HF,302,33,0
Gigalith LO+SP/MeB,119,52,0
Gourgeist (Small) I+SB/SeB,596,7,25
Gourgeist (Super) I+SB/SeB,600,7,26
Graveler (Alolan) (Shadow) VS+SE/RB,139,52,0
Golem (Alolan) VS+WC/RB,119,52,0
Golem (Alolan) (Shadow) VS+WC/RB,136,52,0
Barbaracle FC+CrC/SE,796,2,77
Whimsicott FW+SeB/M,715,7,56
Bibarel (Shadow) RO+S/HF,53,52,0
Shiinotic A+SeB/M,753,7,66
Maushold MS+Sw/Cr,378,33,0
Decidueye Lf+FP/SSh,201,52,0
Froslass (Shadow) H+Av/SB,500,2,0
Dachsbun FF+PsF/PR,491,28,0
Gigalith (Shadow) LO+MeB/SP,153,52,0
Cofagrigus SC+SB/Re,792,2,76
Dedenne TS+D/PR,669,2,44
Kabuto MS+AJ/RT,145,52,0
Dewgong IS+IW/DR,657,4,41
Glalie RO+Av/SB,442,2,0
Grafaiai MSl+PF/SlB,500,46,0
Dhelmise SC+PW/BrS,171,39,0
Kabutops (Shadow) FC+AJ/SE,503,2,1
Corsola B+PG/RB,261,7,0
Froslass H+Av/SB,500,2,0
Geodude (Alolan) VS+RT/RS,123,52,0
Dewgong (Shadow) IS+AJ/DR,569,41,18
Trevenant SC+SeB/SB,546,2,12
Avalugg IF+Av/BS,588,1,23
Arboliva ML+EP/TBl,830,7,86
Shiinotic (Shadow) A+SeB/M,707,7,54
Trevenant (Shadow) SC+SeB/SB,503,2,1
Cofagrigus (Shadow) SC+SB/DP,746,2,64
Pumpkaboo (Super) A+GK/FoP,723,2,58
Bouffalant MS+St/Mh,657,1,41
Armaldo (Shadow) FC+RB/Li,117,39,0
Glalie (Shadow) PS+Av/SB,884,2,100
Castform (Snowy) PS+WBI/Bl,534,1,9
Aipom (Shadow) A+Sw/LS,511,20,3
Avalugg (Hisuian) PS+RS/IW,446,2,0
Arctibax DB+Av/DC,800,2,78
Floette VW+DG/PlB,515,41,4
Kabuto (Shadow) MS+AJ/RT,166,52,0
Kabutops FC+AJ/SE,900,2,104
Geodude (Alolan) (Shadow) VS+RT/RS,141,52,0
Watchog LK+GK/Cr,503,1,1
Pumpkaboo (Large) A+GK/FoP,723,2,58
Kleavor FC+XS/RS,153,52,0
Klawf MSl+Bd/RT,495,2,0
Delcatty Ch+WC/DV,339,20,0
Watchog (Shadow) LK+GK/Cr,64,52,0
Zoroark (Hisuian) SC+SB/FoP,93,39,0
Armaldo FC+RB/Li,523,2,6
Omanyte MS+RT/RB,118,52,0
Carracosta (Shadow) RTh+AP/Li,630,2,34
Hatterene PC+Psh/PW,550,7,13
Houndstone L+SB/PsF,769,7,70
Aipom A+Sw/LS,437,46,0
Sudowoodo C+MeB/TBl,676,28,46
Tirtouga WG+S/AP,469,15,0
Gengar (Shadow) SC+ShP/SlB,260,39,0
Omanyte (Shadow) MS+RT/RB,158,52,0
Pumpkaboo (Average) A+GK/FoP,723,2,58
Carracosta RTh+Li/AP,600,15,26
Lycanroc (Midday) SkP+DR/TBl,152,52,0
Baxcalibur DB+GlR/Av,106,39,0
Comfey VW+GK/DK,584,28,22
Exploud A+Cr/DV,382,7,0
Rapidash (Galarian) FW+BS/Mh,807,7,80
Mr. Mime (Galarian) Cf+IP/P,638,2,36
Mr. Mime Psy+SB/P,800,2,78
Indeedee (Female) Ex+EB/P,461,46,0
Mismagius (Shadow) H+SB/DP,250,52,0
Porygon Tk+D/HB,657,1,41
Pumpkaboo (Small) A+GK/FoP,707,7,54
Omastar (Shadow) MS+RS/HP,110,39,0
Herdier SdA+Dg/Tb,611,1,29
Misdreavus Psy+SS/DP,850,2,91
Blissey ZH+WC/DG,553,8,14
Mismagius Psy+SB/DP,850,2,91
Exploud (Shadow) A+Cr/DV,449,7,0
Stoutland SdA+WC/Cr,428,33,0
Ambipom (Shadow) A+LS/AA,569,7,18
Omastar MS+RS/HP,96,39,0
Snover (Shadow) Lf+EB/IB,838,2,88
Bonsly C+RT/RS,876,15,98
Frigibax DB+Av/DC,800,2,78
Misdreavus (Shadow) Psy+DP/SS,800,2,78
Snover Lf+EB/IB,861,2,94
Porygon2 LO+TA/SoB,405,20,0
Buneary QA+Sw/FiP,485,46,0
Heliolisk VS+PbC/GK,815,7,82
Haunter SC+ShP/IP,237,39,0
Purugly SC+T/AA,421,20,0
Teddiursa L+CrC/TBl,475,20,0
Gengar SC+ShP/SlB,214,39,0
Jynx Cf+Psh/Av,236,52,0
Persian FA+NS/PG,390,33,0
Tirtouga (Shadow) WG+S/AP,800,2,78
Boldore MSl+RS/Bd,846,2,90
Teddiursa (Shadow) L+CrC/TBl,700,7,52
Tyrantrum DT+RT/Cr,120,52,0
Stonjourner RTh+RS/SE,676,2,46
Beartic PS+IP/Li,742,2,63
Tauros Tk+TBl/IH,425,20,0
Smoochum PS+Psh/IP,592,7,24
Tyrantrum (Shadow) DT+Cr/RT,155,52,0
Polteageist H+SB/DP,252,52,0
Vanillish A+IW/SiB,738,2,62
Tyrunt DT+RT/St,773,7,71
Cryogonal IS+NS/TAx,596,41,25
Spritzee Ch+Tb/DK,431,33,0
Frosmoth PS+IW/BBu,715,2,56
Persian (Shadow) FA+NS/PG,448,7,0
Mr. Rime Cf+IW/P,803,2,79
Ambipom A+LS/AA,479,7,0
Glimmora RTh+DG/SW,653,7,40
Cloyster (Shadow) IS+IW/Li,892,2,102
Raticate (Shadow) QA+Dg/HF,930,7,112
Granbull (Shadow) Ch+CC/Cr,753,7,66
Rotom (Frost) TS+Tb/Bl,884,2,100
Crabominable B+BkB/IP,715,2,56
Glimmet RTh+DG/SW,630,7,34
Porygon2 (Shadow) LO+TA/SoB,496,20,0
Haunter (Shadow) SC+IP/SB,282,39,0
Rotom TS+Tb/OW,584,2,22
Purugly (Shadow) SC+T/AA,530,7,8
Loudred (Shadow) Bi+DV/St,569,20,18
Tyrunt (Shadow) DT+RT/St,726,7,59
Sudowoodo (Shadow) C+MeB/TBl,884,7,100
Granbull Ch+CC/Cr,784,7,74
Stufful Tk+SP/St,823,1,84
Vanilluxe A+Av/FC,723,2,58
Raticate QA+Dg/HF,642,1,37
Sawsbuck FA+TBl/WC,792,7,76
Banette SC+SB/DG,723,2,58
Nosepass RTh+RS/RB,428,33,0
Darumaka (Galarian) IF+IP/IB,861,2,94
Dwebble (Shadow) SD+RT/XS,692,7,50
Lycanroc (Dusk) SkP+TBl/SE,700,2,52
Boldore (Shadow) MSl+RS/SE,815,2,82
Cloyster IS+IW/Li,623,15,32
Rampardos (Shadow) SD+RS/Ft,569,2,18
Dwebble SD+RT/XS,530,15,8
Loudred Bi+DV/St,429,33,0
Eevee QA+BS/Dg,730,1,60
Cursola A+NSh/PG,646,2,38
Gumshoos Bi+RT/Cr,500,46,0
Cinccino Ch+AT/Tb,592,20,24
Drakloak DT+SB/O,846,2,90
Gardevoir Cf+TAx/SB,792,7,76
Ribombee FW+DG/BBu,884,2,100
Lycanroc (Midnight) C+TBl/SE,884,7,100
Nosepass (Shadow) RTh+RS/RB,494,15,0
Komala RO+Pbk/Bd,486,7,0
Roggenrola SD+SE/RB,738,2,62
Gardevoir (Shadow) Cf+TAx/SB,746,7,64
Swirlix Tk+EB/DK,711,28,55
Stantler Tk+WC/Mh,496,33,0
Banette (Shadow) SC+SB/DG,676,2,46
Indeedee (Male) Ex+SB/P,861,7,94
Porygon (Shadow) Tk+D/SoB,638,46,36
Snubbull Tk+BkB/Cr,900,7,104
Rampardos SD+RS/Ft,630,7,34
Roggenrola (Shadow) SD+SE/RB,692,7,50
Darmanitan (Galarian) IF+SP/Av,838,7,88
Stantler (Shadow) Tk+WC/Mh,900,7,104
Flabebe VW+DG/PlB,907,7,106
Deerling Tk+EB/WC,900,7,104
Glaceon IS+Av/WP,892,2,102
Audino ZH+DV/HB,550,8,13
Snubbull (Shadow) Tk+BkB/Cr,900,2,104
Bergmite Tk+IW/Cr,942,15,115
Dragapult DT+SB/O,830,2,86
Porygon-Z LO+TA/ZC,950,7,117
Anorith (Shadow) StB+AJ/CP,876,7,98
Anorith StB+AJ/CP,892,7,102
Porygon-Z (Shadow) LO+TA/ZC,950,7,117
Clefairy ZH+DV/BS,803,28,79
Cranidos (Shadow) ZH+RT/AP,830,7,86
Cranidos ZH+RT/AP,861,7,94
Slaking (Shadow) Y+BS/Eq,873,7,97
Slaking Y+BS/Eq,892,7,102
