Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,167,40,0
Aromatisse FW+Psh/M,712,100,43
Sealeo PS+S/BS,407,30,0
Sylveon FW+Psh/SB,752,90,51
Cetitan PS+ISp/SP,477,30,0
Sealeo (Shadow) PS+S/BS,476,80,0
Florges FW+CW/DV,712,60,43
Walrein (Shadow) W+ISp/Eq,311,0,0
Snorlax L+BS/SP,114,20,0
Lopunny LK+SB/FiP,229,30,0
Lunatone Psy+RS/WBI,465,50,0
Solrock Psy+RS/WBF,465,50,0
Snorlax (Shadow) L+BS/SP,122,10,0
Graveler (Alolan) VS+SE/RB,426,20,0
Garganacl MS+RB/RT,437,0,0
Munchlax Tk+BS/Bd,405,0,0
Dusclops H+FiP/ShP,539,30,8
Gourgeist (Large) I+SB/SeB,668,60,34
Gourgeist (Average) I+SB/SeB,668,60,34
Primarina W+HC/DV,500,20,0
Walrein W+ISp/Eq,366,20,0
Slurpuff FW+Ft/EB,752,90,51
Dusclops (Shadow) H+FiP/ShP,599,60,20
Bibarel RO+S/HF,302,30,0
Gigalith LO+SP/MeB,886,80,78
Gourgeist (Small) I+SB/SeB,668,60,34
Gourgeist (Super) I+SB/SeB,683,60,37
Graveler (Alolan) (Shadow) VS+SE/RB,447,10,0
Golem (Alolan) VS+WC/RB,388,10,0
Golem (Alolan) (Shadow) VS+WC/RB,465,10,0
Barbaracle FC+CrC/SE,762,90,53
Whimsicott FW+SeB/M,752,90,51
Bibarel (Shadow) RO+S/HF,278,0,0
Shiinotic A+SeB/M,231,0,0
Maushold MS+Sw/Cr,183,0,0
Decidueye Lf+FP/SSh,816,50,64
Froslass (Shadow) H+Av/SB,618,50,24
Dachsbun FF+PsF/PR,379,20,0
Gigalith (Shadow) LO+MeB/SP,896,70,80
Cofagrigus SC+SB/Re,417,10,0
Dedenne TS+D/PR,693,80,39
Kabuto MS+AJ/RT,722,70,45
Dewgong IS+IW/DR,369,0,0
Glalie RO+Av/SB,673,100,35
Grafaiai MSl+PF/SlB,156,10,0
Dhelmise SC+PW/BrS,623,40,25
Kabutops (Shadow) FC+AJ/SE,826,60,66
Corsola B+PG/RB,492,0,0
Froslass H+Av/SB,678,50,36
Geodude (Alolan) VS+RT/RS,495,40,0
Dewgong (Shadow) IS+AJ/DR,359,20,0
Trevenant SC+SeB/SB,579,50,16
Avalugg IF+Av/BS,358,70,0
Arboliva ML+EP/TBl,282,10,0
Shiinotic (Shadow) A+SeB/M,280,0,0
Trevenant (Shadow) SC+SeB/SB,574,40,15
Cofagrigus (Shadow) SC+SB/DP,408,0,0
Pumpkaboo (Super) A+GK/FoP,372,0,0
Bouffalant MS+St/Mh,237,10,0
Armaldo (Shadow) FC+RB/Li,742,60,49
Glalie (Shadow) PS+Av/SB,450,70,0
Castform (Snowy) PS+WBI/Bl,414,30,0
Aipom (Shadow) A+Sw/LS,118,40,0
Avalugg (Hisuian) PS+RS/IW,467,90,0
Arctibax DB+Av/DC,440,70,0
Floette VW+DG/PlB,717,10,44
Kabuto (Shadow) MS+AJ/RT,678,60,36
Kabutops FC+AJ/SE,797,70,60
Geodude (Alolan) (Shadow) VS+RT/RS,539,70,8
Watchog LK+GK/Cr,316,30,0
Pumpkaboo (Large) A+GK/FoP,394,0,0
Kleavor FC+XS/RS,826,60,66
Klawf MSl+Bd/RT,319,0,0
Delcatty Ch+WC/DV,258,30,0
Watchog (Shadow) LK+GK/Cr,360,30,0
Zoroark (Hisuian) SC+SB/FoP,270,40,0
Armaldo FC+RB/Li,797,70,60
Omanyte MS+RT/RB,693,80,39
Carracosta (Shadow) RTh+AP/Li,375,50,0
Hatterene PC+Psh/PW,747,40,50
Houndstone L+SB/PsF,483,50,0
Aipom A+Sw/LS,107,0,0
Sudowoodo C+MeB/TBl,801,90,61
Tirtouga WG+S/AP,434,30,0
Gengar (Shadow) SC+ShP/SlB,603,30,21
Omanyte (Shadow) MS+RT/RB,648,70,30
Pumpkaboo (Average) A+GK/FoP,400,0,0
Carracosta RTh+Li/AP,379,10,0
Lycanroc (Midday) SkP+DR/TBl,338,40,0
Baxcalibur DB+GlR/Av,524,70,5
Comfey VW+GK/DK,737,90,48
Exploud A+Cr/DV,105,0,0
Rapidash (Galarian) FW+BS/Mh,876,50,76
Mr. Mime (Galarian) Cf+IP/P,442,40,0
Mr. Mime Psy+SB/P,544,50,9
Indeedee (Female) Ex+EB/P,194,0,0
Mismagius (Shadow) H+SB/DP,603,40,21
Porygon Tk+D/HB,623,0,25
Pumpkaboo (Small) A+GK/FoP,424,0,0
Omastar (Shadow) MS+RS/HP,683,70,37
Herdier SdA+Dg/Tb,200,40,0
Misdreavus Psy+SS/DP,495,0,0
Blissey ZH+WC/DG,324,10,0
Mismagius Psy+SB/DP,608,50,22
Exploud (Shadow) A+Cr/DV,114,40,0
Stoutland SdA+WC/Cr,228,40,0
Ambipom (Shadow) A+LS/AA,145,40,0
Omastar MS+RS/HP,693,80,39
Snover (Shadow) Lf+EB/IB,727,70,46
Bonsly C+RT/RS,801,90,61
Frigibax DB+Av/DC,524,70,5
Misdreavus (Shadow) Psy+DP/SS,544,50,9
Snover Lf+EB/IB,722,80,45
Porygon2 LO+TA/SoB,484,0,0
Buneary QA+Sw/FiP,274,10,0
Heliolisk VS+PbC/GK,204,20,0
Haunter SC+ShP/IP,663,30,33
Purugly SC+T/AA,160,20,0
Teddiursa L+CrC/TBl,144,10,0
Gengar SC+ShP/SlB,574,40,15
Jynx Cf+Psh/Av,500,40,0
Persian FA+NS/PG,156,20,0
Tirtouga (Shadow) WG+S/AP,457,70,0
Boldore MSl+RS/Bd,325,0,0
Teddiursa (Shadow) L+CrC/TBl,144,0,0
Tyrantrum DT+RT/Cr,544,80,9
Stonjourner RTh+RS/SE,390,10,0
Beartic PS+IP/Li,549,70,10
Tauros Tk+TBl/IH,529,0,6
Smoochum PS+Psh/IP,747,40,50
Tyrantrum (Shadow) DT+Cr/RT,519,70,4
Polteageist H+SB/DP,643,40,29
Vanillish A+IW/SiB,266,0,0
Tyrunt DT+RT/St,496,40,0
Cryogonal IS+NS/TAx,466,30,0
Spritzee Ch+Tb/DK,594,100,19
Frosmoth PS+IW/BBu,500,70,0
Persian (Shadow) FA+NS/PG,120,0,0
Mr. Rime Cf+IW/P,433,40,0
Ambipom A+LS/AA,133,0,0
Glimmora RTh+DG/SW,391,50,0
Cloyster (Shadow) IS+IW/Li,473,20,0
Raticate (Shadow) QA+Dg/HF,633,0,27
Granbull (Shadow) Ch+CC/Cr,584,60,17
Rotom (Frost) TS+Tb/Bl,668,80,34
Crabominable B+BkB/IP,668,70,34
Glimmet RTh+DG/SW,438,50,0
Porygon2 (Shadow) LO+TA/SoB,559,0,12
Haunter (Shadow) SC+IP/SB,584,30,17
Rotom TS+Tb/OW,816,50,64
Purugly (Shadow) SC+T/AA,138,0,0
Loudred (Shadow) Bi+DV/St,123,40,0
Tyrunt (Shadow) DT+RT/St,549,70,10
Sudowoodo (Shadow) C+MeB/TBl,826,80,66
Granbull Ch+CC/Cr,638,70,28
Stufful Tk+SP/St,623,0,25
Vanilluxe A+Av/FC,295,0,0
Raticate QA+Dg/HF,722,0,45
Sawsbuck FA+TBl/WC,137,10,0
Banette SC+SB/DG,524,40,5
Nosepass RTh+RS/RB,413,40,0
Darumaka (Galarian) IF+IP/IB,420,60,0
Dwebble (Shadow) SD+RT/XS,377,0,0
Lycanroc (Dusk) SkP+TBl/SE,341,40,0
Boldore (Shadow) MSl+RS/SE,309,0,0
Cloyster IS+IW/Li,451,0,0
Rampardos (Shadow) SD+RS/Ft,524,40,5
Dwebble SD+RT/XS,496,30,0
Loudred Bi+DV/St,101,40,0
Eevee QA+BS/Dg,266,20,0
Cursola A+NSh/PG,500,40,0
Gumshoos Bi+RT/Cr,122,40,0
Cinccino Ch+AT/Tb,289,10,0
Drakloak DT+SB/O,678,50,36
Gardevoir Cf+TAx/SB,500,40,0
Ribombee FW+DG/BBu,797,70,60
Lycanroc (Midnight) C+TBl/SE,861,70,73
Nosepass (Shadow) RTh+RS/RB,433,30,0
Komala RO+Pbk/Bd,362,30,0
Roggenrola SD+SE/RB,500,30,0
Gardevoir (Shadow) Cf+TAx/SB,500,40,0
Swirlix Tk+EB/DK,737,90,48
Stantler Tk+WC/Mh,623,0,25
Banette (Shadow) SC+SB/DG,500,40,0
Indeedee (Male) Ex+SB/P,238,0,0
Porygon (Shadow) Tk+D/SoB,623,0,25
Snubbull Tk+BkB/Cr,797,70,60
Rampardos SD+RS/Ft,504,50,1
Roggenrola (Shadow) SD+SE/RB,392,0,0
Darmanitan (Galarian) IF+SP/Av,471,50,0
Stantler (Shadow) Tk+WC/Mh,359,20,0
Flabebe VW+DG/PlB,831,80,67
Deerling Tk+EB/WC,623,0,25
Glaceon IS+Av/WP,579,70,16
Audino ZH+DV/HB,131,0,0
Snubbull (Shadow) Tk+BkB/Cr,846,60,70
Bergmite Tk+IW/Cr,737,90,48
Dragapult DT+SB/O,702,40,41
Porygon-Z LO+TA/ZC,554,0,11
Anorith (Shadow) StB+AJ/CP,826,50,66
Anorith StB+AJ/CP,846,60,70
Porygon-Z (Shadow) LO+TA/ZC,519,80,4
Clefairy ZH+DV/BS,500,40,0
Cranidos (Shadow) ZH+RT/AP,544,40,9
Cranidos ZH+RT/AP,504,50,1
Slaking (Shadow) Y+BS/Eq,945,0,90
Slaking Y+BS/Eq,945,0,90
