Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,328,4,0
Aromatisse FW+Psh/M,339,4,0
Sealeo PS+S/BS,488,40,0
Sylveon FW+Psh/SB,407,40,0
Cetitan PS+ISp/SP,61,45,0
Sealeo (Shadow) PS+S/BS,750,4,48
Florges FW+CW/DV,440,40,0
Walrein (Shadow) W+ISp/Eq,770,4,52
Snorlax L+BS/SP,323,13,0
Lopunny LK+SB/FiP,338,4,0
Lunatone Psy+RS/WBI,420,13,0
Solrock Psy+RS/WBF,420,13,0
Snorlax (Shadow) L+BS/SP,371,13,0
Graveler (Alolan) VS+SE/RB,495,4,0
Garganacl MS+RB/RT,362,31,0
Munchlax Tk+BS/Bd,552,8,10
Dusclops H+FiP/ShP,305,31,0
Gourgeist (Large) I+SB/SeB,270,0,0
Gourgeist (Average) I+SB/SeB,273,0,0
Primarina W+HC/DV,446,4,0
Walrein W+ISp/Eq,614,22,22
Slurpuff FW+Ft/EB,53,45,0
Dusclops (Shadow) H+FiP/ShP,351,31,0
Bibarel RO+S/HF,469,49,0
Gigalith LO+SP/MeB,85,36,0
Gourgeist (Small) I+SB/SeB,280,0,0
Gourgeist (Super) I+SB/SeB,263,0,0
Graveler (Alolan) (Shadow) VS+SE/RB,625,4,24
Golem (Alolan) VS+WC/RB,671,4,33
Golem (Alolan) (Shadow) VS+WC/RB,609,4,21
Barbaracle FC+CrC/SE,334,0,0
Whimsicott FW+SeB/M,42,45,0
Bibarel (Shadow) RO+S/HF,479,13,0
Shiinotic A+SeB/M,337,4,0
Maushold MS+Sw/Cr,386,31,0
Decidueye Lf+FP/SSh,42,45,0
Froslass (Shadow) H+Av/SB,833,4,64
Dachsbun FF+PsF/PR,531,8,6
Gigalith (Shadow) LO+MeB/SP,102,36,0
Cofagrigus SC+SB/Re,321,4,0
Dedenne TS+D/PR,93,45,0
Kabuto MS+AJ/RT,432,4,0
Dewgong IS+IW/DR,515,8,3
Glalie RO+Av/SB,895,4,76
Grafaiai MSl+PF/SlB,687,4,36
Dhelmise SC+PW/BrS,471,4,0
Kabutops (Shadow) FC+AJ/SE,147,45,0
Corsola B+PG/RB,399,40,0
Froslass H+Av/SB,854,4,68
Geodude (Alolan) VS+RT/RS,671,4,33
Dewgong (Shadow) IS+AJ/DR,526,22,5
Trevenant SC+SeB/SB,38,45,0
Avalugg IF+Av/BS,723,13,43
Arboliva ML+EP/TBl,326,0,0
Shiinotic (Shadow) A+SeB/M,394,4,0
Trevenant (Shadow) SC+SeB/SB,57,45,0
Cofagrigus (Shadow) SC+SB/DP,399,4,0
Pumpkaboo (Super) A+GK/FoP,347,13,0
Bouffalant MS+St/Mh,397,31,0
Armaldo (Shadow) FC+RB/Li,791,0,56
Glalie (Shadow) PS+Av/SB,875,4,72
Castform (Snowy) PS+WBI/Bl,703,13,39
Aipom (Shadow) A+Sw/LS,526,13,5
Avalugg (Hisuian) PS+RS/IW,875,4,72
Arctibax DB+Av/DC,812,4,60
Floette VW+DG/PlB,347,4,0
Kabuto (Shadow) MS+AJ/RT,500,0,0
Kabutops FC+AJ/SE,122,45,0
Geodude (Alolan) (Shadow) VS+RT/RS,609,4,21
Watchog LK+GK/Cr,404,4,0
Pumpkaboo (Large) A+GK/FoP,364,13,0
Kleavor FC+XS/RS,96,45,0
