Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,284,28,0
Aromatisse FW+Psh/M,185,32,0
Sealeo PS+S/BS,291,48,0
Sylveon FW+Psh/SB,223,32,0
Cetitan PS+ISp/SP,696,0,40
Sealeo (Shadow) PS+S/BS,696,0,40
Florges FW+CW/DV,236,40,0
Walrein (Shadow) W+ISp/Eq,318,1,0
Snorlax L+BS/SP,539,0,8
Lopunny LK+SB/FiP,286,12,0
Lunatone Psy+RS/WBI,593,100,19
Solrock Psy+RS/WBF,593,100,19
Snorlax (Shadow) L+BS/SP,539,0,8
Graveler (Alolan) VS+SE/RB,250,36,0
Garganacl MS+RB/RT,696,0,40
Munchlax Tk+BS/Bd,676,4,36
Dusclops H+FiP/ShP,495,0,0
Gourgeist (Large) I+SB/SeB,813,0,64
Gourgeist (Average) I+SB/SeB,813,0,64
Primarina W+HC/DV,223,1,0
Walrein W+ISp/Eq,457,0,0
Slurpuff FW+Ft/EB,492,0,0
Dusclops (Shadow) H+FiP/ShP,259,28,0
Bibarel RO+S/HF,696,0,40
Gigalith LO+SP/MeB,358,16,0
Gourgeist (Small) I+SB/SeB,813,0,64
Gourgeist (Super) I+SB/SeB,813,0,64
Graveler (Alolan) (Shadow) VS+SE/RB,200,20,0
Golem (Alolan) VS+WC/RB,247,36,0
Golem (Alolan) (Shadow) VS+WC/RB,243,16,0
Barbaracle FC+CrC/SE,360,28,0
Whimsicott FW+SeB/M,364,32,0
Bibarel (Shadow) RO+S/HF,647,0,30
Shiinotic A+SeB/M,373,40,0
Maushold MS+Sw/Cr,294,24,0
Decidueye Lf+FP/SSh,155,8,0
Froslass (Shadow) H+Av/SB,549,0,10
Dachsbun FF+PsF/PR,769,0,55
Gigalith (Shadow) LO+MeB/SP,867,100,75
Cofagrigus SC+SB/Re,549,0,10
Dedenne TS+D/PR,218,32,0
Kabuto MS+AJ/RT,468,100,0
Dewgong IS+IW/DR,720,1,45
Glalie RO+Av/SB,696,0,40
Grafaiai MSl+PF/SlB,160,32,0
Dhelmise SC+PW/BrS,409,32,0
Kabutops (Shadow) FC+AJ/SE,500,5,0
Corsola B+PG/RB,647,0,30
Froslass H+Av/SB,647,0,30
Geodude (Alolan) VS+RT/RS,269,40,0
Dewgong (Shadow) IS+AJ/DR,666,1,34
Trevenant SC+SeB/SB,549,0,10
Avalugg IF+Av/BS,622,0,25
Arboliva ML+EP/TBl,221,0,0
Shiinotic (Shadow) A+SeB/M,349,32,0
Trevenant (Shadow) SC+SeB/SB,358,12,0
Cofagrigus (Shadow) SC+SB/DP,266,32,0
Pumpkaboo (Super) A+GK/FoP,304,32,0
Bouffalant MS+St/Mh,558,0,12
Armaldo (Shadow) FC+RB/Li,439,60,0
Glalie (Shadow) PS+Av/SB,622,0,25
Castform (Snowy) PS+WBI/Bl,549,0,10
Aipom (Shadow) A+Sw/LS,362,1,0
Avalugg (Hisuian) PS+RS/IW,696,0,40
Arctibax DB+Av/DC,539,0,8
Floette VW+DG/PlB,164,0,0
Kabuto (Shadow) MS+AJ/RT,468,100,0
Kabutops FC+AJ/SE,500,0,0
Geodude (Alolan) (Shadow) VS+RT/RS,252,16,0
Watchog LK+GK/Cr,284,12,0
Pumpkaboo (Large) A+GK/FoP,323,32,0
Kleavor FC+XS/RS,471,1,0
Klawf MSl+Bd/RT,260,0,0
Delcatty Ch+WC/DV,553,0,11
Watchog (Shadow) LK+GK/Cr,324,40,0
Zoroark (Hisuian) SC+SB/FoP,380,41,0
Armaldo FC+RB/Li,321,1,0
Omanyte MS+RT/RB,425,32,0
Carracosta (Shadow) RTh+AP/Li,258,0,0
Hatterene PC+Psh/PW,458,45,0
Houndstone L+SB/PsF,260,40,0
Aipom A+Sw/LS,340,40,0
Sudowoodo C+MeB/TBl,242,40,0
Tirtouga WG+S/AP,539,0,8
Gengar (Shadow) SC+ShP/SlB,224,4,0
Omanyte (Shadow) MS+RT/RB,425,32,0
Pumpkaboo (Average) A+GK/FoP,341,32,0
Carracosta RTh+Li/AP,295,12,0
Lycanroc (Midday) SkP+DR/TBl,394,52,0
Baxcalibur DB+GlR/Av,385,1,0
Comfey VW+GK/DK,200,0,0
Exploud A+Cr/DV,388,40,0
Rapidash (Galarian) FW+BS/Mh,383,32,0
Mr. Mime (Galarian) Cf+IP/P,427,33,0
Mr. Mime Psy+SB/P,422,60,0
Indeedee (Female) Ex+EB/P,637,100,28
Mismagius (Shadow) H+SB/DP,549,0,10
Porygon Tk+D/HB,696,0,40
Pumpkaboo (Small) A+GK/FoP,361,32,0
Omastar (Shadow) MS+RS/HP,622,0,25
Herdier SdA+Dg/Tb,539,0,8
Misdreavus Psy+SS/DP,539,0,8
Blissey ZH+WC/DG,627,12,26
Mismagius Psy+SB/DP,539,0,8
Exploud (Shadow) A+Cr/DV,312,1,0
Stoutland SdA+WC/Cr,539,0,8
Ambipom (Shadow) A+LS/AA,358,48,0
Omastar MS+RS/HP,696,0,40
Snover (Shadow) Lf+EB/IB,299,8,0
Bonsly C+RT/RS,244,0,0
Frigibax DB+Av/DC,539,0,8
Misdreavus (Shadow) Psy+DP/SS,539,0,8
Snover Lf+EB/IB,299,1,0
Porygon2 LO+TA/SoB,843,0,70
Buneary QA+Sw/FiP,622,0,25
Heliolisk VS+PbC/GK,290,40,0
Haunter SC+ShP/IP,237,12,0
Purugly SC+T/AA,622,0,25
Teddiursa L+CrC/TBl,401,32,0
Gengar SC+ShP/SlB,244,12,0
Jynx Cf+Psh/Av,553,88,11
Persian FA+NS/PG,622,0,25
Tirtouga (Shadow) WG+S/AP,284,1,0
Boldore MSl+RS/Bd,234,0,0
Teddiursa (Shadow) L+CrC/TBl,461,60,0
Tyrantrum DT+RT/Cr,379,40,0
Stonjourner RTh+RS/SE,280,16,0
Beartic PS+IP/Li,696,0,40
Tauros Tk+TBl/IH,622,0,25
Smoochum PS+Psh/IP,774,80,56
Tyrantrum (Shadow) DT+Cr/RT,461,40,0
Polteageist H+SB/DP,598,0,20
Vanillish A+IW/SiB,364,36,0
Tyrunt DT+RT/St,549,0,10
Cryogonal IS+NS/TAx,696,0,40
Spritzee Ch+Tb/DK,383,0,0
Frosmoth PS+IW/BBu,622,100,25
Persian (Shadow) FA+NS/PG,549,0,10
Mr. Rime Cf+IW/P,524,100,5
Ambipom A+LS/AA,455,60,0
Glimmora RTh+DG/SW,200,8,0
Cloyster (Shadow) IS+IW/Li,647,0,30
Raticate (Shadow) QA+Dg/HF,715,100,44
Granbull (Shadow) Ch+CC/Cr,219,40,0
Rotom (Frost) TS+Tb/Bl,456,45,0
Crabominable B+BkB/IP,549,0,10
Glimmet RTh+DG/SW,271,0,0
Porygon2 (Shadow) LO+TA/SoB,549,100,10
Haunter (Shadow) SC+IP/SB,207,0,0
Rotom TS+Tb/OW,273,32,0
Purugly (Shadow) SC+T/AA,553,0,11
Loudred (Shadow) Bi+DV/St,696,0,40
Tyrunt (Shadow) DT+RT/St,410,40,0
Sudowoodo (Shadow) C+MeB/TBl,218,32,0
Granbull Ch+CC/Cr,233,4,0
Stufful Tk+SP/St,696,0,40
Vanilluxe A+Av/FC,390,32,0
Raticate QA+Dg/HF,696,0,40
Sawsbuck FA+TBl/WC,588,100,18
Banette SC+SB/DG,373,32,0
Nosepass RTh+RS/RB,553,0,11
Darumaka (Galarian) IF+IP/IB,553,0,11
Dwebble (Shadow) SD+RT/XS,374,16,0
Lycanroc (Dusk) SkP+TBl/SE,397,52,0
Boldore (Shadow) MSl+RS/SE,263,28,0
Cloyster IS+IW/Li,666,1,34
Rampardos (Shadow) SD+RS/Ft,384,24,0
Dwebble SD+RT/XS,350,36,0
Loudred Bi+DV/St,696,0,40
Eevee QA+BS/Dg,769,0,55
Cursola A+NSh/PG,231,4,0
Gumshoos Bi+RT/Cr,696,0,40
Cinccino Ch+AT/Tb,441,60,0
Drakloak DT+SB/O,313,36,0
Gardevoir Cf+TAx/SB,326,8,0
Ribombee FW+DG/BBu,622,0,25
Lycanroc (Midnight) C+TBl/SE,287,32,0
Nosepass (Shadow) RTh+RS/RB,295,32,0
Komala RO+Pbk/Bd,612,0,23
Roggenrola SD+SE/RB,437,36,0
Gardevoir (Shadow) Cf+TAx/SB,370,21,0
Swirlix Tk+EB/DK,666,8,34
Stantler Tk+WC/Mh,686,44,38
Banette (Shadow) SC+SB/DG,282,4,0
Indeedee (Male) Ex+SB/P,686,88,38
Porygon (Shadow) Tk+D/SoB,539,0,8
Snubbull Tk+BkB/Cr,681,0,37
Rampardos SD+RS/Ft,440,48,0
Roggenrola (Shadow) SD+SE/RB,377,20,0
Darmanitan (Galarian) IF+SP/Av,612,100,23
Stantler (Shadow) Tk+WC/Mh,549,100,10
Flabebe VW+DG/PlB,184,4,0
Deerling Tk+EB/WC,769,96,55
Glaceon IS+Av/WP,696,0,40
Audino ZH+DV/HB,725,1,46
Snubbull (Shadow) Tk+BkB/Cr,617,0,24
Bergmite Tk+IW/Cr,696,0,40
Dragapult DT+SB/O,373,32,0
Porygon-Z LO+TA/ZC,852,100,72
Anorith (Shadow) StB+AJ/CP,549,92,10
Anorith StB+AJ/CP,509,100,2
Porygon-Z (Shadow) LO+TA/ZC,882,96,78
Clefairy ZH+DV/BS,671,1,35
Cranidos (Shadow) ZH+RT/AP,676,76,36
Cranidos ZH+RT/AP,691,92,39
Slaking (Shadow) Y+BS/Eq,965,100,95
Slaking Y+BS/Eq,955,0,93
