Pokemon,Battle Rating,Energy Remaining,HP Remaining
Castform H+WBR/EB,284,18,0
Aromatisse FW+Psh/M,294,30,0
Sealeo PS+S/BS,291,38,0
Sylveon FW+Psh/SB,353,30,0
Cetitan PS+ISp/SP,301,30,0
Sealeo (Shadow) PS+S/BS,363,30,0
Florges FW+CW/DV,327,30,0
Walrein (Shadow) W+ISp/Eq,396,30,0
Snorlax L+BS/SP,237,26,0
Lopunny LK+SB/FiP,680,1,44
Lunatone Psy+RS/WBI,193,18,0
Solrock Psy+RS/WBF,193,18,0
Snorlax (Shadow) L+BS/SP,251,2,0
Graveler (Alolan) VS+SE/RB,422,38,0
Garganacl MS+RB/RT,627,1,31
Munchlax Tk+BS/Bd,639,49,34
Dusclops H+FiP/ShP,259,18,0
Gourgeist (Large) I+SB/SeB,377,30,0
Gourgeist (Average) I+SB/SeB,269,30,0
Primarina W+HC/DV,410,30,0
Walrein W+ISp/Eq,540,1,10
Slurpuff FW+Ft/EB,330,30,0
Dusclops (Shadow) H+FiP/ShP,259,18,0
Bibarel RO+S/HF,338,42,0
Gigalith LO+SP/MeB,852,1,86
Gourgeist (Small) I+SB/SeB,289,30,0
Gourgeist (Super) I+SB/SeB,356,30,0
Graveler (Alolan) (Shadow) VS+SE/RB,400,30,0
Golem (Alolan) VS+WC/RB,418,38,0
Golem (Alolan) (Shadow) VS+WC/RB,393,30,0
Barbaracle FC+CrC/SE,426,38,0
Whimsicott FW+SeB/M,389,30,0
Bibarel (Shadow) RO+S/HF,449,42,0
Shiinotic A+SeB/M,300,6,0
Maushold MS+Sw/Cr,294,14,0
Decidueye Lf+FP/SSh,386,30,0
Froslass (Shadow) H+Av/SB,434,50,0
Dachsbun FF+PsF/PR,450,1,0
Gigalith (Shadow) LO+MeB/SP,852,1,86
Cofagrigus SC+SB/Re,247,14,0
Dedenne TS+D/PR,368,38,0
Kabuto MS+AJ/RT,520,100,5
Dewgong IS+IW/DR,631,1,32
