Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aipom A+Sw/LS,300,15,0
Aipom (Shadow) A+Sw/LS,285,16,0
Ambipom A+LS/AA,346,30,0
Ambipom (Shadow) A+LS/AA,326,16,0
Anorith StB+AJ/CP,395,30,0
Anorith (Shadow) StB+AJ/CP,478,70,0
Arboliva ML+EP/TBl,658,4,33
Arctibax DB+Av/DC,341,44,0
Armaldo FC+RB/Li,330,30,0
Armaldo (Shadow) FC+RB/Li,395,30,0
Aromatisse FW+Psh/M,493,4,0
Audino ZH+DV/HB,822,6,67
Avalugg IF+Av/BS,591,3,19
Avalugg (Hisuian) PS+RS/IW,381,4,0
Banette SC+SB/DG,395,30,0
Banette (Shadow) SC+SB/DG,386,1,0
Barbaracle FC+CrC/SE,343,44,0
Baxcalibur DB+GlR/Av,358,30,0
Beartic PS+IP/Li,548,4,10
Bergmite Tk+IW/Cr,716,3,45
Bibarel RO+S/HF,288,15,0
Bibarel (Shadow) RO+S/HF,338,15,0
Blissey ZH+WC/DG,750,8,52
Boldore MSl+RS/Bd,687,4,39
Boldore (Shadow) MSl+RS/SE,649,4,31
Bonsly C+RT/RS,706,4,43
Bouffalant MS+St/Mh,277,30,0
Buneary QA+Sw/FiP,318,30,0
Carracosta RTh+Li/AP,275,30,0
Carracosta (Shadow) RTh+AP/Li,270,1,0
Castform H+WBR/EB,243,15,0
Castform (Snowy) PS+WBI/Bl,682,3,38
Cetitan PS+ISp/SP,552,18,11
Cinccino Ch+AT/Tb,649,4,31
Clefairy ZH+DV/BS,879,4,79
Cloyster IS+IW/Li,528,3,6
Cloyster (Shadow) IS+IW/Li,446,4,0
Cofagrigus SC+SB/Re,449,4,0
Cofagrigus (Shadow) SC+SB/DP,533,4,7
Comfey VW+GK/DK,822,4,67
Corsola B+PG/RB,373,4,0
Crabominable B+BkB/IP,812,70,65
Cranidos ZH+RT/AP,807,84,64
Cranidos (Shadow) ZH+RT/AP,826,70,68
Cryogonal IS+NS/TAx,548,3,10
Cursola A+NSh/PG,321,1,0
Dachsbun FF+PsF/PR,477,4,0
Darmanitan (Galarian) IF+SP/Av,730,84,48
Darumaka (Galarian) IF+IP/IB,706,4,43
Decidueye Lf+FP/SSh,319,30,0
Dedenne TS+D/PR,576,4,16
Deerling Tk+EB/WC,634,4,28
Delcatty Ch+WC/DV,658,3,33
Dewgong IS+IW/DR,487,17,0
Dhelmise SC+PW/BrS,290,16,0
Dragapult DT+SB/O,687,4,39
Drakloak DT+SB/O,687,4,39
Dusclops H+FiP/ShP,171,1,0
Dusclops (Shadow) H+FiP/ShP,189,1,0
Dwebble SD+RT/XS,279,30,0
Dwebble (Shadow) SD+RT/XS,271,16,0
Eevee QA+BS/Dg,620,4,25
Exploud A+Cr/DV,533,4,7
